LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
1,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428668971,493182213.85,,9066947,18569905,17029780,15774883,23434829
2,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428899478,493182213.85,,9048654,18612177,17021755,15779955,23463401
3,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428833492,493182213.85,,9040167,18640162,17007489,15800603,23452781
4,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428582673,493182213.85,,9019074,18659199,17007482,15792208,23436310
5,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428471829,493182213.85,,9017591,18670688,17000454,15789042,23416676
6,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428191805,493182213.85,,9015338,18672782,16993659,15783155,23375285
7,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428013545,493182213.85,,9000035,18636387,17000000,15789427,23376619
8,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427952524,493182213.85,,9005116,18604878,16964340,15782415,23406345
9,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427742148,493182213.85,,8989747,18618315,16941169,15750920,23403765
10,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427768217,493182213.85,,8988445,18666138,16935174,15777653,23352950
11,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427752113,493182213.85,,8976879,18677589,16905301,15792294,23367408
12,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,427980134,493182213.85,,8984326,18720412,16887538,15776696,23376791
13,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428018911,493182213.85,,8970173,18719752,16876228,15779410,23365479
14,Distance L2 Scheme,100,5,Multiplicative 0.15,0,0,0,0,364525984.15,428158300,493182213.85,,8977629,18740338,16848303,15804378,23364642
