LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9
1,Oracle,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,166248.969475154,470365.255837701,,11.7169982037983,3.64679496787495,11.3599603280143,8754.55422692633,26956.5006947912,15393.7325658968,119.742101578076,161.002800948771,116.596392984208
1,Value,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,166248.969475154,470365.255837701,,11.7169982037983,3.64679496787495,11.3599603280143,8754.55422692633,26956.5006947912,15393.7325658968,119.742101578076,161.002800948771,116.596392984208
1,Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,166248.969475154,470365.255837701,,11.7169982037983,3.64679496787495,11.3599603280143,8754.55422692633,26956.5006947912,15393.7325658968,119.742101578076,161.002800948771,116.596392984208
1,Oracle Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,166248.969475154,470365.255837701,,11.7169982037983,3.64679496787495,11.3599603280143,8754.55422692633,26956.5006947912,15393.7325658968,119.742101578076,161.002800948771,116.596392984208
1,Dist L2,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,166248.969475154,470365.255837701,,11.7169982037983,3.64679496787495,11.3599603280143,8754.55422692633,26956.5006947912,15393.7325658968,119.742101578076,161.002800948771,116.596392984208
1,Dist L-inf,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,166248.969475154,470365.255837701,,11.7169982037983,3.64679496787495,11.3599603280143,8754.55422692633,26956.5006947912,15393.7325658968,119.742101578076,161.002800948771,116.596392984208
2,Oracle,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,150890.750486036,470365.255837701,,11.3458427868305,3.62011977407519,10.2313527180522,8077.51135203105,24553.3135051143,13957.662426919,105.999070539305,139.085151630811,85.5794139805709
2,Value,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,150890.750486036,470365.255837701,,11.3458427868305,3.62011977407519,10.2313527180522,8077.51135203105,24553.3135051143,13957.662426919,105.999070539305,139.085151630811,85.5794139805709
2,Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,150890.750486036,470365.255837701,,11.3458427868305,3.62011977407519,10.2313527180522,8077.51135203105,24553.3135051143,13957.662426919,105.999070539305,139.085151630811,85.5794139805709
2,Oracle Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,150890.750486036,470365.255837701,,11.3458427868305,3.62011977407519,10.2313527180522,8077.51135203105,24553.3135051143,13957.662426919,105.999070539305,139.085151630811,85.5794139805709
2,Dist L2,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,150890.750486036,470365.255837701,,11.3458427868305,3.62011977407519,10.2313527180522,8077.51135203105,24553.3135051143,13957.662426919,105.999070539305,139.085151630811,85.5794139805709
2,Dist L-inf,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,150890.750486036,470365.255837701,,11.3458427868305,3.62011977407519,10.2313527180522,8077.51135203105,24553.3135051143,13957.662426919,105.999070539305,139.085151630811,85.5794139805709
3,Oracle,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,133071.151488716,470365.255837701,,10.1886689608725,3.3410770867772,9.11107994406942,7258.72803319897,22637.8223712784,12401.2223074945,81.5763005312817,103.902401354083,67.7826608562397
3,Value,399,9,Combined_Lower0.5Upper2_Additive100000,4,5,0,-7408.6860405748,133071.151488716,470365.255837701,,10.1886689608725,3.3410770867772,9.11107994406942,7258.72803319897,22637.8223712784,12401.2223074945,81.5763005312817,103.902401354083,67.7826608562397
3,Dist L-inf,399,9,Combined_Lower0.5Upper2_Additive100000,4,5,0,-7408.6860405748,133071.151488716,470365.255837701,,10.1886689608725,3.3410770867772,9.11107994406942,7258.72803319897,22637.8223712784,12401.2223074945,81.5763005312817,103.902401354083,67.7826608562397
3,Oracle Vector,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,133071.151488716,470365.255837701,,10.1886689608725,3.3410770867772,9.11107994406942,7258.72803319897,22637.8223712784,12401.2223074945,81.5763005312817,103.902401354083,67.7826608562397
3,Vector,399,9,Combined_Lower0.5Upper2_Additive100000,1596,5,0,-7408.6860405748,133071.151488716,470365.255837701,,10.1886689608725,3.3410770867772,9.11107994406942,7258.72803319897,22637.8223712784,12401.2223074945,81.5763005312817,103.902401354083,67.7826608562397
3,Dist L2,399,9,Combined_Lower0.5Upper2_Additive100000,4,5,0,-7408.6860405748,133071.151488716,470365.255837701,,10.1886689608725,3.3410770867772,9.11107994406942,7258.72803319897,22637.8223712784,12401.2223074945,81.5763005312817,103.902401354083,67.7826608562397
4,Oracle,399,9,Combined_Lower0.5Upper2_Additive100000,0,0,0,-7408.6860405748,119526.908083899,470365.255837701,,7.98538718910394,2.64817345094715,8.11415530299405,6174.21667322216,21479.3056755007,10985.1910483056,68.8063489658888,93.959962800816,61.7186906503046
