LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36
1,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,2916,36,1,-19185.3381597947,161629.323680411,423258.647360821,,0.267878714591986,2.06945832149623,1.29342544997088,1.19722005218215,2.21122999319114,0.357155440270375,0.571502632892505,0.684446594777655,1.81117321473855,1.41432526848034,1.07116352393483,0.824801417220252,363.807467843846,452.10491282483,2141.10169352431,8421.52648139527,3168.38297302621,1116.78392730497,1329.69278948421,553.765261909311,346.742195655889,511.403373040123,365.709055372409,459.93769821977,8.49203519692588,12.1667697572875,12.1152383498292,19.1443964844384,23.3907510859844,15.9530165695536,8.65906481549998,6.56912959166016,16.7662354729503,8.98164016694018,4.37079758310331,5.615042437969
2,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,5832,72,2,-27173.8660400735,145652.267919853,391304.535839706,,0.258956156870882,2.16577558188934,1.19429650872818,1.23529293840718,2.40135057878717,0.312327611259957,0.432315456053537,0.607864154526379,1.74795108644614,1.3219309981831,0.818644921634471,0.73608726634786,410.031122247984,425.210373477196,1743.58896373045,7930.63059860577,2918.32668552633,1025.51804027842,1160.76115176609,497.671840015717,263.270430629049,454.747657307117,332.664865114329,458.798081561009,10.5872059041767,11.4031083166116,9.53580010903125,14.0014173699556,17.6463400463305,15.0380537583593,8.00824357828832,5.44197531662566,14.4205548221099,6.16473539608217,4.20979387532065,4.44077931873555
3,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,8748,108,3,-35087.8605752043,129824.278849591,359648.557699183,,0.230711568987912,2.41035993472156,1.33779530423992,1.19340920163492,1.92612855382186,0.298403433537866,0.400620074340785,0.58036684008743,1.77486759017232,1.14561475594439,0.768514934862531,0.661089270598183,353.624854868136,406.045458928516,1544.31986527288,7352.79529742562,2683.69085247877,950.735114210161,954.132491097643,432.589861643123,190.747351661632,459.967126791769,293.463878622591,397.817711418047,9.85831185503761,8.85788628851243,7.99935495702776,10.553161209021,15.6295661962067,12.3516190862728,7.09245936064777,4.25631310799844,10.655532913829,5.19911925885088,2.9324898564883,4.11248591914505
4,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,11664,144,4,-41505.7012894391,116988.597421122,333977.194842244,,0.206029168987433,2.28998729465643,1.19923714658049,1.22653435343473,2.13588143377603,0.162111235392556,0.328156695219454,0.553894445233077,1.36961826121303,0.850170096909761,0.418149222587184,0.490825136798095,328.810232420701,337.587166841955,1422.51903357652,7259.95390230937,2556.87584522762,893.884408832132,790.285387218112,382.75762908649,172.041058652568,396.864808667159,189.280180838464,312.274215963267,8.76077220938253,7.41520037975612,7.72138361648035,7.3560534722268,13.3895329474737,12.9003465514633,6.25750416863605,4.10841780413086,8.10013512556536,4.31903329026036,2.91341534598873,4.37938265195718
5,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,14580,180,5,-46817.2402926979,106365.519414604,312731.038829208,,0.189324851377312,2.29896502964866,1.22905897839457,1.12937236562621,1.79805628785919,0.201497682206249,0.324099466031549,0.554761244561445,1.34502385118249,0.58303363615313,0.410190829840564,0.456441716859684,292.854241939421,304.06178481868,1266.57594788711,7033.90219192036,2456.1523702663,846.299500255492,752.585435970248,287.185474057322,139.619298242384,373.630952355492,158.179017131167,308.869245272365,8.38288675927114,7.01486385292901,6.51426386358252,6.6619666822773,10.3353685394639,12.1261861146264,4.36068046228823,3.96535429395867,7.26307299478809,4.02035764729098,3.24726255102256,4.37184999656769
6,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,17496,216,6,-52786.3442151589,94427.3115696822,288854.623139364,,0.190381375485429,2.13235215212003,1.22552910280953,1.05800157177671,1.67976193048768,0.1758489631022,0.331734786263056,0.566229756764038,1.24863113207746,0.646944022633282,0.397601495150447,0.433215642189354,221.032112322136,234.818891108504,1068.36363457182,6751.35459430529,2272.71467859884,796.11026640506,677.303037298415,275.387631749568,117.265381328886,335.548512016734,126.947473834659,300.439772850677,6.38922895507363,6.38296483869553,6.1389722617052,5.49766768465952,6.83869097061765,6.69332938748468,3.57688704497421,3.84352208085662,5.31054868408898,2.67628824757666,3.09046097956403,4.63208264481173
7,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,20412,252,7,-57380.5652171063,85238.8695657874,270477.739131575,,0.227753389892742,2.17898224722684,1.32983187651434,1.08303570820899,1.74835484415038,0.185765543522079,0.301924422012276,0.387066142977583,1.02550786724381,0.621265230773002,0.358547004318422,0.48829836257943,196.237273450584,179.030136761612,913.132301316127,6538.26879464669,2150.67601916443,682.529794762581,553.883399324476,232.2996023568,115.896734046399,322.641531663355,106.245692052711,257.4968488923,5.71431727586402,6.52378015425794,4.79812087219758,5.78778446679435,5.52318089438346,6.32891972810851,3.38976169102079,4.2151759570045,6.27295419654784,2.31154811341795,2.77958517116664,4.99930391718052
8,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,23328,288,8,-61976.1430200502,76047.7139598997,252095.427919799,,0.194095375248924,1.80345025822248,1.13910539354832,0.949943014653919,1.44851713245346,0.20100488233124,0.263325427540345,0.258542715231511,0.650888169896538,0.404957454544837,0.375778560046,0.500387809085616,170.862063492715,147.762569616283,768.996716588857,6084.56488598969,1856.1040795953,605.471587375276,507.088918766619,218.258369309301,103.565873442346,272.858704445442,89.41970952129,231.288808045134,5.99127075104237,4.75514414626955,4.0291136374135,6.14903253630277,5.850429969204,6.2400471146939,2.89896293366285,4.60388327262395,6.16233034510669,2.69755008761258,2.68180819265977,5.68067928261038
9,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,26244,324,9,-66874.8983536883,66250.2032926235,232500.406585247,,0.19110784882136,1.82518950539668,1.10869255182993,0.970046045769097,1.43053933119064,0.150444283948136,0.261765294568609,0.271310993336426,0.551442053129595,0.364453427043397,0.263164553784499,0.503481871620259,139.580787377933,134.743338967245,575.663888869787,5471.66306610828,1568.34643844659,441.865723755737,409.836085563771,181.453906662719,97.2544847494371,270.21089874324,90.0408340997458,199.150635657451,5.19333508640808,5.01991052986798,3.4818146488091,4.78948736264411,5.10333767003935,6.59433103769123,2.97290769138857,5.53160180319377,4.86666330425079,2.33346052938187,1.93921940900778,6.23100896121661
10,Naive,81,36,Combined_Lower0.5Upper2_Additive100000,29160,360,10,-72522.9868777237,54954.0262445526,209908.052489105,,0.173775782908674,2.01645002189473,1.080823718985,0.983866235542925,1.50448298350703,0.0945659143156043,0.264339319954807,0.32188421522323,0.522836119930404,0.320908772056654,0.257616935776164,0.479450373200527,100.835936707811,115.618560109504,457.080322744863,4566.53744663878,1237.39142293786,377.231638171992,351.894900996572,142.175168040619,83.3810060643947,242.88765078496,85.9609131155928,183.888204681369,4.93584122055245,5.09655185684889,3.32249309314905,5.08094391909974,5.61875377104043,6.88579611265087,2.80569010406466,5.08614751023564,5.26143102105877,2.45763404294821,1.85958482576341,6.34504382058602
