LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Value,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,167401.881528867,475835.786527302,,3.06367081403514,2.31813113659907,2.26126184160958,3.37508567482,6948.27623028057,4057.82389194474,4984.06129702957,2704.22461819917,1121.28624182334,1358.50297462613,1046.50241044094,2345.35512219672,43.4727187456598,23.3689179042861,34.006680967354,34.0236744286088
1,Vector,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,167401.881528867,475835.786527302,,3.06367081403514,2.31813113659907,2.26126184160958,3.37508567482,6948.27623028057,4057.82389194474,4984.06129702957,2704.22461819917,1121.28624182334,1358.50297462613,1046.50241044094,2345.35512219672,43.4727187456598,23.3689179042861,34.006680967354,34.0236744286088
1,Oracle Vector,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,167401.881528867,475835.786527302,,3.06367081403514,2.31813113659907,2.26126184160958,3.37508567482,6948.27623028057,4057.82389194474,4984.06129702957,2704.22461819917,1121.28624182334,1358.50297462613,1046.50241044094,2345.35512219672,43.4727187456598,23.3689179042861,34.006680967354,34.0236744286088
1,Oracle,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,167401.881528867,475835.786527302,,3.06367081403514,2.31813113659907,2.26126184160958,3.37508567482,6948.27623028057,4057.82389194474,4984.06129702957,2704.22461819917,1121.28624182334,1358.50297462613,1046.50241044094,2345.35512219672,43.4727187456598,23.3689179042861,34.006680967354,34.0236744286088
1,Dist L2,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,167401.881528867,475835.786527302,,3.06367081403514,2.31813113659907,2.26126184160958,3.37508567482,6948.27623028057,4057.82389194474,4984.06129702957,2704.22461819917,1121.28624182334,1358.50297462613,1046.50241044094,2345.35512219672,43.4727187456598,23.3689179042861,34.006680967354,34.0236744286088
1,Dist L-inf,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,167401.881528867,475835.786527302,,3.06367081403514,2.31813113659907,2.26126184160958,3.37508567482,6948.27623028057,4057.82389194474,4984.06129702957,2704.22461819917,1121.28624182334,1358.50297462613,1046.50241044094,2345.35512219672,43.4727187456598,23.3689179042861,34.006680967354,34.0236744286088
2,Value,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,154260.167547125,475835.786527302,,2.96199515227958,2.23699464311737,2.43278882815169,3.15037076963912,6697.79429267517,3931.82540333834,4265.60313185514,2433.5533612536,1010.90668835377,1079.79071746299,928.630315388908,2092.46822280805,38.3795561384893,19.7155275362985,30.4279351011205,31.1684426745982
2,Vector,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,154260.167547125,475835.786527302,,2.96199515227958,2.23699464311737,2.43278882815169,3.15037076963912,6697.79429267517,3931.82540333834,4265.60313185514,2433.5533612536,1010.90668835377,1079.79071746299,928.630315388908,2092.46822280805,38.3795561384893,19.7155275362985,30.4279351011205,31.1684426745982
2,Oracle Vector,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,154260.167547125,475835.786527302,,2.96199515227958,2.23699464311737,2.43278882815169,3.15037076963912,6697.79429267517,3931.82540333834,4265.60313185514,2433.5533612536,1010.90668835377,1079.79071746299,928.630315388908,2092.46822280805,38.3795561384893,19.7155275362985,30.4279351011205,31.1684426745982
2,Oracle,81,16,Combined_Lower0.5Upper2_Additive100000,0,0,0,-6041.05336817447,154260.167547125,475835.786527302,,2.96199515227958,2.23699464311737,2.43278882815169,3.15037076963912,6697.79429267517,3931.82540333834,4265.60313185514,2433.5533612536,1010.90668835377,1079.79071746299,928.630315388908,2092.46822280805,38.3795561384893,19.7155275362985,30.4279351011205,31.1684426745982
