LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,1296,16,1,-16299.0592355663,167401.881528867,434803.763057735,,3.06367081403514,2.31813113659907,2.26126184160958,3.37508567482,6948.27623028057,4057.82389194474,4984.06129702957,2704.22461819917,1121.28624182334,1358.50297462613,1046.50241044094,2345.35512219672,43.4727187456598,23.3689179042861,34.006680967354,34.0236744286088
2,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,2592,32,2,-22869.9162264377,154260.167547125,408520.335094249,,2.96199515227958,2.23699464311737,2.43278882815169,3.15037076963912,6697.79429267517,3931.82540333834,4265.60313185514,2433.5533612536,1010.90668835377,1079.79071746299,928.630315388908,2092.46822280805,38.3795561384893,19.7155275362985,30.4279351011205,31.1684426745982
3,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,3888,48,3,-31212.6648329048,137574.67033419,375149.340668381,,2.13988276099474,2.04162821910559,2.49087467992208,3.2477400535503,6646.12990186486,3782.71984688216,3870.05711601594,2080.44729525996,947.723560064519,900.824203140059,774.79831731095,1773.86768275039,26.2818466511408,17.728759419795,23.2486507025774,23.3262859318807
4,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,5184,64,4,-38947.9302877664,122104.139424467,344208.278848934,,2.06887428448703,1.98874454837653,1.98472111675224,2.61312000659852,6575.28636999631,3573.75471703816,3485.39468533759,1856.21112163825,701.469089234963,719.934605480618,720.249796521764,1545.19175900799,22.0220663791332,17.149701197904,17.6552417578893,19.6410035319878
5,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,6480,80,5,-44161.4437042933,111677.112591413,323354.225182827,,1.50673513616797,1.83007942751942,1.83954806975451,2.45576822482097,6590.78142500404,3418.05671674643,2988.56177650874,1534.04347499731,580.845390980152,661.675022344672,621.898911732095,1367.69539475245,21.5611311865056,13.5066502614577,16.5631784259388,16.934147978491
6,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,7776,96,6,-51061.9363753588,97876.1272492823,295752.254498565,,1.4862352210002,1.64819899497569,1.78840991624206,2.47804665495304,6116.57201973052,3206.99792747007,2593.56658977706,1411.1891759802,534.581864465535,472.039376450339,571.367144809458,1259.49422095012,16.7321380313939,12.2891729687302,16.6056052398598,12.4348685895094
7,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,9072,112,7,-56535.6282779981,86928.7434440038,273857.486888008,,1.48798915696388,1.73893508917526,1.92530424808067,2.62334078385108,5711.63035053641,2938.02991916429,2319.27331785958,1227.11774249501,424.917064514083,421.577488093052,518.01307078591,1194.85110519498,13.7258015629929,11.3678271363288,13.6984686885636,13.2852146344891
8,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,10368,128,8,-61234.6034737934,77530.7930524132,255061.586104826,,1.34501107258973,1.42013805457431,1.53479024505111,2.01182118002008,5329.29970263301,2762.28843668482,2020.66594482557,1063.91216417001,410.173114778718,307.953489551056,497.38642936522,1076.18818020786,13.3956784820059,10.0689071448837,12.3166283164936,12.1692993988249
9,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,11664,144,9,-66799.4454742083,66401.1090515834,232802.218103167,,1.23443998708188,1.31316792179562,1.30799551270865,2.07021771713283,4852.31893913108,2439.692367383,1492.90628687278,892.019600620195,405.823809675104,302.299283578533,464.756075325239,826.041022758479,12.4515858031823,8.63701583098043,10.7075398800074,10.1260266274681
10,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,12960,160,10,-72319.5461795969,55360.9076408062,210721.815281612,,1.04689627417803,1.2427010437906,1.37136731577031,2.08551018092523,4076.43603688017,1879.4118793394,1162.99472366135,730.275344511974,394.258964722325,251.628000168016,403.064204284515,750.101604184249,11.9807050583436,9.16795697618864,10.5534163964269,9.21008382148004
11,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,14256,176,11,-75995.0341712799,48009.9316574402,196019.86331488,,0.794733321020473,1.09977167237205,1.31823357072391,1.78922423005409,3582.47415161866,1558.64387387372,894.359401087486,630.518025939945,384.620628633383,234.695053601459,363.666551373141,620.135963239983,10.8923048684937,7.21327246133065,10.9914178766782,8.91962692086117
12,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,15552,192,12,-80676.1884935262,38647.6230129476,177295.246025895,,0.454988162200646,0.931495984909873,1.14371105616373,1.56859717988298,2923.83715072857,1215.65932247535,593.599794972022,564.135811571458,282.797375653769,200.004194146765,314.990377591426,542.472836910566,10.1376558601115,5.91156772453854,11.6884335260558,7.60137882224205
13,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,16848,208,13,-83478.1592056977,33043.6815886046,166087.363177209,,0.425384429712816,0.947089719408678,1.13025934378963,1.65811627635116,2304.88047414741,909.896746767927,477.40187110992,496.029445378255,253.115161769951,164.150118229242,303.834947283042,469.688302870708,10.8328078822147,6.2021067206216,11.6579104826068,8.16879038830034
14,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,18144,224,14,-86183.5330348715,27632.9339302569,155265.867860514,,0.480494423275931,1.09188925620735,1.11776002212876,1.54571071961538,1861.50555951174,788.438169378016,411.193824787854,482.597657398979,205.114049740597,154.684423316002,238.578001538879,392.890166401588,11.0933029673148,8.43912600733258,12.389697055845,8.35588275176563
15,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,19440,240,15,-88515.2555028478,22969.4889943045,145938.977988609,,0.517440209967324,1.18228554132912,1.27460050712289,1.93606570958594,1440.25594976821,644.636548391769,342.8643385382,401.716377026996,180.359352894064,125.796202322903,239.286154785858,333.468519817633,9.12234736464488,9.13674171759959,12.8865280785478,9.50160872494109
16,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,20736,256,16,-89879.8338241551,20240.3323516898,140480.66470338,,0.543537875035742,0.805880596498681,1.37442351569903,1.6128675758204,1152.20028426412,551.870503738355,326.553321340408,312.04902031563,171.359024763543,127.582669908395,205.712862589673,298.702929628199,11.4121279204301,9.79468604995595,16.3632554936738,9.5105997352011
17,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,22032,272,17,-90756.0229115192,18487.9541769616,136975.908353923,,0.55454165438446,0.848952918936005,1.47614230479847,1.56537700087942,851.053627433226,470.969492660683,314.090262327577,264.196091883436,163.375856990336,128.163424348518,193.731064400676,260.878953294192,11.8320489598523,9.81373752652123,18.3210069176161,9.47574778521359
18,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,23328,288,18,-91596.4984490366,16807.0031019268,133614.006203854,,0.609761498047977,0.664273101225282,1.2866522628875,1.18696763124387,575.183766255876,383.032316891017,277.53284534471,197.265150031794,165.158918171284,122.845526047397,194.588276138499,240.995676737663,13.595811210595,11.1242550265454,20.6023861552464,8.69334917575863
19,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,24624,304,19,-92651.4971069978,14697.0057860043,129394.011572009,,0.747935996237728,0.70103387515688,1.41774829556469,1.09583213130806,418.216052321468,290.225295620954,287.628500508664,159.84807043631,176.279838043519,137.218058634275,163.556933772273,218.132073846708,15.5704055555572,14.013315032309,23.8844207786459,10.1145391686284
20,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,25920,320,20,-93825.0570266065,12349.885946787,124699.771893574,,0.902898277716481,0.809157262963542,1.67530198505083,1.27746370898556,230.0745764967,183.286071516579,232.218232837379,131.140890932763,176.633570641249,156.956545743251,168.237232529981,242.04073636814,18.1986497858286,15.3633205241655,25.958410690298,10.7976945546686
21,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,27216,336,21,-93809.4306575913,12381.1386848174,124762.277369635,,0.816742063578412,0.990467997881403,1.4875074588264,1.19967975860671,212.625748471039,179.991465390077,211.742863482943,130.695386006376,176.170546589414,168.57021911492,176.676358110168,229.248492911784,17.3567268065735,14.6952801114982,25.772767681634,11.0933561137167
22,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,28512,352,22,-93249.5922000054,13500.8155999892,127001.631199978,,0.793963996765205,1.39925340818034,1.74856097725952,1.28751247481059,201.628729893389,161.613055061829,206.720850077679,119.854410261784,252.149200907265,199.299491028635,185.561206022729,250.075872637022,20.1112537147365,16.1756136240902,26.998643591322,14.0354008035028
23,Naive,81,16,Combined_Lower0.5Upper2_Additive100000,29808,368,23,-92632.9546484701,14734.0907030598,129468.18140612,,0.916799457237725,1.45884191375127,1.72389253671781,1.30094651648491,186.346254833282,145.426057325172,232.999753021319,117.708212665522,277.927627764364,231.43214690463,217.637881230431,254.266335444061,20.8118839757369,17.7687028960444,29.7214271182075,19.656529834515
