LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64
1,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,5184,64,1,-13886.9116719643,172226.176656071,444452.353312143,,0.045670300589958,0.0648444091353871,0.086208097154958,0.0530392685364896,0.214070900182197,0.0464188545567313,0.0376332304355158,0.101985105851353,2.42484194388628,1.3109488242714,0.250952730099947,0.332927635646628,0.507740885356006,1.14624942860183,0.459435671420885,0.314749268674494,2.03242634053871,1.04180561859223,1.21075162775343,3.58728731455019,1.1070718970604,0.690942945962836,0.98913490002003,0.517406267056874,147.072582828603,1099.04638485426,227.46432414052,788.132197836027,12618.3248376469,539.712602193049,109.834282560039,2608.25080940937,472.172814008773,125.848388939832,71.2221323839514,159.873502523839,414.237360903004,186.146054067604,39.2599515054812,267.879504837429,18.6420307985746,10.9829051554559,22.7091996945915,555.307773686936,33.886246219498,14.745321246281,16.7156551160352,48.9811801401796,1.95465314792916,3.82738105225272,6.68969231596797,5.16665606668288,4.50169181602016,2.52599391334521,3.65277462893503,9.54947616526902,6.2014407442281,2.73234973364123,2.26073363281846,1.84411213482541,7.66170243323476,1.76452608034816,1.52568744477523,3.53280514657305
2,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,10368,128,2,-21769.3164485865,156461.367102827,412922.734205654,,0.0378409324879925,0.0594457506481853,0.0522534863705104,0.0425938834598403,0.170142980974484,0.0345346935502061,0.0352129121018687,0.0695762858241539,2.39550739425632,1.25344429830086,0.179764584862847,0.274908577432728,0.516214012918191,1.22067816399695,0.447976525640204,0.287052121129682,1.81699164067416,0.909069009168283,0.876208847793103,2.86762815156716,1.06646213139306,0.593189388283096,0.873393871310299,0.407653873213884,134.086009681817,955.32379871272,272.210616196941,657.694823172982,11931.5685243044,518.745468436385,99.6607411538831,2305.60902242629,392.451919253178,115.352326792938,56.5134525124972,184.051259277234,369.598503302621,171.189117705965,32.8972588929291,274.574938895031,15.9603733847692,7.42594506952283,20.0207516734726,471.076712770569,30.5932258319208,12.3145583269555,14.0564739337636,41.6738482577627,1.49065580314032,3.48611747575359,6.84372938063989,5.13204299711667,4.10346745801826,2.20236392450969,3.15660496250745,9.31887238095134,5.02750728668748,2.76389889484436,1.77542593569596,1.38067070729562,6.45598811963226,1.60394845232247,1.31077289113178,3.34537232239621
3,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,15552,192,3,-30394.1531978235,139211.693604353,378423.387208706,,0.035553165463815,0.0591245035401941,0.0554802955178679,0.0383910043791327,0.13886944379054,0.0305161082031542,0.0387109422208661,0.0756853882382492,2.35611039284916,1.3963545864121,0.1603524573234,0.253683142063926,0.390657951534477,1.23475991786383,0.458599142950275,0.196742189424988,1.43497025124706,0.992106231572122,1.0462287043192,2.59629133999582,0.888335135116641,0.560965119972287,0.955991302416006,0.373772511412329,117.333592513305,878.297870861189,238.390884692469,534.171348602124,11428.9465550667,465.27444908567,81.0920471010825,2083.64553118184,314.067070184173,110.275289066834,58.8817867392522,157.216923955437,332.683362680785,152.324548914904,28.2672535733313,275.065086900811,12.5666114932676,6.5863966208844,19.1858520465411,369.895688901168,20.1212909452329,8.67282879136104,10.1646692903692,28.5260583840301,1.46593241245706,3.11501396088609,5.38576126507477,4.91389835646541,2.99783675021017,1.70125116966281,3.03097564265631,9.04013824211698,4.38599020389002,2.56092410047199,1.51491705348869,1.2945232220393,4.34317224719159,1.28013999571524,1.24632884041433,2.27221382399366
4,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,20736,256,4,-37406.3212039967,125187.357592007,350374.715184013,,0.036319730037243,0.0389682060128822,0.0532576900720602,0.0325034095976143,0.116470651786647,0.0285386602651475,0.0421372725479154,0.0690589276904643,2.26629421336894,1.2768106283437,0.161949652477377,0.137727451965584,0.29015604824803,1.29746602430859,0.434063505204696,0.131610163972555,1.26571489146404,0.904849729317491,0.915971423219969,1.86408903117511,0.981352647467035,0.529693138790202,0.791600427966088,0.43178349265926,111.075408452235,836.751908517932,200.225843966271,478.497619585474,11322.4519263339,427.911642881347,77.4957418806477,1837.00385242496,271.031906203509,107.095216852073,50.4737695594452,154.741570393068,229.561790028588,122.912489257271,23.4554431355731,231.71134158701,12.6030924568382,6.18208781020399,18.2749358001866,357.746877701154,18.117217819313,8.6857840192849,8.76152625651445,25.223165624243,1.05825410981762,2.7010456448067,4.37394675091784,4.44838104084366,2.15274139485265,1.68337487041762,2.45584505377208,7.03017298707191,2.7616649514958,2.64086708631937,1.46937276921767,0.96273180163999,3.84997797971844,1.40001798308096,1.2506790139514,1.78176221715532
5,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,25920,320,5,-43584.0863006623,112831.827398675,325663.654797351,,0.0293120859758835,0.0389175422902741,0.0526308956640558,0.0335671771688751,0.121397803981084,0.0283666203493418,0.0407874001474743,0.0675260751426114,2.22573421140082,1.13390644110498,0.153579189594971,0.119458207345971,0.295754185845089,1.46339677809228,0.361708544906201,0.111668420399662,1.22559222048872,0.768439831788076,0.99734632883168,1.79189753959654,0.788365120770285,0.469211888694674,0.754621948888199,0.412905403808789,101.744283125601,689.534865840248,164.194262437679,422.625102443035,11172.5057534242,356.275922385304,69.2735490390897,1703.07603075834,256.785864848357,91.0980100398056,59.5539043964239,160.048664586747,163.220455407758,109.62754081335,22.7269485143774,202.085548490949,10.3133682337413,5.66424506644994,15.2259645795105,321.528443664368,12.913902320122,8.25596683875261,8.22190408558343,22.8949973675647,1.02772520494373,2.78646778860678,3.31854853432564,3.65776329080447,1.38458255613775,1.88912138111087,2.10449309238292,6.92849232340362,2.47521607520512,2.85232661507763,1.20437138961956,0.824290633751537,2.94780664145942,1.73901596401296,1.07114071441596,1.50130392153032
6,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,31104,384,6,-49781.1449337583,100437.710132483,300875.420264967,,0.0250928463731609,0.0437960311545209,0.0488793640503367,0.0320417384087462,0.117751202246087,0.025000547571219,0.0385282249337368,0.0534550150316922,1.93517817886675,1.1017822223782,0.156075476939583,0.134138461944595,0.271561005867057,1.47805276492065,0.431649695703193,0.13317158211032,0.652036179174916,0.608466719719892,0.962898302338147,1.64655470748151,0.637664668268954,0.335627797572173,0.804659178664965,0.452354667289658,84.6033896797647,612.196293308544,166.054740609188,386.051921342199,10624.5184507913,281.94322171115,68.0015707651291,1537.05790676409,216.424837119157,86.2245065655658,52.7853508523602,159.036647044987,109.456222105439,85.4358308133979,16.7278212637164,201.390589454136,7.48195350235389,4.43667028862868,14.1620751979785,326.445168367327,10.5572504094895,8.22472051610955,7.1369796337578,20.7044122118499,0.693545040505913,2.7940147786448,2.5717410126889,3.98947055256272,1.0301949546298,1.43424427908726,2.08815419642739,7.14062445962311,2.12422311383999,3.05129457149633,1.00978070798828,0.771127055109123,2.31021336333885,1.68715022805587,0.940728007468502,1.24295553572282
7,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,36288,448,7,-55083.8492633596,89832.3014732807,279664.602946561,,0.0256200180490533,0.0415504567890717,0.0498866178766983,0.0329358396281782,0.117418746269053,0.0240737059974489,0.0380525735614807,0.0505122998781411,1.83546790709738,1.18885373054365,0.170184437009161,0.131797395275241,0.224074052514343,1.53740897778843,0.38839991797911,0.129921607998526,0.666767060746998,0.6366060193313,0.813413053143175,1.4368407124361,0.6500056215429,0.335034703406263,0.625650166457968,0.36126677093922,74.5501277429526,539.73486458242,138.926658263357,343.231088058803,10157.3286239084,221.03170116914,59.2094409909979,1407.69115933338,225.471587879378,87.0364626452246,39.4257554531925,151.531855782607,78.1859385029711,77.7405218361944,11.4471300770741,189.309217390325,6.90606783285916,4.27446240461678,12.4903519786088,311.871545725193,8.89123182077166,8.51206428802592,6.06779817562535,14.881313919434,0.777842766612187,2.58371294024151,2.61996354174677,4.09113005306586,0.843825756511045,1.41467877095611,2.1468055222015,7.79016197836357,2.06804732526631,3.44222904368471,1.00194520205808,0.643964526163039,2.11712246515046,2.0029242311056,0.936898353013108,1.0935747560028
8,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,41472,512,8,-60505.761005099,78988.477989802,257976.955979604,,0.0275706865761965,0.0386325103373377,0.0270830372277583,0.0341297526169751,0.126150060218093,0.018618679252193,0.0365806233362882,0.0518928561273659,1.36931396434722,0.920522940064757,0.149806130009606,0.12285465052282,0.192867748657629,1.24821949963835,0.351441390808115,0.121381626776449,0.610114465807629,0.563138631655223,0.669820101370636,1.34997620640435,0.573037222969347,0.243617679967314,0.576628003575351,0.415319124091647,71.2015682230526,409.811895432182,111.67187465801,307.119506336015,9395.42585996644,177.331558110601,48.4129153210709,1240.34437513376,197.956470969533,72.3545921290899,36.3105280593641,138.440571750555,63.8706393093178,77.1769834498183,11.3038544122779,168.645152406094,7.65222565165059,3.88265476181345,8.95057284789261,275.056154505572,5.98673296383904,6.83472005071623,4.3827950213347,11.7701267358601,0.679169917017058,1.84113170504037,2.84660630768196,3.70935754530694,0.666115719651014,1.39094331104986,1.59685583738763,7.06907044090705,2.06251935617144,4.14957104687941,1.06865229473587,0.615265489560452,2.05118759196872,2.46150222424869,0.969688593334177,0.830743491791621
9,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,46656,576,9,-66658.0389892909,66683.9220214181,233367.844042836,,0.0223490150686852,0.0371953848415888,0.0279794799621713,0.0378144380833033,0.123131121064236,0.0184112669453746,0.035797548988253,0.0494788749180164,1.34621320928714,0.934396106740998,0.155984000337554,0.108943392222165,0.193001350165485,1.26712559392528,0.329265019460968,0.0855463651398765,0.577931977452321,0.550088820992976,0.681379313488811,1.38224350351719,0.602494323002878,0.258700060486711,0.523640884760226,0.453170479422765,69.8763020110618,308.647083624854,104.051347893336,277.985602918732,8411.89701730819,127.940972179768,41.15961115793,897.434208619781,191.766821714309,71.879671484667,38.3859117811658,120.794385319113,66.5446249067772,65.0604012653296,10.1495057740766,151.405110300184,7.29142430883944,3.96728824918368,9.79685387897345,198.436122172877,5.49380435411436,6.38940979625255,3.8678466256145,8.29210064464102,0.56163920409803,1.89398093954357,3.54670796718877,3.07319705891852,0.716519158195062,1.42959349588531,2.36042097088493,5.67796015084812,2.02821567726993,4.61424152432715,1.23750348904807,0.587391292963114,1.46712757854701,2.8487683521724,0.937373552035557,0.666577162135939
10,Naive,81,64,Combined_Lower0.5Upper2_Additive100000,51840,640,10,-73232.2993376988,53535.4013246025,207070.802649205,,0.0193863450241196,0.0233483761320871,0.0270275098892007,0.0313862885991826,0.0844876403631399,0.0189321038563611,0.0322786715047223,0.0445914439846214,1.37422038247703,1.06161181342557,0.128375469227987,0.0764834523029017,0.19409826898659,1.23967653802365,0.253966011749557,0.0933467285271088,0.594065771791939,0.481274430526904,0.669712018290258,1.23060056730236,0.62815312013374,0.274559484273856,0.471217680690118,0.44066838376636,57.9467705569431,235.099427755328,71.2138480315553,240.032486330145,6752.87422005354,114.510708514638,33.6468973801137,771.039743589359,172.261294480375,70.509903463969,28.2071934897752,103.605694279504,53.084125198706,59.8040377599233,10.9681160093982,128.117799819633,7.18956822563218,2.77824722526004,9.01727601670762,172.976400228758,4.16881088174432,6.02885331190798,4.10932654647106,5.98858265488387,0.613949265092302,1.75709954480683,4.35627072811299,3.11070448280983,0.584383692256625,1.22164621929589,2.557767235942,5.43162298654611,1.64258550120926,5.4909260579952,0.743134710499503,0.508257067098676,1.35304776811888,3.16300867282847,0.748465439074732,0.6882473698612
