LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
1,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,8100,100,1,-20741.6356203789,158516.728759242,417033.457518485,,0.000651182016321861,0.00059826754623877,0.000881235238165527,0.00233460390504939,0.077424842153654,0.0528583718133626,0.150106765025848,0.0115877753697587,0.0129840010817517,0.00214484159370486,0.000822053954579623,0.00403487205037888,0.0191402437775772,0.0114352592900092,0.495085003686056,2.11967877404143,0.0363669514641337,0.0151998564458668,7.7644198653898,0.0883627537551486,0.00221325258201101,0.136793965930077,0.122188628648337,0.568752968585613,0.884213978985226,0.245783309884041,0.0170404762516665,0.14813796601456,0.187939303118739,0.0239294123473241,0.321932841179471,2.82222674330166,1.39993821514418,1.3803956653695,2.65545165771185,16.0994186078134,9.89712781908184,12.3104491349778,0.225790619525153,0.0521905546177602,0.01364180911995,0.548704432276679,0.923109140357855,5.41334607121363,171.834102380758,26683.1284060439,279.845744021695,2405.33013021766,15.6098386031261,0.0371678439247099,0.00518861120874656,0.0740004670657907,0.291806691052394,3.65592544589502,10.1213188127705,3691.23080966471,408.365151034942,13.9732049537764,1.59995451386556,0.184827381082246,0.0592259308117481,0.0426298674186309,0.041492930652664,0.993672095923158,40.1943616796787,1141.29325494733,165.491807325141,45.5571530310769,0.700449536183352,0.664236759628434,0.168661718891915,0.0517495356788985,1.36581361984001,0.957470799728577,2.14647037972846,3.57133938975734,37.8504689782668,7.53114509606015,1.55982814489595,0.178971346991248,0.0765710318043764,0.191884127579825,0.0212163053090478,1.66776723790349,0.663261387369065,2.4505409182556,5.63770965458553,22.2804938343589,1.02763923663633,0.51114310199925,0.130209460497632,0.127847297372088,0.0859976281734346,0.0778124347365009,0.485846440451067,1.21545630507031,2.71232972635103,4.32864009072785,2.08323286581164,10.7232473798565
2,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,16200,200,2,-27522.5165103346,144954.966979331,389909.933958662,,4.28065143680853E-05,0.000477944416734029,0.000881235238165527,0.002118679044097,0.0992277565264838,0.0493702122057732,0.138065332152236,0.00739209253726977,0.0129913744704858,0.00198643377464221,0.000882993398722498,0.00479379867344296,0.0199899036696527,0.00986296344234282,0.470071948410454,1.74074532823626,0.0189561716807391,0.00424101041955996,8.98173278452637,0.0783106123166434,0.00216630397595058,0.136203412714679,0.0941150215919761,0.496144378519913,0.792640821404953,0.244057539846164,0.0175922946410359,0.14873197257867,0.142275744126778,0.016170132346818,0.347155832430709,2.68279095800773,1.66620643670116,1.149557126925,2.21163405308942,14.9675463735136,9.45973117568157,10.1876334490288,0.217204490279405,0.0608181722538017,0.0151210758111201,0.510947123923945,0.531494945564202,4.64919593337615,146.139948120961,25686.5424410598,278.642074870857,2072.79201720349,14.5106254831881,0.035302165808317,0.00649989103674517,0.0532238077010427,0.266666554300561,3.11428780086933,11.9175661577644,3447.35412320554,302.344098211993,14.3834448396284,1.77795077343992,0.0760555042133587,0.0595812849443034,0.0406760045674128,0.0438695654784631,0.906984951978809,37.6164968998665,961.485991485582,125.441087881947,41.8361476851359,0.606784882447708,0.57130442414898,0.1279404342377,0.0391193589710373,0.846619082167707,0.930703471014458,2.24756703273298,3.31746197896541,33.8629690885113,7.3811136967087,1.61325955367657,0.202629459238635,0.0673393669524698,0.159642187172321,0.0202729215534582,2.21734536352977,0.769769340490946,2.07785609091149,5.01135750339439,16.0503839247861,0.824612687464003,0.371268541196916,0.105968845782751,0.1061995964528,0.0714583516901347,0.0603322314324433,0.452743002939808,0.882355178066586,2.06813168871213,4.45311694399589,1.91280344898322,8.87959353047145
3,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,24300,300,3,-36513.6528827371,126972.694234526,353945.388469052,,6.46853192341565E-05,0.000403351652545758,0.000879127310846335,0.00221056766358256,0.0714582474167537,0.0323162134352415,0.136798231762204,0.00832690032044729,0.0134466508947039,0.00266802054843259,0.000854164542386811,0.00445808840809973,0.0109464360854567,0.00915835590108358,0.368150067946673,0.91697985698135,0.0145366563502356,0.00414307870894171,10.2423815226178,0.08243381641239,0.00230599909394177,0.134732639541096,0.0948712020110758,0.433359219989915,0.71461748087729,0.17453746079128,0.0167130107342191,0.148310096915718,0.17879114884017,0.0131995847274868,0.341580705553613,2.04119139147633,1.46264235688782,1.04299767982385,1.35515703666843,9.11364883524184,8.69641412002758,9.77227704865161,0.260680058920771,0.0127345360142292,0.0147211015317755,0.423136139499214,0.583471509296563,4.60120763419087,133.353529556462,24036.1470234148,270.810471600975,1681.83690949286,12.749233650588,0.0333538309970438,0.00576904768559891,0.0448710512142613,0.239223012981071,2.70346951730923,9.95706050773559,3224.55400858876,265.878741631152,14.1807481555118,1.72821646212265,0.0743404224387314,0.0539645357586653,0.0352071843755966,0.0470129312714338,0.866072037237059,33.1507588273389,854.631070531243,89.3480208623237,38.3415626889905,0.436211833899334,0.409473827553891,0.11557136079733,0.0390740063510474,0.729138676438377,0.933503723169371,1.50475488908458,2.88006331013248,24.1790060175992,6.14363594340228,1.18912653306753,0.164356818193653,0.0624498327772057,0.109774291003407,0.0197481329434078,1.76264336298701,0.713393176672552,1.07636337193092,4.10503572499745,16.4825972416503,0.524316594197608,0.210080299140647,0.0246871065991695,0.0996435566027288,0.0709341080810568,0.0448670693053147,0.423299513589038,0.654947068115464,2.3880047244043,3.95716133708949,1.97202110099305,5.3644492843052
4,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,32400,400,4,-42666.1838266274,114667.632346745,329335.26469349,,6.46853192341565E-05,0.000407916486547983,0.000824972016692697,0.00352002854463614,0.073309309475713,0.0312238549300919,0.0715829671073257,0.00640900717885047,0.0134310461482151,0.00198553539598524,0.000860727111987727,0.00250316851932889,0.00900128248113442,0.0107259381404073,0.440758713760999,0.706797458366706,0.0155076506714189,0.00335042681509479,10.2332699912629,0.0421651427143182,0.00225528934498761,0.092468039894944,0.0943804800633641,0.432576352126611,0.399179864713982,0.168867388181232,0.00888812436088874,0.128680370464984,0.171180101734499,0.00895130493359482,0.360479909708891,1.51731879312414,1.38752384267165,1.02923589082481,1.44472969010361,7.3556342848458,6.45234480793975,8.36555476670386,0.105595261525631,0.00860526390131644,0.0146751775175632,0.366258180679786,0.506308411554163,3.81162377530277,106.086281843644,23092.2701025213,226.4345885071,1502.06280858023,12.1382303576083,0.0282948372825149,0.00576894391932726,0.0445816703995027,0.189074838207141,1.67514949666758,7.13210953019935,2851.54606398182,191.355208282186,12.1001658452166,1.25852304956755,0.0743392819607514,0.0471542980923949,0.0343012901144591,0.0352689778079647,0.742902916431036,27.6978310147227,752.001313170169,72.705063644539,33.0970086986539,0.33599736226751,0.265587680057993,0.0743097628226789,0.0215135209267833,0.970622343549068,0.924587615355961,1.3335133095643,2.38459119008226,20.5360366218109,6.11620015760687,0.77196818867847,0.175921610417523,0.0507500454013336,0.116941890200873,0.0197083829581141,1.55876179864534,0.773425081211281,1.02497315304357,4.07821467908648,15.936577073407,0.504420485952388,0.213809813513387,0.0236516006769519,0.0788687252291034,0.0563943552503049,0.0493833525991016,0.389445746882158,0.466595803844939,2.11330870132214,4.02310885701121,1.570887615513,4.20695730916909
5,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,40500,500,5,-47575.876017796,104848.247964408,309696.495928816,,6.46853192341565E-05,0.000429085508663289,0.00079715011796882,0.00368513494660843,0.0739405000484056,0.0312238549300919,0.0585239477714032,0.00806854357077313,0.0133823396229714,0.0024210068038326,0.000805035622639519,0.00269540794361013,0.0090074041954219,0.0105482463298149,0.265037680332327,0.644021846942608,0.0160882224054205,0.00447743986139581,10.2253753383044,0.0421651427143182,0.00251308023573586,0.0905039959988975,0.0868961388729108,0.436356424193273,0.419353559339542,0.231541989685059,0.00524721360125692,0.123202734066756,0.176303455377928,0.00799997734843706,0.380888233691067,1.57321340419461,1.05791277741007,0.765458916622375,1.1715983551938,5.82940179607198,7.619276257736,7.04532521888725,0.106421069391202,0.00860526390131644,0.0150899351276475,0.345001337801316,0.538317684748447,4.01039257990751,102.407810515898,21470.0819922477,183.141147725371,1371.20553798252,11.7443389673739,0.0442244042995204,0.00476072001706367,0.0492218153857902,0.104793393636713,1.44440375298601,8.97483137696591,2561.73671564212,164.373511638135,12.3544335703729,1.27639743117233,0.0591923293458207,0.0463236355538314,0.0328613881829225,0.025525150523588,0.791917812263627,27.1860130167981,722.991480511341,62.4347123946367,22.3880512217993,0.254691118524107,0.275866303078142,0.0474585161166129,0.0218358760212053,1.24392561992706,1.06011334283327,0.780843827415607,2.52228363877196,12.9778198404807,6.25811596772159,0.92498984260474,0.123594057134779,0.0453877587809623,0.11612098930009,0.0130764219607266,1.34552768008046,0.68007830954082,1.03612328455497,3.91224013072839,18.9703532526827,0.506963009491234,0.223772775332452,0.0137692760462739,0.0513344827530107,0.053795342290675,0.0297825997778674,0.292470459515412,0.253807943915006,2.60787421503914,3.28907038012151,1.08002868696635,3.36784949500587
6,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,48600,600,6,-53369.350664424,93261.2986711519,286522.597342304,,6.46853192341565E-05,0.000276459769229138,0.000326499692508774,0.00349690197202435,0.0521038510915978,0.0248757779391441,0.0641527322564773,0.00805482328450598,0.0133241324449173,0.00143856405408068,0.000823791234334157,0.00271484442094186,0.0090592891811866,0.0103636965861921,0.269776821621004,0.60929444745193,0.0152249273722556,0.00585967645162032,10.129230980026,0.0420574079429766,0.00274468442232352,0.0904080272853919,0.0683247332143792,0.43929168062988,0.595828113099951,0.265747577718825,0.00672489611691159,0.125017925699124,0.145869849757662,0.00852539976212471,0.354322904186427,1.98334207509309,1.14059866329408,0.795901850444866,1.17176075788541,3.95191289713049,6.88730507631601,7.01637967070344,0.109467481535913,0.00843566983211541,0.0142376778765126,0.349673679756339,0.397738866375832,3.03866637108832,100.526424311678,19410.8939242874,167.201593111913,1207.73680455997,11.179038691794,0.0790872329810181,0.00496732127177821,0.0454625159933979,0.112932250606458,1.09448485433552,7.79871135860257,2326.7349374332,119.222050404143,11.2121852878831,1.28067188461149,0.0736485450194195,0.0382776971327636,0.0328613881829225,0.025525150523588,0.43431006943117,21.2845958106027,735.842492304098,52.4224810748413,16.8272066736266,0.304887894299118,0.0676809819316462,0.0420595447047306,0.0218358760212053,1.05316290336775,0.723159770827854,0.651833110859416,1.43183439682085,9.37007226936168,6.44172279290681,0.714177589011733,0.105491790830883,0.0583536312334977,0.0840610433577435,0.0155073654943534,1.31340779123578,0.552041688591344,1.20210050200945,3.83961572831932,14.7099216028047,0.285262342010603,0.192515806906783,0.0180329074261123,0.0505251751272794,0.0413364887213814,0.0297825997778674,0.123286455171231,0.275860194400511,2.52995628225717,3.37893716196432,0.815171200863587,2.44026888332571
7,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,56700,700,7,-57896.4974526626,84207.0050946748,268414.01018935,,0.000113860099863651,0.000243677534629965,0.000266768108573324,0.00349690197202435,0.0613196395839816,0.0266696911810145,0.064045272539328,0.00698403830924293,0.0120490930500428,0.00144117324652382,0.000833204053721331,0.00277364015796782,0.00714834575481527,0.0108166096762717,0.323221386675661,0.608110060205705,0.0240711567145587,0.00499010287141147,10.4390920013069,0.0422295651014083,0.00279668695634744,0.090988382524406,0.0678190052486575,0.46697191320577,0.457403294153074,0.137151533803399,0.00594801669370295,0.123691700767694,0.140527937092401,0.0080471280880282,0.324119961964063,1.41468975639284,1.07741438747278,0.489210913272802,1.01625190434542,3.96272105620346,6.18512293595099,6.98415051732251,0.100424579035,0.00861390395612983,0.0132381429834592,0.396701859408423,0.354889757131415,3.03225757994766,75.6486280192554,17953.7991527248,128.435327961152,1096.79998529614,10.4493193235486,0.132861097627668,0.00476310332592742,0.0404118234394851,0.116897266958841,0.664982731179422,6.39023341609026,2165.81901404402,104.317426262364,10.2298702620237,1.53538576562277,0.0756486277692425,0.0236146270789626,0.0355358635459103,0.0176644775273851,0.54733317146091,15.2798135237233,663.217700366239,44.176566372913,15.0083951196422,0.171247924571605,0.0540202596230006,0.0547621630562148,0.0247014160108025,0.975995923028142,0.640391684662717,0.499870990555118,1.11019603702893,7.09547465860553,7.73560146501396,0.737047551827609,0.101544534294021,0.0396613814616653,0.0801505572572829,0.0123177933376909,0.827704307575416,0.402317617653112,1.08898129606602,3.43243938289577,16.0502998566692,0.301593959856119,0.180950619763291,0.0184659208833949,0.0499832990843061,0.0404712771596117,0.00842876917714749,0.0729897137605499,0.187294375293476,2.39621881881463,3.5719903082515,0.63682882227077,2.48333296018396
8,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,64800,800,8,-62531.5456485342,74936.9087029315,249873.817405863,,0.000113860099863651,0.000203621464926085,0.000730869794624397,0.00433117459700894,0.0576816120880912,0.0263533070629729,0.0194259731267315,0.00762476085263786,0.0120345602378555,0.000863255789226851,0.00082660913341915,0.00245905738819817,0.00754368060275597,0.0105501916262799,0.301682319962712,0.567289200298053,0.0192739672386859,0.00377582881863081,8.60891249692508,0.0480544812838119,0.00311202182906939,0.0804445936295452,0.0702113291218443,0.469916152564395,0.217741796740388,0.134519863404235,0.00636046566276123,0.0975375077859356,0.105508660084831,0.00801518536988686,0.360142860428456,0.965146467740884,1.02570197655596,0.442845516996128,0.926309542563933,4.11305570073756,5.12150130088247,6.9068268626823,0.09386290736289,0.00898534455723745,0.0137670613581899,0.392985763090639,0.384443803272524,2.88969663321734,71.0827830919907,16051.8408645825,127.221516998215,1028.66088027198,10.1143960383979,0.125249626363257,0.00427247927389282,0.0404741382496613,0.106743775502412,0.439833059654257,6.71250951705244,1962.82686456017,79.781270475571,6.81075914785847,1.75042982668127,0.0812369066920455,0.0237073331168154,0.0281590101394371,0.0176644775273851,0.870232145640868,11.0174216953919,615.945090378252,41.9356488303876,11.262778106061,0.157276338034254,0.0743898482802731,0.0547785099336182,0.018217894468645,0.960593845727946,0.602533804019416,0.452910526845937,0.988049311291508,7.33562687312378,5.40555810315349,0.65370166599622,0.0926486641857037,0.0396613814616653,0.0750905140588788,0.0155498333501158,0.767695302966022,0.345915667048821,0.679139322858277,2.89142669615756,14.8864128159451,0.314629453949041,0.159930866881566,0.0184659208833949,0.0492280247981964,0.0382412021646568,0.00842876917714749,0.0730534700087171,0.150283202831218,2.23980095065029,3.72667448535953,0.643808462631581,2.0962364663129
9,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,72900,900,9,-67754.1661338885,64491.6677322229,228983.335464446,,0.000115821017207488,0.000165468239280041,0.000730869794624397,0.0036499832861353,0.0424150394612553,0.0271122180999732,0.0162655203506229,0.00760715366238086,0.00559464368693155,0.000949665916553973,0.000860768570741047,0.00169603561168615,0.00494445624581889,0.00989214133555492,0.324954201690656,0.521160629612616,0.0324751222453458,0.00600448457313069,8.73514326870458,0.0480933102027929,0.00171621930060711,0.0695700616347113,0.066425003579223,0.464692705832903,0.159774975687375,0.135877995944026,0.00636046566276123,0.0895614191481119,0.0702787817786842,0.00504215373805003,0.332219118561033,1.00703928668195,0.923192099034596,0.382199649879369,0.978270047331499,4.06588428035724,4.44346577452395,6.90240153488368,0.0960184970788913,0.00792872354495351,0.0127635945901274,0.335762056005376,0.322142578413795,2.55447493158169,63.6660165070438,14338.7654745449,118.00852888429,906.073739518043,9.38215254477455,0.217564196512193,0.00425959509992684,0.0354484879746465,0.105999284904206,0.534020812113847,8.4198587766072,1848.90087963975,62.6375985399303,5.56317254701668,1.87631174272521,0.185492294171539,0.0236862069304702,0.025864135777117,0.00789468744485744,1.51499795661227,10.0041000494617,479.223861362097,35.5814800378292,10.3436772278544,0.341486223788693,0.131722503295003,0.0538950214686243,0.0145629625902703,0.948187202581799,0.612019785830264,0.507352576043909,0.918093724861405,7.1671621258903,5.69317155489555,0.602564872125253,0.0897437895738772,0.019176826817674,0.0742619114250411,0.0171742577441491,0.745623583780394,0.345918776206351,0.78144111412443,2.43325689061369,16.909490422271,0.276573114684479,0.190102760922341,0.0155118592128236,0.0440283789287783,0.0379561072321053,0.00703783357225813,0.0737144678956429,0.126634880528475,2.42891244542767,3.43208488836843,0.563677824920607,1.59522519762164
10,Naive,81,100,Combined_Lower0.5Upper2_Additive100000,81000,1000,10,-72769.7571866011,54460.4856267978,208920.971253596,,6.20997764636005E-05,0.000162990700397528,0.000774763406896374,0.00439313079157479,0.0456374696115032,0.0222676608125049,0.0115034266842246,0.00332871655113314,0.00586497817786917,0.000949665916553973,0.000834462270321464,0.00189253604074161,0.00446476244826168,0.00709249421887997,0.228643373842937,0.371403945850124,0.0287145542984305,0.00614996162055734,9.40669805371722,0.0492547607751326,0.0014122690989104,0.0702133526929166,0.0570282759417565,0.42382266600576,0.140546151120273,0.145832775769513,0.00598803545971927,0.0824885803953135,0.0803373494631935,0.00482518280224641,0.364976529281685,1.01257942154771,0.775309522722147,0.324801762312113,1.03829120030902,3.19225719905321,4.18421354926941,6.75380294391193,0.0926234007664661,0.00792968129860089,0.0130242235291095,0.332167961726884,0.203231318687915,2.16408313972044,62.5658425978529,11450.510728425,90.4184774096716,799.817640904774,8.74630835078574,0.371935888240989,0.00426465295531753,0.0353677776600435,0.108058272061269,0.507220453457879,10.0368756638338,1600.23192034658,52.4707979558585,6.17203477361756,2.3838013665856,0.270332020839707,0.0252274000256105,0.0266735556407659,0.00830777760740046,1.02806845492124,7.60592395284477,390.405951082418,32.7831699685211,11.6138840299582,0.317703091036159,0.135727828707658,0.0430794181821301,0.0074456137374337,0.879321568890438,0.675198297130458,0.465280570208432,0.745431258881624,6.06904460167886,4.54581188109532,0.573577197401488,0.0919327062366058,0.023771127562548,0.0425456427124878,0.0172564941166867,0.781854439838725,0.347653966293097,0.686431026803374,2.45001303777013,16.0593544638552,0.341518898208102,0.220371353320383,0.01549359192603,0.0418856869331554,0.0319444485141372,0.00449457960634233,0.0772076539708387,0.146526143146553,2.36178857834268,3.66942930860489,0.574495711600594,1.56492191581439
