LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Oracle,220,16,Combined_Lower0.3Upper3_,0,0,0,195.21,713.55,1952.1,,38.2,44.4,46.65,40.8,39.3,40.1,41.35,36.05,34.05,38.6,40.35,40.6,41.7,38.95,40.35,38.35
1,Oracle Vector,220,16,Combined_Lower0.3Upper3_,0,0,0,195.21,713.55,1952.1,,38.2,44.4,46.65,40.8,39.3,40.1,41.35,36.05,34.05,38.6,40.35,40.6,41.7,38.95,40.35,38.35
1,Vector,220,16,Combined_Lower0.3Upper3_,6600,32,0,195.21,713.55,1952.1,,38.2,44.4,46.65,40.8,39.3,40.1,41.35,36.05,34.05,38.6,40.35,40.6,41.7,38.95,40.35,38.35
1,Value,220,16,Combined_Lower0.3Upper3_,7084,109,1,214.065,713.55,2140.65,,38.2,44.4,46.65,40.8,39.3,40.1,41.35,36.05,34.05,38.6,40.35,40.6,41.7,38.95,40.35,38.35
1,Dist L-inf,220,16,Combined_Lower0.3Upper3_,7080,103,1,214.065,713.55,2140.65,,38.2,44.4,46.65,40.8,39.3,40.1,41.35,36.05,34.05,38.6,40.35,40.6,41.7,38.95,40.35,38.35
1,Dist L2,220,16,Combined_Lower0.3Upper3_,7082,106,1,214.065,713.55,2140.65,,38.2,44.4,46.65,40.8,39.3,40.1,41.35,36.05,34.05,38.6,40.35,40.6,41.7,38.95,40.35,38.35
2,Oracle,220,16,Combined_Lower0.3Upper3_,0,0,0,195.21,719.4,1952.1,,37.3,50.05,49.55,41.2,43.35,44.25,48.85,40.1,36,42.35,46.9,44.1,48.5,38.15,39.3,45.2
2,Value,220,16,Combined_Lower0.3Upper3_,7128,165,1,214.065,719.4,2140.65,,37.3,50.05,49.55,41.2,43.35,44.25,48.85,40.1,36,42.35,46.9,44.1,48.5,38.15,39.3,45.2
2,Dist L2,220,16,Combined_Lower0.3Upper3_,7128,165,1,214.065,719.4,2140.65,,37.3,50.05,49.55,41.2,43.35,44.25,48.85,40.1,36,42.35,46.9,44.1,48.5,38.15,39.3,45.2
2,Dist L-inf,220,16,Combined_Lower0.3Upper3_,7122,156,1,214.065,719.4,2140.65,,37.3,50.05,49.55,41.2,43.35,44.25,48.85,40.1,36,42.35,46.9,44.1,48.5,38.15,39.3,45.2
2,Vector,220,16,Combined_Lower0.3Upper3_,18040,85,1,215.82,719.4,2158.2,,37.3,50.05,49.55,41.2,43.35,44.25,48.85,40.1,36,42.35,46.9,44.1,48.5,38.15,39.3,45.2
