LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Oracle,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,1318.4,49874.4,,85.7,88.75,89.3,90.5,87.25,87,90.05,88.9,84.35,88.05,89.6,92.3,88.6,89.7,88.35,91.25
1,Value,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,1318.4,49874.4,,85.7,88.75,89.3,90.5,87.25,87,90.05,88.9,84.35,88.05,89.6,92.3,88.6,89.7,88.35,91.25
1,Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,1318.4,49874.4,,85.7,88.75,89.3,90.5,87.25,87,90.05,88.9,84.35,88.05,89.6,92.3,88.6,89.7,88.35,91.25
1,Oracle Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,1318.4,49874.4,,85.7,88.75,89.3,90.5,87.25,87,90.05,88.9,84.35,88.05,89.6,92.3,88.6,89.7,88.35,91.25
1,Dist L2,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,1318.4,49874.4,,85.7,88.75,89.3,90.5,87.25,87,90.05,88.9,84.35,88.05,89.6,92.3,88.6,89.7,88.35,91.25
1,Dist L-inf,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,1318.4,49874.4,,85.7,88.75,89.3,90.5,87.25,87,90.05,88.9,84.35,88.05,89.6,92.3,88.6,89.7,88.35,91.25
2,Oracle,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,2199.95,49874.4,,138.15,131.9,141.15,150.7,124,141.5,138.5,138.75,139.4,134.3,138.65,145,135.3,136.8,136.35,135.7
2,Oracle Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,2199.95,49874.4,,138.15,131.9,141.15,150.7,124,141.5,138.5,138.75,139.4,134.3,138.65,145,135.3,136.8,136.35,135.7
2,Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,2199.95,49874.4,,138.15,131.9,141.15,150.7,124,141.5,138.5,138.75,139.4,134.3,138.65,145,135.3,136.8,136.35,135.7
2,Value,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,2199.95,49874.4,,138.15,131.9,141.15,150.7,124,141.5,138.5,138.75,139.4,134.3,138.65,145,135.3,136.8,136.35,135.7
2,Dist L2,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,2199.95,49874.4,,138.15,131.9,141.15,150.7,124,141.5,138.5,138.75,139.4,134.3,138.65,145,135.3,136.8,136.35,135.7
2,Dist L-inf,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,2199.95,49874.4,,138.15,131.9,141.15,150.7,124,141.5,138.5,138.75,139.4,134.3,138.65,145,135.3,136.8,136.35,135.7
3,Oracle,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,2777.45,49874.4,,175.2,184.6,191.4,206.1,172.25,198.55,200.05,180.55,179.75,186.95,188.25,223.2,186.65,192,186.45,182.85
3,Oracle Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,2777.45,49874.4,,175.2,184.6,191.4,206.1,172.25,198.55,200.05,180.55,179.75,186.95,188.25,223.2,186.65,192,186.45,182.85
3,Value,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,2777.45,54354.9,,175.2,184.6,191.4,206.1,172.25,198.55,200.05,180.55,179.75,186.95,188.25,223.2,186.65,192,186.45,182.85
3,Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,39040,32,1,-47411.275,2777.45,54354.9,,175.2,184.6,191.4,206.1,172.25,198.55,200.05,180.55,179.75,186.95,188.25,223.2,186.65,192,186.45,182.85
3,Dist L-inf,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,2777.45,54354.9,,175.2,184.6,191.4,206.1,172.25,198.55,200.05,180.55,179.75,186.95,188.25,223.2,186.65,192,186.45,182.85
3,Dist L2,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,2777.45,54354.9,,175.2,184.6,191.4,206.1,172.25,198.55,200.05,180.55,179.75,186.95,188.25,223.2,186.65,192,186.45,182.85
4,Oracle,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,3643.25,49874.4,,228.15,250.25,240.45,253.3,231.35,261.95,261.3,235.2,222.95,227.85,242.85,278.4,231.85,232.6,238.85,239.85
4,Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,39040,32,1,-47411.275,3643.25,54354.9,,228.15,250.25,240.45,253.3,231.35,261.95,261.3,235.2,222.95,227.85,242.85,278.4,231.85,232.6,238.85,239.85
4,Value,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,3643.25,54354.9,,228.15,250.25,240.45,253.3,231.35,261.95,261.3,235.2,222.95,227.85,242.85,278.4,231.85,232.6,238.85,239.85
4,Dist L2,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,3643.25,54354.9,,228.15,250.25,240.45,253.3,231.35,261.95,261.3,235.2,222.95,227.85,242.85,278.4,231.85,232.6,238.85,239.85
4,Dist L-inf,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,3643.25,54354.9,,228.15,250.25,240.45,253.3,231.35,261.95,261.3,235.2,222.95,227.85,242.85,278.4,231.85,232.6,238.85,239.85
4,Oracle Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,34160,29,0,-48531.4,3643.25,49874.4,,228.15,250.25,240.45,253.3,231.35,261.95,261.3,235.2,222.95,227.85,242.85,278.4,231.85,232.6,238.85,239.85
5,Oracle,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,4398,49874.4,,285.9,317.4,287.05,298.3,256.3,308.4,304.55,274.65,272.15,295.35,300.75,299.4,293.2,300.55,285.5,293.85
5,Value,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,4398,54354.9,,285.9,317.4,287.05,298.3,256.3,308.4,304.55,274.65,272.15,295.35,300.75,299.4,293.2,300.55,285.5,293.85
5,Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,39040,32,1,-47411.275,4398,54354.9,,285.9,317.4,287.05,298.3,256.3,308.4,304.55,274.65,272.15,295.35,300.75,299.4,293.2,300.55,285.5,293.85
5,Oracle Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,41480,36,0,-48531.4,4398,49874.4,,285.9,317.4,287.05,298.3,256.3,308.4,304.55,274.65,272.15,295.35,300.75,299.4,293.2,300.55,285.5,293.85
5,Dist L2,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,4398,54354.9,,285.9,317.4,287.05,298.3,256.3,308.4,304.55,274.65,272.15,295.35,300.75,299.4,293.2,300.55,285.5,293.85
5,Dist L-inf,1220,16,Combined_Lower0.5Upper2_Additive48800,39056,64,1,-47411.275,4398,54354.9,,285.9,317.4,287.05,298.3,256.3,308.4,304.55,274.65,272.15,295.35,300.75,299.4,293.2,300.55,285.5,293.85
6,Oracle,1220,16,Combined_Lower0.5Upper2_Additive48800,0,0,0,-48531.4,5221.1,49874.4,,335.3,365.05,354.85,378.15,327.15,351.9,343.85,314.45,325.35,346.25,354.25,361.05,361.4,345.9,326.95,333.15
6,Oracle Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,41480,36,0,-48531.4,5221.1,49874.4,,335.3,365.05,354.85,378.15,327.15,351.9,343.85,314.45,325.35,346.25,354.25,361.05,361.4,345.9,326.95,333.15
6,Value,1220,16,Combined_Lower0.5Upper2_Additive48800,78112,128,2,-46189.45,5221.1,59242.2,,335.3,365.05,354.85,378.15,327.15,351.9,343.85,314.45,325.35,346.25,354.25,361.05,361.4,345.9,326.95,333.15
6,Vector,1220,16,Combined_Lower0.5Upper2_Additive48800,78080,64,2,-46189.45,5221.1,59242.2,,335.3,365.05,354.85,378.15,327.15,351.9,343.85,314.45,325.35,346.25,354.25,361.05,361.4,345.9,326.95,333.15
6,Dist L2,1220,16,Combined_Lower0.5Upper2_Additive48800,78112,128,2,-46189.45,5221.1,59242.2,,335.3,365.05,354.85,378.15,327.15,351.9,343.85,314.45,325.35,346.25,354.25,361.05,361.4,345.9,326.95,333.15
