LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Value,22801,16,Combined_Lower0.5Upper2_Additive50,20,29,0,-50,1.48344370860927,50,,1.48344370860927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,22801,16,Combined_Lower0.5Upper2_Additive50,182408,11,0,-50,1.48344370860927,50,,1.48344370860927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,22801,16,Combined_Lower0.5Upper2_Additive50,136806,8,0,-50,1.48344370860927,50,,1.48344370860927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,22801,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,1.48344370860927,50,,1.48344370860927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,22801,16,Combined_Lower0.5Upper2_Additive50,729648,79,1,-49.2582781456954,1.48344370860927,52.9668874172185,,1.48344370860927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L-inf,22801,16,Combined_Lower0.5Upper2_Additive50,8,11,0,-50,1.48344370860927,50,,1.48344370860927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,22801,16,Combined_Lower0.5Upper2_Additive50,729668,108,1,-48.2615894039735,3.47682119205298,56.953642384106,,3.47682119205298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,22801,16,Combined_Lower0.5Upper2_Additive50,364816,22,0,-50,3.47682119205298,50,,3.47682119205298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle Vector,22801,16,Combined_Lower0.5Upper2_Additive50,319214,19,0,-50,3.47682119205298,50,,3.47682119205298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,22801,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,3.47682119205298,50,,3.47682119205298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,22801,16,Combined_Lower0.5Upper2_Additive50,1459296,158,2,-48.2615894039735,3.47682119205298,56.953642384106,,3.47682119205298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L-inf,22801,16,Combined_Lower0.5Upper2_Additive50,16,22,0,-50,3.47682119205298,50,,3.47682119205298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,22801,16,Combined_Lower0.5Upper2_Additive50,729686,134,1,-48.2615894039735,5.90728476821192,56.953642384106,,5.90728476821192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vector,22801,16,Combined_Lower0.5Upper2_Additive50,547224,33,0,-50,5.90728476821192,50,,5.90728476821192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle Vector,22801,16,Combined_Lower0.5Upper2_Additive50,501622,30,0,-50,5.90728476821192,50,,5.90728476821192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle,22801,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,5.90728476821192,50,,5.90728476821192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L2,22801,16,Combined_Lower0.5Upper2_Additive50,2188944,237,3,-47.046357615894,5.90728476821192,61.8145695364238,,5.90728476821192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L-inf,22801,16,Combined_Lower0.5Upper2_Additive50,24,33,0,-50,5.90728476821192,50,,5.90728476821192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,22801,16,Combined_Lower0.5Upper2_Additive50,1459334,213,2,-45.635761589404,8.72847682119205,67.4569536423841,,8.72847682119205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vector,22801,16,Combined_Lower0.5Upper2_Additive50,775234,47,0,-50,8.72847682119205,50,,8.72847682119205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle Vector,22801,16,Combined_Lower0.5Upper2_Additive50,684030,41,0,-50,8.72847682119205,50,,8.72847682119205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle,22801,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,8.72847682119205,50,,8.72847682119205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dist L2,22801,16,Combined_Lower0.5Upper2_Additive50,2918592,316,4,-45.635761589404,8.72847682119205,67.4569536423841,,8.72847682119205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dist L-inf,22801,16,Combined_Lower0.5Upper2_Additive50,32,44,0,-50,8.72847682119205,50,,8.72847682119205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Value,22801,16,Combined_Lower0.5Upper2_Additive50,1459352,239,2,-45.635761589404,12.1655629139073,67.4569536423841,,12.1655629139073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Vector,22801,16,Combined_Lower0.5Upper2_Additive50,1048846,64,0,-50,12.1655629139073,50,,12.1655629139073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Oracle Vector,22801,16,Combined_Lower0.5Upper2_Additive50,912040,55,0,-50,12.1655629139073,50,,12.1655629139073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Oracle,22801,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,12.1655629139073,50,,12.1655629139073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dist L2,22801,16,Combined_Lower0.5Upper2_Additive50,3648240,395,5,-43.9172185430464,12.1655629139073,74.3311258278146,,12.1655629139073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dist L-inf,22801,16,Combined_Lower0.5Upper2_Additive50,44,61,0,-50,12.1655629139073,50,,12.1655629139073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Value,22801,16,Combined_Lower0.5Upper2_Additive50,2189000,318,3,-41.8145695364238,16.3708609271523,82.7417218543046,,16.3708609271523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Vector,22801,16,Combined_Lower0.5Upper2_Additive50,1276856,78,0,-50,16.3708609271523,50,,16.3708609271523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Oracle Vector,22801,16,Combined_Lower0.5Upper2_Additive50,1140050,69,0,-50,16.3708609271523,50,,16.3708609271523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Oracle,22801,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,16.3708609271523,50,,16.3708609271523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dist L2,22801,16,Combined_Lower0.5Upper2_Additive50,4377888,474,6,-41.8145695364238,16.3708609271523,82.7417218543046,,16.3708609271523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dist L-inf,22801,16,Combined_Lower0.5Upper2_Additive50,54,75,0,-50,16.3708609271523,50,,16.3708609271523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
