LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Value,5041,16,Combined_Lower0.5Upper2_Additive50,22,32,0,-50,1.53521126760563,50,,1.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,40328,11,0,-50,1.53521126760563,50,,1.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,30246,8,0,-50,1.53521126760563,50,,1.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,1.53521126760563,50,,1.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,161328,79,1,-49.2323943661972,1.53521126760563,53.0704225352113,,1.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,8,11,0,-50,1.53521126760563,50,,1.53521126760563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,5041,16,Combined_Lower0.5Upper2_Additive50,161350,111,1,-48.1901408450704,3.61971830985916,57.2394366197183,,3.61971830985916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,90738,25,0,-50,3.61971830985916,50,,3.61971830985916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,70574,19,0,-50,3.61971830985916,50,,3.61971830985916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,3.61971830985916,50,,3.61971830985916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,322656,158,2,-48.1901408450704,3.61971830985916,57.2394366197183,,3.61971830985916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,14,19,0,-50,3.61971830985916,50,,3.61971830985916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,5041,16,Combined_Lower0.5Upper2_Additive50,161370,140,1,-48.1901408450704,6.07042253521127,57.2394366197183,,6.07042253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,131066,36,0,-50,6.07042253521127,50,,6.07042253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,110902,30,0,-50,6.07042253521127,50,,6.07042253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,6.07042253521127,50,,6.07042253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,483984,237,3,-46.9647887323944,6.07042253521127,62.1408450704225,,6.07042253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,20,27,0,-50,6.07042253521127,50,,6.07042253521127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,5041,16,Combined_Lower0.5Upper2_Additive50,322698,219,2,-45.4225352112676,9.15492957746479,68.3098591549296,,9.15492957746479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,181476,50,0,-50,9.15492957746479,50,,9.15492957746479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,161312,44,0,-50,9.15492957746479,50,,9.15492957746479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,9.15492957746479,50,,9.15492957746479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,645312,316,4,-45.4225352112676,9.15492957746479,68.3098591549296,,9.15492957746479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,26,35,0,-50,9.15492957746479,50,,9.15492957746479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Value,5041,16,Combined_Lower0.5Upper2_Additive50,322718,248,2,-45.4225352112676,12.8450704225352,68.3098591549296,,12.8450704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,231886,64,0,-50,12.8450704225352,50,,12.8450704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,201640,55,0,-50,12.8450704225352,50,,12.8450704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,12.8450704225352,50,,12.8450704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,806640,395,5,-43.5774647887324,12.8450704225352,75.6901408450704,,12.8450704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,34,46,0,-50,12.8450704225352,50,,12.8450704225352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Value,5041,16,Combined_Lower0.5Upper2_Additive50,484046,327,3,-41.7816901408451,16.4366197183099,82.8732394366197,,16.4366197183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,282296,78,0,-50,16.4366197183099,50,,16.4366197183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,241968,66,0,-50,16.4366197183099,50,,16.4366197183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,16.4366197183099,50,,16.4366197183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,967968,474,6,-41.7816901408451,16.4366197183099,82.8732394366197,,16.4366197183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,46,63,0,-50,16.4366197183099,50,,16.4366197183099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Value,5041,16,Combined_Lower0.5Upper2_Additive50,484064,353,3,-41.7816901408451,20.8732394366197,82.8732394366197,,20.8732394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,352870,98,0,-50,20.8732394366197,50,,20.8732394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,292378,80,0,-50,20.8732394366197,50,,20.8732394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,20.8732394366197,50,,20.8732394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,1129296,553,7,-39.5633802816901,20.8732394366197,91.7464788732394,,20.8732394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,54,74,0,-50,20.8732394366197,50,,20.8732394366197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Value,5041,16,Combined_Lower0.5Upper2_Additive50,645392,432,4,-36.9295774647887,26.1408450704225,102.281690140845,,26.1408450704225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,423444,118,0,-50,26.1408450704225,50,,26.1408450704225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,352870,97,0,-50,26.1408450704225,50,,26.1408450704225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,26.1408450704225,50,,26.1408450704225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,1290624,632,8,-36.9295774647887,26.1408450704225,102.281690140845,,26.1408450704225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,66,91,0,-50,26.1408450704225,50,,26.1408450704225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Value,5041,16,Combined_Lower0.5Upper2_Additive50,645408,455,4,-36.9295774647887,31.9859154929577,102.281690140845,,31.9859154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Vector,5041,16,Combined_Lower0.5Upper2_Additive50,534346,150,0,-50,31.9859154929577,50,,31.9859154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Oracle Vector,5041,16,Combined_Lower0.5Upper2_Additive50,423444,117,0,-50,31.9859154929577,50,,31.9859154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Oracle,5041,16,Combined_Lower0.5Upper2_Additive50,0,0,0,-50,31.9859154929577,50,,31.9859154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Dist L2,5041,16,Combined_Lower0.5Upper2_Additive50,1451952,711,9,-34.0070422535211,31.9859154929577,113.971830985915,,31.9859154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Dist L-inf,5041,16,Combined_Lower0.5Upper2_Additive50,74,102,0,-50,31.9859154929577,50,,31.9859154929577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Value,5041,16,Combined_Lower0.5Upper2_Additive50,806736,534,5,-30.9647887323944,38.0704225352113,126.140845070423,,38.0704225352113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
