LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Oracle,9020,16,Combined_Lower0.3Upper3_,0,0,0,172.62,615.85,1726.2,,87.95,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
1,Oracle Vector,9020,16,Combined_Lower0.3Upper3_,72160,11,0,172.62,615.85,1726.2,,87.95,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
1,Vector,9020,16,Combined_Lower0.3Upper3_,252560,40,0,172.62,615.85,1726.2,,87.95,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
1,Dist L-inf,9020,16,Combined_Lower0.3Upper3_,34,49,0,172.62,615.85,1726.2,,87.95,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
1,Value,9020,16,Combined_Lower0.3Upper3_,288674,105,1,184.755,615.85,1847.55,,87.95,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
1,Dist L2,9020,16,Combined_Lower0.3Upper3_,288656,79,1,184.755,615.85,1847.55,,87.95,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
2,Oracle,9020,16,Combined_Lower0.3Upper3_,0,0,0,172.62,669.15,1726.2,,138.3,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
2,Oracle Vector,9020,16,Combined_Lower0.3Upper3_,144320,22,0,172.62,669.15,1726.2,,138.3,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
2,Dist L-inf,9020,16,Combined_Lower0.3Upper3_,74,107,0,172.62,669.15,1726.2,,138.3,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
2,Value,9020,16,Combined_Lower0.3Upper3_,577346,207,2,200.745,669.15,2007.45,,138.3,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
2,Vector,9020,16,Combined_Lower0.3Upper3_,541200,86,0,172.62,669.15,1726.2,,138.3,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
2,Dist L2,9020,16,Combined_Lower0.3Upper3_,577312,158,2,200.745,669.15,2007.45,,138.3,36.4,36.9,35.65,36.4,36.65,35.6,36.2,36.3,36.2,36.25,36.1,36.6,36.65,36.1,36.75
