LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12
1,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03982739304571,4.05495195922933,,3.99498926712634,3.9673907402012,3.98616304743571,3.90014426079268,4.00031166869093,4.03715681202653,4.05667367675334,3.95732431381098,3.90996180910377,3.85805334949337,3.89673704221231,4.08772069932729
1,Value,102,12,Additive0.015,0,0,0,4.02495195922933,4.03982739304571,4.05495195922933,,3.99498926712634,3.9673907402012,3.98616304743571,3.90014426079268,4.00031166869093,4.03715681202653,4.05667367675334,3.95732431381098,3.90996180910377,3.85805334949337,3.89673704221231,4.08772069932729
1,Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03982739304571,4.05495195922933,,3.99498926712634,3.9673907402012,3.98616304743571,3.90014426079268,4.00031166869093,4.03715681202653,4.05667367675334,3.95732431381098,3.90996180910377,3.85805334949337,3.89673704221231,4.08772069932729
1,Oracle Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03982739304571,4.05495195922933,,3.99498926712634,3.9673907402012,3.98616304743571,3.90014426079268,4.00031166869093,4.03715681202653,4.05667367675334,3.95732431381098,3.90996180910377,3.85805334949337,3.89673704221231,4.08772069932729
1,Dist L1,102,12,Additive0.015,0,0,0,4.02495195922933,4.03982739304571,4.05495195922933,,3.99498926712634,3.9673907402012,3.98616304743571,3.90014426079268,4.00031166869093,4.03715681202653,4.05667367675334,3.95732431381098,3.90996180910377,3.85805334949337,3.89673704221231,4.08772069932729
2,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03895087145062,4.05495195922933,,3.99373822779489,3.96702069040811,3.98657024593738,3.90004616048707,4.00065790416922,4.03621992556437,4.05441799976493,3.95496383102277,3.90940552568245,3.85527999293432,3.89475155419094,4.08698466626394
2,Oracle Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03895087145062,4.05495195922933,,3.99373822779489,3.96702069040811,3.98657024593738,3.90004616048707,4.00065790416922,4.03621992556437,4.05441799976493,3.95496383102277,3.90940552568245,3.85527999293432,3.89475155419094,4.08698466626394
2,Value,102,12,Additive0.015,0,0,0,4.02495195922933,4.03895087145062,4.05495195922933,,3.99373822779489,3.96702069040811,3.98657024593738,3.90004616048707,4.00065790416922,4.03621992556437,4.05441799976493,3.95496383102277,3.90940552568245,3.85527999293432,3.89475155419094,4.08698466626394
2,Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03895087145062,4.05495195922933,,3.99373822779489,3.96702069040811,3.98657024593738,3.90004616048707,4.00065790416922,4.03621992556437,4.05441799976493,3.95496383102277,3.90940552568245,3.85527999293432,3.89475155419094,4.08698466626394
2,Dist L1,102,12,Additive0.015,0,0,0,4.02495195922933,4.03895087145062,4.05495195922933,,3.99373822779489,3.96702069040811,3.98657024593738,3.90004616048707,4.00065790416922,4.03621992556437,4.05441799976493,3.95496383102277,3.90940552568245,3.85527999293432,3.89475155419094,4.08698466626394
3,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03848031334345,4.05495195922933,,3.99238370582732,3.96893836941719,3.98673029707464,3.90109944776649,4.00066812641919,4.03547548312542,4.05308881472843,3.95330110645175,3.90823991027687,3.85399841434966,3.89341708268599,4.08607941023351
3,Oracle Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03848031334345,4.05495195922933,,3.99238370582732,3.96893836941719,3.98673029707464,3.90109944776649,4.00066812641919,4.03547548312542,4.05308881472843,3.95330110645175,3.90823991027687,3.85399841434966,3.89341708268599,4.08607941023351
3,Value,102,12,Additive0.015,0,0,0,4.02495195922933,4.03848031334345,4.05495195922933,,3.99238370582732,3.96893836941719,3.98673029707464,3.90109944776649,4.00066812641919,4.03547548312542,4.05308881472843,3.95330110645175,3.90823991027687,3.85399841434966,3.89341708268599,4.08607941023351
3,Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03848031334345,4.05495195922933,,3.99238370582732,3.96893836941719,3.98673029707464,3.90109944776649,4.00066812641919,4.03547548312542,4.05308881472843,3.95330110645175,3.90823991027687,3.85399841434966,3.89341708268599,4.08607941023351
3,Dist L1,102,12,Additive0.015,0,0,0,4.02495195922933,4.03848031334345,4.05495195922933,,3.99238370582732,3.96893836941719,3.98673029707464,3.90109944776649,4.00066812641919,4.03547548312542,4.05308881472843,3.95330110645175,3.90823991027687,3.85399841434966,3.89341708268599,4.08607941023351
4,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03820041642932,4.05495195922933,,3.99133597846023,3.96815761457954,3.98763256280786,3.90234649804511,4.00188270182114,4.03388181700614,4.05239705229808,3.95266840296267,3.90773872812943,3.85311970114667,3.89264565135754,4.0853127580532
4,Oracle Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03820041642932,4.05495195922933,,3.99133597846023,3.96815761457954,3.98763256280786,3.90234649804511,4.00188270182114,4.03388181700614,4.05239705229808,3.95266840296267,3.90773872812943,3.85311970114667,3.89264565135754,4.0853127580532
4,Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03820041642932,4.05495195922933,,3.99133597846023,3.96815761457954,3.98763256280786,3.90234649804511,4.00188270182114,4.03388181700614,4.05239705229808,3.95266840296267,3.90773872812943,3.85311970114667,3.89264565135754,4.0853127580532
4,Value,102,12,Additive0.015,0,0,0,4.02495195922933,4.03820041642932,4.05495195922933,,3.99133597846023,3.96815761457954,3.98763256280786,3.90234649804511,4.00188270182114,4.03388181700614,4.05239705229808,3.95266840296267,3.90773872812943,3.85311970114667,3.89264565135754,4.0853127580532
4,Dist L1,102,12,Additive0.015,0,0,0,4.02495195922933,4.03820041642932,4.05495195922933,,3.99133597846023,3.96815761457954,3.98763256280786,3.90234649804511,4.00188270182114,4.03388181700614,4.05239705229808,3.95266840296267,3.90773872812943,3.85311970114667,3.89264565135754,4.0853127580532
5,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03804062958947,4.05495195922933,,3.99011072334475,3.96804975816049,3.98835409601798,3.90270261943829,4.00290183043553,4.03359291218465,4.05147171662252,3.95209590720876,3.9081431723772,3.85471879482966,3.89152645387466,4.08436641229421
5,Oracle Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03804062958947,4.05495195922933,,3.99011072334475,3.96804975816049,3.98835409601798,3.90270261943829,4.00290183043553,4.03359291218465,4.05147171662252,3.95209590720876,3.9081431723772,3.85471879482966,3.89152645387466,4.08436641229421
5,Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03804062958947,4.05495195922933,,3.99011072334475,3.96804975816049,3.98835409601798,3.90270261943829,4.00290183043553,4.03359291218465,4.05147171662252,3.95209590720876,3.9081431723772,3.85471879482966,3.89152645387466,4.08436641229421
5,Value,102,12,Additive0.015,0,0,0,4.02495195922933,4.03804062958947,4.05495195922933,,3.99011072334475,3.96804975816049,3.98835409601798,3.90270261943829,4.00290183043553,4.03359291218465,4.05147171662252,3.95209590720876,3.9081431723772,3.85471879482966,3.89152645387466,4.08436641229421
5,Dist L1,102,12,Additive0.015,0,0,0,4.02495195922933,4.03804062958947,4.05495195922933,,3.99011072334475,3.96804975816049,3.98835409601798,3.90270261943829,4.00290183043553,4.03359291218465,4.05147171662252,3.95209590720876,3.9081431723772,3.85471879482966,3.89152645387466,4.08436641229421
6,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03770689415035,4.05495195922933,,3.98965439050105,3.96839654439552,3.98798137909055,3.90362288707355,4.00429145514071,4.03329260464383,4.05118519069381,3.94999502885508,3.90853734130521,3.85409278059047,3.89059795066266,4.08396372031526
6,Oracle Vector,102,12,Additive0.015,0,0,0,4.02495195922933,4.03770689415035,4.05495195922933,,3.98965439050105,3.96839654439552,3.98798137909055,3.90362288707355,4.00429145514071,4.03329260464383,4.05118519069381,3.94999502885508,3.90853734130521,3.85409278059047,3.89059795066266,4.08396372031526
6,Value,102,12,Additive0.015,4,5,0,4.02495195922933,4.03770689415035,4.05495195922933,,3.98965439050105,3.96839654439552,3.98798137909055,3.90362288707355,4.00429145514071,4.03329260464383,4.05118519069381,3.94999502885508,3.90853734130521,3.85409278059047,3.89059795066266,4.08396372031526
6,Vector,102,12,Additive0.015,408,5,0,4.02495195922933,4.03770689415035,4.05495195922933,,3.98965439050105,3.96839654439552,3.98798137909055,3.90362288707355,4.00429145514071,4.03329260464383,4.05118519069381,3.94999502885508,3.90853734130521,3.85409278059047,3.89059795066266,4.08396372031526
6,Dist L1,102,12,Additive0.015,4,5,0,4.02495195922933,4.03770689415035,4.05495195922933,,3.98965439050105,3.96839654439552,3.98798137909055,3.90362288707355,4.00429145514071,4.03329260464383,4.05118519069381,3.94999502885508,3.90853734130521,3.85409278059047,3.89059795066266,4.08396372031526
7,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03731271780083,4.05495195922933,,3.98927421141921,3.96817343269265,3.98727178138111,3.90396954972887,4.0038592225698,4.03358924582201,4.0509794769301,3.94948599303502,3.90812192311103,3.85364307757985,3.88882057728973,4.08377040208351
7,Oracle Vector,102,12,Additive0.015,408,5,0,4.02495195922933,4.03731271780083,4.05495195922933,,3.98927421141921,3.96817343269265,3.98727178138111,3.90396954972887,4.0038592225698,4.03358924582201,4.0509794769301,3.94948599303502,3.90812192311103,3.85364307757985,3.88882057728973,4.08377040208351
7,Vector,102,12,Additive0.015,816,10,0,4.02495195922933,4.03731271780083,4.05495195922933,,3.98927421141921,3.96817343269265,3.98727178138111,3.90396954972887,4.0038592225698,4.03358924582201,4.0509794769301,3.94948599303502,3.90812192311103,3.85364307757985,3.88882057728973,4.08377040208351
7,Value,102,12,Additive0.015,10,13,0,4.02495195922933,4.03731271780083,4.05495195922933,,3.98927421141921,3.96817343269265,3.98727178138111,3.90396954972887,4.0038592225698,4.03358924582201,4.0509794769301,3.94948599303502,3.90812192311103,3.85364307757985,3.88882057728973,4.08377040208351
7,Dist L1,102,12,Additive0.015,8,10,0,4.02495195922933,4.03731271780083,4.05495195922933,,3.98927421141921,3.96817343269265,3.98727178138111,3.90396954972887,4.0038592225698,4.03358924582201,4.0509794769301,3.94948599303502,3.90812192311103,3.85364307757985,3.88882057728973,4.08377040208351
8,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03674948718086,4.05495195922933,,3.98984258922847,3.96831487067642,3.98752425302243,3.90378287640152,4.00292234152645,4.03276470696428,4.05004938226684,3.94779045602515,3.90696905566271,3.8525893080002,3.88684476089753,4.08366724943304
8,Oracle Vector,102,12,Additive0.015,816,10,0,4.02495195922933,4.03674948718086,4.05495195922933,,3.98984258922847,3.96831487067642,3.98752425302243,3.90378287640152,4.00292234152645,4.03276470696428,4.05004938226684,3.94779045602515,3.90696905566271,3.8525893080002,3.88684476089753,4.08366724943304
8,Vector,102,12,Additive0.015,816,10,0,4.02495195922933,4.03674948718086,4.05495195922933,,3.98984258922847,3.96831487067642,3.98752425302243,3.90378287640152,4.00292234152645,4.03276470696428,4.05004938226684,3.94779045602515,3.90696905566271,3.8525893080002,3.88684476089753,4.08366724943304
8,Value,102,12,Additive0.015,16,20,0,4.02495195922933,4.03674948718086,4.05495195922933,,3.98984258922847,3.96831487067642,3.98752425302243,3.90378287640152,4.00292234152645,4.03276470696428,4.05004938226684,3.94779045602515,3.90696905566271,3.8525893080002,3.88684476089753,4.08366724943304
8,Dist L1,102,12,Additive0.015,8,10,0,4.02495195922933,4.03674948718086,4.05495195922933,,3.98984258922847,3.96831487067642,3.98752425302243,3.90378287640152,4.00292234152645,4.03276470696428,4.05004938226684,3.94779045602515,3.90696905566271,3.8525893080002,3.88684476089753,4.08366724943304
9,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03644613639429,4.05495195922933,,3.98979231060573,3.96765185612021,3.98668952173246,3.90374435699718,4.00433462928152,4.0310353947045,4.04808331086363,3.94690642032051,3.90708493329012,3.85179534969565,3.88462325902342,4.08475991906651
9,Oracle Vector,102,12,Additive0.015,816,10,0,4.02495195922933,4.03644613639429,4.05495195922933,,3.98979231060573,3.96765185612021,3.98668952173246,3.90374435699718,4.00433462928152,4.0310353947045,4.04808331086363,3.94690642032051,3.90708493329012,3.85179534969565,3.88462325902342,4.08475991906651
9,Vector,102,12,Additive0.015,1224,15,0,4.02495195922933,4.03644613639429,4.05495195922933,,3.98979231060573,3.96765185612021,3.98668952173246,3.90374435699718,4.00433462928152,4.0310353947045,4.04808331086363,3.94690642032051,3.90708493329012,3.85179534969565,3.88462325902342,4.08475991906651
9,Value,102,12,Additive0.015,20,25,0,4.02495195922933,4.03644613639429,4.05495195922933,,3.98979231060573,3.96765185612021,3.98668952173246,3.90374435699718,4.00433462928152,4.0310353947045,4.04808331086363,3.94690642032051,3.90708493329012,3.85179534969565,3.88462325902342,4.08475991906651
9,Dist L1,102,12,Additive0.015,12,15,0,4.02495195922933,4.03644613639429,4.05495195922933,,3.98979231060573,3.96765185612021,3.98668952173246,3.90374435699718,4.00433462928152,4.0310353947045,4.04808331086363,3.94690642032051,3.90708493329012,3.85179534969565,3.88462325902342,4.08475991906651
10,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03673153434756,4.05495195922933,,3.98895342803103,3.96847802744972,3.98648987766108,3.90440407854605,4.00508663042355,4.03049248891259,4.04917381645593,3.9453381921341,3.90809767265605,3.85129152995758,3.88462947151872,4.08482324465238
10,Oracle Vector,102,12,Additive0.015,816,10,0,4.02495195922933,4.03673153434756,4.05495195922933,,3.98895342803103,3.96847802744972,3.98648987766108,3.90440407854605,4.00508663042355,4.03049248891259,4.04917381645593,3.9453381921341,3.90809767265605,3.85129152995758,3.88462947151872,4.08482324465238
10,Value,102,12,Additive0.015,24,30,0,4.02495195922933,4.03673153434756,4.05495195922933,,3.98895342803103,3.96847802744972,3.98648987766108,3.90440407854605,4.00508663042355,4.03049248891259,4.04917381645593,3.9453381921341,3.90809767265605,3.85129152995758,3.88462947151872,4.08482324465238
10,Vector,102,12,Additive0.015,1224,15,0,4.02495195922933,4.03673153434756,4.05495195922933,,3.98895342803103,3.96847802744972,3.98648987766108,3.90440407854605,4.00508663042355,4.03049248891259,4.04917381645593,3.9453381921341,3.90809767265605,3.85129152995758,3.88462947151872,4.08482324465238
10,Dist L1,102,12,Additive0.015,12,15,0,4.02495195922933,4.03673153434756,4.05495195922933,,3.98895342803103,3.96847802744972,3.98648987766108,3.90440407854605,4.00508663042355,4.03049248891259,4.04917381645593,3.9453381921341,3.90809767265605,3.85129152995758,3.88462947151872,4.08482324465238
11,Oracle,102,12,Additive0.015,0,0,0,4.02495195922933,4.03621458771279,4.05495195922933,,3.98771743630322,3.96890961376981,3.98659414251716,3.90696756579191,4.0050408640903,4.02951699817632,4.04804710509228,3.9434399679542,3.9074646599314,3.84874467266406,3.88356888013385,4.08419155608975
