LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Oracle,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39761742327381,5.42504343892528,,5.34033453117933,5.33482361622141,5.29977023821861,5.32182543563665,5.38633675890519,5.40878630942833,5.27536010878604,5.25005155715828,5.21865087919801,5.40727640854612
1,Oracle Vector,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39761742327381,5.42504343892528,,5.34033453117933,5.33482361622141,5.29977023821861,5.32182543563665,5.38633675890519,5.40878630942833,5.27536010878604,5.25005155715828,5.21865087919801,5.40727640854612
1,Value,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39761742327381,5.42504343892528,,5.34033453117933,5.33482361622141,5.29977023821861,5.32182543563665,5.38633675890519,5.40878630942833,5.27536010878604,5.25005155715828,5.21865087919801,5.40727640854612
1,Vector,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39761742327381,5.42504343892528,,5.34033453117933,5.33482361622141,5.29977023821861,5.32182543563665,5.38633675890519,5.40878630942833,5.27536010878604,5.25005155715828,5.21865087919801,5.40727640854612
1,Dist L1,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39761742327381,5.42504343892528,,5.34033453117933,5.33482361622141,5.29977023821861,5.32182543563665,5.38633675890519,5.40878630942833,5.27536010878604,5.25005155715828,5.21865087919801,5.40727640854612
2,Oracle,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39673989344364,5.42504343892528,,5.3391511560214,5.33458203926545,5.30030345239895,5.322112171421,5.38544155008583,5.40634753954835,5.27423251251573,5.24777704126972,5.21732483245255,5.40642536910238
2,Value,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39673989344364,5.42504343892528,,5.3391511560214,5.33458203926545,5.30030345239895,5.322112171421,5.38544155008583,5.40634753954835,5.27423251251573,5.24777704126972,5.21732483245255,5.40642536910238
2,Oracle Vector,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39673989344364,5.42504343892528,,5.3391511560214,5.33458203926545,5.30030345239895,5.322112171421,5.38544155008583,5.40634753954835,5.27423251251573,5.24777704126972,5.21732483245255,5.40642536910238
2,Vector,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39673989344364,5.42504343892528,,5.3391511560214,5.33458203926545,5.30030345239895,5.322112171421,5.38544155008583,5.40634753954835,5.27423251251573,5.24777704126972,5.21732483245255,5.40642536910238
2,Dist L1,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39673989344364,5.42504343892528,,5.3391511560214,5.33458203926545,5.30030345239895,5.322112171421,5.38544155008583,5.40634753954835,5.27423251251573,5.24777704126972,5.21732483245255,5.40642536910238
3,Oracle,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39656487138072,5.42504343892528,,5.338546524652,5.33622028206811,5.30052578482152,5.32235860001158,5.38570233736341,5.40444824116704,5.27273525582009,5.245441926534,5.2163616333842,5.40652717089973
3,Oracle Vector,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39656487138072,5.42504343892528,,5.338546524652,5.33622028206811,5.30052578482152,5.32235860001158,5.38570233736341,5.40444824116704,5.27273525582009,5.245441926534,5.2163616333842,5.40652717089973
3,Value,404,10,Multiplicative0.005,0,0,0,5.37106290719468,5.39656487138072,5.42504343892528,,5.338546524652,5.33622028206811,5.30052578482152,5.32235860001158,5.38570233736341,5.40444824116704,5.27273525582009,5.245441926534,5.2163616333842,5.40652717089973
