LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
1,Value,8192,100,Lower0.5Upper2,42,59,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,154,110,3,0,0,0,0,5,176,107491,50854423,146924981,1621002,0,0,0,0,4,19,4187,102754,5665832,474246,13134,74,0,0,0,2,10,1403,201456,6,69,9,0,0,0,74074,104,76,22,0,0,0,0,0,0,3958,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,8192,100,Lower0.5Upper2,344064,59,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,154,110,3,0,0,0,0,5,176,107491,50854423,146924981,1621002,0,0,0,0,4,19,4187,102754,5665832,474246,13134,74,0,0,0,2,10,1403,201456,6,69,9,0,0,0,74074,104,76,22,0,0,0,0,0,0,3958,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,8192,100,Lower0.5Upper2,65536,10,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,154,110,3,0,0,0,0,5,176,107491,50854423,146924981,1621002,0,0,0,0,4,19,4187,102754,5665832,474246,13134,74,0,0,0,2,10,1403,201456,6,69,9,0,0,0,74074,104,76,22,0,0,0,0,0,0,3958,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,8192,100,Lower0.5Upper2,0,0,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,154,110,3,0,0,0,0,5,176,107491,50854423,146924981,1621002,0,0,0,0,4,19,4187,102754,5665832,474246,13134,74,0,0,0,2,10,1403,201456,6,69,9,0,0,0,74074,104,76,22,0,0,0,0,0,0,3958,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,8192,100,Lower0.5Upper2,42,59,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,154,110,3,0,0,0,0,5,176,107491,50854423,146924981,1621002,0,0,0,0,4,19,4187,102754,5665832,474246,13134,74,0,0,0,2,10,1403,201456,6,69,9,0,0,0,74074,104,76,22,0,0,0,0,0,0,3958,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,8192,100,Lower0.5Upper2,160,229,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,140,77,2,0,0,0,0,5,152,77357,44443502,133330155,1331089,0,0,0,0,4,14,2869,74449,4739055,394386,9249,60,0,0,0,2,9,1283,201383,5,61,9,0,0,0,74443,100,41,20,0,0,0,0,0,0,4232,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,8192,100,Lower0.5Upper2,966656,166,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,140,77,2,0,0,0,0,5,152,77357,44443502,133330155,1331089,0,0,0,0,4,14,2869,74449,4739055,394386,9249,60,0,0,0,2,9,1283,201383,5,61,9,0,0,0,74443,100,41,20,0,0,0,0,0,0,4232,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle Vector,8192,100,Lower0.5Upper2,131072,20,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,140,77,2,0,0,0,0,5,152,77357,44443502,133330155,1331089,0,0,0,0,4,14,2869,74449,4739055,394386,9249,60,0,0,0,2,9,1283,201383,5,61,9,0,0,0,74443,100,41,20,0,0,0,0,0,0,4232,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,8192,100,Lower0.5Upper2,0,0,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,140,77,2,0,0,0,0,5,152,77357,44443502,133330155,1331089,0,0,0,0,4,14,2869,74449,4739055,394386,9249,60,0,0,0,2,9,1283,201383,5,61,9,0,0,0,74443,100,41,20,0,0,0,0,0,0,4232,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,8192,100,Lower0.5Upper2,132,187,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,140,77,2,0,0,0,0,5,152,77357,44443502,133330155,1331089,0,0,0,0,4,14,2869,74449,4739055,394386,9249,60,0,0,0,2,9,1283,201383,5,61,9,0,0,0,74443,100,41,20,0,0,0,0,0,0,4232,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
