LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144,Server 145,Server 146,Server 147,Server 148,Server 149,Server 150,Server 151,Server 152,Server 153,Server 154,Server 155,Server 156,Server 157,Server 158,Server 159,Server 160,Server 161,Server 162,Server 163,Server 164,Server 165,Server 166,Server 167,Server 168,Server 169,Server 170,Server 171,Server 172,Server 173,Server 174,Server 175,Server 176,Server 177,Server 178,Server 179,Server 180,Server 181,Server 182,Server 183,Server 184,Server 185,Server 186,Server 187,Server 188,Server 189,Server 190,Server 191,Server 192,Server 193,Server 194,Server 195,Server 196
1,Naive,8192,196,Lower0.5Upper2,1605632,196,1,265163944,530327888,1060655776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,9,1,1,0,0,0,0,0,0,0,13,17,5,1574962,695441,66,0,0,0,0,0,0,0,1,53,1676,86317,6240833,97742448,29282183,597653,2,0,0,0,0,0,4,3,26,3632,88163,23328,6251508,186594,18742,981,0,0,0,0,0,0,2,5,31,7258,15457,9,50,46,26,0,0,0,0,0,0,7,344,284,116323,0,52,3,0,0,0,0,0,0,11531,27,49,11,0,0,0,0,0,0,0,0,0,73,51608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Naive,8192,196,Lower0.5Upper2,3211264,392,2,233912042,467824084,935648168,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,9,1,0,0,0,0,0,0,0,0,11,13,4,1366586,608282,61,0,0,0,0,0,0,0,1,53,1071,63317,5420903,87606089,26471234,486119,2,0,0,0,0,0,4,3,19,2481,63883,19560,5246802,153083,13342,666,0,0,0,0,0,0,2,5,28,6389,14834,3,39,27,25,0,0,0,0,0,0,8,361,263,116379,0,46,3,0,0,0,0,0,0,11396,28,21,9,0,0,0,0,0,0,0,0,0,89,52923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Naive,8192,196,Lower0.5Upper2,4816896,588,3,206406325,412812650,825625300,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,0,0,0,0,0,0,0,0,8,4,2,1206207,550954,61,0,0,0,0,0,0,0,1,52,641,44781,4691687,78295628,23789486,417967,2,0,0,0,0,0,1,2,11,1563,47058,15259,4449668,121657,9073,347,0,0,0,0,0,0,2,1,23,5348,13456,2,31,13,21,0,0,0,0,0,0,12,286,199,116232,0,39,1,0,0,0,0,0,0,11409,32,17,6,0,0,0,0,0,0,0,0,0,89,53379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Naive,8192,196,Lower0.5Upper2,6422528,784,4,185143631,370287262,740574524,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,1,0,0,0,0,0,0,0,0,5,2,2,1075720,515786,60,0,0,0,0,0,0,0,1,52,346,31077,4051177,70408776,21791379,379346,0,0,0,0,0,0,0,3,8,963,33795,11593,3970851,99599,6340,197,0,0,0,0,0,0,2,1,23,4408,12260,0,22,13,12,0,0,0,0,0,0,9,184,135,115998,0,37,0,0,0,0,0,0,0,11408,32,9,5,0,0,0,0,0,0,0,0,0,89,53380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Naive,8192,196,Lower0.5Upper2,8028160,980,5,172350649,344701298,689402596,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,2,3,2,1000775,477715,62,0,0,0,0,0,0,0,0,52,196,24999,3589149,65646188,20586987,358712,0,0,0,0,0,0,0,3,3,540,22864,9305,3752474,83755,4600,82,0,0,0,0,0,0,0,1,12,3249,11361,0,16,6,2,0,0,0,0,0,0,7,165,105,116027,0,36,0,0,0,0,0,0,0,11384,32,9,3,0,0,0,0,0,0,0,0,0,89,53762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Naive,8192,196,Lower0.5Upper2,9633792,1176,6,169121057.5,338242115,676484230,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,3,2,983726,458828,60,0,0,0,0,0,0,0,0,53,161,23011,3355919,64780027,20214451,352870,0,0,0,0,0,0,0,2,3,394,17552,8217,3762433,77429,3744,44,0,0,0,0,0,0,0,1,12,2702,11166,0,12,5,0,0,0,0,0,0,0,7,148,86,116128,0,36,0,0,0,0,0,0,0,11718,35,8,1,0,0,0,0,0,0,0,0,0,85,58070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Naive,8192,196,Lower0.5Upper2,11239424,1372,7,177476132.5,354952265,709904530,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,2,2,1050195,474109,60,0,0,0,0,0,0,0,0,45,156,23481,3338526,68548169,20994099,359679,0,0,0,0,0,0,0,1,3,207,15138,7900,4105521,77527,3478,30,0,0,0,0,0,0,0,0,11,2659,11284,0,12,4,0,0,0,0,0,0,0,8,133,79,116190,0,36,0,0,0,0,0,0,0,12173,37,8,1,0,0,0,0,0,0,0,0,0,87,62810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Naive,8192,196,Lower0.5Upper2,12845056,1568,8,196486572.5,392973145,785946290,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,2,1177095,515979,61,0,0,0,0,0,0,0,0,45,171,26300,3396271,76648682,23065450,381627,0,0,0,0,0,0,0,1,3,153,13472,8573,4862787,84633,3486,26,0,0,0,0,0,0,0,0,9,2584,11731,0,12,7,0,0,0,0,0,0,0,7,127,74,121224,0,74,0,0,0,0,0,0,0,12650,41,8,1,0,0,0,0,0,0,0,0,0,103,66664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Naive,8192,196,Lower0.5Upper2,14450688,1764,9,225888891.5,451777783,903555566,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,1,2,1353040,602606,80,0,0,0,0,0,0,0,0,50,173,31194,3562701,88329461,26568233,448378,0,0,0,0,0,0,0,1,3,139,12707,9427,5954209,94679,3590,23,0,0,0,0,0,0,0,0,8,2629,12523,0,11,8,0,0,0,0,0,0,0,7,130,70,134645,0,80,0,0,0,0,0,0,0,13036,43,8,1,0,0,0,0,0,0,0,0,0,103,71655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Naive,8192,196,Lower0.5Upper2,16056320,1960,10,253305176.5,506610353,1013220706,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,2,2,1507334,690751,110,0,0,0,0,0,0,0,0,55,151,33811,3761683,100207109,29969283,488275,0,0,0,0,0,0,0,1,2,128,12308,9959,6842975,98041,3636,23,0,0,0,0,0,0,0,0,5,2497,14486,0,15,7,0,0,0,0,0,0,0,8,131,68,149431,0,82,0,0,0,0,0,0,0,13385,43,8,1,0,0,0,0,0,0,0,0,0,103,75583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
