LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64
1,Naive,8192,64,Lower0.5Upper2,524288,64,1,265163944,530327888,1060655776,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,115,2,0,0,0,0,114,109990,125057030,80346367,5035,0,0,0,12,4348,151252,7673612,99158,540,0,0,0,16,1734,178827,54,2,0,0,79265,3669,3,1,0,0,0,0,0,0,0,0,0,0
2,Naive,8192,64,Lower0.5Upper2,1048576,128,2,233912042,467824084,935648168,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,97,2,0,0,0,0,109,79189,109603551,72817526,4021,0,0,0,10,2982,113059,6447560,74097,371,0,0,0,15,1551,179230,48,2,0,0,80776,3525,0,1,0,0,0,0,0,0,1,0,0,0
3,Naive,8192,64,Lower0.5Upper2,1572864,192,3,206406325,412812650,825625300,,0,0,0,0,0,0,0,0,0,0,0,193,3,0,0,0,0,0,0,0,96,2,0,0,0,0,90,54901,96529301,65686270,3431,0,0,0,5,1886,83533,5454312,52725,189,0,0,0,18,1274,178840,41,1,0,0,81454,3500,0,1,0,0,0,0,0,0,1,0,0,0
4,Naive,8192,64,Lower0.5Upper2,2097152,256,4,185143631,370287262,740574524,,0,0,0,0,0,0,0,0,0,0,0,172,1,0,0,0,0,0,0,0,63,2,0,0,0,0,78,37028,85714827,60142412,3157,0,0,0,5,1154,61078,4843386,39272,119,0,0,0,15,933,178177,38,0,0,0,81424,3512,2,1,0,0,0,0,0,0,1,0,0,0
5,Naive,8192,64,Lower0.5Upper2,2621440,320,5,172350649,344701298,689402596,,0,0,0,0,0,0,0,0,0,0,0,200,1,0,0,0,0,0,0,0,34,0,1,0,0,0,68,29172,78391912,57027439,3026,0,0,0,4,629,43617,4560488,29988,58,0,0,0,11,745,177730,37,0,0,0,81888,3526,2,1,0,0,0,0,0,0,1,0,0,0
6,Naive,8192,64,Lower0.5Upper2,3145728,384,6,169121057.5,338242115,676484230,,0,0,0,0,0,0,0,0,0,0,0,209,2,0,0,0,0,0,0,0,24,0,1,0,0,0,68,26604,75903649,56410489,2971,0,0,0,3,461,35595,4556863,25571,28,0,0,0,10,643,177859,37,0,0,0,87597,3686,2,0,0,0,0,0,0,0,1,0,0,0
7,Naive,8192,64,Lower0.5Upper2,3670016,448,7,177476132.5,354952265,709904530,,0,0,0,0,0,0,0,0,0,0,0,201,2,0,0,0,0,0,0,0,20,0,0,0,0,0,60,26973,78829976,59279656,2974,0,0,0,2,261,32481,4950699,24373,18,0,0,0,10,629,177963,37,0,0,0,93468,3971,2,0,0,0,0,0,0,0,1,0,0,0
8,Naive,8192,64,Lower0.5Upper2,4194304,512,8,196486572.5,392973145,785946290,,0,0,0,0,0,0,0,0,0,0,0,205,2,0,0,0,0,0,0,0,19,0,0,0,0,0,60,29977,85909927,65803836,3094,0,0,0,2,198,30899,5825912,25534,14,0,0,0,9,548,184326,75,0,0,0,98278,4241,2,0,0,0,0,0,0,0,1,0,0,0
9,Naive,8192,64,Lower0.5Upper2,4718592,576,9,225888891.5,451777783,903555566,,0,0,0,0,0,0,0,0,0,0,0,214,2,0,0,0,0,0,0,0,25,0,0,0,0,0,68,35065,97052882,76137421,3936,0,0,0,2,181,31236,7061442,28216,8,0,0,0,10,543,201651,81,0,0,0,104231,4529,2,0,0,0,0,0,0,0,1,0,0,0
10,Naive,8192,64,Lower0.5Upper2,5242880,640,10,253305176.5,506610353,1013220706,,0,0,0,0,0,0,0,0,0,0,0,209,2,0,0,0,0,0,0,0,23,0,0,0,0,0,74,37704,108196385,86177592,4315,0,0,0,1,160,30535,8075892,28342,8,0,0,0,11,536,223407,84,0,0,0,109321,4651,3,0,0,0,0,0,0,0,1,0,0,0
