LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25
1,Value,9800,25,Lower0.5Upper2,10,13,0,247137031,448003511,988548124,,0,0,124,0,0,0,10,172,88,0,0,204,46158603,209117206,12302,0,61673,2001,173761,80,0,3273,0,1,0
1,Vector,9800,25,Lower0.5Upper2,98000,13,0,247137031,448003511,988548124,,0,0,124,0,0,0,10,172,88,0,0,204,46158603,209117206,12302,0,61673,2001,173761,80,0,3273,0,1,0
1,Oracle Vector,9800,25,Lower0.5Upper2,78400,10,0,247137031,448003511,988548124,,0,0,124,0,0,0,10,172,88,0,0,204,46158603,209117206,12302,0,61673,2001,173761,80,0,3273,0,1,0
1,Oracle,9800,25,Lower0.5Upper2,0,0,0,247137031,448003511,988548124,,0,0,124,0,0,0,10,172,88,0,0,204,46158603,209117206,12302,0,61673,2001,173761,80,0,3273,0,1,0
1,Dist L2,9800,25,Lower0.5Upper2,10,13,0,247137031,448003511,988548124,,0,0,124,0,0,0,10,172,88,0,0,204,46158603,209117206,12302,0,61673,2001,173761,80,0,3273,0,1,0
2,Value,9800,25,Lower0.5Upper2,28,38,0,247137031,396081818,988548124,,0,0,124,0,0,0,8,155,53,0,0,172,39796146,186394832,8479,0,61885,1801,173294,71,0,3449,1,1,0
2,Vector,9800,25,Lower0.5Upper2,274400,38,0,247137031,396081818,988548124,,0,0,124,0,0,0,8,155,53,0,0,172,39796146,186394832,8479,0,61885,1801,173294,71,0,3449,1,1,0
2,Oracle Vector,9800,25,Lower0.5Upper2,215600,29,0,247137031,396081818,988548124,,0,0,124,0,0,0,8,155,53,0,0,172,39796146,186394832,8479,0,61885,1801,173294,71,0,3449,1,1,0
2,Oracle,9800,25,Lower0.5Upper2,0,0,0,247137031,396081818,988548124,,0,0,124,0,0,0,8,155,53,0,0,172,39796146,186394832,8479,0,61885,1801,173294,71,0,3449,1,1,0
2,Dist L2,9800,25,Lower0.5Upper2,28,38,0,247137031,396081818,988548124,,0,0,124,0,0,0,8,155,53,0,0,172,39796146,186394832,8479,0,61885,1801,173294,71,0,3449,1,1,0
3,Value,9800,25,Lower0.5Upper2,62,86,0,247137031,350055060,988548124,,0,0,114,0,0,0,4,128,43,0,0,116,34484508,165718801,5297,0,62146,1542,171687,61,0,3533,1,0,0
3,Vector,9800,25,Lower0.5Upper2,509600,71,0,247137031,350055060,988548124,,0,0,114,0,0,0,4,128,43,0,0,116,34484508,165718801,5297,0,62146,1542,171687,61,0,3533,1,0,0
3,Oracle Vector,9800,25,Lower0.5Upper2,450800,62,0,247137031,350055060,988548124,,0,0,114,0,0,0,4,128,43,0,0,116,34484508,165718801,5297,0,62146,1542,171687,61,0,3533,1,0,0
3,Oracle,9800,25,Lower0.5Upper2,0,0,0,247137031,350055060,988548124,,0,0,114,0,0,0,4,128,43,0,0,116,34484508,165718801,5297,0,62146,1542,171687,61,0,3533,1,0,0
3,Dist L2,9800,25,Lower0.5Upper2,58,79,0,247137031,350055060,988548124,,0,0,114,0,0,0,4,128,43,0,0,116,34484508,165718801,5297,0,62146,1542,171687,61,0,3533,1,0,0
