LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81
1,Value,89888,81,Lower0.5Upper2,38,52,0,34154412.5,62206491,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,40,331756,1594480,31,0,0,0,0,0,837,139367,18459089,3084895,4209,7,0,0,0,1,28,11323,14762,35,26,0,0,0,462,51,23,0,0,0,0,0,0,13184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,89888,81,Lower0.5Upper2,34,34,0,34154412.5,62206491,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,40,331756,1594480,31,0,0,0,0,0,837,139367,18459089,3084895,4209,7,0,0,0,1,28,11323,14762,35,26,0,0,0,462,51,23,0,0,0,0,0,0,13184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,89888,81,Lower0.5Upper2,3056192,46,0,34154412.5,62206491,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,40,331756,1594480,31,0,0,0,0,0,837,139367,18459089,3084895,4209,7,0,0,0,1,28,11323,14762,35,26,0,0,0,462,51,23,0,0,0,0,0,0,13184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,89888,81,Lower0.5Upper2,0,0,0,34154412.5,62206491,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,40,331756,1594480,31,0,0,0,0,0,837,139367,18459089,3084895,4209,7,0,0,0,1,28,11323,14762,35,26,0,0,0,462,51,23,0,0,0,0,0,0,13184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,89888,81,Lower0.5Upper2,0,0,0,34154412.5,62206491,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,40,331756,1594480,31,0,0,0,0,0,837,139367,18459089,3084895,4209,7,0,0,0,1,28,11323,14762,35,26,0,0,0,462,51,23,0,0,0,0,0,0,13184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,89888,81,Lower0.5Upper2,7280928,81,1,31103245.5,62206491,124412982,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,40,331756,1594480,31,0,0,0,0,0,837,139367,18459089,3084895,4209,7,0,0,0,1,28,11323,14762,35,26,0,0,0,462,51,23,0,0,0,0,0,0,13184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,89888,81,Lower0.5Upper2,38,52,0,34154412.5,62206491,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,40,331756,1594480,31,0,0,0,0,0,837,139367,18459089,3084895,4209,7,0,0,0,1,28,11323,14762,35,26,0,0,0,462,51,23,0,0,0,0,0,0,13184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,89888,81,Lower0.5Upper2,140,198,0,34154412.5,55337946,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,292305,1427468,31,0,0,0,0,0,531,108697,16754852,2638092,2932,4,0,0,0,1,21,10018,14474,26,16,0,0,0,328,48,20,0,0,0,0,0,0,13419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,89888,81,Lower0.5Upper2,295,295,0,34154412.5,55337946,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,292305,1427468,31,0,0,0,0,0,531,108697,16754852,2638092,2932,4,0,0,0,1,21,10018,14474,26,16,0,0,0,328,48,20,0,0,0,0,0,0,13419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,89888,81,Lower0.5Upper2,8269696,126,0,34154412.5,55337946,136617650,,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,292305,1427468,31,0,0,0,0,0,531,108697,16754852,2638092,2932,4,0,0,0,1,21,10018,14474,26,16,0,0,0,328,48,20,0,0,0,0,0,0,13419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
