Row Labels,Dist L2,FGM,Naive,Oracle,Oracle Vector,Value,Vector
968,1736343,4653380,58806000,1097712,3734544,4568431,10076880
5000,6491322,26831915,303750000,7290000,20310000,26750277,58030000
9800,15889408,57233237,595350000,11113200,51822400,57174118,110642000
14792,26373055,81569100,898614000,16774128,74936272,81495018,168244208
20000,42134913,126451993,1215000000,22680000,102640000,126383019,227960000
24642,47920064,151800792,1497001500,27944028,123801408,151717934,285305076
29768,57884310,188178656,1808406000,33756912,145446448,188097607,323399552
34848,84696811,225916093,2117016000,39517632,173821824,225838062,407860992
39762,90196576,257760615,-1879425796,45090108,199048572,257680618,449946792
45000,102075700,284419782,-1561217296,51030000,231030000,284334273,546660000
49928,121340687,315559409,-1261841296,56618352,249540144,315469397,604228656
54450,141150936,370584947,-987129796,61746300,281397600,370503424,681822900
59858,135773858,407379573,-658593796,67878972,306353244,407300062,772287916
64800,157479993,441009294,-358367296,52488000,401500800,440926142,814406400
69938,169966101,475966131,-46233796,79309692,342276572,475884472,889751236
74498,168980288,519068402,230786204,60343380,424340608,518979887,1011384848
80000,194417753,583314780,565032704,64800000,504000000,583227631,1066240000
84872,206257057,618835938,861006704,96244848,440485680,618744701,1132701712
89888,218447853,655407305,1165728704,101932992,452136640,655311535,1179330560
94178,228870515,686673353,1426346204,76284180,595770028,686584985,1311899540
99458,257815444,741276787,1747106204,112785372,529315476,741189326,1354220128
,,,,,,,
,,,,,,,
,,,,,,,
Row Labels,Dist L2,FGM,Naive,Oracle,Oracle Vector,Value,Vector
968,1.581783747,4.239162913,53.57142857,1,3.402116402,4.161775584,9.17989418
5000,0.890441975,3.680646776,41.66666667,1,2.78600823,3.669448148,7.960219479
9800,1.429777922,5.150023126,53.57142857,1,4.66313933,5.144703416,9.955908289
14792,1.572245961,4.862792272,53.57142857,1,4.467372134,4.858375827,10.02998236
20000,1.857800397,5.5754847,53.57142857,1,4.525573192,5.572443519,10.05114638
24642,1.71485886,5.432316057,53.57142857,1,4.430335097,5.429350915,10.20987654
29768,1.714739488,5.574522219,53.57142857,1,4.308641975,5.572121259,9.580246914
34848,2.143266353,5.716842877,53.57142857,1,4.398589065,5.71486829,10.32098765
39762,2.000362829,5.716566813,-41.68155454,1,4.414462081,5.714792655,9.978835979
45000,2.000307662,5.573579894,-30.59410731,1,4.527336861,5.571904233,10.71252205
49928,2.143133502,5.57344744,-22.28678956,1,4.407407407,5.571857637,10.67195767
54450,2.285982091,6.001735278,-15.98686554,1,4.557319224,6.000414988,11.04232804
59858,2.000234447,6.001557787,-9.70247157,1,4.513227513,6.000386423,11.37742504
64800,3.000304698,8.402097508,-6.827604329,1,7.649382716,8.400513298,15.51604938
69938,2.143068479,6.001361486,-0.582952661,1,4.315696649,6.000331864,11.21869489
74498,2.800311948,8.601911295,3.82454884,1,7.032098765,8.60044444,16.76049383
80000,3.000273966,9.001771296,8.719640494,1,7.777777778,9.000426404,16.45432099
84872,2.143045174,6.429808461,8.946003053,1,4.576719577,6.428860493,11.76895944
89888,2.143053478,6.429785805,11.43622571,1,4.435626102,6.428846266,11.5696649
94178,3.000235632,9.00151713,18.69779821,1,7.809876543,9.000358724,17.19753086
99458,2.285894345,6.572455043,15.490539,1,4.693121693,6.571679579,12.00705467
