LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
1,Value,80802,100,Lower0.5Upper2,52,72,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,14,0,0,0,0,0,0,9,13740,6417833,18939882,239229,0,0,0,0,0,2,556,14021,801170,64956,1963,10,0,0,0,0,3,217,26579,0,2,2,0,0,0,10417,11,7,3,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,80802,100,Lower0.5Upper2,37,37,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,14,0,0,0,0,0,0,9,13740,6417833,18939882,239229,0,0,0,0,0,2,556,14021,801170,64956,1963,10,0,0,0,0,3,217,26579,0,2,2,0,0,0,10417,11,7,3,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,80802,100,Lower0.5Upper2,3555288,60,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,14,0,0,0,0,0,0,9,13740,6417833,18939882,239229,0,0,0,0,0,2,556,14021,801170,64956,1963,10,0,0,0,0,3,217,26579,0,2,2,0,0,0,10417,11,7,3,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,80802,100,Lower0.5Upper2,808020,12,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,14,0,0,0,0,0,0,9,13740,6417833,18939882,239229,0,0,0,0,0,2,556,14021,801170,64956,1963,10,0,0,0,0,3,217,26579,0,2,2,0,0,0,10417,11,7,3,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,80802,100,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,14,0,0,0,0,0,0,9,13740,6417833,18939882,239229,0,0,0,0,0,2,556,14021,801170,64956,1963,10,0,0,0,0,3,217,26579,0,2,2,0,0,0,10417,11,7,3,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,80802,100,Lower0.5Upper2,8080200,100,1,33499870,66999740,133999480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,14,0,0,0,0,0,0,9,13740,6417833,18939882,239229,0,0,0,0,0,2,556,14021,801170,64956,1963,10,0,0,0,0,3,217,26579,0,2,2,0,0,0,10417,11,7,3,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,80802,100,Lower0.5Upper2,50,69,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,35,14,0,0,0,0,0,0,9,13740,6417833,18939882,239229,0,0,0,0,0,2,556,14021,801170,64956,1963,10,0,0,0,0,3,217,26579,0,2,2,0,0,0,10417,11,7,3,0,0,0,0,0,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,80802,100,Lower0.5Upper2,182,259,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,80802,100,Lower0.5Upper2,359,359,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,80802,100,Lower0.5Upper2,9211428,158,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle Vector,80802,100,Lower0.5Upper2,1454436,22,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,80802,100,Lower0.5Upper2,0,0,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,12,0,0,0,0,0,0,6,9922,5618131,17339259,199288,0,0,0,0,0,1,391,10279,680070,55509,1354,6,0,0,0,0,3,191,26523,0,1,2,0,0,0,10403,12,4,3,0,0,0,0,0,0,681,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
