LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121
1,Value,80802,121,Lower0.5Upper2,62,86,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,311,246606,5107754,257264,0,0,0,0,0,0,2,1338,28261,4069868,8708726,86072,625,0,0,0,0,0,2,114,2643,4894,66,116,6,0,0,0,0,2,5,148,23352,0,1,0,0,0,0,490,10915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,80802,121,Lower0.5Upper2,44,44,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,311,246606,5107754,257264,0,0,0,0,0,0,2,1338,28261,4069868,8708726,86072,625,0,0,0,0,0,2,114,2643,4894,66,116,6,0,0,0,0,2,5,148,23352,0,1,0,0,0,0,490,10915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,80802,121,Lower0.5Upper2,4201704,71,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,311,246606,5107754,257264,0,0,0,0,0,0,2,1338,28261,4069868,8708726,86072,625,0,0,0,0,0,2,114,2643,4894,66,116,6,0,0,0,0,2,5,148,23352,0,1,0,0,0,0,490,10915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,80802,121,Lower0.5Upper2,484812,7,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,311,246606,5107754,257264,0,0,0,0,0,0,2,1338,28261,4069868,8708726,86072,625,0,0,0,0,0,2,114,2643,4894,66,116,6,0,0,0,0,2,5,148,23352,0,1,0,0,0,0,490,10915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,80802,121,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,311,246606,5107754,257264,0,0,0,0,0,0,2,1338,28261,4069868,8708726,86072,625,0,0,0,0,0,2,114,2643,4894,66,116,6,0,0,0,0,2,5,148,23352,0,1,0,0,0,0,490,10915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,80802,121,Lower0.5Upper2,9777042,121,1,33499870,66999740,133999480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,311,246606,5107754,257264,0,0,0,0,0,0,2,1338,28261,4069868,8708726,86072,625,0,0,0,0,0,2,114,2643,4894,66,116,6,0,0,0,0,2,5,148,23352,0,1,0,0,0,0,490,10915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,80802,121,Lower0.5Upper2,58,80,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,311,246606,5107754,257264,0,0,0,0,0,0,2,1338,28261,4069868,8708726,86072,625,0,0,0,0,0,2,114,2643,4894,66,116,6,0,0,0,0,2,5,148,23352,0,1,0,0,0,0,490,10915,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,80802,121,Lower0.5Upper2,232,330,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,194,213331,4616598,236208,0,0,0,0,0,0,2,849,21048,3545194,7791666,70171,427,0,0,0,0,0,2,68,2289,4004,53,88,4,0,0,0,0,2,5,136,23406,0,1,0,0,0,0,507,10981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,80802,121,Lower0.5Upper2,425,425,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,194,213331,4616598,236208,0,0,0,0,0,0,2,849,21048,3545194,7791666,70171,427,0,0,0,0,0,2,68,2289,4004,53,88,4,0,0,0,0,2,5,136,23406,0,1,0,0,0,0,507,10981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,80802,121,Lower0.5Upper2,11312280,192,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,194,213331,4616598,236208,0,0,0,0,0,0,2,849,21048,3545194,7791666,70171,427,0,0,0,0,0,2,68,2289,4004,53,88,4,0,0,0,0,2,5,136,23406,0,1,0,0,0,0,507,10981,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
