LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Value,80802,16,Lower0.5Upper2,6,8,0,36807376.5,66999740,147229506,,0,81,0,0,0,14474,47475711,897,0,611,1532548,15121,0,15368,0,0
1,FGM,80802,16,Lower0.5Upper2,61,61,0,36807376.5,66999740,147229506,,0,81,0,0,0,14474,47475711,897,0,611,1532548,15121,0,15368,0,0
1,Vector,80802,16,Lower0.5Upper2,484812,8,0,36807376.5,66999740,147229506,,0,81,0,0,0,14474,47475711,897,0,611,1532548,15121,0,15368,0,0
1,Oracle Vector,80802,16,Lower0.5Upper2,484812,8,0,36807376.5,66999740,147229506,,0,81,0,0,0,14474,47475711,897,0,611,1532548,15121,0,15368,0,0
1,Oracle,80802,16,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,81,0,0,0,14474,47475711,897,0,611,1532548,15121,0,15368,0,0
1,Naive,80802,16,Lower0.5Upper2,1292832,16,1,33499870,66999740,133999480,,0,81,0,0,0,14474,47475711,897,0,611,1532548,15121,0,15368,0,0
1,Dist L2,80802,16,Lower0.5Upper2,6,8,0,36807376.5,66999740,147229506,,0,81,0,0,0,14474,47475711,897,0,611,1532548,15121,0,15368,0,0
2,Value,80802,16,Lower0.5Upper2,16,22,0,36807376.5,59529635,147229506,,0,81,0,0,0,10458,42494070,712,0,430,1317201,11450,0,15479,1,0
2,FGM,80802,16,Lower0.5Upper2,63,63,0,36807376.5,59529635,147229506,,0,81,0,0,0,10458,42494070,712,0,430,1317201,11450,0,15479,1,0
2,Vector,80802,16,Lower0.5Upper2,1131228,19,0,36807376.5,59529635,147229506,,0,81,0,0,0,10458,42494070,712,0,430,1317201,11450,0,15479,1,0
2,Oracle Vector,80802,16,Lower0.5Upper2,969624,16,0,36807376.5,59529635,147229506,,0,81,0,0,0,10458,42494070,712,0,430,1317201,11450,0,15479,1,0
2,Oracle,80802,16,Lower0.5Upper2,0,0,0,36807376.5,59529635,147229506,,0,81,0,0,0,10458,42494070,712,0,430,1317201,11450,0,15479,1,0
2,Naive,80802,16,Lower0.5Upper2,2585664,32,2,29764817.5,59529635,119059270,,0,81,0,0,0,10458,42494070,712,0,430,1317201,11450,0,15479,1,0
2,Dist L2,80802,16,Lower0.5Upper2,14,19,0,36807376.5,59529635,147229506,,0,81,0,0,0,10458,42494070,712,0,430,1317201,11450,0,15479,1,0
3,Value,80802,16,Lower0.5Upper2,34,46,0,36807376.5,52845854,147229506,,0,74,0,0,0,7276,38013737,613,0,255,1132803,8263,0,15544,1,0
3,FGM,80802,16,Lower0.5Upper2,114,114,0,36807376.5,52845854,147229506,,0,74,0,0,0,7276,38013737,613,0,255,1132803,8263,0,15544,1,0
3,Vector,80802,16,Lower0.5Upper2,2908872,49,0,36807376.5,52845854,147229506,,0,74,0,0,0,7276,38013737,613,0,255,1132803,8263,0,15544,1,0
3,Oracle Vector,80802,16,Lower0.5Upper2,2424060,39,0,36807376.5,52845854,147229506,,0,74,0,0,0,7276,38013737,613,0,255,1132803,8263,0,15544,1,0
3,Oracle,80802,16,Lower0.5Upper2,0,0,0,36807376.5,52845854,147229506,,0,74,0,0,0,7276,38013737,613,0,255,1132803,8263,0,15544,1,0
3,Naive,80802,16,Lower0.5Upper2,3878496,48,3,26422927,52845854,105691708,,0,74,0,0,0,7276,38013737,613,0,255,1132803,8263,0,15544,1,0
3,Dist L2,80802,16,Lower0.5Upper2,38,51,0,36807376.5,52845854,147229506,,0,74,0,0,0,7276,38013737,613,0,255,1132803,8263,0,15544,1,0
4,Value,80802,16,Lower0.5Upper2,54,72,0,36807376.5,47628232,147229506,,0,68,0,0,0,5016,34358727,558,0,170,1012438,6323,0,15519,1,0
