LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36
1,Value,80802,36,Lower0.5Upper2,12,17,0,36807376.5,66999740,147229506,,0,0,81,0,0,0,0,0,0,1,0,0,0,1,14394,38035024,1132240,0,0,0,597,129065,948381,708,0,0,15482,104,0,0,0,0,0,0,0,0
1,FGM,80802,36,Lower0.5Upper2,19,19,0,36807376.5,66999740,147229506,,0,0,81,0,0,0,0,0,0,1,0,0,0,1,14394,38035024,1132240,0,0,0,597,129065,948381,708,0,0,15482,104,0,0,0,0,0,0,0,0
1,Vector,80802,36,Lower0.5Upper2,969624,17,0,36807376.5,66999740,147229506,,0,0,81,0,0,0,0,0,0,1,0,0,0,1,14394,38035024,1132240,0,0,0,597,129065,948381,708,0,0,15482,104,0,0,0,0,0,0,0,0
1,Oracle Vector,80802,36,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,0,81,0,0,0,0,0,0,1,0,0,0,1,14394,38035024,1132240,0,0,0,597,129065,948381,708,0,0,15482,104,0,0,0,0,0,0,0,0
1,Oracle,80802,36,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,0,81,0,0,0,0,0,0,1,0,0,0,1,14394,38035024,1132240,0,0,0,597,129065,948381,708,0,0,15482,104,0,0,0,0,0,0,0,0
1,Naive,80802,36,Lower0.5Upper2,2908872,36,1,33499870,66999740,133999480,,0,0,81,0,0,0,0,0,0,1,0,0,0,1,14394,38035024,1132240,0,0,0,597,129065,948381,708,0,0,15482,104,0,0,0,0,0,0,0,0
1,Dist L2,80802,36,Lower0.5Upper2,14,20,0,36807376.5,66999740,147229506,,0,0,81,0,0,0,0,0,0,1,0,0,0,1,14394,38035024,1132240,0,0,0,597,129065,948381,708,0,0,15482,104,0,0,0,0,0,0,0,0
2,Value,80802,36,Lower0.5Upper2,46,64,0,36807376.5,59529635,147229506,,0,0,81,0,0,0,0,0,0,0,0,0,0,1,10401,34203415,973338,0,0,0,418,107467,816139,490,0,0,15591,96,0,0,0,0,0,1,0,0
2,FGM,80802,36,Lower0.5Upper2,135,135,0,36807376.5,59529635,147229506,,0,0,81,0,0,0,0,0,0,0,0,0,0,1,10401,34203415,973338,0,0,0,418,107467,816139,490,0,0,15591,96,0,0,0,0,0,1,0,0
2,Vector,80802,36,Lower0.5Upper2,3070476,52,0,36807376.5,59529635,147229506,,0,0,81,0,0,0,0,0,0,0,0,0,0,1,10401,34203415,973338,0,0,0,418,107467,816139,490,0,0,15591,96,0,0,0,0,0,1,0,0
2,Oracle Vector,80802,36,Lower0.5Upper2,323208,5,0,36807376.5,59529635,147229506,,0,0,81,0,0,0,0,0,0,0,0,0,0,1,10401,34203415,973338,0,0,0,418,107467,816139,490,0,0,15591,96,0,0,0,0,0,1,0,0
2,Oracle,80802,36,Lower0.5Upper2,0,0,0,36807376.5,59529635,147229506,,0,0,81,0,0,0,0,0,0,0,0,0,0,1,10401,34203415,973338,0,0,0,418,107467,816139,490,0,0,15591,96,0,0,0,0,0,1,0,0
2,Naive,80802,36,Lower0.5Upper2,5817744,72,2,29764817.5,59529635,119059270,,0,0,81,0,0,0,0,0,0,0,0,0,0,1,10401,34203415,973338,0,0,0,418,107467,816139,490,0,0,15591,96,0,0,0,0,0,1,0,0
2,Dist L2,80802,36,Lower0.5Upper2,50,69,0,36807376.5,59529635,147229506,,0,0,81,0,0,0,0,0,0,0,0,0,0,1,10401,34203415,973338,0,0,0,418,107467,816139,490,0,0,15591,96,0,0,0,0,0,1,0,0
3,Value,80802,36,Lower0.5Upper2,104,145,0,36807376.5,52845854,147229506,,0,0,74,0,0,0,0,0,0,0,0,0,0,1,7237,30694217,856932,0,0,0,245,88893,701910,247,0,0,15646,80,0,0,0,0,0,1,0,0
3,FGM,80802,36,Lower0.5Upper2,248,248,0,36807376.5,52845854,147229506,,0,0,74,0,0,0,0,0,0,0,0,0,0,1,7237,30694217,856932,0,0,0,245,88893,701910,247,0,0,15646,80,0,0,0,0,0,1,0,0
3,Vector,80802,36,Lower0.5Upper2,6464160,110,0,36807376.5,52845854,147229506,,0,0,74,0,0,0,0,0,0,0,0,0,0,1,7237,30694217,856932,0,0,0,245,88893,701910,247,0,0,15646,80,0,0,0,0,0,1,0,0
3,Oracle Vector,80802,36,Lower0.5Upper2,969624,15,0,36807376.5,52845854,147229506,,0,0,74,0,0,0,0,0,0,0,0,0,0,1,7237,30694217,856932,0,0,0,245,88893,701910,247,0,0,15646,80,0,0,0,0,0,1,0,0
3,Oracle,80802,36,Lower0.5Upper2,0,0,0,36807376.5,52845854,147229506,,0,0,74,0,0,0,0,0,0,0,0,0,0,1,7237,30694217,856932,0,0,0,245,88893,701910,247,0,0,15646,80,0,0,0,0,0,1,0,0
3,Naive,80802,36,Lower0.5Upper2,8726616,108,3,26422927,52845854,105691708,,0,0,74,0,0,0,0,0,0,0,0,0,0,1,7237,30694217,856932,0,0,0,245,88893,701910,247,0,0,15646,80,0,0,0,0,0,1,0,0
3,Dist L2,80802,36,Lower0.5Upper2,88,121,0,36807376.5,52845854,147229506,,0,0,74,0,0,0,0,0,0,0,0,0,0,1,7237,30694217,856932,0,0,0,245,88893,701910,247,0,0,15646,80,0,0,0,0,0,1,0,0
