LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
1,Value,80802,4,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,14602,47715746,19050,1689802
1,FGM,80802,4,Lower0.5Upper2,3,3,0,36807376.5,66999740,147229506,,14602,47715746,19050,1689802
1,Vector,80802,4,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,14602,47715746,19050,1689802
1,Oracle Vector,80802,4,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,14602,47715746,19050,1689802
1,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,14602,47715746,19050,1689802
1,Naive,80802,4,Lower0.5Upper2,323208,4,1,33499870,66999740,133999480,,14602,47715746,19050,1689802
1,Dist L2,80802,4,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,14602,47715746,19050,1689802
2,Value,80802,4,Lower0.5Upper2,4,5,0,36807376.5,59529635,147229506,,10581,42695528,18509,1445873
2,FGM,80802,4,Lower0.5Upper2,16,16,0,36807376.5,59529635,147229506,,10581,42695528,18509,1445873
2,Vector,80802,4,Lower0.5Upper2,323208,5,0,36807376.5,59529635,147229506,,10581,42695528,18509,1445873
2,Oracle Vector,80802,4,Lower0.5Upper2,323208,5,0,36807376.5,59529635,147229506,,10581,42695528,18509,1445873
2,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,59529635,147229506,,10581,42695528,18509,1445873
2,Naive,80802,4,Lower0.5Upper2,646416,8,2,29764817.5,59529635,119059270,,10581,42695528,18509,1445873
2,Dist L2,80802,4,Lower0.5Upper2,4,5,0,36807376.5,59529635,147229506,,10581,42695528,18509,1445873
3,Value,80802,4,Lower0.5Upper2,8,10,0,36807376.5,52845854,147229506,,7387,38190166,17801,1235442
3,FGM,80802,4,Lower0.5Upper2,29,29,0,36807376.5,52845854,147229506,,7387,38190166,17801,1235442
3,Vector,80802,4,Lower0.5Upper2,808020,13,0,36807376.5,52845854,147229506,,7387,38190166,17801,1235442
3,Oracle Vector,80802,4,Lower0.5Upper2,646416,10,0,36807376.5,52845854,147229506,,7387,38190166,17801,1235442
3,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,52845854,147229506,,7387,38190166,17801,1235442
3,Naive,80802,4,Lower0.5Upper2,969624,12,3,26422927,52845854,105691708,,7387,38190166,17801,1235442
3,Dist L2,80802,4,Lower0.5Upper2,8,10,0,36807376.5,52845854,147229506,,7387,38190166,17801,1235442
4,Value,80802,4,Lower0.5Upper2,14,18,0,36807376.5,47628232,147229506,,5118,34518662,17264,1099071
4,FGM,80802,4,Lower0.5Upper2,42,42,0,36807376.5,47628232,147229506,,5118,34518662,17264,1099071
4,Vector,80802,4,Lower0.5Upper2,1454436,24,0,36807376.5,47628232,147229506,,5118,34518662,17264,1099071
4,Oracle Vector,80802,4,Lower0.5Upper2,969624,15,0,36807376.5,47628232,147229506,,5118,34518662,17264,1099071
4,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,47628232,147229506,,5118,34518662,17264,1099071
4,Naive,80802,4,Lower0.5Upper2,1292832,16,4,23814116,47628232,95256464,,5118,34518662,17264,1099071
4,Dist L2,80802,4,Lower0.5Upper2,16,20,0,36807376.5,47628232,147229506,,5118,34518662,17264,1099071
5,Value,80802,4,Lower0.5Upper2,20,25,0,36807376.5,44549226,147229506,,4154,32236394,16904,1031169
5,FGM,80802,4,Lower0.5Upper2,55,55,0,36807376.5,44549226,147229506,,4154,32236394,16904,1031169
5,Vector,80802,4,Lower0.5Upper2,1939248,32,0,36807376.5,44549226,147229506,,4154,32236394,16904,1031169
5,Oracle Vector,80802,4,Lower0.5Upper2,1454436,22,0,36807376.5,44549226,147229506,,4154,32236394,16904,1031169
5,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,44549226,147229506,,4154,32236394,16904,1031169
5,Naive,80802,4,Lower0.5Upper2,1616040,20,5,22274613,44549226,89098452,,4154,32236394,16904,1031169
5,Dist L2,80802,4,Lower0.5Upper2,22,28,0,36807376.5,44549226,147229506,,4154,32236394,16904,1031169
6,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,43799505,147229506,,3788,31602081,17703,1023210
6,FGM,80802,4,Lower0.5Upper2,68,68,0,36807376.5,43799505,147229506,,3788,31602081,17703,1023210
6,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,43799505,147229506,,3788,31602081,17703,1023210
6,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,43799505,147229506,,3788,31602081,17703,1023210
6,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,43799505,147229506,,3788,31602081,17703,1023210
6,Naive,80802,4,Lower0.5Upper2,1939248,24,6,21899752.5,43799505,87599010,,3788,31602081,17703,1023210
6,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,43799505,147229506,,3788,31602081,17703,1023210
7,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,45699006,147229506,,3866,32882770,18471,1082817
7,FGM,80802,4,Lower0.5Upper2,81,81,0,36807376.5,45699006,147229506,,3866,32882770,18471,1082817
7,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,45699006,147229506,,3866,32882770,18471,1082817
7,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,45699006,147229506,,3866,32882770,18471,1082817
7,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,45699006,147229506,,3866,32882770,18471,1082817
7,Naive,80802,4,Lower0.5Upper2,2262456,28,7,22849503,45699006,91398012,,3866,32882770,18471,1082817
7,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,45699006,147229506,,3866,32882770,18471,1082817
8,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,50065901,147229506,,4371,35854457,19286,1224023
8,FGM,80802,4,Lower0.5Upper2,94,94,0,36807376.5,50065901,147229506,,4371,35854457,19286,1224023
8,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,50065901,147229506,,4371,35854457,19286,1224023
8,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,50065901,147229506,,4371,35854457,19286,1224023
8,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,50065901,147229506,,4371,35854457,19286,1224023
8,Naive,80802,4,Lower0.5Upper2,2585664,32,8,25032950.5,50065901,100131802,,4371,35854457,19286,1224023
8,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,50065901,147229506,,4371,35854457,19286,1224023
9,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,56661733,147229506,,5102,40382684,20332,1427430
9,FGM,80802,4,Lower0.5Upper2,107,107,0,36807376.5,56661733,147229506,,5102,40382684,20332,1427430
9,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,56661733,147229506,,5102,40382684,20332,1427430
9,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,56661733,147229506,,5102,40382684,20332,1427430
9,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,56661733,147229506,,5102,40382684,20332,1427430
9,Naive,80802,4,Lower0.5Upper2,2908872,36,9,28330866.5,56661733,113323466,,5102,40382684,20332,1427430
9,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,56661733,147229506,,5102,40382684,20332,1427430
10,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,62800757,147229506,,5461,44722813,20961,1597031
10,FGM,80802,4,Lower0.5Upper2,120,120,0,36807376.5,62800757,147229506,,5461,44722813,20961,1597031
10,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,62800757,147229506,,5461,44722813,20961,1597031
10,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,62800757,147229506,,5461,44722813,20961,1597031
10,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,62800757,147229506,,5461,44722813,20961,1597031
10,Naive,80802,4,Lower0.5Upper2,3232080,40,10,31400378.5,62800757,125601514,,5461,44722813,20961,1597031
10,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,62800757,147229506,,5461,44722813,20961,1597031
11,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,66119915,147229506,,5719,46979409,21835,1705380
11,FGM,80802,4,Lower0.5Upper2,121,121,0,36807376.5,66119915,147229506,,5719,46979409,21835,1705380
11,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,66119915,147229506,,5719,46979409,21835,1705380
11,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,66119915,147229506,,5719,46979409,21835,1705380
11,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,66119915,147229506,,5719,46979409,21835,1705380
11,Naive,80802,4,Lower0.5Upper2,3555288,44,11,33059957.5,66119915,132239830,,5719,46979409,21835,1705380
11,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,66119915,147229506,,5719,46979409,21835,1705380
12,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,67503004,147229506,,5779,47917963,22116,1763514
12,FGM,80802,4,Lower0.5Upper2,121,121,0,36807376.5,67503004,147229506,,5779,47917963,22116,1763514
12,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,67503004,147229506,,5779,47917963,22116,1763514
12,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,67503004,147229506,,5779,47917963,22116,1763514
12,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,67503004,147229506,,5779,47917963,22116,1763514
12,Naive,80802,4,Lower0.5Upper2,3878496,48,12,33751502,67503004,135006008,,5779,47917963,22116,1763514
12,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,67503004,147229506,,5779,47917963,22116,1763514
13,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,68243481,147229506,,5453,48298575,22971,1820187
13,FGM,80802,4,Lower0.5Upper2,121,121,0,36807376.5,68243481,147229506,,5453,48298575,22971,1820187
13,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,68243481,147229506,,5453,48298575,22971,1820187
13,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,68243481,147229506,,5453,48298575,22971,1820187
13,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,68243481,147229506,,5453,48298575,22971,1820187
13,Naive,80802,4,Lower0.5Upper2,4201704,52,13,34121740.5,68243481,136486962,,5453,48298575,22971,1820187
13,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,68243481,147229506,,5453,48298575,22971,1820187
14,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,68894731,147229506,,5309,48786890,22983,1856662
14,FGM,80802,4,Lower0.5Upper2,122,122,0,36807376.5,68894731,147229506,,5309,48786890,22983,1856662
14,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,68894731,147229506,,5309,48786890,22983,1856662
14,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,68894731,147229506,,5309,48786890,22983,1856662
14,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,68894731,147229506,,5309,48786890,22983,1856662
14,Naive,80802,4,Lower0.5Upper2,4524912,56,14,34447365.5,68894731,137789462,,5309,48786890,22983,1856662
14,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,68894731,147229506,,5309,48786890,22983,1856662
15,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,69538271,147229506,,5033,49249220,22891,1898201
15,FGM,80802,4,Lower0.5Upper2,122,122,0,36807376.5,69538271,147229506,,5033,49249220,22891,1898201
15,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,69538271,147229506,,5033,49249220,22891,1898201
15,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,69538271,147229506,,5033,49249220,22891,1898201
15,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,69538271,147229506,,5033,49249220,22891,1898201
15,Naive,80802,4,Lower0.5Upper2,4848120,60,15,34769135.5,69538271,139076542,,5033,49249220,22891,1898201
15,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,69538271,147229506,,5033,49249220,22891,1898201
16,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,70120518,147229506,,4754,49632847,24016,1932920
16,FGM,80802,4,Lower0.5Upper2,122,122,0,36807376.5,70120518,147229506,,4754,49632847,24016,1932920
16,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,70120518,147229506,,4754,49632847,24016,1932920
16,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,70120518,147229506,,4754,49632847,24016,1932920
16,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,70120518,147229506,,4754,49632847,24016,1932920
16,Naive,80802,4,Lower0.5Upper2,5171328,64,16,35060259,70120518,140241036,,4754,49632847,24016,1932920
16,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,70120518,147229506,,4754,49632847,24016,1932920
17,Value,80802,4,Lower0.5Upper2,24,30,0,36807376.5,70747077,147229506,,4742,50112651,24691,1955416
17,FGM,80802,4,Lower0.5Upper2,122,122,0,36807376.5,70747077,147229506,,4742,50112651,24691,1955416
17,Vector,80802,4,Lower0.5Upper2,2424060,40,0,36807376.5,70747077,147229506,,4742,50112651,24691,1955416
17,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,70747077,147229506,,4742,50112651,24691,1955416
17,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,70747077,147229506,,4742,50112651,24691,1955416
17,Naive,80802,4,Lower0.5Upper2,5494536,68,17,35373538.5,70747077,141494154,,4742,50112651,24691,1955416
17,Dist L2,80802,4,Lower0.5Upper2,30,39,0,36807376.5,70747077,147229506,,4742,50112651,24691,1955416
18,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,71909724,147229506,,4480,50941052,25615,1990532
18,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,71909724,147229506,,4480,50941052,25615,1990532
18,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,71909724,147229506,,4480,50941052,25615,1990532
18,Oracle Vector,80802,4,Lower0.5Upper2,1939248,30,0,36807376.5,71909724,147229506,,4480,50941052,25615,1990532
18,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,71909724,147229506,,4480,50941052,25615,1990532
18,Naive,80802,4,Lower0.5Upper2,5817744,72,18,35954862,71909724,143819448,,4480,50941052,25615,1990532
18,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,71909724,147229506,,4480,50941052,25615,1990532
19,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,73392350,147229506,,4364,52035852,25525,2036944
19,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,73392350,147229506,,4364,52035852,25525,2036944
19,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,73392350,147229506,,4364,52035852,25525,2036944
19,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,73392350,147229506,,4364,52035852,25525,2036944
19,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,73392350,147229506,,4364,52035852,25525,2036944
19,Naive,80802,4,Lower0.5Upper2,6140952,76,19,36696175,73392350,146784700,,4364,52035852,25525,2036944
19,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,73392350,147229506,,4364,52035852,25525,2036944
20,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,Naive,80802,4,Lower0.5Upper2,6464160,80,20,38048601,76097202,152194404,,4327,54150123,25035,2085864
20,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
21,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,Naive,80802,4,Lower0.5Upper2,6787368,84,21,39006755,78013510,156027020,,4344,55713398,25448,2098637
21,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
22,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,Naive,80802,4,Lower0.5Upper2,7110576,88,22,39670877.5,79341755,158683510,,4423,56739839,25842,2122790
22,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
23,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,Naive,80802,4,Lower0.5Upper2,7433784,92,23,40159611.5,80319223,160638446,,4637,57447571,25971,2144684
