LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64
1,Value,80802,64,Lower0.5Upper2,30,41,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,1,0,0,0,0,7,14048,15778183,10635121,897,0,0,0,1,575,20527,1080320,13835,90,0,0,0,5,250,23692,2,0,0,0,10668,714,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,80802,64,Lower0.5Upper2,28,28,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,1,0,0,0,0,7,14048,15778183,10635121,897,0,0,0,1,575,20527,1080320,13835,90,0,0,0,5,250,23692,2,0,0,0,10668,714,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,80802,64,Lower0.5Upper2,2262456,38,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,1,0,0,0,0,7,14048,15778183,10635121,897,0,0,0,1,575,20527,1080320,13835,90,0,0,0,5,250,23692,2,0,0,0,10668,714,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,80802,64,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,1,0,0,0,0,7,14048,15778183,10635121,897,0,0,0,1,575,20527,1080320,13835,90,0,0,0,5,250,23692,2,0,0,0,10668,714,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,80802,64,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,1,0,0,0,0,7,14048,15778183,10635121,897,0,0,0,1,575,20527,1080320,13835,90,0,0,0,5,250,23692,2,0,0,0,10668,714,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,80802,64,Lower0.5Upper2,5171328,64,1,33499870,66999740,133999480,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,1,0,0,0,0,7,14048,15778183,10635121,897,0,0,0,1,575,20527,1080320,13835,90,0,0,0,5,250,23692,2,0,0,0,10668,714,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,80802,64,Lower0.5Upper2,30,41,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,20,1,0,0,0,0,7,14048,15778183,10635121,897,0,0,0,1,575,20527,1080320,13835,90,0,0,0,5,250,23692,2,0,0,0,10668,714,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,80802,64,Lower0.5Upper2,106,149,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,10144,13868368,9734507,712,0,0,0,0,405,15512,922380,10587,67,0,0,0,6,219,23703,2,0,0,0,10842,620,0,0,0,0,0,0,0,0,1,0,0,0
2,FGM,80802,64,Lower0.5Upper2,233,233,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,10144,13868368,9734507,712,0,0,0,0,405,15512,922380,10587,67,0,0,0,6,219,23703,2,0,0,0,10842,620,0,0,0,0,0,0,0,0,1,0,0,0
2,Vector,80802,64,Lower0.5Upper2,5817744,99,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,10144,13868368,9734507,712,0,0,0,0,405,15512,922380,10587,67,0,0,0,6,219,23703,2,0,0,0,10842,620,0,0,0,0,0,0,0,0,1,0,0,0
2,Oracle Vector,80802,64,Lower0.5Upper2,484812,7,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,10144,13868368,9734507,712,0,0,0,0,405,15512,922380,10587,67,0,0,0,6,219,23703,2,0,0,0,10842,620,0,0,0,0,0,0,0,0,1,0,0,0
2,Oracle,80802,64,Lower0.5Upper2,0,0,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,10144,13868368,9734507,712,0,0,0,0,405,15512,922380,10587,67,0,0,0,6,219,23703,2,0,0,0,10842,620,0,0,0,0,0,0,0,0,1,0,0,0
2,Naive,80802,64,Lower0.5Upper2,10342656,128,2,29764817.5,59529635,119059270,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,10144,13868368,9734507,712,0,0,0,0,405,15512,922380,10587,67,0,0,0,6,219,23703,2,0,0,0,10842,620,0,0,0,0,0,0,0,0,1,0,0,0
2,Dist L2,80802,64,Lower0.5Upper2,90,125,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,16,1,0,0,0,0,5,10144,13868368,9734507,712,0,0,0,0,405,15512,922380,10587,67,0,0,0,6,219,23703,2,0,0,0,10842,620,0,0,0,0,0,0,0,0,1,0,0,0
3,Value,80802,64,Lower0.5Upper2,238,337,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,12,1,0,0,0,0,3,7046,12261327,8853325,613,0,0,0,0,234,11424,789063,7701,34,0,0,0,6,188,23648,2,0,0,0,10904,587,0,0,0,0,0,0,0,0,1,0,0,0
3,FGM,80802,64,Lower0.5Upper2,626,626,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,12,1,0,0,0,0,3,7046,12261327,8853325,613,0,0,0,0,234,11424,789063,7701,34,0,0,0,6,188,23648,2,0,0,0,10904,587,0,0,0,0,0,0,0,0,1,0,0,0
3,Vector,80802,64,Lower0.5Upper2,10342656,174,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,12,1,0,0,0,0,3,7046,12261327,8853325,613,0,0,0,0,234,11424,789063,7701,34,0,0,0,6,188,23648,2,0,0,0,10904,587,0,0,0,0,0,0,0,0,1,0,0,0
