LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81
1,Value,80802,81,Lower0.5Upper2,38,52,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,358737,1697245,27,0,0,0,0,1,994,151204,19878777,3323132,4215,7,0,0,0,1,36,11780,16079,32,28,0,0,0,261,54,22,0,0,0,0,0,0,13985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,80802,81,Lower0.5Upper2,34,34,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,358737,1697245,27,0,0,0,0,1,994,151204,19878777,3323132,4215,7,0,0,0,1,36,11780,16079,32,28,0,0,0,261,54,22,0,0,0,0,0,0,13985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,80802,81,Lower0.5Upper2,2908872,49,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,358737,1697245,27,0,0,0,0,1,994,151204,19878777,3323132,4215,7,0,0,0,1,36,11780,16079,32,28,0,0,0,261,54,22,0,0,0,0,0,0,13985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,80802,81,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,358737,1697245,27,0,0,0,0,1,994,151204,19878777,3323132,4215,7,0,0,0,1,36,11780,16079,32,28,0,0,0,261,54,22,0,0,0,0,0,0,13985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,80802,81,Lower0.5Upper2,0,0,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,358737,1697245,27,0,0,0,0,1,994,151204,19878777,3323132,4215,7,0,0,0,1,36,11780,16079,32,28,0,0,0,261,54,22,0,0,0,0,0,0,13985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,80802,81,Lower0.5Upper2,6544962,81,1,33499870,66999740,133999480,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,358737,1697245,27,0,0,0,0,1,994,151204,19878777,3323132,4215,7,0,0,0,1,36,11780,16079,32,28,0,0,0,261,54,22,0,0,0,0,0,0,13985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,80802,81,Lower0.5Upper2,36,49,0,36807376.5,66999740,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,358737,1697245,27,0,0,0,0,1,994,151204,19878777,3323132,4215,7,0,0,0,1,36,11780,16079,32,28,0,0,0,261,54,22,0,0,0,0,0,0,13985,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,80802,81,Lower0.5Upper2,134,189,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,315526,1518461,27,0,0,0,0,1,611,117969,18038399,2833949,2984,5,0,0,0,1,23,10405,15790,17,17,0,0,0,165,51,17,0,0,0,0,0,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,80802,81,Lower0.5Upper2,295,295,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,315526,1518461,27,0,0,0,0,1,611,117969,18038399,2833949,2984,5,0,0,0,1,23,10405,15790,17,17,0,0,0,165,51,17,0,0,0,0,0,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,80802,81,Lower0.5Upper2,7272180,123,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,315526,1518461,27,0,0,0,0,1,611,117969,18038399,2833949,2984,5,0,0,0,1,23,10405,15790,17,17,0,0,0,165,51,17,0,0,0,0,0,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle Vector,80802,81,Lower0.5Upper2,969624,15,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,315526,1518461,27,0,0,0,0,1,611,117969,18038399,2833949,2984,5,0,0,0,1,23,10405,15790,17,17,0,0,0,165,51,17,0,0,0,0,0,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,80802,81,Lower0.5Upper2,0,0,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,315526,1518461,27,0,0,0,0,1,611,117969,18038399,2833949,2984,5,0,0,0,1,23,10405,15790,17,17,0,0,0,165,51,17,0,0,0,0,0,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Naive,80802,81,Lower0.5Upper2,13089924,162,2,29764817.5,59529635,119059270,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,315526,1518461,27,0,0,0,0,1,611,117969,18038399,2833949,2984,5,0,0,0,1,23,10405,15790,17,17,0,0,0,165,51,17,0,0,0,0,0,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,80802,81,Lower0.5Upper2,112,154,0,36807376.5,59529635,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,315526,1518461,27,0,0,0,0,1,611,117969,18038399,2833949,2984,5,0,0,0,1,23,10405,15790,17,17,0,0,0,165,51,17,0,0,0,0,0,0,14184,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,80802,81,Lower0.5Upper2,294,418,0,36807376.5,52845854,147229506,,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,280844,1367038,27,0,0,0,0,1,375,90351,16244238,2451377,2018,2,0,0,0,0,16,8880,15383,12,7,0,0,0,123,44,15,0,0,0,0,0,0,14259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
