LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100
1,Value,20402,100,Lower0.5Upper2,44,62,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,84,48,1,0,0,0,0,0,58,47554,22936292,67842327,752972,0,0,0,0,1,11,1876,46029,2778848,220121,6430,33,0,0,0,0,3,666,92761,3,56,2,0,0,0,33945,34,21,10,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,20402,100,Lower0.5Upper2,36,36,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,84,48,1,0,0,0,0,0,58,47554,22936292,67842327,752972,0,0,0,0,1,11,1876,46029,2778848,220121,6430,33,0,0,0,0,3,666,92761,3,56,2,0,0,0,33945,34,21,10,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,20402,100,Lower0.5Upper2,856884,59,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,84,48,1,0,0,0,0,0,58,47554,22936292,67842327,752972,0,0,0,0,1,11,1876,46029,2778848,220121,6430,33,0,0,0,0,3,666,92761,3,56,2,0,0,0,33945,34,21,10,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,20402,100,Lower0.5Upper2,163216,10,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,84,48,1,0,0,0,0,0,58,47554,22936292,67842327,752972,0,0,0,0,1,11,1876,46029,2778848,220121,6430,33,0,0,0,0,3,666,92761,3,56,2,0,0,0,33945,34,21,10,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,20402,100,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,84,48,1,0,0,0,0,0,58,47554,22936292,67842327,752972,0,0,0,0,1,11,1876,46029,2778848,220121,6430,33,0,0,0,0,3,666,92761,3,56,2,0,0,0,33945,34,21,10,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,20402,100,Lower0.5Upper2,2040200,100,1,121723490.5,243446981,486893962,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,84,48,1,0,0,0,0,0,58,47554,22936292,67842327,752972,0,0,0,0,1,11,1876,46029,2778848,220121,6430,33,0,0,0,0,3,666,92761,3,56,2,0,0,0,33945,34,21,10,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,20402,100,Lower0.5Upper2,40,56,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,84,48,1,0,0,0,0,0,58,47554,22936292,67842327,752972,0,0,0,0,1,11,1876,46029,2778848,220121,6430,33,0,0,0,0,3,666,92761,3,56,2,0,0,0,33945,34,21,10,0,0,0,0,0,0,2063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,20402,100,Lower0.5Upper2,160,228,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,34,1,0,0,0,0,0,42,34344,20045568,61870911,618199,0,0,0,0,1,6,1278,33784,2344817,185720,4432,24,0,0,0,0,3,616,92510,2,49,2,0,0,0,34026,32,14,9,0,0,0,0,0,0,2190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,20402,100,Lower0.5Upper2,358,358,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,34,1,0,0,0,0,0,42,34344,20045568,61870911,618199,0,0,0,0,1,6,1278,33784,2344817,185720,4432,24,0,0,0,0,3,616,92510,2,49,2,0,0,0,34026,32,14,9,0,0,0,0,0,0,2190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,20402,100,Lower0.5Upper2,2285024,156,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,34,1,0,0,0,0,0,42,34344,20045568,61870911,618199,0,0,0,0,1,6,1278,33784,2344817,185720,4432,24,0,0,0,0,3,616,92510,2,49,2,0,0,0,34026,32,14,9,0,0,0,0,0,0,2190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle Vector,20402,100,Lower0.5Upper2,326432,20,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,34,1,0,0,0,0,0,42,34344,20045568,61870911,618199,0,0,0,0,1,6,1278,33784,2344817,185720,4432,24,0,0,0,0,3,616,92510,2,49,2,0,0,0,34026,32,14,9,0,0,0,0,0,0,2190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,20402,100,Lower0.5Upper2,0,0,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,34,1,0,0,0,0,0,42,34344,20045568,61870911,618199,0,0,0,0,1,6,1278,33784,2344817,185720,4432,24,0,0,0,0,3,616,92510,2,49,2,0,0,0,34026,32,14,9,0,0,0,0,0,0,2190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Naive,20402,100,Lower0.5Upper2,4080400,200,2,107811593,215623186,431246372,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,34,1,0,0,0,0,0,42,34344,20045568,61870911,618199,0,0,0,0,1,6,1278,33784,2344817,185720,4432,24,0,0,0,0,3,616,92510,2,49,2,0,0,0,34026,32,14,9,0,0,0,0,0,0,2190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,20402,100,Lower0.5Upper2,130,184,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,75,34,1,0,0,0,0,0,42,34344,20045568,61870911,618199,0,0,0,0,1,6,1278,33784,2344817,185720,4432,24,0,0,0,0,3,616,92510,2,49,2,0,0,0,34026,32,14,9,0,0,0,0,0,0,2190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,20402,100,Lower0.5Upper2,386,554,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,24,1,0,0,0,0,0,25,23835,17656626,55983647,530215,0,0,0,0,0,4,782,25068,1983541,154493,2771,16,0,0,0,0,3,530,91612,2,42,0,0,0,0,34140,32,10,4,0,0,0,0,0,0,2233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FGM,20402,100,Lower0.5Upper2,968,968,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,24,1,0,0,0,0,0,25,23835,17656626,55983647,530215,0,0,0,0,0,4,782,25068,1983541,154493,2771,16,0,0,0,0,3,530,91612,2,42,0,0,0,0,34140,32,10,4,0,0,0,0,0,0,2233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vector,20402,100,Lower0.5Upper2,4366028,295,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,24,1,0,0,0,0,0,25,23835,17656626,55983647,530215,0,0,0,0,0,4,782,25068,1983541,154493,2771,16,0,0,0,0,3,530,91612,2,42,0,0,0,0,34140,32,10,4,0,0,0,0,0,0,2233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle Vector,20402,100,Lower0.5Upper2,530452,32,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,24,1,0,0,0,0,0,25,23835,17656626,55983647,530215,0,0,0,0,0,4,782,25068,1983541,154493,2771,16,0,0,0,0,3,530,91612,2,42,0,0,0,0,34140,32,10,4,0,0,0,0,0,0,2233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle,20402,100,Lower0.5Upper2,0,0,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,24,1,0,0,0,0,0,25,23835,17656626,55983647,530215,0,0,0,0,0,4,782,25068,1983541,154493,2771,16,0,0,0,0,3,530,91612,2,42,0,0,0,0,34140,32,10,4,0,0,0,0,0,0,2233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Naive,20402,100,Lower0.5Upper2,6120600,300,3,95438569.5,190877139,381754278,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,24,1,0,0,0,0,0,25,23835,17656626,55983647,530215,0,0,0,0,0,4,782,25068,1983541,154493,2771,16,0,0,0,0,3,530,91612,2,42,0,0,0,0,34140,32,10,4,0,0,0,0,0,0,2233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L2,20402,100,Lower0.5Upper2,250,354,0,134073417.5,190877139,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,64,24,1,0,0,0,0,0,25,23835,17656626,55983647,530215,0,0,0,0,0,4,782,25068,1983541,154493,2771,16,0,0,0,0,3,530,91612,2,42,0,0,0,0,34140,32,10,4,0,0,0,0,0,0,2233,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,20402,100,Lower0.5Upper2,4081020,1230,1,85797147,171594294,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,18,1,0,0,0,0,0,18,16164,15612096,51141634,478890,0,0,0,0,0,4,487,17872,1761947,133376,1799,14,0,0,0,0,2,380,90815,2,38,0,0,0,0,34122,32,6,2,0,0,0,0,0,0,2232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FGM,20402,100,Lower0.5Upper2,4081878,1778,1,85797147,171594294,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,18,1,0,0,0,0,0,18,16164,15612096,51141634,478890,0,0,0,0,0,4,487,17872,1761947,133376,1799,14,0,0,0,0,2,380,90815,2,38,0,0,0,0,34122,32,6,2,0,0,0,0,0,0,2232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Vector,20402,100,Lower0.5Upper2,6936680,472,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,18,1,0,0,0,0,0,18,16164,15612096,51141634,478890,0,0,0,0,0,4,487,17872,1761947,133376,1799,14,0,0,0,0,2,380,90815,2,38,0,0,0,0,34122,32,6,2,0,0,0,0,0,0,2232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle Vector,20402,100,Lower0.5Upper2,734472,44,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,18,1,0,0,0,0,0,18,16164,15612096,51141634,478890,0,0,0,0,0,4,487,17872,1761947,133376,1799,14,0,0,0,0,2,380,90815,2,38,0,0,0,0,34122,32,6,2,0,0,0,0,0,0,2232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Oracle,20402,100,Lower0.5Upper2,0,0,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,18,1,0,0,0,0,0,18,16164,15612096,51141634,478890,0,0,0,0,0,4,487,17872,1761947,133376,1799,14,0,0,0,0,2,380,90815,2,38,0,0,0,0,34122,32,6,2,0,0,0,0,0,0,2232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Naive,20402,100,Lower0.5Upper2,8160800,400,4,85797147,171594294,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,18,1,0,0,0,0,0,18,16164,15612096,51141634,478890,0,0,0,0,0,4,487,17872,1761947,133376,1799,14,0,0,0,0,2,380,90815,2,38,0,0,0,0,34122,32,6,2,0,0,0,0,0,0,2232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Dist L2,20402,100,Lower0.5Upper2,390,554,0,134073417.5,171594294,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,18,1,0,0,0,0,0,18,16164,15612096,51141634,478890,0,0,0,0,0,4,487,17872,1761947,133376,1799,14,0,0,0,0,2,380,90815,2,38,0,0,0,0,34122,32,6,2,0,0,0,0,0,0,2232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Value,20402,100,Lower0.5Upper2,4081048,1270,1,85797147,159990972,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,7,0,0,0,0,0,0,15,12811,14177300,48284549,451319,0,0,0,0,0,2,285,12203,1657361,120479,1218,4,0,0,0,0,2,275,90143,1,37,0,0,0,0,34091,33,5,1,0,0,0,0,0,0,2225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,FGM,20402,100,Lower0.5Upper2,4081918,1818,1,85797147,159990972,343188588,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,7,0,0,0,0,0,0,15,12811,14177300,48284549,451319,0,0,0,0,0,2,285,12203,1657361,120479,1218,4,0,0,0,0,2,275,90143,1,37,0,0,0,0,34091,33,5,1,0,0,0,0,0,0,2225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Vector,20402,100,Lower0.5Upper2,10037784,685,0,134073417.5,159990972,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,7,0,0,0,0,0,0,15,12811,14177300,48284549,451319,0,0,0,0,0,2,285,12203,1657361,120479,1218,4,0,0,0,0,2,275,90143,1,37,0,0,0,0,34091,33,5,1,0,0,0,0,0,0,2225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Oracle Vector,20402,100,Lower0.5Upper2,938492,56,0,134073417.5,159990972,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,7,0,0,0,0,0,0,15,12811,14177300,48284549,451319,0,0,0,0,0,2,285,12203,1657361,120479,1218,4,0,0,0,0,2,275,90143,1,37,0,0,0,0,34091,33,5,1,0,0,0,0,0,0,2225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Oracle,20402,100,Lower0.5Upper2,0,0,0,134073417.5,159990972,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,7,0,0,0,0,0,0,15,12811,14177300,48284549,451319,0,0,0,0,0,2,285,12203,1657361,120479,1218,4,0,0,0,0,2,275,90143,1,37,0,0,0,0,34091,33,5,1,0,0,0,0,0,0,2225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Naive,20402,100,Lower0.5Upper2,10201000,500,5,79995486,159990972,319981944,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24,7,0,0,0,0,0,0,15,12811,14177300,48284549,451319,0,0,0,0,0,2,285,12203,1657361,120479,1218,4,0,0,0,0,2,275,90143,1,37,0,0,0,0,34091,33,5,1,0,0,0,0,0,0,2225,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
