LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144
1,Value,20402,144,Lower0.5Upper2,76,109,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,1,105607,76,2,0,0,0,0,0,0,1,226,43878,10168549,73001356,3588285,2423,0,0,0,0,0,1,10,1816,44441,209327,2387525,34932,1991,0,0,0,0,0,0,4,72,11864,47792,7,13,7,0,0,0,0,0,1,188,33,0,46,0,0,0,0,0,0,50421,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,20402,144,Lower0.5Upper2,46,46,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,1,105607,76,2,0,0,0,0,0,0,1,226,43878,10168549,73001356,3588285,2423,0,0,0,0,0,1,10,1816,44441,209327,2387525,34932,1991,0,0,0,0,0,0,4,72,11864,47792,7,13,7,0,0,0,0,0,1,188,33,0,46,0,0,0,0,0,0,50421,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,20402,144,Lower0.5Upper2,1183316,82,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,1,105607,76,2,0,0,0,0,0,0,1,226,43878,10168549,73001356,3588285,2423,0,0,0,0,0,1,10,1816,44441,209327,2387525,34932,1991,0,0,0,0,0,0,4,72,11864,47792,7,13,7,0,0,0,0,0,1,188,33,0,46,0,0,0,0,0,0,50421,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,20402,144,Lower0.5Upper2,163216,10,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,1,105607,76,2,0,0,0,0,0,0,1,226,43878,10168549,73001356,3588285,2423,0,0,0,0,0,1,10,1816,44441,209327,2387525,34932,1991,0,0,0,0,0,0,4,72,11864,47792,7,13,7,0,0,0,0,0,1,188,33,0,46,0,0,0,0,0,0,50421,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,20402,144,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,1,105607,76,2,0,0,0,0,0,0,1,226,43878,10168549,73001356,3588285,2423,0,0,0,0,0,1,10,1816,44441,209327,2387525,34932,1991,0,0,0,0,0,0,4,72,11864,47792,7,13,7,0,0,0,0,0,1,188,33,0,46,0,0,0,0,0,0,50421,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,20402,144,Lower0.5Upper2,2937888,144,1,121723490.5,243446981,486893962,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,1,105607,76,2,0,0,0,0,0,0,1,226,43878,10168549,73001356,3588285,2423,0,0,0,0,0,1,10,1816,44441,209327,2387525,34932,1991,0,0,0,0,0,0,4,72,11864,47792,7,13,7,0,0,0,0,0,1,188,33,0,46,0,0,0,0,0,0,50421,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,20402,144,Lower0.5Upper2,66,94,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,5,1,105607,76,2,0,0,0,0,0,0,1,226,43878,10168549,73001356,3588285,2423,0,0,0,0,0,1,10,1816,44441,209327,2387525,34932,1991,0,0,0,0,0,0,4,72,11864,47792,7,13,7,0,0,0,0,0,1,188,33,0,46,0,0,0,0,0,0,50421,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,20402,144,Lower0.5Upper2,288,415,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,95448,53,2,0,0,0,0,0,0,1,142,31835,8870799,66293517,3068702,1933,0,0,0,0,0,1,4,1235,32588,176424,2026641,26935,1300,0,0,0,0,0,0,4,68,11336,47950,5,10,5,0,0,0,0,0,2,186,31,0,42,0,0,0,0,0,0,51024,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,20402,144,Lower0.5Upper2,502,502,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,95448,53,2,0,0,0,0,0,0,1,142,31835,8870799,66293517,3068702,1933,0,0,0,0,0,1,4,1235,32588,176424,2026641,26935,1300,0,0,0,0,0,0,4,68,11336,47950,5,10,5,0,0,0,0,0,2,186,31,0,42,0,0,0,0,0,0,51024,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,20402,144,Lower0.5Upper2,3101104,211,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,95448,53,2,0,0,0,0,0,0,1,142,31835,8870799,66293517,3068702,1933,0,0,0,0,0,1,4,1235,32588,176424,2026641,26935,1300,0,0,0,0,0,0,4,68,11336,47950,5,10,5,0,0,0,0,0,2,186,31,0,42,0,0,0,0,0,0,51024,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
