LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144,Server 145,Server 146,Server 147,Server 148,Server 149,Server 150,Server 151,Server 152,Server 153,Server 154,Server 155,Server 156,Server 157,Server 158,Server 159,Server 160,Server 161,Server 162,Server 163,Server 164,Server 165,Server 166,Server 167,Server 168,Server 169
1,Value,20402,169,Lower0.5Upper2,92,130,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,93,13,0,0,0,0,0,0,0,0,9,2974,467266,18642418,7737483,58,0,0,0,0,0,0,1,31,5078,36913,2310677,26922329,2443637,16517,90,0,0,0,0,0,0,3,1320,3159,22831,760,146,597,14,0,0,0,0,0,1,3,680,86338,0,54,0,0,0,0,0,0,7,15,20,86,6,0,0,0,0,0,0,0,0,46201,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,20402,169,Lower0.5Upper2,47,47,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,93,13,0,0,0,0,0,0,0,0,9,2974,467266,18642418,7737483,58,0,0,0,0,0,0,1,31,5078,36913,2310677,26922329,2443637,16517,90,0,0,0,0,0,0,3,1320,3159,22831,760,146,597,14,0,0,0,0,0,1,3,680,86338,0,54,0,0,0,0,0,0,7,15,20,86,6,0,0,0,0,0,0,0,0,46201,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,20402,169,Lower0.5Upper2,1428140,97,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,93,13,0,0,0,0,0,0,0,0,9,2974,467266,18642418,7737483,58,0,0,0,0,0,0,1,31,5078,36913,2310677,26922329,2443637,16517,90,0,0,0,0,0,0,3,1320,3159,22831,760,146,597,14,0,0,0,0,0,1,3,680,86338,0,54,0,0,0,0,0,0,7,15,20,86,6,0,0,0,0,0,0,0,0,46201,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,20402,169,Lower0.5Upper2,244824,15,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,93,13,0,0,0,0,0,0,0,0,9,2974,467266,18642418,7737483,58,0,0,0,0,0,0,1,31,5078,36913,2310677,26922329,2443637,16517,90,0,0,0,0,0,0,3,1320,3159,22831,760,146,597,14,0,0,0,0,0,1,3,680,86338,0,54,0,0,0,0,0,0,7,15,20,86,6,0,0,0,0,0,0,0,0,46201,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,20402,169,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,93,13,0,0,0,0,0,0,0,0,9,2974,467266,18642418,7737483,58,0,0,0,0,0,0,1,31,5078,36913,2310677,26922329,2443637,16517,90,0,0,0,0,0,0,3,1320,3159,22831,760,146,597,14,0,0,0,0,0,1,3,680,86338,0,54,0,0,0,0,0,0,7,15,20,86,6,0,0,0,0,0,0,0,0,46201,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,20402,169,Lower0.5Upper2,3447938,169,1,121723490.5,243446981,486893962,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,93,13,0,0,0,0,0,0,0,0,9,2974,467266,18642418,7737483,58,0,0,0,0,0,0,1,31,5078,36913,2310677,26922329,2443637,16517,90,0,0,0,0,0,0,3,1320,3159,22831,760,146,597,14,0,0,0,0,0,1,3,680,86338,0,54,0,0,0,0,0,0,7,15,20,86,6,0,0,0,0,0,0,0,0,46201,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,20402,169,Lower0.5Upper2,82,115,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,93,13,0,0,0,0,0,0,0,0,9,2974,467266,18642418,7737483,58,0,0,0,0,0,0,1,31,5078,36913,2310677,26922329,2443637,16517,90,0,0,0,0,0,0,3,1320,3159,22831,760,146,597,14,0,0,0,0,0,1,3,680,86338,0,54,0,0,0,0,0,0,7,15,20,86,6,0,0,0,0,0,0,0,0,46201,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,20402,169,Lower0.5Upper2,344,491,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,80,13,0,0,0,0,0,0,0,0,7,1893,402063,16455868,7326587,54,0,0,0,0,0,0,1,24,3327,27567,1962143,23871768,2047543,12322,51,0,0,0,0,0,0,3,924,2734,19146,648,111,404,11,0,0,0,0,0,1,3,583,86389,0,48,0,0,0,0,0,0,7,14,14,100,5,0,0,0,0,0,0,0,0,46970,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,20402,169,Lower0.5Upper2,586,586,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,80,13,0,0,0,0,0,0,0,0,7,1893,402063,16455868,7326587,54,0,0,0,0,0,0,1,24,3327,27567,1962143,23871768,2047543,12322,51,0,0,0,0,0,0,3,924,2734,19146,648,111,404,11,0,0,0,0,0,1,3,583,86389,0,48,0,0,0,0,0,0,7,14,14,100,5,0,0,0,0,0,0,0,0,46970,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,20402,169,Lower0.5Upper2,3835576,263,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,80,13,0,0,0,0,0,0,0,0,7,1893,402063,16455868,7326587,54,0,0,0,0,0,0,1,24,3327,27567,1962143,23871768,2047543,12322,51,0,0,0,0,0,0,3,924,2734,19146,648,111,404,11,0,0,0,0,0,1,3,583,86389,0,48,0,0,0,0,0,0,7,14,14,100,5,0,0,0,0,0,0,0,0,46970,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
