LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Value,20402,16,Lower0.5Upper2,6,8,0,134073417.5,243446981,536293670,,0,100,0,0,0,50123,172411042,2432,0,2096,5390295,49479,0,51786,0,0
1,FGM,20402,16,Lower0.5Upper2,60,60,0,134073417.5,243446981,536293670,,0,100,0,0,0,50123,172411042,2432,0,2096,5390295,49479,0,51786,0,0
1,Vector,20402,16,Lower0.5Upper2,122412,8,0,134073417.5,243446981,536293670,,0,100,0,0,0,50123,172411042,2432,0,2096,5390295,49479,0,51786,0,0
1,Oracle Vector,20402,16,Lower0.5Upper2,122412,8,0,134073417.5,243446981,536293670,,0,100,0,0,0,50123,172411042,2432,0,2096,5390295,49479,0,51786,0,0
1,Oracle,20402,16,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,0,100,0,0,0,50123,172411042,2432,0,2096,5390295,49479,0,51786,0,0
1,Naive,20402,16,Lower0.5Upper2,326432,16,1,121723490.5,243446981,486893962,,0,100,0,0,0,50123,172411042,2432,0,2096,5390295,49479,0,51786,0,0
1,Dist L2,20402,16,Lower0.5Upper2,6,8,0,134073417.5,243446981,536293670,,0,100,0,0,0,50123,172411042,2432,0,2096,5390295,49479,0,51786,0,0
2,Value,20402,16,Lower0.5Upper2,16,22,0,134073417.5,215623186,536293670,,0,100,0,0,0,36270,153902815,1942,0,1434,4608005,36910,0,52393,1,0
2,FGM,20402,16,Lower0.5Upper2,62,62,0,134073417.5,215623186,536293670,,0,100,0,0,0,36270,153902815,1942,0,1434,4608005,36910,0,52393,1,0
2,Vector,20402,16,Lower0.5Upper2,326432,22,0,134073417.5,215623186,536293670,,0,100,0,0,0,36270,153902815,1942,0,1434,4608005,36910,0,52393,1,0
2,Oracle Vector,20402,16,Lower0.5Upper2,285628,19,0,134073417.5,215623186,536293670,,0,100,0,0,0,36270,153902815,1942,0,1434,4608005,36910,0,52393,1,0
2,Oracle,20402,16,Lower0.5Upper2,0,0,0,134073417.5,215623186,536293670,,0,100,0,0,0,36270,153902815,1942,0,1434,4608005,36910,0,52393,1,0
2,Naive,20402,16,Lower0.5Upper2,652864,32,2,107811593,215623186,431246372,,0,100,0,0,0,36270,153902815,1942,0,1434,4608005,36910,0,52393,1,0
2,Dist L2,20402,16,Lower0.5Upper2,16,22,0,134073417.5,215623186,536293670,,0,100,0,0,0,36270,153902815,1942,0,1434,4608005,36910,0,52393,1,0
3,Value,20402,16,Lower0.5Upper2,38,51,0,134073417.5,190877139,536293670,,0,93,0,0,0,25113,137333488,1653,0,904,3948361,26358,0,52760,1,0
3,FGM,20402,16,Lower0.5Upper2,113,113,0,134073417.5,190877139,536293670,,0,93,0,0,0,25113,137333488,1653,0,904,3948361,26358,0,52760,1,0
3,Vector,20402,16,Lower0.5Upper2,693668,46,0,134073417.5,190877139,536293670,,0,93,0,0,0,25113,137333488,1653,0,904,3948361,26358,0,52760,1,0
3,Oracle Vector,20402,16,Lower0.5Upper2,612060,40,0,134073417.5,190877139,536293670,,0,93,0,0,0,25113,137333488,1653,0,904,3948361,26358,0,52760,1,0
3,Oracle,20402,16,Lower0.5Upper2,0,0,0,134073417.5,190877139,536293670,,0,93,0,0,0,25113,137333488,1653,0,904,3948361,26358,0,52760,1,0
3,Naive,20402,16,Lower0.5Upper2,979296,48,3,95438569.5,190877139,381754278,,0,93,0,0,0,25113,137333488,1653,0,904,3948361,26358,0,52760,1,0
