LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36
1,Value,20402,36,Lower0.5Upper2,14,20,0,134073417.5,243446981,536293670,,0,0,100,0,0,0,0,0,0,2,0,0,0,5,49779,138622303,3751505,0,0,1,2030,445657,3314456,2368,0,0,52202,336,47,0,0,0,0,0,0,0
1,FGM,20402,36,Lower0.5Upper2,19,19,0,134073417.5,243446981,536293670,,0,0,100,0,0,0,0,0,0,2,0,0,0,5,49779,138622303,3751505,0,0,1,2030,445657,3314456,2368,0,0,52202,336,47,0,0,0,0,0,0,0
1,Vector,20402,36,Lower0.5Upper2,244824,17,0,134073417.5,243446981,536293670,,0,0,100,0,0,0,0,0,0,2,0,0,0,5,49779,138622303,3751505,0,0,1,2030,445657,3314456,2368,0,0,52202,336,47,0,0,0,0,0,0,0
1,Oracle Vector,20402,36,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,0,0,100,0,0,0,0,0,0,2,0,0,0,5,49779,138622303,3751505,0,0,1,2030,445657,3314456,2368,0,0,52202,336,47,0,0,0,0,0,0,0
1,Oracle,20402,36,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,0,0,100,0,0,0,0,0,0,2,0,0,0,5,49779,138622303,3751505,0,0,1,2030,445657,3314456,2368,0,0,52202,336,47,0,0,0,0,0,0,0
1,Naive,20402,36,Lower0.5Upper2,734472,36,1,121723490.5,243446981,486893962,,0,0,100,0,0,0,0,0,0,2,0,0,0,5,49779,138622303,3751505,0,0,1,2030,445657,3314456,2368,0,0,52202,336,47,0,0,0,0,0,0,0
1,Dist L2,20402,36,Lower0.5Upper2,12,17,0,134073417.5,243446981,536293670,,0,0,100,0,0,0,0,0,0,2,0,0,0,5,49779,138622303,3751505,0,0,1,2030,445657,3314456,2368,0,0,52202,336,47,0,0,0,0,0,0,0
2,Value,20402,36,Lower0.5Upper2,48,67,0,134073417.5,215623186,536293670,,0,0,100,0,0,0,0,0,0,0,0,0,0,5,36012,124354743,3200748,0,0,1,1386,369445,2839229,1559,0,0,52803,310,43,0,0,0,0,1,0,0
2,FGM,20402,36,Lower0.5Upper2,135,135,0,134073417.5,215623186,536293670,,0,0,100,0,0,0,0,0,0,0,0,0,0,5,36012,124354743,3200748,0,0,1,1386,369445,2839229,1559,0,0,52803,310,43,0,0,0,0,1,0,0
2,Vector,20402,36,Lower0.5Upper2,856884,58,0,134073417.5,215623186,536293670,,0,0,100,0,0,0,0,0,0,0,0,0,0,5,36012,124354743,3200748,0,0,1,1386,369445,2839229,1559,0,0,52803,310,43,0,0,0,0,1,0,0
2,Oracle Vector,20402,36,Lower0.5Upper2,163216,10,0,134073417.5,215623186,536293670,,0,0,100,0,0,0,0,0,0,0,0,0,0,5,36012,124354743,3200748,0,0,1,1386,369445,2839229,1559,0,0,52803,310,43,0,0,0,0,1,0,0
2,Oracle,20402,36,Lower0.5Upper2,0,0,0,134073417.5,215623186,536293670,,0,0,100,0,0,0,0,0,0,0,0,0,0,5,36012,124354743,3200748,0,0,1,1386,369445,2839229,1559,0,0,52803,310,43,0,0,0,0,1,0,0
2,Naive,20402,36,Lower0.5Upper2,1468944,72,2,107811593,215623186,431246372,,0,0,100,0,0,0,0,0,0,0,0,0,0,5,36012,124354743,3200748,0,0,1,1386,369445,2839229,1559,0,0,52803,310,43,0,0,0,0,1,0,0
2,Dist L2,20402,36,Lower0.5Upper2,42,57,0,134073417.5,215623186,536293670,,0,0,100,0,0,0,0,0,0,0,0,0,0,5,36012,124354743,3200748,0,0,1,1386,369445,2839229,1559,0,0,52803,310,43,0,0,0,0,1,0,0
3,Value,20402,36,Lower0.5Upper2,100,139,0,134073417.5,190877139,536293670,,0,0,93,0,0,0,0,0,0,0,0,0,0,3,24924,111414850,2793735,0,0,0,865,305830,2430344,866,0,0,53149,235,39,0,0,0,0,1,0,0
3,FGM,20402,36,Lower0.5Upper2,248,248,0,134073417.5,190877139,536293670,,0,0,93,0,0,0,0,0,0,0,0,0,0,3,24924,111414850,2793735,0,0,0,865,305830,2430344,866,0,0,53149,235,39,0,0,0,0,1,0,0
3,Vector,20402,36,Lower0.5Upper2,1713768,114,0,134073417.5,190877139,536293670,,0,0,93,0,0,0,0,0,0,0,0,0,0,3,24924,111414850,2793735,0,0,0,865,305830,2430344,866,0,0,53149,235,39,0,0,0,0,1,0,0
3,Oracle Vector,20402,36,Lower0.5Upper2,326432,20,0,134073417.5,190877139,536293670,,0,0,93,0,0,0,0,0,0,0,0,0,0,3,24924,111414850,2793735,0,0,0,865,305830,2430344,866,0,0,53149,235,39,0,0,0,0,1,0,0
3,Oracle,20402,36,Lower0.5Upper2,0,0,0,134073417.5,190877139,536293670,,0,0,93,0,0,0,0,0,0,0,0,0,0,3,24924,111414850,2793735,0,0,0,865,305830,2430344,866,0,0,53149,235,39,0,0,0,0,1,0,0
3,Naive,20402,36,Lower0.5Upper2,2203416,108,3,95438569.5,190877139,381754278,,0,0,93,0,0,0,0,0,0,0,0,0,0,3,24924,111414850,2793735,0,0,0,865,305830,2430344,866,0,0,53149,235,39,0,0,0,0,1,0,0
3,Dist L2,20402,36,Lower0.5Upper2,78,106,0,134073417.5,190877139,536293670,,0,0,93,0,0,0,0,0,0,0,0,0,0,3,24924,111414850,2793735,0,0,0,865,305830,2430344,866,0,0,53149,235,39,0,0,0,0,1,0,0
4,Value,20402,36,Lower0.5Upper2,180,253,0,134073417.5,171594294,536293670,,0,0,87,0,0,0,0,0,0,0,0,0,0,2,16905,100276206,2569134,0,0,0,536,260156,2175320,535,0,0,53087,151,37,0,0,0,0,1,0,0
4,FGM,20402,36,Lower0.5Upper2,469,469,0,134073417.5,171594294,536293670,,0,0,87,0,0,0,0,0,0,0,0,0,0,2,16905,100276206,2569134,0,0,0,536,260156,2175320,535,0,0,53087,151,37,0,0,0,0,1,0,0
4,Vector,20402,36,Lower0.5Upper2,2774672,186,0,134073417.5,171594294,536293670,,0,0,87,0,0,0,0,0,0,0,0,0,0,2,16905,100276206,2569134,0,0,0,536,260156,2175320,535,0,0,53087,151,37,0,0,0,0,1,0,0
4,Oracle Vector,20402,36,Lower0.5Upper2,408040,25,0,134073417.5,171594294,536293670,,0,0,87,0,0,0,0,0,0,0,0,0,0,2,16905,100276206,2569134,0,0,0,536,260156,2175320,535,0,0,53087,151,37,0,0,0,0,1,0,0
4,Oracle,20402,36,Lower0.5Upper2,0,0,0,134073417.5,171594294,536293670,,0,0,87,0,0,0,0,0,0,0,0,0,0,2,16905,100276206,2569134,0,0,0,536,260156,2175320,535,0,0,53087,151,37,0,0,0,0,1,0,0
4,Naive,20402,36,Lower0.5Upper2,2937888,144,4,85797147,171594294,343188588,,0,0,87,0,0,0,0,0,0,0,0,0,0,2,16905,100276206,2569134,0,0,0,536,260156,2175320,535,0,0,53087,151,37,0,0,0,0,1,0,0
