LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
1,Value,20402,4,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,50340,173190497,64708,5935437
1,FGM,20402,4,Lower0.5Upper2,3,3,0,134073417.5,243446981,536293670,,50340,173190497,64708,5935437
1,Vector,20402,4,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,50340,173190497,64708,5935437
1,Oracle Vector,20402,4,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,50340,173190497,64708,5935437
1,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,50340,173190497,64708,5935437
1,Naive,20402,4,Lower0.5Upper2,81608,4,1,121723490.5,243446981,486893962,,50340,173190497,64708,5935437
1,Dist L2,20402,4,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,50340,173190497,64708,5935437
2,Value,20402,4,Lower0.5Upper2,4,5,0,134073417.5,215623186,536293670,,36473,154551546,62800,5051756
2,FGM,20402,4,Lower0.5Upper2,16,16,0,134073417.5,215623186,536293670,,36473,154551546,62800,5051756
2,Vector,20402,4,Lower0.5Upper2,81608,5,0,134073417.5,215623186,536293670,,36473,154551546,62800,5051756
2,Oracle Vector,20402,4,Lower0.5Upper2,81608,5,0,134073417.5,215623186,536293670,,36473,154551546,62800,5051756
2,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,215623186,536293670,,36473,154551546,62800,5051756
2,Naive,20402,4,Lower0.5Upper2,163216,8,2,107811593,215623186,431246372,,36473,154551546,62800,5051756
2,Dist L2,20402,4,Lower0.5Upper2,4,5,0,134073417.5,215623186,536293670,,36473,154551546,62800,5051756
3,Value,20402,4,Lower0.5Upper2,8,10,0,134073417.5,190877139,536293670,,25297,137895898,60526,4298387
3,FGM,20402,4,Lower0.5Upper2,29,29,0,134073417.5,190877139,536293670,,25297,137895898,60526,4298387
3,Vector,20402,4,Lower0.5Upper2,204020,13,0,134073417.5,190877139,536293670,,25297,137895898,60526,4298387
3,Oracle Vector,20402,4,Lower0.5Upper2,163216,10,0,134073417.5,190877139,536293670,,25297,137895898,60526,4298387
3,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,190877139,536293670,,25297,137895898,60526,4298387
3,Naive,20402,4,Lower0.5Upper2,244824,12,3,95438569.5,190877139,381754278,,25297,137895898,60526,4298387
3,Dist L2,20402,4,Lower0.5Upper2,8,10,0,134073417.5,190877139,536293670,,25297,137895898,60526,4298387
4,Value,20402,4,Lower0.5Upper2,14,17,0,134073417.5,171594294,536293670,,17200,124277163,58637,3818143
4,FGM,20402,4,Lower0.5Upper2,42,42,0,134073417.5,171594294,536293670,,17200,124277163,58637,3818143
4,Vector,20402,4,Lower0.5Upper2,326432,21,0,134073417.5,171594294,536293670,,17200,124277163,58637,3818143
4,Oracle Vector,20402,4,Lower0.5Upper2,244824,15,0,134073417.5,171594294,536293670,,17200,124277163,58637,3818143
4,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,171594294,536293670,,17200,124277163,58637,3818143
4,Naive,20402,4,Lower0.5Upper2,326432,16,4,85797147,171594294,343188588,,17200,124277163,58637,3818143
4,Dist L2,20402,4,Lower0.5Upper2,16,20,0,134073417.5,171594294,536293670,,17200,124277163,58637,3818143
5,Value,20402,4,Lower0.5Upper2,20,25,0,134073417.5,159990972,536293670,,13655,115699742,57484,3573016
5,FGM,20402,4,Lower0.5Upper2,55,55,0,134073417.5,159990972,536293670,,13655,115699742,57484,3573016
5,Vector,20402,4,Lower0.5Upper2,448844,29,0,134073417.5,159990972,536293670,,13655,115699742,57484,3573016
5,Oracle Vector,20402,4,Lower0.5Upper2,244824,15,0,134073417.5,159990972,536293670,,13655,115699742,57484,3573016
5,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,159990972,536293670,,13655,115699742,57484,3573016
5,Naive,20402,4,Lower0.5Upper2,408040,20,5,79995486,159990972,319981944,,13655,115699742,57484,3573016
5,Dist L2,20402,4,Lower0.5Upper2,22,28,0,134073417.5,159990972,536293670,,13655,115699742,57484,3573016
6,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,157041224,536293670,,12454,113277045,60239,3529767
6,FGM,20402,4,Lower0.5Upper2,68,68,0,134073417.5,157041224,536293670,,12454,113277045,60239,3529767
6,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,157041224,536293670,,12454,113277045,60239,3529767
6,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,157041224,536293670,,12454,113277045,60239,3529767
6,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,157041224,536293670,,12454,113277045,60239,3529767
6,Naive,20402,4,Lower0.5Upper2,489648,24,6,78520612,157041224,314082448,,12454,113277045,60239,3529767
6,Dist L2,20402,4,Lower0.5Upper2,28,36,0,134073417.5,157041224,536293670,,12454,113277045,60239,3529767
7,Value,20402,4,Lower0.5Upper2,24,30,0,134073417.5,164248419,536293670,,12740,118095896,63442,3744358
7,FGM,20402,4,Lower0.5Upper2,81,81,0,134073417.5,164248419,536293670,,12740,118095896,63442,3744358
7,Vector,20402,4,Lower0.5Upper2,571256,37,0,134073417.5,164248419,536293670,,12740,118095896,63442,3744358
7,Oracle Vector,20402,4,Lower0.5Upper2,326432,20,0,134073417.5,164248419,536293670,,12740,118095896,63442,3744358
7,Oracle,20402,4,Lower0.5Upper2,0,0,0,134073417.5,164248419,536293670,,12740,118095896,63442,3744358
7,Naive,20402,4,Lower0.5Upper2,571256,28,7,82124209.5,164248419,328496838,,12740,118095896,63442,3744358
