LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64
1,Value,20402,64,Lower0.5Upper2,26,36,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,52,2,0,0,0,0,27,48638,56413211,37382451,2432,0,0,0,7,1950,68289,3770712,45160,268,0,0,0,8,790,82612,51,1,0,0,35869,2060,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,20402,64,Lower0.5Upper2,28,28,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,52,2,0,0,0,0,27,48638,56413211,37382451,2432,0,0,0,7,1950,68289,3770712,45160,268,0,0,0,8,790,82612,51,1,0,0,35869,2060,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,20402,64,Lower0.5Upper2,489648,33,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,52,2,0,0,0,0,27,48638,56413211,37382451,2432,0,0,0,7,1950,68289,3770712,45160,268,0,0,0,8,790,82612,51,1,0,0,35869,2060,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,20402,64,Lower0.5Upper2,122412,8,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,52,2,0,0,0,0,27,48638,56413211,37382451,2432,0,0,0,7,1950,68289,3770712,45160,268,0,0,0,8,790,82612,51,1,0,0,35869,2060,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,20402,64,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,52,2,0,0,0,0,27,48638,56413211,37382451,2432,0,0,0,7,1950,68289,3770712,45160,268,0,0,0,8,790,82612,51,1,0,0,35869,2060,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,20402,64,Lower0.5Upper2,1305728,64,1,121723490.5,243446981,486893962,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,52,2,0,0,0,0,27,48638,56413211,37382451,2432,0,0,0,7,1950,68289,3770712,45160,268,0,0,0,8,790,82612,51,1,0,0,35869,2060,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,20402,64,Lower0.5Upper2,26,36,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,52,2,0,0,0,0,27,48638,56413211,37382451,2432,0,0,0,7,1950,68289,3770712,45160,268,0,0,0,8,790,82612,51,1,0,0,35869,2060,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,20402,64,Lower0.5Upper2,88,123,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,44,1,0,0,0,0,21,35126,49466675,34102193,1942,0,0,0,4,1331,51565,3198548,34028,185,0,0,0,8,710,82668,47,1,0,0,36514,1896,0,0,0,0,0,0,0,0,1,0,0,0
2,FGM,20402,64,Lower0.5Upper2,233,233,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,44,1,0,0,0,0,21,35126,49466675,34102193,1942,0,0,0,4,1331,51565,3198548,34028,185,0,0,0,8,710,82668,47,1,0,0,36514,1896,0,0,0,0,0,0,0,0,1,0,0,0
2,Vector,20402,64,Lower0.5Upper2,1468944,100,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,44,1,0,0,0,0,21,35126,49466675,34102193,1942,0,0,0,4,1331,51565,3198548,34028,185,0,0,0,8,710,82668,47,1,0,0,36514,1896,0,0,0,0,0,0,0,0,1,0,0,0
