LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81
1,Value,20402,81,Lower0.5Upper2,32,44,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,119,1213425,5603173,72,0,0,0,0,7,3183,523075,73384955,11351721,13744,19,0,0,0,1,141,40338,55866,125,79,0,0,0,507,170,71,0,46,0,0,0,0,47317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,FGM,20402,81,Lower0.5Upper2,34,34,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,119,1213425,5603173,72,0,0,0,0,7,3183,523075,73384955,11351721,13744,19,0,0,0,1,141,40338,55866,125,79,0,0,0,507,170,71,0,46,0,0,0,0,47317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,20402,81,Lower0.5Upper2,612060,41,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,119,1213425,5603173,72,0,0,0,0,7,3183,523075,73384955,11351721,13744,19,0,0,0,1,141,40338,55866,125,79,0,0,0,507,170,71,0,46,0,0,0,0,47317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,20402,81,Lower0.5Upper2,122412,8,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,119,1213425,5603173,72,0,0,0,0,7,3183,523075,73384955,11351721,13744,19,0,0,0,1,141,40338,55866,125,79,0,0,0,507,170,71,0,46,0,0,0,0,47317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,20402,81,Lower0.5Upper2,0,0,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,119,1213425,5603173,72,0,0,0,0,7,3183,523075,73384955,11351721,13744,19,0,0,0,1,141,40338,55866,125,79,0,0,0,507,170,71,0,46,0,0,0,0,47317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,20402,81,Lower0.5Upper2,1652562,81,1,121723490.5,243446981,486893962,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,119,1213425,5603173,72,0,0,0,0,7,3183,523075,73384955,11351721,13744,19,0,0,0,1,141,40338,55866,125,79,0,0,0,507,170,71,0,46,0,0,0,0,47317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,20402,81,Lower0.5Upper2,30,41,0,134073417.5,243446981,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,119,1213425,5603173,72,0,0,0,0,7,3183,523075,73384955,11351721,13744,19,0,0,0,1,141,40338,55866,125,79,0,0,0,507,170,71,0,46,0,0,0,0,47317,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,20402,81,Lower0.5Upper2,116,162,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79,1063583,5002521,71,0,0,0,0,7,2044,407781,66367016,9612348,9561,13,0,0,0,1,96,35706,54876,88,52,0,0,0,370,170,61,0,42,0,0,0,0,48066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,FGM,20402,81,Lower0.5Upper2,294,294,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79,1063583,5002521,71,0,0,0,0,7,2044,407781,66367016,9612348,9561,13,0,0,0,1,96,35706,54876,88,52,0,0,0,370,170,61,0,42,0,0,0,0,48066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,20402,81,Lower0.5Upper2,1795376,120,0,134073417.5,215623186,536293670,,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,79,1063583,5002521,71,0,0,0,0,7,2044,407781,66367016,9612348,9561,13,0,0,0,1,96,35706,54876,88,52,0,0,0,370,170,61,0,42,0,0,0,0,48066,0,0,0,0,0,0,0,0,0,0,0,0,0,0
