LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81,Server 82,Server 83,Server 84,Server 85,Server 86,Server 87,Server 88,Server 89,Server 90,Server 91,Server 92,Server 93,Server 94,Server 95,Server 96,Server 97,Server 98,Server 99,Server 100,Server 101,Server 102,Server 103,Server 104,Server 105,Server 106,Server 107,Server 108,Server 109,Server 110,Server 111,Server 112,Server 113,Server 114,Server 115,Server 116,Server 117,Server 118,Server 119,Server 120,Server 121,Server 122,Server 123,Server 124,Server 125,Server 126,Server 127,Server 128,Server 129,Server 130,Server 131,Server 132,Server 133,Server 134,Server 135,Server 136,Server 137,Server 138,Server 139,Server 140,Server 141,Server 142,Server 143,Server 144,Server 145,Server 146,Server 147,Server 148,Server 149,Server 150,Server 151,Server 152,Server 153,Server 154,Server 155,Server 156,Server 157,Server 158,Server 159,Server 160,Server 161,Server 162,Server 163,Server 164,Server 165,Server 166,Server 167,Server 168,Server 169,Server 170,Server 171,Server 172,Server 173,Server 174,Server 175,Server 176,Server 177,Server 178,Server 179,Server 180,Server 181,Server 182,Server 183,Server 184,Server 185,Server 186,Server 187,Server 188,Server 189,Server 190,Server 191,Server 192,Server 193,Server 194,Server 195,Server 196,Server 197,Server 198,Server 199,Server 200,Server 201,Server 202,Server 203,Server 204,Server 205,Server 206,Server 207,Server 208,Server 209,Server 210,Server 211,Server 212,Server 213,Server 214,Server 215,Server 216,Server 217,Server 218,Server 219,Server 220,Server 221,Server 222,Server 223,Server 224,Server 225
1,Value,8192,225,Lower0.5Upper2,126,177,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,5,2,0,6,129,108,1,0,0,0,0,0,0,0,0,1,33,12982,670296,35702950,39958841,860343,0,0,0,0,0,0,0,2,6,99,9771,32789,344326,25050502,13127247,329765,3807,0,0,0,0,0,0,0,1,17,4207,248,54690,5319,6688,1527,713,9,0,0,0,0,0,2,5,4,593,18219,101923,6,16,2,4,0,0,0,0,0,0,0,34,356,27,0,0,47,1,0,0,0,0,0,0,74047,59,22,1,0,0,0,0,0,0,0,0,0,0,0,3958,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,8192,225,Lower0.5Upper2,819200,138,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,5,2,0,6,129,108,1,0,0,0,0,0,0,0,0,1,33,12982,670296,35702950,39958841,860343,0,0,0,0,0,0,0,2,6,99,9771,32789,344326,25050502,13127247,329765,3807,0,0,0,0,0,0,0,1,17,4207,248,54690,5319,6688,1527,713,9,0,0,0,0,0,2,5,4,593,18219,101923,6,16,2,4,0,0,0,0,0,0,0,34,356,27,0,0,47,1,0,0,0,0,0,0,74047,59,22,1,0,0,0,0,0,0,0,0,0,0,0,3958,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,8192,225,Lower0.5Upper2,114688,16,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,5,2,0,6,129,108,1,0,0,0,0,0,0,0,0,1,33,12982,670296,35702950,39958841,860343,0,0,0,0,0,0,0,2,6,99,9771,32789,344326,25050502,13127247,329765,3807,0,0,0,0,0,0,0,1,17,4207,248,54690,5319,6688,1527,713,9,0,0,0,0,0,2,5,4,593,18219,101923,6,16,2,4,0,0,0,0,0,0,0,34,356,27,0,0,47,1,0,0,0,0,0,0,74047,59,22,1,0,0,0,0,0,0,0,0,0,0,0,3958,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,8192,225,Lower0.5Upper2,0,0,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,5,2,0,6,129,108,1,0,0,0,0,0,0,0,0,1,33,12982,670296,35702950,39958841,860343,0,0,0,0,0,0,0,2,6,99,9771,32789,344326,25050502,13127247,329765,3807,0,0,0,0,0,0,0,1,17,4207,248,54690,5319,6688,1527,713,9,0,0,0,0,0,2,5,4,593,18219,101923,6,16,2,4,0,0,0,0,0,0,0,34,356,27,0,0,47,1,0,0,0,0,0,0,74047,59,22,1,0,0,0,0,0,0,0,0,0,0,0,3958,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,8192,225,Lower0.5Upper2,1843200,225,1,265163944,530327888,1060655776,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,5,2,0,6,129,108,1,0,0,0,0,0,0,0,0,1,33,12982,670296,35702950,39958841,860343,0,0,0,0,0,0,0,2,6,99,9771,32789,344326,25050502,13127247,329765,3807,0,0,0,0,0,0,0,1,17,4207,248,54690,5319,6688,1527,713,9,0,0,0,0,0,2,5,4,593,18219,101923,6,16,2,4,0,0,0,0,0,0,0,34,356,27,0,0,47,1,0,0,0,0,0,0,74047,59,22,1,0,0,0,0,0,0,0,0,0,0,0,3958,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,8192,225,Lower0.5Upper2,114,159,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,5,2,0,6,129,108,1,0,0,0,0,0,0,0,0,1,33,12982,670296,35702950,39958841,860343,0,0,0,0,0,0,0,2,6,99,9771,32789,344326,25050502,13127247,329765,3807,0,0,0,0,0,0,0,1,17,4207,248,54690,5319,6688,1527,713,9,0,0,0,0,0,2,5,4,593,18219,101923,6,16,2,4,0,0,0,0,0,0,0,34,356,27,0,0,47,1,0,0,0,0,0,0,74047,59,22,1,0,0,0,0,0,0,0,0,0,0,0,3958,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,8192,225,Lower0.5Upper2,478,688,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,4,124,74,1,0,0,0,0,0,0,0,0,1,26,8727,577801,31372634,37357750,776717,0,0,0,0,0,0,0,2,6,88,6596,23388,280905,21846245,10962518,265360,2783,0,0,0,0,0,0,0,0,13,2773,211,46300,4334,5516,1026,476,9,0,0,0,0,0,2,4,4,513,17789,102649,5,15,2,4,0,0,0,0,0,0,0,14,358,23,0,0,42,1,0,0,0,0,0,0,74416,58,20,0,0,0,0,0,0,0,0,0,0,0,0,4232,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,8192,225,Lower0.5Upper2,2129920,363,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,4,124,74,1,0,0,0,0,0,0,0,0,1,26,8727,577801,31372634,37357750,776717,0,0,0,0,0,0,0,2,6,88,6596,23388,280905,21846245,10962518,265360,2783,0,0,0,0,0,0,0,0,13,2773,211,46300,4334,5516,1026,476,9,0,0,0,0,0,2,4,4,513,17789,102649,5,15,2,4,0,0,0,0,0,0,0,14,358,23,0,0,42,1,0,0,0,0,0,0,74416,58,20,0,0,0,0,0,0,0,0,0,0,0,0,4232,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle Vector,8192,225,Lower0.5Upper2,409600,63,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,4,124,74,1,0,0,0,0,0,0,0,0,1,26,8727,577801,31372634,37357750,776717,0,0,0,0,0,0,0,2,6,88,6596,23388,280905,21846245,10962518,265360,2783,0,0,0,0,0,0,0,0,13,2773,211,46300,4334,5516,1026,476,9,0,0,0,0,0,2,4,4,513,17789,102649,5,15,2,4,0,0,0,0,0,0,0,14,358,23,0,0,42,1,0,0,0,0,0,0,74416,58,20,0,0,0,0,0,0,0,0,0,0,0,0,4232,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,8192,225,Lower0.5Upper2,0,0,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,0,4,124,74,1,0,0,0,0,0,0,0,0,1,26,8727,577801,31372634,37357750,776717,0,0,0,0,0,0,0,2,6,88,6596,23388,280905,21846245,10962518,265360,2783,0,0,0,0,0,0,0,0,13,2773,211,46300,4334,5516,1026,476,9,0,0,0,0,0,2,4,4,513,17789,102649,5,15,2,4,0,0,0,0,0,0,0,14,358,23,0,0,42,1,0,0,0,0,0,0,74416,58,20,0,0,0,0,0,0,0,0,0,0,0,0,4232,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
