LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64
1,Value,8192,64,Lower0.5Upper2,26,36,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,115,2,0,0,0,0,114,109990,125057030,80346367,5035,0,0,0,12,4348,151252,7673612,99158,540,0,0,0,16,1734,178827,54,2,0,0,79265,3669,3,1,0,0,0,0,0,0,0,0,0,0
1,Vector,8192,64,Lower0.5Upper2,212992,36,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,115,2,0,0,0,0,114,109990,125057030,80346367,5035,0,0,0,12,4348,151252,7673612,99158,540,0,0,0,16,1734,178827,54,2,0,0,79265,3669,3,1,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,8192,64,Lower0.5Upper2,81920,13,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,115,2,0,0,0,0,114,109990,125057030,80346367,5035,0,0,0,12,4348,151252,7673612,99158,540,0,0,0,16,1734,178827,54,2,0,0,79265,3669,3,1,0,0,0,0,0,0,0,0,0,0
1,Oracle,8192,64,Lower0.5Upper2,0,0,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,115,2,0,0,0,0,114,109990,125057030,80346367,5035,0,0,0,12,4348,151252,7673612,99158,540,0,0,0,16,1734,178827,54,2,0,0,79265,3669,3,1,0,0,0,0,0,0,0,0,0,0
1,Dist L2,8192,64,Lower0.5Upper2,26,36,0,293200824,530327888,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,115,2,0,0,0,0,114,109990,125057030,80346367,5035,0,0,0,12,4348,151252,7673612,99158,540,0,0,0,16,1734,178827,54,2,0,0,79265,3669,3,1,0,0,0,0,0,0,0,0,0,0
2,Value,8192,64,Lower0.5Upper2,86,120,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,97,2,0,0,0,0,109,79189,109603551,72817526,4021,0,0,0,10,2982,113059,6447560,74097,371,0,0,0,15,1551,179230,48,2,0,0,80776,3525,0,1,0,0,0,0,0,0,1,0,0,0
2,Vector,8192,64,Lower0.5Upper2,606208,102,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,97,2,0,0,0,0,109,79189,109603551,72817526,4021,0,0,0,10,2982,113059,6447560,74097,371,0,0,0,15,1551,179230,48,2,0,0,80776,3525,0,1,0,0,0,0,0,0,1,0,0,0
2,Oracle Vector,8192,64,Lower0.5Upper2,180224,28,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,97,2,0,0,0,0,109,79189,109603551,72817526,4021,0,0,0,10,2982,113059,6447560,74097,371,0,0,0,15,1551,179230,48,2,0,0,80776,3525,0,1,0,0,0,0,0,0,1,0,0,0
2,Oracle,8192,64,Lower0.5Upper2,0,0,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,97,2,0,0,0,0,109,79189,109603551,72817526,4021,0,0,0,10,2982,113059,6447560,74097,371,0,0,0,15,1551,179230,48,2,0,0,80776,3525,0,1,0,0,0,0,0,0,1,0,0,0
2,Dist L2,8192,64,Lower0.5Upper2,90,125,0,293200824,467824084,1172803296,,0,0,0,0,0,0,0,0,0,0,0,196,3,0,0,0,0,0,1,0,97,2,0,0,0,0,109,79189,109603551,72817526,4021,0,0,0,10,2982,113059,6447560,74097,371,0,0,0,15,1551,179230,48,2,0,0,80776,3525,0,1,0,0,0,0,0,0,1,0,0,0
3,Value,8192,64,Lower0.5Upper2,192,272,0,293200824,412812650,1172803296,,0,0,0,0,0,0,0,0,0,0,0,193,3,0,0,0,0,0,0,0,96,2,0,0,0,0,90,54901,96529301,65686270,3431,0,0,0,5,1886,83533,5454312,52725,189,0,0,0,18,1274,178840,41,1,0,0,81454,3500,0,1,0,0,0,0,0,0,1,0,0,0
3,Vector,8192,64,Lower0.5Upper2,1097728,185,0,293200824,412812650,1172803296,,0,0,0,0,0,0,0,0,0,0,0,193,3,0,0,0,0,0,0,0,96,2,0,0,0,0,90,54901,96529301,65686270,3431,0,0,0,5,1886,83533,5454312,52725,189,0,0,0,18,1274,178840,41,1,0,0,81454,3500,0,1,0,0,0,0,0,0,1,0,0,0
3,Oracle Vector,8192,64,Lower0.5Upper2,294912,46,0,293200824,412812650,1172803296,,0,0,0,0,0,0,0,0,0,0,0,193,3,0,0,0,0,0,0,0,96,2,0,0,0,0,90,54901,96529301,65686270,3431,0,0,0,5,1886,83533,5454312,52725,189,0,0,0,18,1274,178840,41,1,0,0,81454,3500,0,1,0,0,0,0,0,0,1,0,0,0
