LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Naive,8192,16,Lower0.5Upper2,131072,16,1,265163944,530327888,1060655776,,0,206,3,0,1,113322,376865060,5035,0,4648,11237185,108429,0,113009,6,0
2,Naive,8192,16,Lower0.5Upper2,262144,32,2,233912042,467824084,935648168,,0,206,3,0,0,81773,335152320,4021,0,3204,9555542,80245,0,114725,4,0
3,Naive,8192,16,Lower0.5Upper2,393216,48,3,206406325,412812650,825625300,,0,203,3,0,0,56740,298050556,3431,0,2063,8157618,56695,0,115735,3,0
4,Naive,8192,16,Lower0.5Upper2,524288,64,4,185143631,370287262,740574524,,0,182,1,0,0,38298,268052490,3157,0,1289,7261625,41785,0,115694,5,0
5,Naive,8192,16,Lower0.5Upper2,655360,80,5,172350649,344701298,689402596,,0,212,1,0,0,30187,249187206,3027,0,718,6810827,31329,0,116310,5,0
6,Naive,8192,16,Lower0.5Upper2,786432,96,6,169121057.5,338242115,676484230,,0,222,2,0,0,27428,243732970,2972,0,522,6763116,26474,0,124114,3,0
7,Naive,8192,16,Lower0.5Upper2,917504,112,7,177476132.5,354952265,709904530,,0,213,2,0,0,27784,254938161,2974,0,310,7231252,25023,0,132827,3,0
8,Naive,8192,16,Lower0.5Upper2,1048576,128,8,196486572.5,392973145,785946290,,0,218,2,0,0,30856,280669751,3094,0,238,8313162,26208,0,140407,3,0
9,Naive,8192,16,Lower0.5Upper2,1179648,144,9,225888891.5,451777783,903555566,,0,228,2,0,0,36121,320603103,3936,0,212,9916950,28896,0,149096,3,0
10,Naive,8192,16,Lower0.5Upper2,1310720,160,10,253305176.5,506610353,1013220706,,0,222,2,0,0,38806,359251110,4315,0,188,11249724,29004,0,155943,5,0
11,Naive,8192,16,Lower0.5Upper2,1441792,176,11,268688442.5,537376885,1074753770,,0,209,2,0,0,40109,379831882,4647,0,186,12234333,29178,0,164074,7,0
12,Naive,8192,16,Lower0.5Upper2,1572864,192,12,275776914.5,551553829,1103107658,,0,204,2,0,0,40242,389577257,4909,0,182,12755280,28936,0,166171,12,0
13,Naive,8192,16,Lower0.5Upper2,1703936,208,13,280427369,560854738,1121709476,,0,200,4,0,0,38447,395010461,5396,0,170,13251632,28350,0,172906,15,0
14,Naive,8192,16,Lower0.5Upper2,1835008,224,14,284514953.5,569029907,1138059814,,0,117,4,0,0,37189,400813367,5531,0,173,13608683,27813,0,174849,15,0
15,Naive,8192,16,Lower0.5Upper2,1966080,240,15,288480645,576961290,1153922580,,0,117,4,0,0,35209,406433645,5575,0,178,14004834,27513,0,173542,14,0
16,Naive,8192,16,Lower0.5Upper2,2097152,256,16,291610059.5,583220119,1166440238,,0,132,4,0,0,33333,410598980,5979,0,160,14312257,27392,0,181865,15,0
17,Naive,8192,16,Lower0.5Upper2,2228224,272,17,294636438.5,589272877,1178545754,,0,119,4,0,0,33055,415114456,6289,0,149,14513649,26718,0,186999,14,0
18,Naive,8192,16,Lower0.5Upper2,2359296,288,18,299866156.5,599732313,1199464626,,0,130,4,0,0,31800,422613335,6765,0,154,14818225,25078,0,193527,14,0
19,Naive,8192,16,Lower0.5Upper2,2490368,304,19,307166740,614333480,1228666960,,0,112,4,0,0,30840,433419131,7325,0,143,15180606,25519,0,193802,14,0
20,Naive,8192,16,Lower0.5Upper2,2621440,320,20,318854701,637709402,1275418804,,0,118,4,0,0,30803,451779636,7935,0,136,15544441,25880,0,190272,14,0
21,Naive,8192,16,Lower0.5Upper2,2752512,336,21,327014166.5,654028333,1308056666,,0,118,4,0,0,31227,464967939,8301,0,122,15652635,26022,0,193043,14,0
22,Naive,8192,16,Lower0.5Upper2,2883584,352,22,332587511.5,665175023,1330350046,,0,118,2,0,0,32039,473485075,8704,0,124,15833831,25830,0,194866,9,0
23,Naive,8192,16,Lower0.5Upper2,3014656,368,23,336613958,673227916,1346455832,,0,118,2,0,0,33303,479310029,8563,0,120,16001304,25381,0,194638,9,0
24,Naive,8192,16,Lower0.5Upper2,3145728,384,24,340359654.5,680719309,1361438618,,0,118,1,0,0,34100,485136548,8608,0,110,16104680,25997,0,191747,9,0
25,Naive,8192,16,Lower0.5Upper2,3276800,400,25,343137645.5,686275291,1372550582,,0,123,1,0,0,34830,489737389,8625,0,98,16127612,26050,0,193671,9,0
26,Naive,8192,16,Lower0.5Upper2,3407872,416,26,344861040,689722080,1379444160,,0,123,2,0,0,35447,492446623,8595,0,102,16172010,26302,0,194917,9,0
27,Naive,8192,16,Lower0.5Upper2,3538944,432,27,346042773.5,692085547,1384171094,,0,128,2,0,0,35672,494392861,8575,0,93,16191384,26341,0,193550,8,0
28,Naive,8192,16,Lower0.5Upper2,3670016,448,28,346735710.5,693471421,1386942842,,0,128,2,0,0,36005,495548970,8595,0,102,16183661,26597,0,193764,7,0
29,Naive,8192,16,Lower0.5Upper2,3801088,464,29,347029803.5,694059607,1388119214,,0,110,2,0,0,35762,496005298,8664,0,96,16199787,26730,0,193964,7,0
30,Naive,8192,16,Lower0.5Upper2,3932160,480,30,346711506.5,693423013,1386846026,,0,101,1,0,0,35864,495783929,8672,0,95,16182188,26577,0,189378,7,0
31,Naive,8192,16,Lower0.5Upper2,4063232,496,31,346690028,693380056,1386760112,,0,108,1,0,0,36406,496538260,8721,0,94,16087153,26712,0,185098,7,0
32,Naive,8192,16,Lower0.5Upper2,4194304,512,32,349111345.5,698222691,1396445382,,0,98,1,0,0,36305,499829796,8844,0,101,16275918,27179,0,187800,5,0
33,Naive,8192,16,Lower0.5Upper2,4325376,528,33,353573898,707147796,1414295592,,0,81,1,0,0,37168,506327969,8134,0,104,16527745,27854,0,186525,5,0
34,Naive,8192,16,Lower0.5Upper2,4456448,544,34,359678053.5,719356107,1438712214,,0,75,1,0,0,38341,515094183,8243,0,103,16886385,28382,0,181854,2,0
35,Naive,8192,16,Lower0.5Upper2,4587520,560,35,363786982.5,727573965,1455147930,,0,75,1,0,0,38069,522249960,8359,0,103,16972948,28241,0,177693,0,0
36,Naive,8192,16,Lower0.5Upper2,4718592,576,36,368109395.5,736218791,1472437582,,0,75,1,0,0,38270,528451483,8429,0,99,17184250,28105,0,180920,0,0
37,Naive,8192,16,Lower0.5Upper2,4849664,592,37,370579354,741158708,1482317416,,0,80,1,0,0,38342,533433020,8190,0,94,17146523,28425,0,172990,0,0
38,Naive,8192,16,Lower0.5Upper2,4980736,608,38,373162780,746325560,1492651120,,0,88,1,0,0,38314,537229758,8157,0,90,17291271,28405,0,168310,0,0
39,Naive,8192,16,Lower0.5Upper2,5111808,624,39,376307474,752614948,1505229896,,0,64,1,0,0,39498,542908747,8333,0,86,17295961,28525,0,164680,0,0
40,Naive,8192,16,Lower0.5Upper2,5242880,640,40,378990185.5,757980371,1515960742,,0,66,1,0,0,39822,547972645,8767,0,88,17288895,28544,0,160610,0,0
41,Naive,8192,16,Lower0.5Upper2,5373952,656,41,380662551,761325102,1522650204,,0,64,1,0,0,39898,550808377,8541,0,93,17311911,28768,0,157059,0,0
42,Naive,8192,16,Lower0.5Upper2,5505024,672,42,383936255.5,767872511,1535745022,,0,48,1,0,0,40317,556179199,9087,0,99,17401560,29531,0,153695,0,0
43,Naive,8192,16,Lower0.5Upper2,5636096,688,43,391184064,782368128,1564736256,,0,48,1,0,0,40987,567689402,9250,0,112,17610215,29860,0,150939,0,0
44,Naive,8192,16,Lower0.5Upper2,5767168,704,44,398707213.5,797414427,1594828854,,0,41,1,0,0,43337,579613403,9393,0,119,17797577,29737,0,149968,0,0
45,Naive,8192,16,Lower0.5Upper2,5898240,720,45,405384749.5,810769499,1621538998,,0,41,1,0,0,44192,590386722,9034,0,121,17986334,30215,0,144762,0,0
46,Naive,8192,16,Lower0.5Upper2,6029312,736,46,415153850.5,830307701,1660615402,,0,41,1,0,0,45440,607251025,8712,0,128,17977030,30734,0,141333,0,0
47,Naive,8192,16,Lower0.5Upper2,6160384,752,47,423256750.5,846513501,1693027002,,0,41,1,0,0,46382,621379513,8971,0,127,18005672,31218,0,134457,0,0
48,Naive,8192,16,Lower0.5Upper2,6291456,768,48,428923178,857846356,1715692712,,0,41,0,0,0,48119,631279255,9025,0,131,17990343,31956,0,131943,0,0
49,Naive,8192,16,Lower0.5Upper2,6422528,784,49,433389669,866779338,1733558676,,0,36,0,0,0,48897,638699611,8981,0,156,18074095,31988,0,130286,0,0
50,Naive,8192,16,Lower0.5Upper2,6553600,800,50,436477171.5,872954343,1745908686,,0,41,0,0,0,48968,643868419,9066,0,188,18113402,31847,0,129054,1,0
51,Naive,8192,16,Lower0.5Upper2,6684672,816,51,438694731.5,877389463,1754778926,,1,34,0,0,0,48857,647600224,9085,0,214,18128858,31881,0,129351,1,0
52,Naive,8192,16,Lower0.5Upper2,6815744,832,52,439901915,879803830,1759607660,,1,38,0,0,0,49173,649536950,9104,0,239,18164803,31796,0,129360,1,0
53,Naive,8192,16,Lower0.5Upper2,6946816,848,53,440481661,880963322,1761926644,,1,46,0,0,0,49682,650463273,9073,0,242,18183935,31678,0,127919,1,0
54,Naive,8192,16,Lower0.5Upper2,7077888,864,54,440330968.5,880661937,1761323874,,1,38,0,0,0,49783,650156155,9074,0,250,18216264,31965,0,125645,1,0
55,Naive,8192,16,Lower0.5Upper2,7208960,880,55,439747979,879495958,1758991916,,1,26,0,0,0,49685,649544617,9046,0,258,18180712,32275,0,122404,1,0
56,Naive,8192,16,Lower0.5Upper2,7340032,896,56,441459165,882918330,1765836660,,1,28,0,0,0,51251,652443939,8985,0,248,18208649,31199,0,116434,1,0
57,Naive,8192,16,Lower0.5Upper2,7471104,912,57,442828401.5,885656803,1771313606,,1,30,0,0,0,50885,654363461,9229,0,248,18330186,30521,0,114383,2,0
58,Naive,8192,16,Lower0.5Upper2,7602176,928,58,442456972,884913944,1769827888,,1,32,0,0,0,49961,654076804,9255,0,242,18302466,30533,0,113381,2,0
59,Naive,8192,16,Lower0.5Upper2,7733248,944,59,442137674.5,884275349,1768550698,,1,32,0,0,0,49923,653979738,9304,0,243,18248313,30814,0,113747,2,0
60,Naive,8192,16,Lower0.5Upper2,7864320,960,60,442228315,884456630,1768913260,,1,32,0,0,0,49641,654819090,9201,0,245,18193289,30919,0,113894,2,0
61,Naive,8192,16,Lower0.5Upper2,7995392,976,61,443127495.5,886254991,1772509982,,0,26,0,0,0,50014,656117394,9228,0,248,18266058,29864,0,115566,2,0
62,Naive,8192,16,Lower0.5Upper2,8126464,992,62,442503190,885006380,1770012760,,0,22,0,0,0,49899,655697493,9111,0,246,18206813,30325,0,117184,2,0
63,Naive,8192,16,Lower0.5Upper2,8257536,1008,63,443939421.5,887878843,1775757686,,0,28,0,0,0,49024,658359256,9328,0,260,18258444,30476,0,114763,3,0
64,Naive,8192,16,Lower0.5Upper2,8388608,1024,64,445063517,890127034,1780254068,,0,14,0,0,0,49238,660379809,8913,0,256,18326443,30036,0,112321,4,0
65,Naive,8192,16,Lower0.5Upper2,8519680,1040,65,445249674.5,890499349,1780998698,,0,23,0,0,0,48576,660783317,8938,0,262,18388029,30031,0,109719,2,0
66,Naive,8192,16,Lower0.5Upper2,8650752,1056,66,445337928.5,890675857,1781351714,,0,25,0,0,0,48020,661356358,8385,0,243,18393091,30479,0,104214,4,0
67,Naive,8192,16,Lower0.5Upper2,8781824,1072,67,444149867.5,888299735,1776599470,,0,28,0,0,0,48551,658985690,8451,0,245,18461694,30811,0,103118,4,0
68,Naive,8192,16,Lower0.5Upper2,8912896,1088,68,451597045,903194090,1806388180,,0,36,0,0,0,48867,670117266,8570,0,241,18735180,32493,0,104022,4,0
69,Naive,8192,16,Lower0.5Upper2,9043968,1104,69,458391012,916782024,1833564048,,0,36,0,0,0,51647,680884456,8923,0,252,18935786,32692,0,105754,5,0
70,Naive,8192,16,Lower0.5Upper2,9175040,1120,70,461668863.5,923337727,1846675454,,0,36,1,0,0,53630,685379869,9219,0,252,19293132,32509,0,103210,6,0
71,Naive,8192,16,Lower0.5Upper2,9306112,1136,71,473108081.5,946216163,1892432326,,0,36,1,0,0,56372,703149812,9205,0,286,19684759,33050,0,103846,6,0
72,Naive,8192,16,Lower0.5Upper2,9437184,1152,72,490965413,981930826,1963861652,,0,36,2,0,0,63157,731724569,9410,0,295,20186526,33293,0,104089,6,0
73,Naive,8192,16,Lower0.5Upper2,9568256,1168,73,513633920.5,1027267841,2054535682,,0,37,2,0,0,70584,768529570,9592,0,346,20639730,34001,0,102760,6,0
74,Naive,8192,16,Lower0.5Upper2,9699328,1184,74,535751885,1071503770,2143007540,,0,36,2,0,0,78435,804190784,9546,0,414,21094255,35120,0,104239,5,0
75,Naive,8192,16,Lower0.5Upper2,9830400,1200,75,554785718.5,1109571437,2219142874,,0,36,0,0,0,84985,835210791,9654,0,479,21495447,36596,0,104367,5,0
76,Naive,8192,16,Lower0.5Upper2,9961472,1216,76,568592927.5,1137185855,2274371710,,0,35,0,0,0,89484,857845602,9704,0,585,21749542,37563,0,104431,7,0
77,Naive,8192,16,Lower0.5Upper2,10092544,1232,77,574353004.5,1148706009,2297412018,,0,33,0,0,0,91632,867535678,9677,7,626,21857456,38275,0,104478,8,0
78,Naive,8192,16,Lower0.5Upper2,10223616,1248,78,571592483.5,1143184967,2286369934,,0,31,0,0,0,90718,864536439,9719,7,632,21623885,38101,0,101243,8,0
79,Naive,8192,16,Lower0.5Upper2,10354688,1264,79,552962909.5,1105925819,2211851638,,0,31,0,0,0,87247,837306636,9747,7,642,20841756,36911,0,100251,7,0
80,Naive,8192,16,Lower0.5Upper2,10485760,1280,80,517651019,1035302038,2070604076,,0,34,0,0,0,81440,787201664,9539,7,631,19072590,34879,0,98978,7,0
81,Naive,8192,16,Lower0.5Upper2,10616832,1296,81,474910021,949820042,1899640084,,0,29,0,0,0,76877,725961391,8967,7,627,17018772,32705,0,96380,8,0
82,Naive,8192,16,Lower0.5Upper2,10747904,1312,82,445867995.5,891735991,1783471982,,0,26,0,0,0,75193,681816639,8658,7,651,16074770,34212,0,95272,8,0
83,Naive,8192,16,Lower0.5Upper2,10878976,1328,83,436102556,872205112,1744410224,,0,30,0,0,0,76870,666551688,8815,7,658,15791153,34872,0,93282,7,0
84,Naive,8192,16,Lower0.5Upper2,11010048,1344,84,433933068,867866136,1735732272,,0,39,0,0,0,79565,662310380,8864,7,656,15808395,35192,0,91367,6,0
85,Naive,8192,16,Lower0.5Upper2,11141120,1360,85,432550407,865100814,1730201628,,0,48,0,0,0,81400,659654020,8867,7,670,15830540,37072,0,89463,6,0
86,Naive,8192,16,Lower0.5Upper2,11272192,1376,86,433499278.5,866998557,1733997114,,0,52,0,0,0,84384,660710157,8958,7,683,15847726,37004,0,87351,7,0
87,Naive,8192,16,Lower0.5Upper2,11403264,1392,87,430861992,861723984,1723447968,,0,45,0,0,0,87226,656712711,8541,7,680,15648016,37554,0,88600,6,0
88,Naive,8192,16,Lower0.5Upper2,11534336,1408,88,431746058,863492116,1726984232,,0,79,0,0,0,89763,658314959,8413,5,677,15561297,38068,0,89945,7,0
89,Naive,8192,16,Lower0.5Upper2,11665408,1424,89,435577709,871155418,1742310836,,0,62,1,0,0,93308,664609097,8207,0,721,15523279,38454,0,92725,7,0
90,Naive,8192,16,Lower0.5Upper2,11796480,1440,90,436443307.5,872886615,1745773230,,0,75,1,0,0,98618,666025860,7517,0,798,15489847,37992,0,97627,6,0
91,Naive,8192,16,Lower0.5Upper2,11927552,1456,91,432137998.5,864275997,1728551994,,0,65,1,0,0,104198,658799696,7067,0,858,15359065,37434,0,102508,6,0
92,Naive,8192,16,Lower0.5Upper2,12058624,1472,92,427426260,854852520,1709705040,,0,56,0,0,0,109323,650400014,6691,0,871,15264088,35735,0,103005,3,0
93,Naive,8192,16,Lower0.5Upper2,12189696,1488,93,423375977,846751954,1693503908,,0,56,0,0,0,110703,642731542,6537,0,912,15352561,34902,0,101407,10,0
94,Naive,8192,16,Lower0.5Upper2,12320768,1504,94,420193326.5,840386653,1680773306,,0,56,0,0,0,110529,636971709,6352,0,960,15339020,35431,0,101524,10,0
