LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Value,8192,16,Lower0.5Upper2,6,8,0,293200824,530327888,1172803296,,0,206,3,0,1,113322,376865060,5035,0,4648,11237185,108429,0,113009,6,0
1,Vector,8192,16,Lower0.5Upper2,49152,8,0,293200824,530327888,1172803296,,0,206,3,0,1,113322,376865060,5035,0,4648,11237185,108429,0,113009,6,0
1,Oracle Vector,8192,16,Lower0.5Upper2,49152,8,0,293200824,530327888,1172803296,,0,206,3,0,1,113322,376865060,5035,0,4648,11237185,108429,0,113009,6,0
1,Oracle,8192,16,Lower0.5Upper2,0,0,0,293200824,530327888,1172803296,,0,206,3,0,1,113322,376865060,5035,0,4648,11237185,108429,0,113009,6,0
1,Dist L2,8192,16,Lower0.5Upper2,8,11,0,293200824,530327888,1172803296,,0,206,3,0,1,113322,376865060,5035,0,4648,11237185,108429,0,113009,6,0
2,Value,8192,16,Lower0.5Upper2,14,19,0,293200824,467824084,1172803296,,0,206,3,0,0,81773,335152320,4021,0,3204,9555542,80245,0,114725,4,0
2,Vector,8192,16,Lower0.5Upper2,114688,19,0,293200824,467824084,1172803296,,0,206,3,0,0,81773,335152320,4021,0,3204,9555542,80245,0,114725,4,0
2,Oracle Vector,8192,16,Lower0.5Upper2,131072,21,0,293200824,467824084,1172803296,,0,206,3,0,0,81773,335152320,4021,0,3204,9555542,80245,0,114725,4,0
2,Oracle,8192,16,Lower0.5Upper2,0,0,0,293200824,467824084,1172803296,,0,206,3,0,0,81773,335152320,4021,0,3204,9555542,80245,0,114725,4,0
2,Dist L2,8192,16,Lower0.5Upper2,20,27,0,293200824,467824084,1172803296,,0,206,3,0,0,81773,335152320,4021,0,3204,9555542,80245,0,114725,4,0
3,Value,8192,16,Lower0.5Upper2,36,49,0,293200824,412812650,1172803296,,0,203,3,0,0,56740,298050556,3431,0,2063,8157618,56695,0,115735,3,0
