LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25,Server 26,Server 27,Server 28,Server 29,Server 30,Server 31,Server 32,Server 33,Server 34,Server 35,Server 36,Server 37,Server 38,Server 39,Server 40,Server 41,Server 42,Server 43,Server 44,Server 45,Server 46,Server 47,Server 48,Server 49,Server 50,Server 51,Server 52,Server 53,Server 54,Server 55,Server 56,Server 57,Server 58,Server 59,Server 60,Server 61,Server 62,Server 63,Server 64,Server 65,Server 66,Server 67,Server 68,Server 69,Server 70,Server 71,Server 72,Server 73,Server 74,Server 75,Server 76,Server 77,Server 78,Server 79,Server 80,Server 81
1,Value,20000,81,Lower0.5Upper2,32,44,0,128929868,233450814,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,153,1205514,5644627,62,0,0,0,0,7,3225,524737,67213890,11225875,14259,15,0,0,0,6,140,41560,55501,136,82,0,0,0,523,175,70,0,1,0,0,0,0,47299,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Vector,20000,81,Lower0.5Upper2,640000,44,0,128929868,233450814,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,153,1205514,5644627,62,0,0,0,0,7,3225,524737,67213890,11225875,14259,15,0,0,0,6,140,41560,55501,136,82,0,0,0,523,175,70,0,1,0,0,0,0,47299,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle Vector,20000,81,Lower0.5Upper2,120000,8,0,128929868,233450814,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,153,1205514,5644627,62,0,0,0,0,7,3225,524737,67213890,11225875,14259,15,0,0,0,6,140,41560,55501,136,82,0,0,0,523,175,70,0,1,0,0,0,0,47299,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Oracle,20000,81,Lower0.5Upper2,0,0,0,128929868,233450814,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,153,1205514,5644627,62,0,0,0,0,7,3225,524737,67213890,11225875,14259,15,0,0,0,6,140,41560,55501,136,82,0,0,0,523,175,70,0,1,0,0,0,0,47299,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Naive,20000,81,Lower0.5Upper2,1620000,81,1,116725407,233450814,466901628,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,153,1205514,5644627,62,0,0,0,0,7,3225,524737,67213890,11225875,14259,15,0,0,0,6,140,41560,55501,136,82,0,0,0,523,175,70,0,1,0,0,0,0,47299,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Dist L2,20000,81,Lower0.5Upper2,32,44,0,128929868,233450814,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,153,1205514,5644627,62,0,0,0,0,7,3225,524737,67213890,11225875,14259,15,0,0,0,6,140,41560,55501,136,82,0,0,0,523,175,70,0,1,0,0,0,0,47299,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Value,20000,81,Lower0.5Upper2,122,171,0,128929868,206178002,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,91,1055142,5033410,62,0,0,0,0,7,2078,407367,60610575,9484932,10115,8,0,0,0,4,101,36849,54758,76,56,0,0,0,384,166,50,0,1,0,0,0,0,48063,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Vector,20000,81,Lower0.5Upper2,1920000,132,0,128929868,206178002,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,91,1055142,5033410,62,0,0,0,0,7,2078,407367,60610575,9484932,10115,8,0,0,0,4,101,36849,54758,76,56,0,0,0,384,166,50,0,1,0,0,0,0,48063,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle Vector,20000,81,Lower0.5Upper2,560000,36,0,128929868,206178002,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,91,1055142,5033410,62,0,0,0,0,7,2078,407367,60610575,9484932,10115,8,0,0,0,4,101,36849,54758,76,56,0,0,0,384,166,50,0,1,0,0,0,0,48063,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Oracle,20000,81,Lower0.5Upper2,0,0,0,128929868,206178002,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,91,1055142,5033410,62,0,0,0,0,7,2078,407367,60610575,9484932,10115,8,0,0,0,4,101,36849,54758,76,56,0,0,0,384,166,50,0,1,0,0,0,0,48063,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Naive,20000,81,Lower0.5Upper2,3240000,162,2,103089001,206178002,412356004,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,91,1055142,5033410,62,0,0,0,0,7,2078,407367,60610575,9484932,10115,8,0,0,0,4,101,36849,54758,76,56,0,0,0,384,166,50,0,1,0,0,0,0,48063,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Dist L2,20000,81,Lower0.5Upper2,116,163,0,128929868,206178002,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,91,1055142,5033410,62,0,0,0,0,7,2078,407367,60610575,9484932,10115,8,0,0,0,4,101,36849,54758,76,56,0,0,0,384,166,50,0,1,0,0,0,0,48063,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Value,20000,81,Lower0.5Upper2,278,393,0,128929868,182228263,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,936310,4529427,58,0,0,0,0,6,1289,312087,54313986,8149797,6911,7,0,0,0,3,67,31722,53455,44,35,0,0,0,328,136,44,0,1,0,0,0,0,48408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Vector,20000,81,Lower0.5Upper2,3440000,236,0,128929868,182228263,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,936310,4529427,58,0,0,0,0,6,1289,312087,54313986,8149797,6911,7,0,0,0,3,67,31722,53455,44,35,0,0,0,328,136,44,0,1,0,0,0,0,48408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle Vector,20000,81,Lower0.5Upper2,1040000,66,0,128929868,182228263,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,936310,4529427,58,0,0,0,0,6,1289,312087,54313986,8149797,6911,7,0,0,0,3,67,31722,53455,44,35,0,0,0,328,136,44,0,1,0,0,0,0,48408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Oracle,20000,81,Lower0.5Upper2,0,0,0,128929868,182228263,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,936310,4529427,58,0,0,0,0,6,1289,312087,54313986,8149797,6911,7,0,0,0,3,67,31722,53455,44,35,0,0,0,328,136,44,0,1,0,0,0,0,48408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Naive,20000,81,Lower0.5Upper2,4860000,243,3,91114131.5,182228263,364456526,,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,936310,4529427,58,0,0,0,0,6,1289,312087,54313986,8149797,6911,7,0,0,0,3,67,31722,53455,44,35,0,0,0,328,136,44,0,1,0,0,0,0,48408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dist L2,20000,81,Lower0.5Upper2,216,303,0,128929868,182228263,515719472,,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,936310,4529427,58,0,0,0,0,6,1289,312087,54313986,8149797,6911,7,0,0,0,3,67,31722,53455,44,35,0,0,0,328,136,44,0,1,0,0,0,0,48408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Value,20000,81,Lower0.5Upper2,3240459,933,1,81972431.5,163944863,327889726,,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,834123,4136013,14,0,0,0,0,6,667,236062,49121526,7379927,4924,4,0,0,0,3,53,26570,52252,31,27,0,0,0,328,105,31,0,1,0,0,0,0,48396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
