LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Value,2392,10,Threshold 1000000,0,0,0,="-Infinity",1272.30269230769,1000000,,12676.7307692308,14857.7692307692,12625.5384615385,13099.3076923077,12180,12686.4615384615,13942.4230769231,12749.8461538462,14593.1153846154,12436.6153846154
1,Vector,2392,10,Threshold 1000000,0,0,0,="-Infinity",1272.30269230769,1000000,,12676.7307692308,14857.7692307692,12625.5384615385,13099.3076923077,12180,12686.4615384615,13942.4230769231,12749.8461538462,14593.1153846154,12436.6153846154
1,Oracle,2392,10,Threshold 1000000,0,0,0,="-Infinity",1272.30269230769,1000000,,12676.7307692308,14857.7692307692,12625.5384615385,13099.3076923077,12180,12686.4615384615,13942.4230769231,12749.8461538462,14593.1153846154,12436.6153846154
1,Naive,2392,10,Threshold 1000000,23920,10,1,="-Infinity",1272.30269230769,1000000,,12676.7307692308,14857.7692307692,12625.5384615385,13099.3076923077,12180,12686.4615384615,13942.4230769231,12749.8461538462,14593.1153846154,12436.6153846154
1,SKV,2392,10,Threshold 1000000,0,0,0,="-Infinity",1272.30269230769,1000000,,12676.7307692308,14857.7692307692,12625.5384615385,13099.3076923077,12180,12686.4615384615,13942.4230769231,12749.8461538462,14593.1153846154,12436.6153846154
1,Dist L2,2392,10,Threshold 1000000,0,0,0,="-Infinity",1272.30269230769,1000000,,12676.7307692308,14857.7692307692,12625.5384615385,13099.3076923077,12180,12686.4615384615,13942.4230769231,12749.8461538462,14593.1153846154,12436.6153846154
1,SKD,2392,10,Threshold 1000000,0,0,0,="-Infinity",1272.30269230769,1000000,,12676.7307692308,14857.7692307692,12625.5384615385,13099.3076923077,12180,12686.4615384615,13942.4230769231,12749.8461538462,14593.1153846154,12436.6153846154
2,Value,2392,10,Threshold 1000000,0,0,0,="-Infinity",1442.47846153846,1000000,,14261.1153846154,16508.9615384615,14302.2692307692,14921.8846153846,13819.3076923077,14116.5,15520.4615384615,14502.8076923077,16635.8461538462,14179.8461538462
2,Vector,2392,10,Threshold 1000000,0,0,0,="-Infinity",1442.47846153846,1000000,,14261.1153846154,16508.9615384615,14302.2692307692,14921.8846153846,13819.3076923077,14116.5,15520.4615384615,14502.8076923077,16635.8461538462,14179.8461538462
2,Oracle,2392,10,Threshold 1000000,0,0,0,="-Infinity",1442.47846153846,1000000,,14261.1153846154,16508.9615384615,14302.2692307692,14921.8846153846,13819.3076923077,14116.5,15520.4615384615,14502.8076923077,16635.8461538462,14179.8461538462
