LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Value,780,10,Threshold 50000,0,0,0,="-Infinity",1155.55266666667,50000,,12275.0666666667,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
1,Vector,780,10,Threshold 50000,0,0,0,="-Infinity",1155.55266666667,50000,,12275.0666666667,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
1,Oracle,780,10,Threshold 50000,0,0,0,="-Infinity",1155.55266666667,50000,,12275.0666666667,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
1,Naive,780,10,Threshold 50000,7800,10,1,="-Infinity",1155.55266666667,50000,,12275.0666666667,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
1,SKV,780,10,Threshold 50000,0,0,0,="-Infinity",1155.55266666667,50000,,12275.0666666667,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
1,Dist L2,780,10,Threshold 50000,0,0,0,="-Infinity",1155.55266666667,50000,,12275.0666666667,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
1,SKD,780,10,Threshold 50000,0,0,0,="-Infinity",1155.55266666667,50000,,12275.0666666667,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
2,Value,780,10,Threshold 50000,0,0,0,="-Infinity",1171.85666666667,50000,,14003.1333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
2,Vector,780,10,Threshold 50000,0,0,0,="-Infinity",1171.85666666667,50000,,14003.1333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
2,Oracle,780,10,Threshold 50000,0,0,0,="-Infinity",1171.85666666667,50000,,14003.1333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
2,Naive,780,10,Threshold 50000,15600,20,2,="-Infinity",1171.85666666667,50000,,14003.1333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
2,SKV,780,10,Threshold 50000,0,0,0,="-Infinity",1171.85666666667,50000,,14003.1333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
2,Dist L2,780,10,Threshold 50000,0,0,0,="-Infinity",1171.85666666667,50000,,14003.1333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
2,SKD,780,10,Threshold 50000,0,0,0,="-Infinity",1171.85666666667,50000,,14003.1333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
3,Value,780,10,Threshold 50000,0,0,0,="-Infinity",1183.222,50000,,15876.6,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
3,Vector,780,10,Threshold 50000,0,0,0,="-Infinity",1183.222,50000,,15876.6,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
3,Oracle,780,10,Threshold 50000,0,0,0,="-Infinity",1183.222,50000,,15876.6,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
3,Naive,780,10,Threshold 50000,23400,30,3,="-Infinity",1183.222,50000,,15876.6,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
3,SKV,780,10,Threshold 50000,0,0,0,="-Infinity",1183.222,50000,,15876.6,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
3,Dist L2,780,10,Threshold 50000,0,0,0,="-Infinity",1183.222,50000,,15876.6,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
3,SKD,780,10,Threshold 50000,0,0,0,="-Infinity",1183.222,50000,,15876.6,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
4,Value,780,10,Threshold 50000,0,0,0,="-Infinity",1191.17933333333,50000,,17731.7333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
4,Vector,780,10,Threshold 50000,0,0,0,="-Infinity",1191.17933333333,50000,,17731.7333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
4,Oracle,780,10,Threshold 50000,0,0,0,="-Infinity",1191.17933333333,50000,,17731.7333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
4,Naive,780,10,Threshold 50000,31200,40,4,="-Infinity",1191.17933333333,50000,,17731.7333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
4,SKV,780,10,Threshold 50000,0,0,0,="-Infinity",1191.17933333333,50000,,17731.7333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
4,Dist L2,780,10,Threshold 50000,0,0,0,="-Infinity",1191.17933333333,50000,,17731.7333333333,12518.5333333333,11367.6666666667,10849.6666666667,10310,10725.8,12874.4666666667,11368.5333333333,12453.3333333333,11074.2666666667
