LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Value,1886,10,Threshold 200000,0,0,0,="-Infinity",1118.16434782609,200000,,12368,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
1,Vector,1886,10,Threshold 200000,0,0,0,="-Infinity",1118.16434782609,200000,,12368,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
1,Oracle,1886,10,Threshold 200000,0,0,0,="-Infinity",1118.16434782609,200000,,12368,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
1,Naive,1886,10,Threshold 200000,18860,10,1,="-Infinity",1118.16434782609,200000,,12368,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
1,SKV,1886,10,Threshold 200000,0,0,0,="-Infinity",1118.16434782609,200000,,12368,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
1,Distance,1886,10,Threshold 200000,0,0,0,="-Infinity",1118.16434782609,200000,,12368,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
1,SKD,1886,10,Threshold 200000,0,0,0,="-Infinity",1118.16434782609,200000,,12368,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
2,Value,1886,10,Threshold 200000,0,0,0,="-Infinity",1133.40347826087,200000,,14106.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
2,Vector,1886,10,Threshold 200000,0,0,0,="-Infinity",1133.40347826087,200000,,14106.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
2,Oracle,1886,10,Threshold 200000,0,0,0,="-Infinity",1133.40347826087,200000,,14106.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
2,Naive,1886,10,Threshold 200000,37720,20,2,="-Infinity",1133.40347826087,200000,,14106.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
2,SKV,1886,10,Threshold 200000,0,0,0,="-Infinity",1133.40347826087,200000,,14106.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
2,Distance,1886,10,Threshold 200000,0,0,0,="-Infinity",1133.40347826087,200000,,14106.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
2,SKD,1886,10,Threshold 200000,0,0,0,="-Infinity",1133.40347826087,200000,,14106.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
3,Value,1886,10,Threshold 200000,0,0,0,="-Infinity",1160.64086956522,200000,,15898.7826086957,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
3,Vector,1886,10,Threshold 200000,0,0,0,="-Infinity",1160.64086956522,200000,,15898.7826086957,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
3,Oracle,1886,10,Threshold 200000,0,0,0,="-Infinity",1160.64086956522,200000,,15898.7826086957,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
3,Naive,1886,10,Threshold 200000,56580,30,3,="-Infinity",1160.64086956522,200000,,15898.7826086957,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
3,SKV,1886,10,Threshold 200000,0,0,0,="-Infinity",1160.64086956522,200000,,15898.7826086957,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
3,Distance,1886,10,Threshold 200000,0,0,0,="-Infinity",1160.64086956522,200000,,15898.7826086957,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
3,SKD,1886,10,Threshold 200000,0,0,0,="-Infinity",1160.64086956522,200000,,15898.7826086957,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
4,Value,1886,10,Threshold 200000,0,0,0,="-Infinity",1178.86956521739,200000,,17648.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
4,Vector,1886,10,Threshold 200000,0,0,0,="-Infinity",1178.86956521739,200000,,17648.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
4,Oracle,1886,10,Threshold 200000,0,0,0,="-Infinity",1178.86956521739,200000,,17648.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
4,Naive,1886,10,Threshold 200000,75440,40,4,="-Infinity",1178.86956521739,200000,,17648.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
4,SKV,1886,10,Threshold 200000,0,0,0,="-Infinity",1178.86956521739,200000,,17648.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
4,Distance,1886,10,Threshold 200000,0,0,0,="-Infinity",1178.86956521739,200000,,17648.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
4,SKD,1886,10,Threshold 200000,0,0,0,="-Infinity",1178.86956521739,200000,,17648.4347826087,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
5,Value,1886,10,Threshold 200000,0,0,0,="-Infinity",1195.05304347826,200000,,19475.652173913,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
5,Vector,1886,10,Threshold 200000,0,0,0,="-Infinity",1195.05304347826,200000,,19475.652173913,12971.1304347826,11032.6086956522,10800.0869565217,10969.9130434783,11037.7391304348,12373.652173913,10992.347826087,12452.6086956522,11400.347826087
