LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Value,4950,16,Threshold 5,158416,72,1,5,8.4121809735844,="+Infinity",,0.0337340511270838,0.201780267069381,0.342688700113271,-0.000657815285578067,0.000558299053835754,0.314652955655092,0.271554101083879,0.361409262511089,0.269780232495933,0.191335702586727,0.113135965798421,0.0441734152107927,0.226989563610246,0.133749970481631,0.249523740719539,0.433336621094043
1,Vector,4950,16,Threshold 5,89100,19,0,5,8.41225624215173,="+Infinity",,0.0483706826587706,0.202891269159721,0.343005070932747,0.000934812137771246,-0.000637577784502241,0.314061215045029,0.269711610108729,0.361112072215292,0.267892610500098,0.195240864143429,0.117015276654882,0.0423503239463798,0.226417498278693,0.133772652497385,0.249578750972375,0.433568807976542
1,Oracle,4950,16,Threshold 5,0,0,0,5,8.41226507008659,="+Infinity",,0.0334223875493649,0.206043047851125,0.343854906097292,0.000263537848596229,0.000322175827719207,0.313967887216123,0.271069735728105,0.361678203242818,0.26935502192319,0.192365000097297,0.114174202422745,0.0433434625640814,0.229048619335032,0.134182520157765,0.250753189924311,0.433254373565248
1,Naive,4950,16,Threshold 5,79200,16,1,5,8.41225121636019,="+Infinity",,0.0484869716986651,0.201348498456838,0.34418403256538,-0.000397953902904646,0.000100341921239533,0.314432328406895,0.269359523610987,0.362058823100142,0.267917988948824,0.194691136652565,0.113964509172547,0.0414843253196153,0.225935725163339,0.134608565764125,0.249599666732621,0.434247020133455
1,Distance,4950,16,Threshold 5,158416,72,1,5,8.41225924342646,="+Infinity",,0.0393582315113008,0.204505102538292,0.344320088566505,0.000835436920056054,0.000375543294140357,0.313636574134065,0.269480804303697,0.358988730314223,0.270073305914408,0.193467089025106,0.110880209947211,0.0480453931679818,0.229532067941193,0.133779787635646,0.249598307870272,0.434917028128908
2,Value,4950,16,Threshold 5,316832,145,2,5,8.25931058414308,="+Infinity",,0.0367482365795553,0.205428071429893,0.343773193647493,0.269385292667337,-0.00188634303263768,0.313957613844309,0.357393252663542,0.359995771379971,0.269479060353575,0.351494010395953,0.115350846402094,0.0403872952564655,0.229094247732888,0.134879750057749,0.298369143973986,0.432951365533171
2,Vector,4950,16,Threshold 5,168300,36,0,5,8.2593182892343,="+Infinity",,0.0400399250387409,0.209253010235557,0.342169501120964,0.268816060326145,0.00037049470010686,0.314405357842148,0.357831382167348,0.358979678210076,0.269556048861602,0.351081729702841,0.111620348000756,0.0442782227795959,0.229166014026077,0.134195156230319,0.300115524814075,0.43295665801044
2,Oracle,4950,16,Threshold 5,0,0,0,5,8.25932530831768,="+Infinity",,0.0334504630762211,0.211074612392679,0.343249899475381,0.269027329704514,0.000468008327942471,0.314238967095562,0.356898437508946,0.360987608297464,0.269236231673261,0.350021145922653,0.116666015416811,0.0448728068888187,0.227665660774989,0.134024967980238,0.298466732136703,0.433344231798088
2,Naive,4950,16,Threshold 5,158400,32,2,5,8.25931985523445,="+Infinity",,0.0360092979771736,0.205715216407981,0.343219046472271,0.26910486974991,-0.00163956423837419,0.314323578161265,0.356968857699925,0.360166751847686,0.269760428667425,0.349673701604189,0.113815010790546,0.0423016079416101,0.229622960004818,0.134026338120876,0.299101151100217,0.432683712616367
2,Distance,4950,16,Threshold 5,316832,145,2,5,8.25927934222106,="+Infinity",,0.0473406936938119,0.209511958418659,0.343165406334961,0.268492122033109,-0.000108277340856944,0.314387486491938,0.358225212731128,0.358355757190594,0.269590110657759,0.351210462485525,0.113598283224462,-0.0514494941149763,0.229332549545845,0.133977948676446,0.299247840282717,0.433240965521222
