LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2
1,Value,4950,2,Threshold 5,0,0,0,5,9.38773692356312,="+Infinity",,3.17787289734282,3.25132134148244
1,Vector,4950,2,Threshold 5,0,0,0,5,9.38773041814405,="+Infinity",,3.17785596271727,3.25132935133379
1,Oracle,4950,2,Threshold 5,0,0,0,5,9.38730148447839,="+Infinity",,3.17786890165394,3.25132614038471
1,Naive,4950,2,Threshold 5,9900,2,1,5,9.38763845136187,="+Infinity",,3.17786654450651,3.25134212182545
1,Distance,4950,2,Threshold 5,0,0,0,5,9.50158623171299,="+Infinity",,3.1778852712219,3.25133230341396
2,Value,4950,2,Threshold 5,0,0,0,5,9.31695769040759,="+Infinity",,3.1075862963185,3.23898233592459
2,Vector,4950,2,Threshold 5,0,0,0,5,9.31694547099067,="+Infinity",,3.10766351077842,3.23897567443201
2,Oracle,4950,2,Threshold 5,0,0,0,5,9.31695527353322,="+Infinity",,3.10765917347807,3.2389639470268
2,Naive,4950,2,Threshold 5,19800,4,2,5,9.31696114394128,="+Infinity",,3.10765644708096,3.23896822796956
2,Distance,4950,2,Threshold 5,0,0,0,5,9.31696023491635,="+Infinity",,3.10765789596591,3.2389909822995
3,Value,4950,2,Threshold 5,0,0,0,5,9.31406200093539,="+Infinity",,3.10766407498764,3.21598567542381
3,Vector,4950,2,Threshold 5,0,0,0,5,9.31388724455293,="+Infinity",,3.10766041650321,3.21594190412046
3,Oracle,4950,2,Threshold 5,0,0,0,5,9.31381871385324,="+Infinity",,3.10764446542605,3.21596018045437
3,Naive,4950,2,Threshold 5,29700,6,3,5,9.31406403496659,="+Infinity",,3.1076516755077,3.21598207229046
3,Distance,4950,2,Threshold 5,0,0,0,5,9.31401353703082,="+Infinity",,3.10763723034403,3.21597067353203
4,Value,4950,2,Threshold 5,0,0,0,5,9.27751291347573,="+Infinity",,3.10765145677692,3.20340675791176
4,Vector,4950,2,Threshold 5,0,0,0,5,9.27751468571583,="+Infinity",,3.10763632982422,3.20341972573635
4,Oracle,4950,2,Threshold 5,0,0,0,5,9.27751891785886,="+Infinity",,3.1076622459736,3.20344876305732
4,Naive,4950,2,Threshold 5,39600,8,4,5,9.27751531800615,="+Infinity",,3.1076299915173,3.20341525730332
4,Distance,4950,2,Threshold 5,0,0,0,5,9.2775173718473,="+Infinity",,3.10734687292982,3.20338455354832
5,Value,4950,2,Threshold 5,0,0,0,5,9.22413416278651,="+Infinity",,3.1076344367814,3.16665214766022
5,Vector,4950,2,Threshold 5,0,0,0,5,9.22414665148919,="+Infinity",,3.10766061654174,3.16662680929919
5,Oracle,4950,2,Threshold 5,0,0,0,5,9.22414420090955,="+Infinity",,3.10764412399192,3.16664741745383
5,Naive,4950,2,Threshold 5,49500,10,5,5,9.22413677635826,="+Infinity",,3.10764233003385,3.1666250109413
5,Distance,4950,2,Threshold 5,0,0,0,5,9.42222601131002,="+Infinity",,3.10763151509028,3.16661203500263
6,Value,4950,2,Threshold 5,0,0,0,5,9.17832345847857,="+Infinity",,3.05905677881267,3.16661508066363
6,Vector,4950,2,Threshold 5,0,0,0,5,9.17832740214195,="+Infinity",,3.05905509152279,3.16661669007843
6,Oracle,4950,2,Threshold 5,0,0,0,5,9.17824562443957,="+Infinity",,3.05905683913322,3.1665815303957
6,Naive,4950,2,Threshold 5,59400,12,6,5,9.17832711681321,="+Infinity",,3.05904252326812,3.16661718420958
6,Distance,4950,2,Threshold 5,0,0,0,5,9.17818661385633,="+Infinity",,3.05899832421972,3.16664644339079
7,Value,4950,2,Threshold 5,0,0,0,5,9.17763871955445,="+Infinity",,3.05904699331671,3.2109823772326
7,Vector,4950,2,Threshold 5,0,0,0,5,9.17764796231839,="+Infinity",,3.05902804633944,3.21098949059208
7,Oracle,4950,2,Threshold 5,0,0,0,5,9.1776580303623,="+Infinity",,3.05904006389838,3.2110387651045
7,Naive,4950,2,Threshold 5,69300,14,7,5,9.1776569897384,="+Infinity",,3.05904281166171,3.21102895353188
7,Distance,4950,2,Threshold 5,0,0,0,5,9.17753824617759,="+Infinity",,3.05904461627456,3.21102250208175
8,Value,4950,2,Threshold 5,0,0,0,5,9.12690123069041,="+Infinity",,3.05903039072925,3.16663973599194
8,Vector,4950,2,Threshold 5,0,0,0,5,9.12690427265044,="+Infinity",,3.05902162329009,3.16657952572326
8,Oracle,4950,2,Threshold 5,0,0,0,5,9.12690346708195,="+Infinity",,3.05904396656858,3.16663227893243
8,Naive,4950,2,Threshold 5,79200,16,8,5,9.12689402242759,="+Infinity",,3.05900953410885,3.16662167014537
8,Distance,4950,2,Threshold 5,0,0,0,5,9.12689188726613,="+Infinity",,3.05903673144265,3.16661558786267
9,Value,4950,2,Threshold 5,0,0,0,5,9.08712683168872,="+Infinity",,2.95760482339608,3.16660722533877
9,Vector,4950,2,Threshold 5,0,0,0,5,9.08711209782321,="+Infinity",,2.95763331437641,3.16658847403035
9,Oracle,4950,2,Threshold 5,0,0,0,5,9.08713591964934,="+Infinity",,2.95751417624837,3.16663205870043
9,Naive,4950,2,Threshold 5,89100,18,9,5,9.087133470213,="+Infinity",,2.95760646757434,3.16664944286201
9,Distance,4950,2,Threshold 5,0,0,0,5,9.08712019034311,="+Infinity",,2.95764839582762,3.16663421888136
10,Value,4950,2,Threshold 5,0,0,0,5,9.05736651979605,="+Infinity",,2.95759937984297,3.14318426962578
10,Vector,4950,2,Threshold 5,0,0,0,5,9.05742374262863,="+Infinity",,2.95758658229371,3.14318652654035
10,Oracle,4950,2,Threshold 5,0,0,0,5,9.05742664158758,="+Infinity",,2.95760904834849,3.14324341101988
10,Naive,4950,2,Threshold 5,99000,20,10,5,9.05737645760851,="+Infinity",,2.95763694239325,3.14319912514198
10,Distance,4950,2,Threshold 5,0,0,0,5,9.05741467008025,="+Infinity",,2.95746820418859,3.14320803762291
11,Value,4950,2,Threshold 5,0,0,0,5,9.04175745072615,="+Infinity",,2.95763681070017,3.12539036543329
11,Vector,4950,2,Threshold 5,0,0,0,5,9.04173711482103,="+Infinity",,2.95762371367989,3.12540156549356
11,Oracle,4950,2,Threshold 5,0,0,0,5,9.04175868143157,="+Infinity",,2.95763259866865,3.12539287818153
11,Naive,4950,2,Threshold 5,108900,22,11,5,9.0417494315405,="+Infinity",,2.9576267988792,3.12540290589376
11,Distance,4950,2,Threshold 5,0,0,0,5,9.04174925794422,="+Infinity",,2.95764225022519,3.12537017751902
12,Value,4950,2,Threshold 5,0,0,0,5,9.0116573923985,="+Infinity",,2.94504953222535,3.1253758861811
12,Vector,4950,2,Threshold 5,0,0,0,5,9.0116532630045,="+Infinity",,2.94489109279888,3.12539487994533
12,Oracle,4950,2,Threshold 5,0,0,0,5,9.01166211510959,="+Infinity",,2.94503126601319,3.12538585578382
12,Naive,4950,2,Threshold 5,118800,24,12,5,9.01163099572204,="+Infinity",,2.9450472206001,3.12537965809815
12,Distance,4950,2,Threshold 5,0,0,0,5,9.01165398578442,="+Infinity",,2.94504235207073,3.1253932640771
13,Value,4950,2,Threshold 5,0,0,0,5,8.96038200502467,="+Infinity",,2.92682178470314,3.08306939030932
13,Vector,4950,2,Threshold 5,0,0,0,5,8.96037539428508,="+Infinity",,2.92682368454473,3.08310801251818
13,Oracle,4950,2,Threshold 5,0,0,0,5,8.96035234802443,="+Infinity",,2.92681390651333,3.08307468046048
13,Naive,4950,2,Threshold 5,128700,26,13,5,8.96037425874012,="+Infinity",,2.92681089564277,3.08308725411867
13,Distance,4950,2,Threshold 5,0,0,0,5,8.96033018748089,="+Infinity",,2.92680622854986,3.08307649504323
14,Value,4950,2,Threshold 5,0,0,0,5,8.94100877991148,="+Infinity",,2.92487752811185,3.08308593887901
14,Vector,4950,2,Threshold 5,0,0,0,5,8.94096702361929,="+Infinity",,2.92484924884198,3.08312091072153
14,Oracle,4950,2,Threshold 5,0,0,0,5,8.94101713699168,="+Infinity",,2.92486395889199,3.08314007576659
14,Naive,4950,2,Threshold 5,138600,28,14,5,8.94095453799217,="+Infinity",,2.92488893745171,3.08307552269575
14,Distance,4950,2,Threshold 5,0,0,0,5,8.94100443420628,="+Infinity",,2.9248832354824,3.08309177508724
15,Value,4950,2,Threshold 5,0,0,0,5,8.88153256735247,="+Infinity",,2.88357838572104,3.0831287022302
15,Vector,4950,2,Threshold 5,0,0,0,5,8.8815340469758,="+Infinity",,2.88356108661191,3.08310605150828
15,Oracle,4950,2,Threshold 5,0,0,0,5,8.88152154723646,="+Infinity",,2.8835605134867,3.08309430935623
15,Naive,4950,2,Threshold 5,148500,30,15,5,8.88151978918661,="+Infinity",,2.88355134133707,3.08311955352161
15,Distance,4950,2,Threshold 5,0,0,0,5,8.88152771458456,="+Infinity",,2.88357489926936,3.08309060535325
16,Value,4950,2,Threshold 5,0,0,0,5,8.88153590336718,="+Infinity",,2.88350801178872,3.08308702884391
16,Vector,4950,2,Threshold 5,0,0,0,5,8.88151016117642,="+Infinity",,2.88358027828572,3.08310713623698
16,Oracle,4950,2,Threshold 5,0,0,0,5,8.88152755372292,="+Infinity",,2.88357825476029,3.0831019241885
16,Naive,4950,2,Threshold 5,158400,32,16,5,8.88153545844366,="+Infinity",,2.88353974078308,3.08308266744073
16,Distance,4950,2,Threshold 5,0,0,0,5,8.88153214210998,="+Infinity",,2.88359039815239,3.08310060866035
17,Value,4950,2,Threshold 5,0,0,0,5,8.88152090881438,="+Infinity",,2.97466779672068,3.0830813979547
17,Vector,4950,2,Threshold 5,0,0,0,5,8.88151903085767,="+Infinity",,2.88357038959212,3.08311293434257
17,Oracle,4950,2,Threshold 5,0,0,0,5,8.88153509362574,="+Infinity",,2.88355238044603,3.08309138133492
17,Naive,4950,2,Threshold 5,168300,34,17,5,8.88153666406211,="+Infinity",,2.88332918922194,3.08308647994514
17,Distance,4950,2,Threshold 5,0,0,0,5,8.88152731745753,="+Infinity",,2.88355203990075,3.08310628122459
18,Value,4950,2,Threshold 5,0,0,0,5,8.88152181082465,="+Infinity",,2.88355625256054,3.08310083153968
18,Vector,4950,2,Threshold 5,0,0,0,5,8.88150103756888,="+Infinity",,2.88354640302795,3.08310495392622
18,Oracle,4950,2,Threshold 5,0,0,0,5,8.88153423881315,="+Infinity",,2.88355798684877,3.08310082011954
18,Naive,4950,2,Threshold 5,178200,36,18,5,8.88152457718411,="+Infinity",,2.88357864545867,3.08311644858333
18,Distance,4950,2,Threshold 5,0,0,0,5,8.88153801939538,="+Infinity",,2.88356018351439,3.08313840295578
19,Value,4950,2,Threshold 5,0,0,0,5,8.78416184097085,="+Infinity",,2.86770229585662,3.00498430548475
19,Vector,4950,2,Threshold 5,0,0,0,5,8.78416319021447,="+Infinity",,2.86766984928491,3.00498117057528
19,Oracle,4950,2,Threshold 5,0,0,0,5,8.78415075901245,="+Infinity",,2.86768937240109,3.00500058895599
19,Naive,4950,2,Threshold 5,188100,38,19,5,8.78418133712795,="+Infinity",,2.86766743666843,3.00498910217546
19,Distance,4950,2,Threshold 5,0,0,0,5,8.78417751947771,="+Infinity",,2.86769602947042,3.00499286485308
20,Value,4950,2,Threshold 5,0,0,0,5,8.70840073503062,="+Infinity",,2.86766033892867,2.92972739013831
20,Vector,4950,2,Threshold 5,0,0,0,5,8.70840061540456,="+Infinity",,2.86768552707085,2.92974919867942
20,Oracle,4950,2,Threshold 5,0,0,0,5,8.70840194154785,="+Infinity",,2.86769060966454,2.92975471472924
20,Naive,4950,2,Threshold 5,198000,40,20,5,8.70840057133242,="+Infinity",,2.86767250336281,2.92976597684898
20,Distance,4950,2,Threshold 5,0,0,0,5,8.70838764000298,="+Infinity",,2.86768592010388,2.92977180777967
21,Value,4950,2,Threshold 5,0,0,0,5,8.72339446712745,="+Infinity",,2.93935683320946,2.92038588736109
21,Vector,4950,2,Threshold 5,0,0,0,5,8.72336010528048,="+Infinity",,2.86752151057505,2.92036734256889
21,Oracle,4950,2,Threshold 5,0,0,0,5,8.72339717543592,="+Infinity",,2.86769963078414,2.92035487268427
21,Naive,4950,2,Threshold 5,207900,42,21,5,8.72340490680217,="+Infinity",,2.8676728279797,2.92035682890996
21,Distance,4950,2,Threshold 5,0,0,0,5,8.72338621988222,="+Infinity",,2.86766665144168,2.92035639009201
22,Value,4950,2,Threshold 5,0,0,0,5,8.72335366227748,="+Infinity",,2.86766205345727,2.92038202201674
22,Vector,4950,2,Threshold 5,0,0,0,5,8.72339950952139,="+Infinity",,2.86694758685353,2.9204217677362
22,Oracle,4950,2,Threshold 5,0,0,0,5,8.72338261235888,="+Infinity",,2.93888602730158,2.92039781495433
22,Naive,4950,2,Threshold 5,217800,44,22,5,8.72340320544168,="+Infinity",,2.86767001332672,2.92042133616823
22,Distance,4950,2,Threshold 5,0,0,0,5,8.72338006151708,="+Infinity",,2.86767080420161,2.92041420481584
23,Value,4950,2,Threshold 5,0,0,0,5,8.74003646234038,="+Infinity",,2.86341854404415,2.92037152561458
23,Vector,4950,2,Threshold 5,0,0,0,5,8.7400504070004,="+Infinity",,2.86406701583724,2.92040089016137
23,Oracle,4950,2,Threshold 5,0,0,0,5,8.74004265331568,="+Infinity",,2.86405872394251,2.9203465165543
23,Naive,4950,2,Threshold 5,227700,46,23,5,8.74004336085586,="+Infinity",,2.86406460730394,2.92038016112282
23,Distance,4950,2,Threshold 5,0,0,0,5,8.7400382675489,="+Infinity",,2.86406204919918,2.92038826535689
24,Value,4950,2,Threshold 5,0,0,0,5,8.74004261593507,="+Infinity",,2.86402745003308,2.92040420309898
24,Vector,4950,2,Threshold 5,0,0,0,5,8.74003642172841,="+Infinity",,2.86405497702133,2.92038751579176
24,Oracle,4950,2,Threshold 5,0,0,0,5,8.74002554373558,="+Infinity",,2.86390906936714,2.92036531019224
24,Naive,4950,2,Threshold 5,237600,48,24,5,8.74000288196308,="+Infinity",,2.86402138722444,2.92036635143002
24,Distance,4950,2,Threshold 5,0,0,0,5,8.7400512321839,="+Infinity",,2.94475656979432,2.92038737662737
25,Value,4950,2,Threshold 5,0,0,0,5,8.67956491088074,="+Infinity",,2.82761900394718,2.89013697766775
25,Vector,4950,2,Threshold 5,0,0,0,5,8.67956492754846,="+Infinity",,2.82762405681821,2.89015447049664
25,Oracle,4950,2,Threshold 5,0,0,0,5,8.67957230550469,="+Infinity",,2.82764208239783,2.8901251067206
25,Naive,4950,2,Threshold 5,247500,50,25,5,8.6795607242709,="+Infinity",,2.8276425930795,2.89013944444807
25,Distance,4950,2,Threshold 5,0,0,0,5,8.6795609114792,="+Infinity",,2.82763278790301,2.89011011438625
26,Value,4950,2,Threshold 5,0,0,0,5,8.65493172874902,="+Infinity",,2.8276295662323,2.87677989323105
26,Vector,4950,2,Threshold 5,0,0,0,5,8.65493703817353,="+Infinity",,2.82760181040697,2.87683713475283
26,Oracle,4950,2,Threshold 5,0,0,0,5,8.65492896225052,="+Infinity",,2.82761162958667,2.87680032680431
26,Naive,4950,2,Threshold 5,257400,52,26,5,8.65495021554597,="+Infinity",,2.82762856720124,2.87680448555554
26,Distance,4950,2,Threshold 5,0,0,0,5,8.65494255386402,="+Infinity",,2.82762423296977,2.87681017217356
27,Value,4950,2,Threshold 5,0,0,0,5,8.67029593437287,="+Infinity",,2.7393162577781,2.87680660625051
27,Vector,4950,2,Threshold 5,0,0,0,5,8.67029858603158,="+Infinity",,2.73914411736622,2.87679796926156
27,Oracle,4950,2,Threshold 5,0,0,0,5,8.67031395045507,="+Infinity",,2.73932212982211,2.87678325337195
27,Naive,4950,2,Threshold 5,267300,54,27,5,8.67029704138891,="+Infinity",,2.73929085894514,2.87682351128045
27,Distance,4950,2,Threshold 5,0,0,0,5,8.67028016082489,="+Infinity",,2.73929547801592,2.87678370922683
28,Value,4950,2,Threshold 5,0,0,0,5,8.66260786611325,="+Infinity",,2.73932406835038,2.84725004681395
28,Vector,4950,2,Threshold 5,0,0,0,5,8.66261521577619,="+Infinity",,2.7393088142457,2.8472032415532
28,Oracle,4950,2,Threshold 5,0,0,0,5,8.66261284505813,="+Infinity",,2.73907745596492,2.84727019972956
28,Naive,4950,2,Threshold 5,277200,56,28,5,8.66262202218428,="+Infinity",,2.73928235605803,2.84727118228729
28,Distance,4950,2,Threshold 5,0,0,0,5,8.66263161852021,="+Infinity",,2.73930232274751,2.84726958248282
29,Value,4950,2,Threshold 5,0,0,0,5,8.65575639236974,="+Infinity",,2.70306154004092,2.84723734667638
29,Vector,4950,2,Threshold 5,0,0,0,5,8.65575210953912,="+Infinity",,2.70305802965596,2.84721608607481
29,Oracle,4950,2,Threshold 5,0,0,0,5,8.65575980527989,="+Infinity",,2.70308994560129,2.84720494283766
29,Naive,4950,2,Threshold 5,287100,58,29,5,8.65573807966142,="+Infinity",,2.70306008722389,2.84719532113823
29,Distance,4950,2,Threshold 5,0,0,0,5,8.65574294767467,="+Infinity",,2.70309711385114,2.84722300927794
30,Value,4950,2,Threshold 5,0,0,0,5,8.53647509208264,="+Infinity",,2.67602578028944,2.83346716919792
30,Vector,4950,2,Threshold 5,0,0,0,5,8.53647089700836,="+Infinity",,2.67598813700883,2.83349859860419
30,Oracle,4950,2,Threshold 5,0,0,0,5,8.5364686725673,="+Infinity",,2.67596745451752,2.8334801062462
30,Naive,4950,2,Threshold 5,297000,60,30,5,8.53647356490626,="+Infinity",,2.76164183378349,2.83351072825164
30,Distance,4950,2,Threshold 5,0,0,0,5,8.53647504721997,="+Infinity",,2.67552100277082,2.83346644936994
31,Value,4950,2,Threshold 5,0,0,0,5,8.39909009915864,="+Infinity",,2.63969350317392,2.7036084749422
31,Vector,4950,2,Threshold 5,0,0,0,5,8.39907946916017,="+Infinity",,2.63966606029543,2.70362868245043
31,Oracle,4950,2,Threshold 5,0,0,0,5,8.39908104108868,="+Infinity",,2.63964148404564,2.70361812319668
31,Naive,4950,2,Threshold 5,306900,62,31,5,8.3990915456385,="+Infinity",,2.63942907293441,2.70361416323807
31,Distance,4950,2,Threshold 5,0,0,0,5,8.3990945413383,="+Infinity",,2.63964714198458,2.70360499788136
32,Value,4950,2,Threshold 5,0,0,0,5,8.37378584318188,="+Infinity",,2.6396589980952,2.70138818452658
32,Vector,4950,2,Threshold 5,0,0,0,5,8.37376867862082,="+Infinity",,2.63967314431983,2.70136012994502
32,Oracle,4950,2,Threshold 5,0,0,0,5,8.37379226530082,="+Infinity",,2.63933765366309,2.70137248623409
32,Naive,4950,2,Threshold 5,316800,64,32,5,8.37379586329969,="+Infinity",,2.63966645856128,2.70137315650581
32,Distance,4950,2,Threshold 5,0,0,0,5,8.37379820715572,="+Infinity",,2.63964067605525,2.701341675067
33,Value,4950,2,Threshold 5,0,0,0,5,8.34431662925857,="+Infinity",,2.58572181195713,2.70137328873803
33,Vector,4950,2,Threshold 5,0,0,0,5,8.3443263879342,="+Infinity",,2.58571992748358,2.70136630177959
33,Oracle,4950,2,Threshold 5,0,0,0,5,8.34432945750616,="+Infinity",,2.58575704430362,2.70135176577715
33,Naive,4950,2,Threshold 5,326700,66,33,5,8.3443148016685,="+Infinity",,2.58572922357614,2.70137162334352
33,Distance,4950,2,Threshold 5,0,0,0,5,8.34432129324084,="+Infinity",,2.58573073685334,2.70134491712908
34,Value,4950,2,Threshold 5,0,0,0,5,8.25795903626751,="+Infinity",,2.58574159581865,2.60345552835439
34,Vector,4950,2,Threshold 5,0,0,0,5,8.25795652328536,="+Infinity",,2.74973547714087,2.60345622798388
34,Oracle,4950,2,Threshold 5,0,0,0,5,8.2579482004175,="+Infinity",,2.58572973256562,2.60344563366762
34,Naive,4950,2,Threshold 5,336600,68,34,5,8.25795826925966,="+Infinity",,2.58574552318618,2.60347064113478
34,Distance,4950,2,Threshold 5,0,0,0,5,8.25795286207165,="+Infinity",,2.58574449343485,2.6035142266004
35,Value,4950,2,Threshold 5,0,0,0,5,8.25795458414659,="+Infinity",,2.58572522671743,2.60348649550514
35,Vector,4950,2,Threshold 5,0,0,0,5,8.25795838363636,="+Infinity",,2.58571914683834,2.6034654302603
35,Oracle,4950,2,Threshold 5,0,0,0,5,8.25795452810262,="+Infinity",,2.58571519841755,2.60347924508133
35,Naive,4950,2,Threshold 5,346500,70,35,5,8.25794524814449,="+Infinity",,2.58571974450092,2.60344353864387
35,Distance,4950,2,Threshold 5,0,0,0,5,8.25795528876652,="+Infinity",,2.5857200596749,2.60345826385195
36,Value,4950,2,Threshold 5,0,0,0,5,8.19394284827351,="+Infinity",,2.52713993034375,2.6034410008708
36,Vector,4950,2,Threshold 5,0,0,0,5,8.1939272475398,="+Infinity",,2.52706647256575,2.60349141032071
36,Oracle,4950,2,Threshold 5,0,0,0,5,8.19392896383111,="+Infinity",,2.52722460063616,2.60346159247756
36,Naive,4950,2,Threshold 5,356400,72,36,5,8.19392705702739,="+Infinity",,2.52722352199473,2.6034548747696
