LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5
1,Naive,30,5,Lower0.3Upper3,150,5,1,43087.5692568663,143625.230856221,430875.692568663,,20.7915896468994,162.510062312831,82211.6508857746,4102.56785630104,203.578401249365
1,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,143625.230856221,472909.39288167,,20.7915896468994,162.510062312831,82211.6508857746,4102.56785630104,203.578401249365
1,Dist L0,30,5,Lower0.3Upper3,0,0,0,47290.939288167,143625.230856221,472909.39288167,,20.7915896468994,162.510062312831,82211.6508857746,4102.56785630104,203.578401249365
1,Value,30,5,Lower0.3Upper3,0,0,0,47290.939288167,143625.230856221,472909.39288167,,20.7915896468994,162.510062312831,82211.6508857746,4102.56785630104,203.578401249365
1,Vector,30,5,Lower0.3Upper3,0,0,0,47290.939288167,143625.230856221,472909.39288167,,20.7915896468994,162.510062312831,82211.6508857746,4102.56785630104,203.578401249365
1,Oracle Vector,30,5,Lower0.3Upper3,0,0,0,47290.939288167,143625.230856221,472909.39288167,,20.7915896468994,162.510062312831,82211.6508857746,4102.56785630104,203.578401249365
1,Dist L2,30,5,Lower0.3Upper3,0,0,0,47290.939288167,143625.230856221,472909.39288167,,20.7915896468994,162.510062312831,82211.6508857746,4102.56785630104,203.578401249365
2,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,133999.475784815,472909.39288167,,19.062138754552,141.213911001247,79089.546285462,3327.67521343353,166.159237277209
2,Vector,30,5,Lower0.3Upper3,0,0,0,47290.939288167,133999.475784815,472909.39288167,,19.062138754552,141.213911001247,79089.546285462,3327.67521343353,166.159237277209
2,Oracle Vector,30,5,Lower0.3Upper3,0,0,0,47290.939288167,133999.475784815,472909.39288167,,19.062138754552,141.213911001247,79089.546285462,3327.67521343353,166.159237277209
2,Value,30,5,Lower0.3Upper3,0,0,0,47290.939288167,133999.475784815,472909.39288167,,19.062138754552,141.213911001247,79089.546285462,3327.67521343353,166.159237277209
2,Naive,30,5,Lower0.3Upper3,300,10,2,40199.8427354444,133999.475784815,401998.427354444,,19.062138754552,141.213911001247,79089.546285462,3327.67521343353,166.159237277209
2,Dist L2,30,5,Lower0.3Upper3,0,0,0,47290.939288167,133999.475784815,472909.39288167,,19.062138754552,141.213911001247,79089.546285462,3327.67521343353,166.159237277209
2,Dist L0,30,5,Lower0.3Upper3,0,0,0,47290.939288167,133999.475784815,472909.39288167,,19.062138754552,141.213911001247,79089.546285462,3327.67521343353,166.159237277209
3,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,123051.400520197,472909.39288167,,15.368133190933,110.59712165223,74411.9170664621,2689.1372281288,146.04692342368
3,Naive,30,5,Lower0.3Upper3,450,15,3,36915.420156059,123051.400520197,369154.20156059,,15.368133190933,110.59712165223,74411.9170664621,2689.1372281288,146.04692342368
3,Value,30,5,Lower0.3Upper3,0,0,0,47290.939288167,123051.400520197,472909.39288167,,15.368133190933,110.59712165223,74411.9170664621,2689.1372281288,146.04692342368
3,Oracle Vector,30,5,Lower0.3Upper3,0,0,0,47290.939288167,123051.400520197,472909.39288167,,15.368133190933,110.59712165223,74411.9170664621,2689.1372281288,146.04692342368
3,Vector,30,5,Lower0.3Upper3,0,0,0,47290.939288167,123051.400520197,472909.39288167,,15.368133190933,110.59712165223,74411.9170664621,2689.1372281288,146.04692342368
3,Dist L2,30,5,Lower0.3Upper3,0,0,0,47290.939288167,123051.400520197,472909.39288167,,15.368133190933,110.59712165223,74411.9170664621,2689.1372281288,146.04692342368
3,Dist L0,30,5,Lower0.3Upper3,0,0,0,47290.939288167,123051.400520197,472909.39288167,,15.368133190933,110.59712165223,74411.9170664621,2689.1372281288,146.04692342368
4,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,108565.194784006,472909.39288167,,11.6385036028969,93.7363792654112,66896.8190777559,2265.98159254881,135.476793575203
4,Oracle Vector,30,5,Lower0.3Upper3,0,0,0,47290.939288167,108565.194784006,472909.39288167,,11.6385036028969,93.7363792654112,66896.8190777559,2265.98159254881,135.476793575203
4,Value,30,5,Lower0.3Upper3,4,5,0,47290.939288167,108565.194784006,472909.39288167,,11.6385036028969,93.7363792654112,66896.8190777559,2265.98159254881,135.476793575203
4,Dist L0,30,5,Lower0.3Upper3,4,5,0,47290.939288167,108565.194784006,472909.39288167,,11.6385036028969,93.7363792654112,66896.8190777559,2265.98159254881,135.476793575203
4,Naive,30,5,Lower0.3Upper3,600,20,4,32569.5584352019,108565.194784006,325695.584352019,,11.6385036028969,93.7363792654112,66896.8190777559,2265.98159254881,135.476793575203
4,Dist L2,30,5,Lower0.3Upper3,6,8,0,47290.939288167,108565.194784006,472909.39288167,,11.6385036028969,93.7363792654112,66896.8190777559,2265.98159254881,135.476793575203
4,Vector,30,5,Lower0.3Upper3,120,5,0,47290.939288167,108565.194784006,472909.39288167,,11.6385036028969,93.7363792654112,66896.8190777559,2265.98159254881,135.476793575203
5,Naive,30,5,Lower0.3Upper3,750,25,5,29595.0958408867,98650.3194696223,295950.958408867,,9.31710383806011,92.2687357265701,61031.6367725619,1908.29975606425,134.16351679047
5,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,98650.3194696223,472909.39288167,,9.31710383806011,92.2687357265701,61031.6367725619,1908.29975606425,134.16351679047
5,Value,30,5,Lower0.3Upper3,8,10,0,47290.939288167,98650.3194696223,472909.39288167,,9.31710383806011,92.2687357265701,61031.6367725619,1908.29975606425,134.16351679047
5,Vector,30,5,Lower0.3Upper3,300,13,0,47290.939288167,98650.3194696223,472909.39288167,,9.31710383806011,92.2687357265701,61031.6367725619,1908.29975606425,134.16351679047
5,Dist L0,30,5,Lower0.3Upper3,8,10,0,47290.939288167,98650.3194696223,472909.39288167,,9.31710383806011,92.2687357265701,61031.6367725619,1908.29975606425,134.16351679047
5,Oracle Vector,30,5,Lower0.3Upper3,120,5,0,47290.939288167,98650.3194696223,472909.39288167,,9.31710383806011,92.2687357265701,61031.6367725619,1908.29975606425,134.16351679047
5,Dist L2,30,5,Lower0.3Upper3,311,32,1,29595.0958408867,98650.3194696223,295950.958408867,,9.31710383806011,92.2687357265701,61031.6367725619,1908.29975606425,134.16351679047
6,Value,30,5,Lower0.3Upper3,14,17,0,47290.939288167,88062.7748838492,472909.39288167,,11.0389252580544,89.5659969617317,54831.2670989697,1592.70392465395,105.159915201287
6,Vector,30,5,Lower0.3Upper3,540,22,0,47290.939288167,88062.7748838492,472909.39288167,,11.0389252580544,89.5659969617317,54831.2670989697,1592.70392465395,105.159915201287
6,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,88062.7748838492,472909.39288167,,11.0389252580544,89.5659969617317,54831.2670989697,1592.70392465395,105.159915201287
6,Oracle Vector,30,5,Lower0.3Upper3,240,10,0,47290.939288167,88062.7748838492,472909.39288167,,11.0389252580544,89.5659969617317,54831.2670989697,1592.70392465395,105.159915201287
6,Naive,30,5,Lower0.3Upper3,900,30,6,26418.8324651548,88062.7748838492,264188.324651548,,11.0389252580544,89.5659969617317,54831.2670989697,1592.70392465395,105.159915201287
6,Dist L0,30,5,Lower0.3Upper3,14,17,0,47290.939288167,88062.7748838492,472909.39288167,,11.0389252580544,89.5659969617317,54831.2670989697,1592.70392465395,105.159915201287
6,Dist L2,30,5,Lower0.3Upper3,311,32,1,29595.0958408867,88062.7748838492,295950.958408867,,11.0389252580544,89.5659969617317,54831.2670989697,1592.70392465395,105.159915201287
7,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,80468.8099788697,472909.39288167,,11.8112689464025,75.0664555668808,51107.7439558167,1388.8328656123,81.6114457369627
7,Value,30,5,Lower0.3Upper3,18,22,0,47290.939288167,80468.8099788697,472909.39288167,,11.8112689464025,75.0664555668808,51107.7439558167,1388.8328656123,81.6114457369627
7,Oracle Vector,30,5,Lower0.3Upper3,240,10,0,47290.939288167,80468.8099788697,472909.39288167,,11.8112689464025,75.0664555668808,51107.7439558167,1388.8328656123,81.6114457369627
7,Vector,30,5,Lower0.3Upper3,720,30,0,47290.939288167,80468.8099788697,472909.39288167,,11.8112689464025,75.0664555668808,51107.7439558167,1388.8328656123,81.6114457369627
7,Naive,30,5,Lower0.3Upper3,1050,35,7,24140.6429936609,80468.8099788697,241406.429936609,,11.8112689464025,75.0664555668808,51107.7439558167,1388.8328656123,81.6114457369627
7,Dist L2,30,5,Lower0.3Upper3,315,37,1,29595.0958408867,80468.8099788697,295950.958408867,,11.8112689464025,75.0664555668808,51107.7439558167,1388.8328656123,81.6114457369627
7,Dist L0,30,5,Lower0.3Upper3,18,22,0,47290.939288167,80468.8099788697,472909.39288167,,11.8112689464025,75.0664555668808,51107.7439558167,1388.8328656123,81.6114457369627
8,Naive,30,5,Lower0.3Upper3,1200,40,8,21834.9282412736,72783.0941375788,218349.282412736,,10.1538694470893,54.7894856224929,46510.8568007172,1258.56366673786,75.3012089688116
8,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,72783.0941375788,472909.39288167,,10.1538694470893,54.7894856224929,46510.8568007172,1258.56366673786,75.3012089688116
8,Vector,30,5,Lower0.3Upper3,960,40,0,47290.939288167,72783.0941375788,472909.39288167,,10.1538694470893,54.7894856224929,46510.8568007172,1258.56366673786,75.3012089688116
8,Oracle Vector,30,5,Lower0.3Upper3,360,15,0,47290.939288167,72783.0941375788,472909.39288167,,10.1538694470893,54.7894856224929,46510.8568007172,1258.56366673786,75.3012089688116
8,Dist L2,30,5,Lower0.3Upper3,321,45,1,29595.0958408867,72783.0941375788,295950.958408867,,10.1538694470893,54.7894856224929,46510.8568007172,1258.56366673786,75.3012089688116
8,Dist L0,30,5,Lower0.3Upper3,323,45,1,21834.9282412736,72783.0941375788,218349.282412736,,10.1538694470893,54.7894856224929,46510.8568007172,1258.56366673786,75.3012089688116
8,Value,30,5,Lower0.3Upper3,323,45,1,21834.9282412736,72783.0941375788,218349.282412736,,10.1538694470893,54.7894856224929,46510.8568007172,1258.56366673786,75.3012089688116
9,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,61564.7355900958,472909.39288167,,8.99984586407508,60.6427498858337,38703.5746738019,1039.68989941909,63.9747213294019
9,Naive,30,5,Lower0.3Upper3,1350,45,9,18469.4206770287,61564.7355900958,184694.206770287,,8.99984586407508,60.6427498858337,38703.5746738019,1039.68989941909,63.9747213294019
9,Value,30,5,Lower0.3Upper3,327,50,1,21834.9282412736,61564.7355900958,218349.282412736,,8.99984586407508,60.6427498858337,38703.5746738019,1039.68989941909,63.9747213294019
9,Oracle Vector,30,5,Lower0.3Upper3,660,28,0,47290.939288167,61564.7355900958,472909.39288167,,8.99984586407508,60.6427498858337,38703.5746738019,1039.68989941909,63.9747213294019
9,Dist L0,30,5,Lower0.3Upper3,327,50,1,21834.9282412736,61564.7355900958,218349.282412736,,8.99984586407508,60.6427498858337,38703.5746738019,1039.68989941909,63.9747213294019
9,Dist L2,30,5,Lower0.3Upper3,626,68,2,18469.4206770287,61564.7355900958,184694.206770287,,8.99984586407508,60.6427498858337,38703.5746738019,1039.68989941909,63.9747213294019
9,Vector,30,5,Lower0.3Upper3,1260,52,1,18469.4206770287,61564.7355900958,184694.206770287,,8.99984586407508,60.6427498858337,38703.5746738019,1039.68989941909,63.9747213294019
10,Oracle,30,5,Lower0.3Upper3,0,0,0,47290.939288167,50645.1698291925,472909.39288167,,7.73786835331542,59.7272773933004,31512.5663239479,870.329912582249,62.5471613785603
10,Naive,30,5,Lower0.3Upper3,1500,50,10,15193.5509487577,50645.1698291925,151935.509487577,,7.73786835331542,59.7272773933004,31512.5663239479,870.329912582249,62.5471613785603
10,Value,30,5,Lower0.3Upper3,331,55,1,21834.9282412736,50645.1698291925,218349.282412736,,7.73786835331542,59.7272773933004,31512.5663239479,870.329912582249,62.5471613785603
10,Vector,30,5,Lower0.3Upper3,1380,57,1,18469.4206770287,50645.1698291925,184694.206770287,,7.73786835331542,59.7272773933004,31512.5663239479,870.329912582249,62.5471613785603
10,Dist L2,30,5,Lower0.3Upper3,630,73,2,18469.4206770287,50645.1698291925,184694.206770287,,7.73786835331542,59.7272773933004,31512.5663239479,870.329912582249,62.5471613785603
10,Oracle Vector,30,5,Lower0.3Upper3,900,39,0,47290.939288167,50645.1698291925,472909.39288167,,7.73786835331542,59.7272773933004,31512.5663239479,870.329912582249,62.5471613785603
10,Dist L0,30,5,Lower0.3Upper3,331,55,1,21834.9282412736,50645.1698291925,218349.282412736,,7.73786835331542,59.7272773933004,31512.5663239479,870.329912582249,62.5471613785603
11,Value,30,5,Lower0.3Upper3,337,62,1,21834.9282412736,43574.1304940975,218349.282412736,,6.10936872056623,58.8033192279476,26791.6944720537,759.508386172021,62.4459308705634
11,Vector,30,5,Lower0.3Upper3,1560,65,1,18469.4206770287,43574.1304940975,184694.206770287,,6.10936872056623,58.8033192279476,26791.6944720537,759.508386172021,62.4459308705634
11,Oracle,30,5,Lower0.3Upper3,300,10,1,13072.2391482293,43574.1304940975,130722.391482293,,6.10936872056623,58.8033192279476,26791.6944720537,759.508386172021,62.4459308705634
11,Naive,30,5,Lower0.3Upper3,1650,55,11,13072.2391482293,43574.1304940975,130722.391482293,,6.10936872056623,58.8033192279476,26791.6944720537,759.508386172021,62.4459308705634
11,Dist L0,30,5,Lower0.3Upper3,337,62,1,21834.9282412736,43574.1304940975,218349.282412736,,6.10936872056623,58.8033192279476,26791.6944720537,759.508386172021,62.4459308705634
11,Dist L2,30,5,Lower0.3Upper3,935,97,3,13072.2391482293,43574.1304940975,130722.391482293,,6.10936872056623,58.8033192279476,26791.6944720537,759.508386172021,62.4459308705634
11,Oracle Vector,30,5,Lower0.3Upper3,1200,52,1,13072.2391482293,43574.1304940975,130722.391482293,,6.10936872056623,58.8033192279476,26791.6944720537,759.508386172021,62.4459308705634
12,Naive,30,5,Lower0.3Upper3,1800,60,12,10354.8211058181,34516.0703527272,103548.211058182,,5.0575748017545,51.1269727793279,21439.7571683749,655.900927925022,61.9886143695852
12,Oracle,30,5,Lower0.3Upper3,300,10,1,13072.2391482293,34516.0703527272,130722.391482293,,5.0575748017545,51.1269727793279,21439.7571683749,655.900927925022,61.9886143695852
12,Oracle Vector,30,5,Lower0.3Upper3,1320,57,1,13072.2391482293,34516.0703527272,130722.391482293,,5.0575748017545,51.1269727793279,21439.7571683749,655.900927925022,61.9886143695852
12,Vector,30,5,Lower0.3Upper3,1800,76,1,18469.4206770287,34516.0703527272,184694.206770287,,5.0575748017545,51.1269727793279,21439.7571683749,655.900927925022,61.9886143695852
