LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Oracle,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,1393.25,81956.2,,85.3,83.05,85.35,83.8,91.2,85.4,87.7,90.55,86.35,90.95,84.15,87.4,90.85,85.9,94.45,90.4
1,Vector,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,1393.25,81956.2,,85.3,83.05,85.35,83.8,91.2,85.4,87.7,90.55,86.35,90.95,84.15,87.4,90.85,85.9,94.45,90.4
1,Value,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,1393.25,81956.2,,85.3,83.05,85.35,83.8,91.2,85.4,87.7,90.55,86.35,90.95,84.15,87.4,90.85,85.9,94.45,90.4
1,Oracle Vector,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,1393.25,81956.2,,85.3,83.05,85.35,83.8,91.2,85.4,87.7,90.55,86.35,90.95,84.15,87.4,90.85,85.9,94.45,90.4
1,Dist L-inf,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,1393.25,81956.2,,85.3,83.05,85.35,83.8,91.2,85.4,87.7,90.55,86.35,90.95,84.15,87.4,90.85,85.9,94.45,90.4
1,Dist L2,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,1393.25,81956.2,,85.3,83.05,85.35,83.8,91.2,85.4,87.7,90.55,86.35,90.95,84.15,87.4,90.85,85.9,94.45,90.4
2,Oracle,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,2214.4,81956.2,,138.85,126.05,136.25,140.8,133.5,143.25,143.5,136.7,129.9,144.5,133.55,131.25,135.15,145.55,151.65,135.75
2,Value,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,2214.4,81956.2,,138.85,126.05,136.25,140.8,133.5,143.25,143.5,136.7,129.9,144.5,133.55,131.25,135.15,145.55,151.65,135.75
2,Oracle Vector,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,2214.4,81956.2,,138.85,126.05,136.25,140.8,133.5,143.25,143.5,136.7,129.9,144.5,133.55,131.25,135.15,145.55,151.65,135.75
2,Vector,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,2214.4,81956.2,,138.85,126.05,136.25,140.8,133.5,143.25,143.5,136.7,129.9,144.5,133.55,131.25,135.15,145.55,151.65,135.75
2,Dist L2,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,2214.4,81956.2,,138.85,126.05,136.25,140.8,133.5,143.25,143.5,136.7,129.9,144.5,133.55,131.25,135.15,145.55,151.65,135.75
2,Dist L-inf,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,2214.4,81956.2,,138.85,126.05,136.25,140.8,133.5,143.25,143.5,136.7,129.9,144.5,133.55,131.25,135.15,145.55,151.65,135.75
3,Oracle,2020,16,Combined_Lower0.5Upper2_Additive80800,0,0,0,-80510.95,2982.4,81956.2,,193.4,176.7,196.25,186.8,175.85,189.45,202.75,181.9,180.55,193.3,182.3,183.1,188.45,196.25,194.85,173.75
3,Value,2020,16,Combined_Lower0.5Upper2_Additive80800,4,5,0,-80510.95,2982.4,81956.2,,193.4,176.7,196.25,186.8,175.85,189.45,202.75,181.9,180.55,193.3,182.3,183.1,188.45,196.25,194.85,173.75
