LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16
1,Oracle,2620,16,Combined_Lower0.3Upper3_,0,0,0,165.045,598.5,1650.45,,88.15,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
1,Oracle Vector,2620,16,Combined_Lower0.3Upper3_,20960,11,0,165.045,598.5,1650.45,,88.15,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
1,Dist L-inf,2620,16,Combined_Lower0.3Upper3_,30,43,0,165.045,598.5,1650.45,,88.15,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
1,Vector,2620,16,Combined_Lower0.3Upper3_,52400,28,0,165.045,598.5,1650.45,,88.15,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
1,Value,2620,16,Combined_Lower0.3Upper3_,83876,108,1,179.55,598.5,1795.5,,88.15,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
1,Dist L2,2620,16,Combined_Lower0.3Upper3_,83856,79,1,179.55,598.5,1795.5,,88.15,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
2,Oracle,2620,16,Combined_Lower0.3Upper3_,0,0,0,165.045,647.4,1650.45,,147.7,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
2,Dist L-inf,2620,16,Combined_Lower0.3Upper3_,54,77,0,165.045,647.4,1650.45,,147.7,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
2,Oracle Vector,2620,16,Combined_Lower0.3Upper3_,47160,25,0,165.045,647.4,1650.45,,147.7,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
2,Value,2620,16,Combined_Lower0.3Upper3_,167752,216,2,194.22,647.4,1942.2,,147.7,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
2,Vector,2620,16,Combined_Lower0.3Upper3_,125760,68,0,165.045,647.4,1650.45,,147.7,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
2,Dist L2,2620,16,Combined_Lower0.3Upper3_,167712,158,2,194.22,647.4,1942.2,,147.7,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
3,Oracle,2620,16,Combined_Lower0.3Upper3_,0,0,0,165.045,720.75,1650.45,,203.2,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
3,Value,2620,16,Combined_Lower0.3Upper3_,167794,277,2,194.22,720.75,1942.2,,203.2,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
3,Oracle Vector,2620,16,Combined_Lower0.3Upper3_,73360,39,0,165.045,720.75,1650.45,,203.2,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
3,Dist L-inf,2620,16,Combined_Lower0.3Upper3_,94,135,0,165.045,720.75,1650.45,,203.2,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
3,Vector,2620,16,Combined_Lower0.3Upper3_,188640,102,0,165.045,720.75,1650.45,,203.2,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
3,Dist L2,2620,16,Combined_Lower0.3Upper3_,251568,237,3,216.225,720.75,2162.25,,203.2,36.5,36.2,36.95,36.9,35.85,36.15,36.6,36.6,37.8,37,38.2,35.8,36.35,36.45,37.05
