LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5
1,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57725606381236,6.59264145312515,,6.50164354075198,6.49265195063109,6.57501741583195,6.44187297360343,6.5169510243145
1,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57725606381236,6.59264145312515,,6.50164354075198,6.49265195063109,6.57501741583195,6.44187297360343,6.5169510243145
1,Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57725606381236,6.59264145312515,,6.50164354075198,6.49265195063109,6.57501741583195,6.44187297360343,6.5169510243145
1,Value,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57725606381236,6.59264145312515,,6.50164354075198,6.49265195063109,6.57501741583195,6.44187297360343,6.5169510243145
1,Dist L1,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57725606381236,6.59264145312515,,6.50164354075198,6.49265195063109,6.57501741583195,6.44187297360343,6.5169510243145
2,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57610103557062,6.59264145312515,,6.50055867487294,6.49300718512699,6.57320973879442,6.44008815726209,6.51563415294037
2,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57610103557062,6.59264145312515,,6.50055867487294,6.49300718512699,6.57320973879442,6.44008815726209,6.51563415294037
2,Value,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57610103557062,6.59264145312515,,6.50055867487294,6.49300718512699,6.57320973879442,6.44008815726209,6.51563415294037
2,Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57610103557062,6.59264145312515,,6.50055867487294,6.49300718512699,6.57320973879442,6.44008815726209,6.51563415294037
2,Dist L1,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57610103557062,6.59264145312515,,6.50055867487294,6.49300718512699,6.57320973879442,6.44008815726209,6.51563415294037
3,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57562123076534,6.59264145312515,,6.50146186981247,6.49347832739134,6.57210720130737,6.43765662784633,6.51517524437995
3,Value,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57562123076534,6.59264145312515,,6.50146186981247,6.49347832739134,6.57210720130737,6.43765662784633,6.51517524437995
3,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57562123076534,6.59264145312515,,6.50146186981247,6.49347832739134,6.57210720130737,6.43765662784633,6.51517524437995
3,Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57562123076534,6.59264145312515,,6.50146186981247,6.49347832739134,6.57210720130737,6.43765662784633,6.51517524437995
3,Dist L1,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57562123076534,6.59264145312515,,6.50146186981247,6.49347832739134,6.57210720130737,6.43765662784633,6.51517524437995
4,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57566884214923,6.59264145312515,,6.50158013624609,6.49414115247669,6.57184207787246,6.43760016323982,6.51445648150296
4,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57566884214923,6.59264145312515,,6.50158013624609,6.49414115247669,6.57184207787246,6.43760016323982,6.51445648150296
4,Value,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57566884214923,6.59264145312515,,6.50158013624609,6.49414115247669,6.57184207787246,6.43760016323982,6.51445648150296
4,Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57566884214923,6.59264145312515,,6.50158013624609,6.49414115247669,6.57184207787246,6.43760016323982,6.51445648150296
4,Dist L1,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57566884214923,6.59264145312515,,6.50158013624609,6.49414115247669,6.57184207787246,6.43760016323982,6.51445648150296
5,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.5754983777329,6.59264145312515,,6.50136675580017,6.49419389382242,6.57154109752253,6.43804636854264,6.51434636903638
5,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.5754983777329,6.59264145312515,,6.50136675580017,6.49419389382242,6.57154109752253,6.43804636854264,6.51434636903638
5,Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.5754983777329,6.59264145312515,,6.50136675580017,6.49419389382242,6.57154109752253,6.43804636854264,6.51434636903638
5,Value,1340,5,Additive0.015,0,0,0,6.56264145312515,6.5754983777329,6.59264145312515,,6.50136675580017,6.49419389382242,6.57154109752253,6.43804636854264,6.51434636903638
5,Dist L1,1340,5,Additive0.015,0,0,0,6.56264145312515,6.5754983777329,6.59264145312515,,6.50136675580017,6.49419389382242,6.57154109752253,6.43804636854264,6.51434636903638
6,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57536163198347,6.59264145312515,,6.50169371265069,6.49512206368148,6.57092039976939,6.43771836529049,6.51390262537042
6,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57536163198347,6.59264145312515,,6.50169371265069,6.49512206368148,6.57092039976939,6.43771836529049,6.51390262537042
6,Value,1340,5,Additive0.015,4,5,0,6.56264145312515,6.57536163198347,6.59264145312515,,6.50169371265069,6.49512206368148,6.57092039976939,6.43771836529049,6.51390262537042
6,Vector,1340,5,Additive0.015,5360,5,0,6.56264145312515,6.57536163198347,6.59264145312515,,6.50169371265069,6.49512206368148,6.57092039976939,6.43771836529049,6.51390262537042
6,Dist L1,1340,5,Additive0.015,4,5,0,6.56264145312515,6.57536163198347,6.59264145312515,,6.50169371265069,6.49512206368148,6.57092039976939,6.43771836529049,6.51390262537042
7,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57540754256356,6.59264145312515,,6.50156853134895,6.49497639507595,6.57112016691453,6.4369727060995,6.5144064656376
7,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57540754256356,6.59264145312515,,6.50156853134895,6.49497639507595,6.57112016691453,6.4369727060995,6.5144064656376
7,Vector,1340,5,Additive0.015,5360,5,0,6.56264145312515,6.57540754256356,6.59264145312515,,6.50156853134895,6.49497639507595,6.57112016691453,6.4369727060995,6.5144064656376
7,Value,1340,5,Additive0.015,10,13,0,6.56264145312515,6.57540754256356,6.59264145312515,,6.50156853134895,6.49497639507595,6.57112016691453,6.4369727060995,6.5144064656376
7,Dist L1,1340,5,Additive0.015,4,5,0,6.56264145312515,6.57540754256356,6.59264145312515,,6.50156853134895,6.49497639507595,6.57112016691453,6.4369727060995,6.5144064656376
8,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57501824220696,6.59264145312515,,6.5016544613363,6.49560204720506,6.56991697461473,6.43574745338011,6.51433895434971
8,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57501824220696,6.59264145312515,,6.5016544613363,6.49560204720506,6.56991697461473,6.43574745338011,6.51433895434971
8,Value,1340,5,Additive0.015,14,18,0,6.56264145312515,6.57501824220696,6.59264145312515,,6.5016544613363,6.49560204720506,6.56991697461473,6.43574745338011,6.51433895434971
8,Vector,1340,5,Additive0.015,10720,10,0,6.56264145312515,6.57501824220696,6.59264145312515,,6.5016544613363,6.49560204720506,6.56991697461473,6.43574745338011,6.51433895434971
8,Dist L1,1340,5,Additive0.015,8,10,0,6.56264145312515,6.57501824220696,6.59264145312515,,6.5016544613363,6.49560204720506,6.56991697461473,6.43574745338011,6.51433895434971
9,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57466576227473,6.59264145312515,,6.50031466977193,6.49585056883078,6.56813726285901,6.43545830691144,6.51491186437156
9,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57466576227473,6.59264145312515,,6.50031466977193,6.49585056883078,6.56813726285901,6.43545830691144,6.51491186437156
9,Value,1340,5,Additive0.015,18,23,0,6.56264145312515,6.57466576227473,6.59264145312515,,6.50031466977193,6.49585056883078,6.56813726285901,6.43545830691144,6.51491186437156
9,Vector,1340,5,Additive0.015,10720,10,0,6.56264145312515,6.57466576227473,6.59264145312515,,6.50031466977193,6.49585056883078,6.56813726285901,6.43545830691144,6.51491186437156
9,Dist L1,1340,5,Additive0.015,12,15,0,6.56264145312515,6.57466576227473,6.59264145312515,,6.50031466977193,6.49585056883078,6.56813726285901,6.43545830691144,6.51491186437156
10,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57519027209202,6.59264145312515,,6.50060499655916,6.49608192192479,6.56808561644854,6.43622539208429,6.51510174975186
10,Oracle Vector,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57519027209202,6.59264145312515,,6.50060499655916,6.49608192192479,6.56808561644854,6.43622539208429,6.51510174975186
10,Value,1340,5,Additive0.015,18,23,0,6.56264145312515,6.57519027209202,6.59264145312515,,6.50060499655916,6.49608192192479,6.56808561644854,6.43622539208429,6.51510174975186
10,Vector,1340,5,Additive0.015,16080,15,0,6.56264145312515,6.57519027209202,6.59264145312515,,6.50060499655916,6.49608192192479,6.56808561644854,6.43622539208429,6.51510174975186
10,Dist L1,1340,5,Additive0.015,12,15,0,6.56264145312515,6.57519027209202,6.59264145312515,,6.50060499655916,6.49608192192479,6.56808561644854,6.43622539208429,6.51510174975186
11,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.5743652413358,6.59264145312515,,6.50094757428769,6.49695149993279,6.56604667359919,6.43538015879709,6.51282970443007
11,Oracle Vector,1340,5,Additive0.015,5360,5,0,6.56264145312515,6.5743652413358,6.59264145312515,,6.50094757428769,6.49695149993279,6.56604667359919,6.43538015879709,6.51282970443007
11,Vector,1340,5,Additive0.015,21440,20,0,6.56264145312515,6.5743652413358,6.59264145312515,,6.50094757428769,6.49695149993279,6.56604667359919,6.43538015879709,6.51282970443007
11,Value,1340,5,Additive0.015,24,30,0,6.56264145312515,6.5743652413358,6.59264145312515,,6.50094757428769,6.49695149993279,6.56604667359919,6.43538015879709,6.51282970443007
11,Dist L1,1340,5,Additive0.015,18,23,0,6.56264145312515,6.5743652413358,6.59264145312515,,6.50094757428769,6.49695149993279,6.56604667359919,6.43538015879709,6.51282970443007
12,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57409734217996,6.59264145312515,,6.50141517303525,6.49684542211478,6.56503479483532,6.43510565329612,6.51140891532406
12,Oracle Vector,1340,5,Additive0.015,5360,5,0,6.56264145312515,6.57409734217996,6.59264145312515,,6.50141517303525,6.49684542211478,6.56503479483532,6.43510565329612,6.51140891532406
12,Value,1340,5,Additive0.015,24,30,0,6.56264145312515,6.57409734217996,6.59264145312515,,6.50141517303525,6.49684542211478,6.56503479483532,6.43510565329612,6.51140891532406
12,Vector,1340,5,Additive0.015,21440,20,0,6.56264145312515,6.57409734217996,6.59264145312515,,6.50141517303525,6.49684542211478,6.56503479483532,6.43510565329612,6.51140891532406
12,Dist L1,1340,5,Additive0.015,26,33,0,6.56264145312515,6.57409734217996,6.59264145312515,,6.50141517303525,6.49684542211478,6.56503479483532,6.43510565329612,6.51140891532406
13,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57327126530882,6.59264145312515,,6.50078625415327,6.49669472452369,6.56399130087128,6.43445603315471,6.50921129588745
13,Oracle Vector,1340,5,Additive0.015,10720,10,0,6.56264145312515,6.57327126530882,6.59264145312515,,6.50078625415327,6.49669472452369,6.56399130087128,6.43445603315471,6.50921129588745
13,Vector,1340,5,Additive0.015,26800,25,0,6.56264145312515,6.57327126530882,6.59264145312515,,6.50078625415327,6.49669472452369,6.56399130087128,6.43445603315471,6.50921129588745
13,Value,1340,5,Additive0.015,13429,52,1,6.55827126530882,6.57327126530882,6.58827126530882,,6.50078625415327,6.49669472452369,6.56399130087128,6.43445603315471,6.50921129588745
13,Dist L1,1340,5,Additive0.015,13431,54,1,6.55827126530882,6.57327126530882,6.58827126530882,,6.50078625415327,6.49669472452369,6.56399130087128,6.43445603315471,6.50921129588745
14,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57319034655135,6.59264145312515,,6.501536086858,6.49676483403878,6.56351024938303,6.4340760546819,6.50898738480875
14,Oracle Vector,1340,5,Additive0.015,10720,10,0,6.56264145312515,6.57319034655135,6.59264145312515,,6.501536086858,6.49676483403878,6.56351024938303,6.4340760546819,6.50898738480875
14,Value,1340,5,Additive0.015,13429,52,1,6.55827126530882,6.57319034655135,6.58827126530882,,6.501536086858,6.49676483403878,6.56351024938303,6.4340760546819,6.50898738480875
14,Vector,1340,5,Additive0.015,34840,32,0,6.56264145312515,6.57319034655135,6.59264145312515,,6.501536086858,6.49676483403878,6.56351024938303,6.4340760546819,6.50898738480875
14,Dist L1,1340,5,Additive0.015,13431,54,1,6.55827126530882,6.57319034655135,6.58827126530882,,6.501536086858,6.49676483403878,6.56351024938303,6.4340760546819,6.50898738480875
15,Oracle,1340,5,Additive0.015,0,0,0,6.56264145312515,6.57308581721053,6.59264145312515,,6.50127832799926,6.49699419416187,6.56308028553808,6.43371621144018,6.5091023119341
15,Oracle Vector,1340,5,Additive0.015,10720,10,0,6.56264145312515,6.57308581721053,6.59264145312515,,6.50127832799926,6.49699419416187,6.56308028553808,6.43371621144018,6.5091023119341
15,Value,1340,5,Additive0.015,13429,52,1,6.55827126530882,6.57308581721053,6.58827126530882,,6.50127832799926,6.49699419416187,6.56308028553808,6.43371621144018,6.5091023119341
