LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Oracle,5800,10,Multiplicative0.17,0,0,0,0.101019263,0.12237851,0.142400648,,0.027101981,0.006586491,0.070805568,0.165667813,0.135346001,0.225129014,0.224373728,0.044530954,0.119042761,0.119524806
1,Oracle Vector,5800,10,Multiplicative0.17,0,0,0,0.101019263,0.12237851,0.142400648,,0.027101981,0.006586491,0.070805568,0.165667813,0.135346001,0.225129014,0.224373728,0.044530954,0.119042761,0.119524806
1,Value,5800,10,Multiplicative0.17,0,0,0,0.101019263,0.12237851,0.142400648,,0.027101981,0.006586491,0.070805568,0.165667813,0.135346001,0.225129014,0.224373728,0.044530954,0.119042761,0.119524806
1,Vector,5800,10,Multiplicative0.17,0,0,0,0.101019263,0.12237851,0.142400648,,0.027101981,0.006586491,0.070805568,0.165667813,0.135346001,0.225129014,0.224373728,0.044530954,0.119042761,0.119524806
1,Dist L1,5800,10,Multiplicative0.17,0,0,0,0.101019263,0.12237851,0.142400648,,0.027101981,0.006586491,0.070805568,0.165667813,0.135346001,0.225129014,0.224373728,0.044530954,0.119042761,0.119524806
2,Oracle,5800,10,Multiplicative0.17,0,0,0,0.101019263,0.130358995,0.142400648,,0.0176305,-0.000194266,0.069937484,0.159590761,0.146727629,0.22656191,0.234833813,0.071457896,0.136235229,0.149879041
2,Value,5800,10,Multiplicative0.17,12,14,0,0.101019263,0.130358995,0.142400648,,0.0176305,-0.000194266,0.069937484,0.159590761,0.146727629,0.22656191,0.234833813,0.071457896,0.136235229,0.149879041
2,Vector,5800,10,Multiplicative0.17,58000,11,0,0.101019263,0.130358995,0.142400648,,0.0176305,-0.000194266,0.069937484,0.159590761,0.146727629,0.22656191,0.234833813,0.071457896,0.136235229,0.149879041
2,Oracle Vector,5800,10,Multiplicative0.17,69600,14,0,0.101019263,0.130358995,0.142400648,,0.0176305,-0.000194266,0.069937484,0.159590761,0.146727629,0.22656191,0.234833813,0.071457896,0.136235229,0.149879041
2,Dist L1,5800,10,Multiplicative0.17,10,11,0,0.101019263,0.130358995,0.142400648,,0.0176305,-0.000194266,0.069937484,0.159590761,0.146727629,0.22656191,0.234833813,0.071457896,0.136235229,0.149879041
