LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20,Server 21,Server 22,Server 23,Server 24,Server 25
1,Value,5000,25,Lower0.5Upper2,12,16,0,448669809,810988644,1794679236,,0,0,229,1,0,0,19,333,134,0,0,423,86976994,371196652,21096,0,112838,3602,311452,160,0,5721,2,2,0
1,Vector,5000,25,Lower0.5Upper2,60000,16,0,448669809,810988644,1794679236,,0,0,229,1,0,0,19,333,134,0,0,423,86976994,371196652,21096,0,112838,3602,311452,160,0,5721,2,2,0
1,Oracle Vector,5000,25,Lower0.5Upper2,50000,13,0,448669809,810988644,1794679236,,0,0,229,1,0,0,19,333,134,0,0,423,86976994,371196652,21096,0,112838,3602,311452,160,0,5721,2,2,0
1,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,810988644,1794679236,,0,0,229,1,0,0,19,333,134,0,0,423,86976994,371196652,21096,0,112838,3602,311452,160,0,5721,2,2,0
1,Dist L2,5000,25,Lower0.5Upper2,12,16,0,448669809,810988644,1794679236,,0,0,229,1,0,0,19,333,134,0,0,423,86976994,371196652,21096,0,112838,3602,311452,160,0,5721,2,2,0
2,Value,5000,25,Lower0.5Upper2,34,47,0,448669809,714455972,1794679236,,0,0,229,1,0,0,13,307,84,0,0,360,74995190,329318223,14412,0,113538,3226,310138,133,0,6186,3,2,0
2,Vector,5000,25,Lower0.5Upper2,140000,38,0,448669809,714455972,1794679236,,0,0,229,1,0,0,13,307,84,0,0,360,74995190,329318223,14412,0,113538,3226,310138,133,0,6186,3,2,0
2,Oracle Vector,5000,25,Lower0.5Upper2,130000,35,0,448669809,714455972,1794679236,,0,0,229,1,0,0,13,307,84,0,0,360,74995190,329318223,14412,0,113538,3226,310138,133,0,6186,3,2,0
2,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,714455972,1794679236,,0,0,229,1,0,0,13,307,84,0,0,360,74995190,329318223,14412,0,113538,3226,310138,133,0,6186,3,2,0
2,Dist L2,5000,25,Lower0.5Upper2,34,47,0,448669809,714455972,1794679236,,0,0,229,1,0,0,13,307,84,0,0,360,74995190,329318223,14412,0,113538,3226,310138,133,0,6186,3,2,0
3,Value,5000,25,Lower0.5Upper2,64,89,0,448669809,630210846,1794679236,,0,0,225,1,0,0,7,278,66,0,0,261,64967939,292043414,8947,0,114245,2731,307218,116,0,6324,3,1,0
3,Vector,5000,25,Lower0.5Upper2,260000,71,0,448669809,630210846,1794679236,,0,0,225,1,0,0,7,278,66,0,0,261,64967939,292043414,8947,0,114245,2731,307218,116,0,6324,3,1,0
3,Oracle Vector,5000,25,Lower0.5Upper2,230000,62,0,448669809,630210846,1794679236,,0,0,225,1,0,0,7,278,66,0,0,261,64967939,292043414,8947,0,114245,2731,307218,116,0,6324,3,1,0
3,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,630210846,1794679236,,0,0,225,1,0,0,7,278,66,0,0,261,64967939,292043414,8947,0,114245,2731,307218,116,0,6324,3,1,0
3,Dist L2,5000,25,Lower0.5Upper2,64,88,0,448669809,630210846,1794679236,,0,0,225,1,0,0,7,278,66,0,0,261,64967939,292043414,8947,0,114245,2731,307218,116,0,6324,3,1,0
4,Value,5000,25,Lower0.5Upper2,108,152,0,448669809,565548481,1794679236,,0,0,202,0,0,0,3,164,36,0,0,188,56748584,264574363,5715,0,114287,2115,304346,104,0,6324,2,1,0
4,Vector,5000,25,Lower0.5Upper2,470000,132,0,448669809,565548481,1794679236,,0,0,202,0,0,0,3,164,36,0,0,188,56748584,264574363,5715,0,114287,2115,304346,104,0,6324,2,1,0
4,Oracle Vector,5000,25,Lower0.5Upper2,300000,81,0,448669809,565548481,1794679236,,0,0,202,0,0,0,3,164,36,0,0,188,56748584,264574363,5715,0,114287,2115,304346,104,0,6324,2,1,0
4,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,565548481,1794679236,,0,0,202,0,0,0,3,164,36,0,0,188,56748584,264574363,5715,0,114287,2115,304346,104,0,6324,2,1,0
4,Dist L2,5000,25,Lower0.5Upper2,98,136,0,448669809,565548481,1794679236,,0,0,202,0,0,0,3,164,36,0,0,188,56748584,264574363,5715,0,114287,2115,304346,104,0,6324,2,1,0
5,Value,5000,25,Lower0.5Upper2,146,205,0,448669809,526859067,1794679236,,0,0,232,0,0,0,1,95,18,0,0,117,51129285,249450104,3850,0,114288,1755,301878,94,0,6405,2,1,0
5,Vector,5000,25,Lower0.5Upper2,690000,194,0,448669809,526859067,1794679236,,0,0,232,0,0,0,1,95,18,0,0,117,51129285,249450104,3850,0,114288,1755,301878,94,0,6405,2,1,0
5,Oracle Vector,5000,25,Lower0.5Upper2,480000,131,0,448669809,526859067,1794679236,,0,0,232,0,0,0,1,95,18,0,0,117,51129285,249450104,3850,0,114288,1755,301878,94,0,6405,2,1,0
5,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,526859067,1794679236,,0,0,232,0,0,0,1,95,18,0,0,117,51129285,249450104,3850,0,114288,1755,301878,94,0,6405,2,1,0
5,Dist L2,5000,25,Lower0.5Upper2,156,219,0,448669809,526859067,1794679236,,0,0,232,0,0,0,1,95,18,0,0,117,51129285,249450104,3850,0,114288,1755,301878,94,0,6405,2,1,0
6,Value,5000,25,Lower0.5Upper2,194,272,0,448669809,517475218,1794679236,,0,0,242,0,0,0,0,73,12,0,0,84,48806769,247277219,2765,0,120828,1607,300505,88,0,7045,2,0,0
6,Vector,5000,25,Lower0.5Upper2,880000,249,0,448669809,517475218,1794679236,,0,0,242,0,0,0,0,73,12,0,0,84,48806769,247277219,2765,0,120828,1607,300505,88,0,7045,2,0,0
6,Oracle Vector,5000,25,Lower0.5Upper2,520000,141,0,448669809,517475218,1794679236,,0,0,242,0,0,0,0,73,12,0,0,84,48806769,247277219,2765,0,120828,1607,300505,88,0,7045,2,0,0
6,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,517475218,1794679236,,0,0,242,0,0,0,0,73,12,0,0,84,48806769,247277219,2765,0,120828,1607,300505,88,0,7045,2,0,0
6,Dist L2,5000,25,Lower0.5Upper2,200,281,0,448669809,517475218,1794679236,,0,0,242,0,0,0,0,73,12,0,0,84,48806769,247277219,2765,0,120828,1607,300505,88,0,7045,2,0,0
7,Value,5000,25,Lower0.5Upper2,202,282,0,448669809,544008575,1794679236,,0,0,231,0,0,0,0,56,11,0,0,73,49719917,263065426,2436,0,129453,1695,299596,81,0,7337,2,0,0
7,Vector,5000,25,Lower0.5Upper2,910000,257,0,448669809,544008575,1794679236,,0,0,231,0,0,0,0,56,11,0,0,73,49719917,263065426,2436,0,129453,1695,299596,81,0,7337,2,0,0
7,Oracle Vector,5000,25,Lower0.5Upper2,520000,141,0,448669809,544008575,1794679236,,0,0,231,0,0,0,0,56,11,0,0,73,49719917,263065426,2436,0,129453,1695,299596,81,0,7337,2,0,0
7,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,544008575,1794679236,,0,0,231,0,0,0,0,56,11,0,0,73,49719917,263065426,2436,0,129453,1695,299596,81,0,7337,2,0,0
7,Dist L2,5000,25,Lower0.5Upper2,200,281,0,448669809,544008575,1794679236,,0,0,231,0,0,0,0,56,11,0,0,73,49719917,263065426,2436,0,129453,1695,299596,81,0,7337,2,0,0
8,Value,5000,25,Lower0.5Upper2,202,282,0,448669809,604627717,1794679236,,0,0,223,0,0,0,0,55,10,0,0,61,53377126,296691681,2392,0,136893,1635,308866,123,0,7779,2,0,0
8,Vector,5000,25,Lower0.5Upper2,930000,262,0,448669809,604627717,1794679236,,0,0,223,0,0,0,0,55,10,0,0,61,53377126,296691681,2392,0,136893,1635,308866,123,0,7779,2,0,0
8,Oracle Vector,5000,25,Lower0.5Upper2,540000,146,0,448669809,604627717,1794679236,,0,0,223,0,0,0,0,55,10,0,0,61,53377126,296691681,2392,0,136893,1635,308866,123,0,7779,2,0,0
8,Oracle,5000,25,Lower0.5Upper2,0,0,0,448669809,604627717,1794679236,,0,0,223,0,0,0,0,55,10,0,0,61,53377126,296691681,2392,0,136893,1635,308866,123,0,7779,2,0,0
8,Dist L2,5000,25,Lower0.5Upper2,200,281,0,448669809,604627717,1794679236,,0,0,223,0,0,0,0,55,10,0,0,61,53377126,296691681,2392,0,136893,1635,308866,123,0,7779,2,0,0
9,Value,5000,25,Lower0.5Upper2,202,282,0,448669809,699247533,1794679236,,0,0,234,0,0,0,0,58,11,0,0,75,59634116,348565661,2366,0,143553,1800,335490,133,0,8484,2,0,0
9,Vector,5000,25,Lower0.5Upper2,960000,270,0,448669809,699247533,1794679236,,0,0,234,0,0,0,0,58,11,0,0,75,59634116,348565661,2366,0,143553,1800,335490,133,0,8484,2,0,0
9,Oracle Vector,5000,25,Lower0.5Upper2,570000,154,0,448669809,699247533,1794679236,,0,0,234,0,0,0,0,58,11,0,0,75,59634116,348565661,2366,0,143553,1800,335490,133,0,8484,2,0,0
