LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12,Server 13,Server 14,Server 15,Server 16,Server 17,Server 18,Server 19,Server 20
1,Naive,100,20,Lower0.5Upper2,2000,20,1,-9055.50015562902,-4527.75007781451,-2263.87503890726,,38.4950835535599,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
1,Oracle,100,20,Lower0.5Upper2,0,0,0,-9389.44386928659,-4527.75007781451,-2347.36096732165,,38.4950835535599,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
1,Oracle Vector,100,20,Lower0.5Upper2,800,11,0,-9389.44386928659,-4527.75007781451,-2347.36096732165,,38.4950835535599,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
1,Value,100,20,Lower0.5Upper2,22,32,0,-9389.44386928659,-4527.75007781451,-2347.36096732165,,38.4950835535599,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
1,Vector,100,20,Lower0.5Upper2,800,11,0,-9389.44386928659,-4527.75007781451,-2347.36096732165,,38.4950835535599,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
1,Dist L2,100,20,Lower0.5Upper2,18,26,0,-9389.44386928659,-4527.75007781451,-2347.36096732165,,38.4950835535599,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
2,Naive,100,20,Lower0.5Upper2,4000,40,2,-8323.72523329965,-4161.86261664982,-2080.93130832491,,131.797075960764,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
2,Oracle,100,20,Lower0.5Upper2,0,0,0,-9389.44386928659,-4161.86261664982,-2347.36096732165,,131.797075960764,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
2,Oracle Vector,100,20,Lower0.5Upper2,1800,25,0,-9389.44386928659,-4161.86261664982,-2347.36096732165,,131.797075960764,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
2,Vector,100,20,Lower0.5Upper2,1800,25,0,-9389.44386928659,-4161.86261664982,-2347.36096732165,,131.797075960764,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
2,Value,100,20,Lower0.5Upper2,4042,131,1,-8323.72523329965,-4161.86261664982,-2080.93130832491,,131.797075960764,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
2,Dist L2,100,20,Lower0.5Upper2,4038,125,1,-8323.72523329965,-4161.86261664982,-2080.93130832491,,131.797075960764,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
3,Naive,100,20,Lower0.5Upper2,6000,60,3,-7915.95277426825,-3957.97638713413,-1978.98819356706,,369.486859609913,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
3,Oracle,100,20,Lower0.5Upper2,0,0,0,-9389.44386928659,-3957.97638713413,-2347.36096732165,,369.486859609913,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
3,Oracle Vector,100,20,Lower0.5Upper2,2800,39,0,-9389.44386928659,-3957.97638713413,-2347.36096732165,,369.486859609913,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
3,Value,100,20,Lower0.5Upper2,4068,169,1,-8323.72523329965,-3957.97638713413,-2080.93130832491,,369.486859609913,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
3,Vector,100,20,Lower0.5Upper2,3200,45,0,-9389.44386928659,-3957.97638713413,-2347.36096732165,,369.486859609913,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
3,Dist L2,100,20,Lower0.5Upper2,4058,154,1,-8323.72523329965,-3957.97638713413,-2080.93130832491,,369.486859609913,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
4,Oracle,100,20,Lower0.5Upper2,0,0,0,-9389.44386928659,-3743.19901181092,-2347.36096732165,,685.74492740245,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
4,Naive,100,20,Lower0.5Upper2,8000,80,4,-7486.39802362183,-3743.19901181092,-1871.59950590546,,685.74492740245,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
4,Oracle Vector,100,20,Lower0.5Upper2,4000,56,0,-9389.44386928659,-3743.19901181092,-2347.36096732165,,685.74492740245,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
4,Vector,100,20,Lower0.5Upper2,5400,76,0,-9389.44386928659,-3743.19901181092,-2347.36096732165,,685.74492740245,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
4,Value,100,20,Lower0.5Upper2,8088,268,2,-7486.39802362183,-3743.19901181092,-1871.59950590546,,685.74492740245,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
4,Dist L2,100,20,Lower0.5Upper2,8078,253,2,-7486.39802362183,-3743.19901181092,-1871.59950590546,,685.74492740245,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
5,Naive,100,20,Lower0.5Upper2,10000,100,5,-6539.60242122064,-3269.80121061032,-1634.90060530516,,1111.27212565109,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
5,Oracle,100,20,Lower0.5Upper2,0,0,0,-9389.44386928659,-3269.80121061032,-2347.36096732165,,1111.27212565109,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
5,Oracle Vector,100,20,Lower0.5Upper2,5400,76,0,-9389.44386928659,-3269.80121061032,-2347.36096732165,,1111.27212565109,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
5,Value,100,20,Lower0.5Upper2,8124,321,2,-7486.39802362183,-3269.80121061032,-1871.59950590546,,1111.27212565109,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
5,Vector,100,20,Lower0.5Upper2,7800,111,0,-9389.44386928659,-3269.80121061032,-2347.36096732165,,1111.27212565109,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
5,Dist L2,100,20,Lower0.5Upper2,8106,294,2,-7486.39802362183,-3269.80121061032,-1871.59950590546,,1111.27212565109,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
6,Naive,100,20,Lower0.5Upper2,12000,120,6,-5251.32527385385,-2625.66263692693,-1312.83131846346,,1655.44034492648,-205.495245938124,-260.108047714413,-42.6736674279159,-130.159470789875,-206.661911483985,-284.182849009572,287.534884421528,-203.426891197367,225.798719564163,-72.8724011340815,270.742574133864,102.974294751523,169.42721421207,155.659263957176,-188.371675927759,-1.41569516332248,222.272893145933,296.710497705767,117.172206550528
