LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
10000,Value Scheme,100,5,Multiplicative 0.15,28845,6845,6845,22,4028152.55,4683322,5449853.45,,129495,158361,191895,167253,247656
10000,Vector Scheme,100,5,Multiplicative 0.15,385274,4856,4856,6,3746624.9,4683322,5068963.1,,129495,158361,191895,167253,247656
10000,Oracle Scheme,100,5,Multiplicative 0.15,7000,70,70,7,4145746.65,4683322,5608951.35,,129495,158361,191895,167253,247656
10000,Distance L2 Scheme,100,5,Multiplicative 0.15,25970,6970,6970,19,3736951.9,4683322,5055876.1,,129495,158361,191895,167253,247656
10000,Value Scheme,180,5,Multiplicative 0.15,103469,11669,11669,51,2274311,2736569,3077009,,147579,189798,65053,77979,47784
10000,Vector Scheme,180,5,Multiplicative 0.15,1059938,7566,7566,21,2213378.75,2736569,2994571.25,,147579,189798,65053,77979,47784
10000,Oracle Scheme,180,5,Multiplicative 0.15,30600,170,170,17,2192334.45,2736569,2966099.55,,147579,189798,65053,77979,47784
10000,Distance L2 Scheme,180,5,Multiplicative 0.15,105218,11618,11618,52,2251411.15,2736569,3046026.85,,147579,189798,65053,77979,47784
10000,Value Scheme,324,5,Multiplicative 0.15,169947,11187,11187,49,2279586.1,2580280,3084145.9,,324769,64074,25469,88587,77105
10000,Vector Scheme,324,5,Multiplicative 0.15,1900473,7513,7513,18,2462387.1,2580280,3331464.9,,324769,64074,25469,88587,77105
10000,Oracle Scheme,324,5,Multiplicative 0.15,38880,120,120,12,2365636.7,2580280,3200567.3,,324769,64074,25469,88587,77105
10000,Distance L2 Scheme,324,5,Multiplicative 0.15,169748,10988,10988,49,2359126.55,2580280,3191759.45,,324769,64074,25469,88587,77105
10000,Value Scheme,584,5,Multiplicative 0.15,1309032,24232,24232,220,356197.6,417738,481914.4,,8455,20281,15845,14890,17165
10000,Vector Scheme,584,5,Multiplicative 0.15,8866011,19875,19875,86,356197.6,417738,481914.4,,8455,20281,15845,14890,17165
10000,Oracle Scheme,584,5,Multiplicative 0.15,140160,240,240,24,356197.6,417738,481914.4,,8455,20281,15845,14890,17165
10000,Distance L2 Scheme,584,5,Multiplicative 0.15,1309123,24323,24323,220,356197.6,417738,481914.4,,8455,20281,15845,14890,17165
10000,Value Scheme,1052,5,Multiplicative 0.15,2562373,27053,27053,241,288408.4,339304,390199.6,,15048,15034,8729,29016,10533
10000,Vector Scheme,1052,5,Multiplicative 0.15,20890264,25202,25202,61,293238.1,339304,396733.9,,15048,15034,8729,29016,10533
10000,Oracle Scheme,1052,5,Multiplicative 0.15,94680,90,90,9,278698,339304,377062,,15048,15034,8729,29016,10533
10000,Distance L2 Scheme,1052,5,Multiplicative 0.15,2531561,27801,27801,238,286203.5,339304,387216.5,,15048,15034,8729,29016,10533
10000,Value Scheme,1894,5,Multiplicative 0.15,11239907,46367,46367,591,82814.65,100457,112043.35,,4006,4764,7337,2446,5492
10000,Vector Scheme,1894,5,Multiplicative 0.15,68014480,46208,46208,200,80799.3,100457,109316.7,,4006,4764,7337,2446,5492
10000,Oracle Scheme,1894,5,Multiplicative 0.15,947000,500,500,50,93574.8,100457,126601.2,,4006,4764,7337,2446,5492
10000,Distance L2 Scheme,1894,5,Multiplicative 0.15,11240049,46509,46509,591,82814.65,100457,112043.35,,4006,4764,7337,2446,5492
10000,Value Scheme,3410,5,Multiplicative 0.15,28289058,54258,54258,828,73996.75,83683,100113.25,,483,3217,2609,4628,5261
10000,Vector Scheme,3410,5,Multiplicative 0.15,152694826,57510,57510,275,73426.4,83683,99341.6,,483,3217,2609,4628,5261
10000,Oracle Scheme,3410,5,Multiplicative 0.15,1977800,580,580,58,67544.4,83683,91383.6,,483,3217,2609,4628,5261
10000,Distance L2 Scheme,3410,5,Multiplicative 0.15,28255799,55099,55099,827,73996.75,83683,100113.25,,483,3217,2609,4628,5261
10000,Value Scheme,6138,5,Multiplicative 0.15,93863555,74915,74915,1528,21808.45,24853,29505.55,,437,729,1468,939,1353
10000,Vector Scheme,6138,5,Multiplicative 0.15,417480885,86431,86431,481,21808.45,24853,29505.55,,437,729,1468,939,1353
10000,Oracle Scheme,6138,5,Multiplicative 0.15,2639340,430,430,43,21125.05,24853,28580.95,,437,729,1468,939,1353
10000,Distance L2 Scheme,6138,5,Multiplicative 0.15,93863541,74901,74901,1528,21808.45,24853,29505.55,,437,729,1468,939,1353
10000,Value Scheme,10000,5,Multiplicative 0.15,222593391,93391,93391,2225,16711.85,20632,22610.15,,227,1049,674,683,1397
10000,Vector Scheme,10000,5,Multiplicative 0.15,814951107,104949,104949,765,16794.3,20632,22721.7,,227,1049,674,683,1397
10000,Oracle Scheme,10000,5,Multiplicative 0.15,5200000,520,520,52,18036.15,20632,24401.85,,227,1049,674,683,1397
10000,Distance L2 Scheme,10000,5,Multiplicative 0.15,222693195,93195,93195,2226,16711.85,20632,22610.15,,227,1049,674,683,1397
