LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
1,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47979064,51889821.48,,0,0,0,0,0,0,0,0
1,Naive,5000,8,Multiplicative 0.08,40000,8,1,44140738.88,47979064,51817389.12,,0,0,0,0,0,0,0,0
1,Value,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47979064,51889821.48,,0,0,0,0,0,0,0,0
1,Vector,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47979064,51889821.48,,0,0,0,0,0,0,0,0
1,SKV,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47979064,51889821.48,,0,0,0,0,0,0,0,0
1,Distance,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47979064,51889821.48,,0,0,0,0,0,0,0,0
1,SKD,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47979064,51889821.48,,0,0,0,0,0,0,0,0
2,Naive,5000,8,Multiplicative 0.08,80000,16,2,44118315.72,47954691,51791066.28,,0,0,0,0,0,0,0,0
2,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47954691,51889821.48,,0,0,0,0,0,0,0,0
2,Value,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47954691,51889821.48,,0,0,0,0,0,0,0,0
2,SKV,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47954691,51889821.48,,0,0,0,0,0,0,0,0
2,Vector,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47954691,51889821.48,,0,0,0,0,0,0,0,0
2,Distance,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47954691,51889821.48,,0,0,0,0,0,0,0,0
2,SKD,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47954691,51889821.48,,0,0,0,0,0,0,0,0
3,Naive,5000,8,Multiplicative 0.08,120000,24,3,44055711.56,47886643,51717574.44,,0,0,0,0,0,0,0,0
3,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47886643,51889821.48,,0,0,0,0,0,0,0,0
3,Value,5000,8,Multiplicative 0.08,4,5,0,44202440.52,47886643,51889821.48,,0,0,0,0,0,0,0,0
3,SKV,5000,8,Multiplicative 0.08,4,5,0,44202440.52,47886643,51889821.48,,0,0,0,0,0,0,0,0
3,Vector,5000,8,Multiplicative 0.08,20000,5,0,44202440.52,47886643,51889821.48,,0,0,0,0,0,0,0,0
3,Distance,5000,8,Multiplicative 0.08,8,9,0,44202440.52,47886643,51889821.48,,0,0,0,0,0,0,0,0
3,SKD,5000,8,Multiplicative 0.08,8,9,0,44202440.52,47886643,51889821.48,,0,0,0,0,0,0,0,0
4,Naive,5000,8,Multiplicative 0.08,160000,32,4,43996044.04,47821787,51647529.96,,0,0,0,0,0,0,0,0
4,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47821787,51889821.48,,0,0,0,0,0,0,0,0
4,SKV,5000,8,Multiplicative 0.08,14,18,0,44202440.52,47821787,51889821.48,,0,0,0,0,0,0,0,0
4,Value,5000,8,Multiplicative 0.08,12,15,0,44202440.52,47821787,51889821.48,,0,0,0,0,0,0,0,0
4,Vector,5000,8,Multiplicative 0.08,40000,10,0,44202440.52,47821787,51889821.48,,0,0,0,0,0,0,0,0
4,Distance,5000,8,Multiplicative 0.08,24,27,0,44202440.52,47821787,51889821.48,,0,0,0,0,0,0,0,0
4,SKD,5000,8,Multiplicative 0.08,24,27,0,44202440.52,47821787,51889821.48,,0,0,0,0,0,0,0,0
5,Naive,5000,8,Multiplicative 0.08,200000,40,5,43958060,47780500,51602940,,0,0,0,0,0,0,0,0
5,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47780500,51889821.48,,0,0,0,0,0,0,0,0
5,SKV,5000,8,Multiplicative 0.08,26,33,0,44202440.52,47780500,51889821.48,,0,0,0,0,0,0,0,0
5,Value,5000,8,Multiplicative 0.08,16,20,0,44202440.52,47780500,51889821.48,,0,0,0,0,0,0,0,0
5,Vector,5000,8,Multiplicative 0.08,60000,15,0,44202440.52,47780500,51889821.48,,0,0,0,0,0,0,0,0
5,SKD,5000,8,Multiplicative 0.08,32,36,0,44202440.52,47780500,51889821.48,,0,0,0,0,0,0,0,0
5,Distance,5000,8,Multiplicative 0.08,40,45,0,44202440.52,47780500,51889821.48,,0,0,0,0,0,0,0,0
6,Naive,5000,8,Multiplicative 0.08,240000,48,6,43845974.56,47658668,51471361.44,,0,0,0,0,0,0,0,0
6,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47658668,51889821.48,,0,0,0,0,0,0,0,0
6,Value,5000,8,Multiplicative 0.08,26,33,0,44202440.52,47658668,51889821.48,,0,0,0,0,0,0,0,0
6,SKV,5000,8,Multiplicative 0.08,42,53,0,44202440.52,47658668,51889821.48,,0,0,0,0,0,0,0,0
6,Vector,5000,8,Multiplicative 0.08,110000,27,0,44202440.52,47658668,51889821.48,,0,0,0,0,0,0,0,0
6,Distance,5000,8,Multiplicative 0.08,56,65,0,44202440.52,47658668,51889821.48,,0,0,0,0,0,0,0,0
6,SKD,5000,8,Multiplicative 0.08,48,56,0,44202440.52,47658668,51889821.48,,0,0,0,0,0,0,0,0
7,Naive,5000,8,Multiplicative 0.08,280000,56,7,43899051.2,47716360,51533668.8,,0,0,0,0,0,0,0,0
7,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47716360,51889821.48,,0,0,0,0,0,0,0,0
7,SKV,5000,8,Multiplicative 0.08,48,61,0,44202440.52,47716360,51889821.48,,0,0,0,0,0,0,0,0
7,Value,5000,8,Multiplicative 0.08,40,50,0,44202440.52,47716360,51889821.48,,0,0,0,0,0,0,0,0
7,Vector,5000,8,Multiplicative 0.08,150000,37,0,44202440.52,47716360,51889821.48,,0,0,0,0,0,0,0,0
7,Distance,5000,8,Multiplicative 0.08,72,86,0,44202440.52,47716360,51889821.48,,0,0,0,0,0,0,0,0
7,SKD,5000,8,Multiplicative 0.08,64,74,0,44202440.52,47716360,51889821.48,,0,0,0,0,0,0,0,0
8,Naive,5000,8,Multiplicative 0.08,320000,64,8,43795668.04,47603987,51412305.96,,0,0,0,0,0,0,0,0
8,Oracle,5000,8,Multiplicative 0.08,0,0,0,44202440.52,47603987,51889821.48,,0,0,0,0,0,0,0,0
8,SKV,5000,8,Multiplicative 0.08,62,77,0,44202440.52,47603987,51889821.48,,0,0,0,0,0,0,0,0
