LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Value,504,10,Threshold 1000000,0,0,0,="-Infinity",1215.30166666667,1000000,,12693.8333333333,13180,13142.6666666667,12719,11911.6666666667,11988.8333333333,13295.1666666667,12090,12548.1666666667,12211.5
1,Vector,504,10,Threshold 1000000,0,0,0,="-Infinity",1215.30166666667,1000000,,12693.8333333333,13180,13142.6666666667,12719,11911.6666666667,11988.8333333333,13295.1666666667,12090,12548.1666666667,12211.5
1,Oracle,504,10,Threshold 1000000,0,0,0,="-Infinity",1215.30166666667,1000000,,12693.8333333333,13180,13142.6666666667,12719,11911.6666666667,11988.8333333333,13295.1666666667,12090,12548.1666666667,12211.5
1,Naive,504,10,Threshold 1000000,5040,10,1,="-Infinity",1215.30166666667,1000000,,12693.8333333333,13180,13142.6666666667,12719,11911.6666666667,11988.8333333333,13295.1666666667,12090,12548.1666666667,12211.5
1,SKV,504,10,Threshold 1000000,0,0,0,="-Infinity",1215.30166666667,1000000,,12693.8333333333,13180,13142.6666666667,12719,11911.6666666667,11988.8333333333,13295.1666666667,12090,12548.1666666667,12211.5
1,Dist L2,504,10,Threshold 1000000,0,0,0,="-Infinity",1215.30166666667,1000000,,12693.8333333333,13180,13142.6666666667,12719,11911.6666666667,11988.8333333333,13295.1666666667,12090,12548.1666666667,12211.5
1,SKD,504,10,Threshold 1000000,0,0,0,="-Infinity",1215.30166666667,1000000,,12693.8333333333,13180,13142.6666666667,12719,11911.6666666667,11988.8333333333,13295.1666666667,12090,12548.1666666667,12211.5
2,Value,504,10,Threshold 1000000,0,0,0,="-Infinity",1374.43333333333,1000000,,14180.8333333333,14919.1666666667,14923.3333333333,14576.3333333333,13444.5,13234,14747.5,13754.1666666667,14450,13914.5
2,Vector,504,10,Threshold 1000000,0,0,0,="-Infinity",1374.43333333333,1000000,,14180.8333333333,14919.1666666667,14923.3333333333,14576.3333333333,13444.5,13234,14747.5,13754.1666666667,14450,13914.5
2,Oracle,504,10,Threshold 1000000,0,0,0,="-Infinity",1374.43333333333,1000000,,14180.8333333333,14919.1666666667,14923.3333333333,14576.3333333333,13444.5,13234,14747.5,13754.1666666667,14450,13914.5
