LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Value,1554,10,Threshold 200000,0,0,0,="-Infinity",1151.72666666667,200000,,12603.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
1,Vector,1554,10,Threshold 200000,0,0,0,="-Infinity",1151.72666666667,200000,,12603.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
1,Oracle,1554,10,Threshold 200000,0,0,0,="-Infinity",1151.72666666667,200000,,12603.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
1,Naive,1554,10,Threshold 200000,15540,10,1,="-Infinity",1151.72666666667,200000,,12603.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
1,SKV,1554,10,Threshold 200000,0,0,0,="-Infinity",1151.72666666667,200000,,12603.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
1,Distance,1554,10,Threshold 200000,0,0,0,="-Infinity",1151.72666666667,200000,,12603.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
1,SKD,1554,10,Threshold 200000,0,0,0,="-Infinity",1151.72666666667,200000,,12603.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
2,Value,1554,10,Threshold 200000,0,0,0,="-Infinity",1163.70761904762,200000,,14380,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
2,Vector,1554,10,Threshold 200000,0,0,0,="-Infinity",1163.70761904762,200000,,14380,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
2,Oracle,1554,10,Threshold 200000,0,0,0,="-Infinity",1163.70761904762,200000,,14380,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
2,Naive,1554,10,Threshold 200000,31080,20,2,="-Infinity",1163.70761904762,200000,,14380,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
2,SKV,1554,10,Threshold 200000,0,0,0,="-Infinity",1163.70761904762,200000,,14380,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
2,Distance,1554,10,Threshold 200000,0,0,0,="-Infinity",1163.70761904762,200000,,14380,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
2,SKD,1554,10,Threshold 200000,0,0,0,="-Infinity",1163.70761904762,200000,,14380,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
3,Value,1554,10,Threshold 200000,0,0,0,="-Infinity",1174.40380952381,200000,,16490.4761904762,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
3,Vector,1554,10,Threshold 200000,0,0,0,="-Infinity",1174.40380952381,200000,,16490.4761904762,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
3,Oracle,1554,10,Threshold 200000,0,0,0,="-Infinity",1174.40380952381,200000,,16490.4761904762,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
3,Naive,1554,10,Threshold 200000,46620,30,3,="-Infinity",1174.40380952381,200000,,16490.4761904762,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
3,SKV,1554,10,Threshold 200000,0,0,0,="-Infinity",1174.40380952381,200000,,16490.4761904762,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
3,Distance,1554,10,Threshold 200000,0,0,0,="-Infinity",1174.40380952381,200000,,16490.4761904762,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
3,SKD,1554,10,Threshold 200000,0,0,0,="-Infinity",1174.40380952381,200000,,16490.4761904762,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
4,Value,1554,10,Threshold 200000,0,0,0,="-Infinity",1186.28,200000,,18379.619047619,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
4,Vector,1554,10,Threshold 200000,0,0,0,="-Infinity",1186.28,200000,,18379.619047619,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
4,Oracle,1554,10,Threshold 200000,0,0,0,="-Infinity",1186.28,200000,,18379.619047619,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
4,Naive,1554,10,Threshold 200000,62160,40,4,="-Infinity",1186.28,200000,,18379.619047619,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
4,SKV,1554,10,Threshold 200000,0,0,0,="-Infinity",1186.28,200000,,18379.619047619,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
4,Distance,1554,10,Threshold 200000,0,0,0,="-Infinity",1186.28,200000,,18379.619047619,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
4,SKD,1554,10,Threshold 200000,0,0,0,="-Infinity",1186.28,200000,,18379.619047619,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
5,Value,1554,10,Threshold 200000,0,0,0,="-Infinity",1203.87333333333,200000,,19977.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
5,Vector,1554,10,Threshold 200000,0,0,0,="-Infinity",1203.87333333333,200000,,19977.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
5,Oracle,1554,10,Threshold 200000,0,0,0,="-Infinity",1203.87333333333,200000,,19977.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
5,Naive,1554,10,Threshold 200000,77700,50,5,="-Infinity",1203.87333333333,200000,,19977.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
5,SKV,1554,10,Threshold 200000,0,0,0,="-Infinity",1203.87333333333,200000,,19977.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
5,Distance,1554,10,Threshold 200000,0,0,0,="-Infinity",1203.87333333333,200000,,19977.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
5,SKD,1554,10,Threshold 200000,0,0,0,="-Infinity",1203.87333333333,200000,,19977.5238095238,12990.2857142857,11176.5714285714,10896.9523809524,10249.0476190476,11036.5714285714,13128.1904761905,10711.2380952381,12797.3333333333,10942.8571428571
