LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Naive,2500,10,Multiplicative 0.01,25000,10,1,3062637.68695205,3093573.42116369,3124509.15537532,,30895.8499759873,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
1,Oracle,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093573.42116369,3124609.36924543,,30895.8499759873,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
1,Value,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093573.42116369,3124609.36924543,,30895.8499759873,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
1,SKV,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093573.42116369,3124609.36924543,,30895.8499759873,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
1,Vector,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093573.42116369,3124609.36924543,,30895.8499759873,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
1,Distance,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093573.42116369,3124609.36924543,,30895.8499759873,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
1,SKD,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093573.42116369,3124609.36924543,,30895.8499759873,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
2,Naive,2500,10,Multiplicative 0.01,50000,20,2,3062925.3488814,3093863.98876909,3124802.62865678,,30971.6294451473,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
2,Oracle,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093863.98876909,3124609.36924543,,30971.6294451473,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
2,SKV,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093863.98876909,3124609.36924543,,30971.6294451473,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
2,Vector,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093863.98876909,3124609.36924543,,30971.6294451473,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
2,Value,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093863.98876909,3124609.36924543,,30971.6294451473,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
2,SKD,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093863.98876909,3124609.36924543,,30971.6294451473,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
2,Distance,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093863.98876909,3124609.36924543,,30971.6294451473,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
3,Naive,2500,10,Multiplicative 0.01,75000,30,3,3061967.75384367,3092896.72105421,3123825.68826476,,30893.0799213396,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
3,Oracle,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3092896.72105421,3124609.36924543,,30893.0799213396,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
3,Vector,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3092896.72105421,3124609.36924543,,30893.0799213396,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
3,Value,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3092896.72105421,3124609.36924543,,30893.0799213396,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
3,SKV,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3092896.72105421,3124609.36924543,,30893.0799213396,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
3,SKD,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3092896.72105421,3124609.36924543,,30893.0799213396,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
3,Distance,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3092896.72105421,3124609.36924543,,30893.0799213396,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
4,Oracle,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093810.34055014,3124609.36924543,,30939.1821870296,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
4,Naive,2500,10,Multiplicative 0.01,100000,40,4,3062872.23714463,3093810.34055014,3124748.44395564,,30939.1821870296,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
4,SKV,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093810.34055014,3124609.36924543,,30939.1821870296,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
4,Value,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093810.34055014,3124609.36924543,,30939.1821870296,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
4,Vector,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093810.34055014,3124609.36924543,,30939.1821870296,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
4,SKD,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093810.34055014,3124609.36924543,,30939.1821870296,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
4,Distance,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3093810.34055014,3124609.36924543,,30939.1821870296,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
5,Naive,2500,10,Multiplicative 0.01,125000,50,5,3064324.01044145,3095276.77822369,3126229.54600592,,31072.1168750739,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
5,Oracle,2500,10,Multiplicative 0.01,0,0,0,3062735.91638909,3095276.77822369,3124609.36924543,,31072.1168750739,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
5,Value,2500,10,Multiplicative 0.01,4,5,0,3062735.91638909,3095276.77822369,3124609.36924543,,31072.1168750739,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
5,SKV,2500,10,Multiplicative 0.01,4,5,0,3062735.91638909,3095276.77822369,3124609.36924543,,31072.1168750739,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
5,Vector,2500,10,Multiplicative 0.01,10000,5,0,3062735.91638909,3095276.77822369,3124609.36924543,,31072.1168750739,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
5,SKD,2500,10,Multiplicative 0.01,4,5,0,3062735.91638909,3095276.77822369,3124609.36924543,,31072.1168750739,30323.4756219008,30977.9771980356,29957.7288966058,31070.3442949117,29898.2357364649,31809.4310829817,30394.6202159429,31620.3273688957,32408.0131905905
