LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10
1,Value,4950,10,Threshold 5,14,15,0,5,8.57670808813795,="+Infinity",,0.477231215246803,0.256854690044989,0.728853564828526,0.203218529955691,0.350187927250417,0.220146309386422,0.143457628143665,0.40383527271868,0.182907200011982,0.193957315090103
1,Vector,4950,10,Threshold 5,69300,15,0,5,8.57669834106581,="+Infinity",,0.477660333891095,0.256773474139521,0.729554511489411,0.203524664736662,0.351517286534801,0.22268559182298,0.144734902398127,0.403648163806153,0.18595207966888,0.225900073300792
1,Oracle,4950,10,Threshold 5,0,0,0,5,8.57670380803033,="+Infinity",,0.477809164159069,0.254253022989445,0.729603411441005,0.203427258825769,0.350697300164668,0.220919945111248,0.144393052496397,0.405622326981941,0.186301324495147,0.192746986496019
1,Naive,4950,10,Threshold 5,49500,10,1,5,8.57671330185009,="+Infinity",,0.477735965310941,0.250618716129708,0.729211014851515,0.204236758965607,0.351446448539576,0.222340660308447,0.144413883080304,0.404420284059114,0.184166478521448,0.19410135065695
1,Distance,4950,10,Threshold 5,99010,44,1,5,8.57670405378531,="+Infinity",,0.514647415843001,0.24396046110185,0.729862475450759,0.203111299633932,0.350680187389329,0.221683866139799,0.144420547502577,0.403539488123357,0.184829502661316,0.194794015377013
2,Value,4950,10,Threshold 5,99024,61,1,5,8.48050533956798,="+Infinity",,0.476437244465302,0.255672989484125,0.72965489906376,0.203103238899118,0.351824065340537,0.302888386636312,0.144380383321973,0.35030005428429,0.186183919181772,0.194037732757309
2,Vector,4950,10,Threshold 5,118800,26,0,5,8.48049245566409,="+Infinity",,0.478414909490922,0.245763875532333,0.731033410102256,0.204242179829507,0.351786948446815,0.304203416864439,0.146222929672348,0.35248267809213,0.18435151029631,0.193130639644536
2,Oracle,4950,10,Threshold 5,0,0,0,5,8.48050512875439,="+Infinity",,0.475933119606509,0.248972963382101,0.729244012179919,0.203132627025425,0.352696345983432,0.303658001344587,0.143666786732723,0.350158841086412,0.186298026272127,0.193064521094627
2,Naive,4950,10,Threshold 5,99000,20,2,5,8.48049543400599,="+Infinity",,0.47727232822848,0.245957670746165,0.729316154194009,0.203141734156262,0.351420763741061,0.30281491166383,0.144061208070411,0.350284530106435,0.184761057645346,0.194756470302366
2,Distance,4950,10,Threshold 5,198020,89,2,5,8.48048868519702,="+Infinity",,0.476662373550781,0.24661655060504,0.729383607995956,0.203229226584526,0.352249950413537,0.304081205913761,0.14401612471859,0.352341139021505,0.183245716783645,0.190875910722085
3,Value,4950,10,Threshold 5,99032,70,1,5,8.41147944532101,="+Infinity",,0.478774196417589,0.251002684139365,0.729036556216116,0.203366166328024,0.351437268456365,0.234057661005721,0.145905454366144,0.378659650227348,0.183902913654919,0.193546863607509
3,Vector,4950,10,Threshold 5,158400,35,0,5,8.41148535205708,="+Infinity",,0.477442032955778,0.247819531465595,0.729730231719174,0.203062340879498,0.351671550488902,0.233838948834673,0.14440543950208,0.378554052304011,0.183036590793762,0.194759931573188
3,Oracle,4950,10,Threshold 5,0,0,0,5,8.41148368486188,="+Infinity",,0.477854446742114,0.254275251985646,0.730055396040271,0.203234714076487,0.352482865026559,0.234766843225401,0.144845167462066,0.378456799870577,0.18534744021585,0.194609682681417
3,Naive,4950,10,Threshold 5,148500,30,3,5,8.41147488797621,="+Infinity",,0.477594205623717,0.245909770784223,0.729843057660332,0.203524559776483,0.352051018548948,0.233783823557147,0.145141533257487,0.37858106406965,0.183162092030386,0.194645894966115
3,Distance,4950,10,Threshold 5,297030,136,3,5,8.411467674973,="+Infinity",,0.477475244819473,0.246688156911915,0.729125382279122,0.204434995760508,0.349969357071998,0.234854678936955,0.144953044286012,0.376031899173228,0.181920566652167,0.191572368075697
4,Value,4950,10,Threshold 5,99044,83,1,5,8.2217304400007,="+Infinity",,0.477952873386371,0.218802754210031,0.626141991314867,0.202955494055985,0.350287160086168,0.233879430464995,0.145399774582188,0.377579852180318,0.185813138844765,0.136893584384381
4,Vector,4950,10,Threshold 5,217800,48,0,5,8.2217263085755,="+Infinity",,0.477877971257456,0.211454119482283,0.625532022713315,0.203197926706622,0.352324184625459,0.235035370030516,0.143549655852752,0.377952664660498,0.185988191784006,0.137616734462725
4,Oracle,4950,10,Threshold 5,0,0,0,5,8.2217245808048,="+Infinity",,0.476995845841472,0.210561780251851,0.625666105925788,0.204309904501471,0.35248844614064,0.23431251748535,0.144017898528858,0.377975002008128,0.18318381411045,0.139258439863397
