LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9,Server 10,Server 11,Server 12
1,Value,4950,12,Threshold 5,118812,54,1,5,7.877099263,+Infinity,,0.052667699,0.253593669,0.140674965,0.324794398,0.228998587,0.225191515,0.339399165,0.205578174,0.630445334,0.061476157,-0.000108517,0.388317718
1,Vector,4950,12,Threshold 5,69300,15,0,5,7.877068373,+Infinity,,0.042704736,0.253111822,0.139282587,0.324846493,0.22793866,0.225682996,0.336872486,0.20500451,0.630570577,0.049971336,0.012211743,0.388072517
1,Oracle,4950,12,Threshold 5,0,0,0,5,7.877110239,+Infinity,,0.042770824,0.251257614,0.140365175,0.32508857,0.227424901,0.22862531,0.337422736,0.206540189,0.630520934,0.050529781,0.009855703,0.387813725
1,Naive,4950,12,Threshold 5,59400,12,1,5,7.877051534,+Infinity,,0.042465729,0.254123376,0.135796231,0.325303224,0.228347651,0.226875777,0.340704662,0.205822366,0.630439063,0.059292652,0.006693595,0.387532898
1,Distance,4950,12,Threshold 5,118812,54,1,5,7.877063481,+Infinity,,0.052470683,0.253105472,0.135707586,0.323808446,0.227133609,0.226717849,0.338022402,0.20587602,0.630488689,0.057485292,0.004858955,0.388332556
2,Value,4950,12,Threshold 5,118830,77,1,5,7.70408649,+Infinity,,0.04284292,0.252576185,0.140069853,0.382235247,0.142544821,0.22615723,0.338178483,0.286163844,0.657692303,0.050024555,0.083142476,0.388261497
2,Vector,4950,12,Threshold 5,118800,26,0,5,7.704082961,+Infinity,,0.051482607,0.253252667,0.139433731,0.383502829,0.14326133,0.223988381,0.339973641,0.205301682,0.65747992,0.055135589,0.083141943,0.387283061
2,Oracle,4950,12,Threshold 5,0,0,0,5,7.704086925,+Infinity,,0.049074021,0.25200112,0.139925052,0.382301138,0.138800449,0.226737112,0.336315785,0.203537275,0.657871258,0.060523362,0.089380607,0.387445028
2,Naive,4950,12,Threshold 5,118800,24,2,5,7.704082849,+Infinity,,0.043787701,0.252317039,0.136499702,0.38249306,0.141269025,0.223000888,0.339084459,0.207006553,0.658384068,0.060620533,0.088118899,0.387507879
2,Distance,4950,12,Threshold 5,237624,110,2,5,7.704070481,+Infinity,,0.041301481,0.251619056,0.1400332,0.382800271,0.144383225,0.227191527,0.339405621,0.204060884,0.658324883,0.058124054,0.083120483,0.387921917
3,Value,4950,12,Threshold 5,237642,130,2,5,7.465503122,+Infinity,,0.044882656,0.251895619,0.215790058,0.380535134,0.170498988,0.228295106,0.341227456,0.204103331,0.590482062,0.061283816,0.083205492,0.126217408
3,Vector,4950,12,Threshold 5,198000,43,0,5,7.465500617,+Infinity,,0.05317248,0.251685978,0.216515181,0.381430845,0.168103967,0.227985336,0.336779096,0.204915257,0.589026287,0.050519419,0.083488614,0.125735497
3,Oracle,4950,12,Threshold 5,0,0,0,5,7.465494745,+Infinity,,-0.055272901,0.252573102,0.216303305,0.382491275,0.169208606,0.22694643,0.337074166,0.205698864,0.590403489,0.050374953,0.087097999,0.126309725
3,Naive,4950,12,Threshold 5,178200,36,3,5,7.465502147,+Infinity,,-0.055574314,0.254303826,0.21609618,0.380432211,0.166895,0.226660498,0.338323665,0.204728773,0.59128792,0.050009055,0.083308313,0.127205196
3,Distance,4950,12,Threshold 5,356436,163,3,5,7.465452551,+Infinity,,0.048220262,0.250768845,0.214733638,0.382680704,0.170049098,0.228730974,0.337755629,0.204177297,0.591993596,0.050616642,0.083207611,0.129834361
4,Value,4950,12,Threshold 5,356454,183,3,5,7.442477965,+Infinity,,0.042253096,0.251751019,0.263134723,0.257003291,0.169799386,0.230333602,0.337666873,0.204521226,0.589170371,0.050238991,0.083059607,0.127421405
4,Vector,4950,12,Threshold 5,277200,60,0,5,7.442463417,+Infinity,,0.047401646,0.254636469,0.26459719,0.256725065,0.170111891,0.228616024,0.338398177,0.203713635,0.589873426,-0.058631792,-0.089466389,0.12711937
4,Oracle,4950,12,Threshold 5,0,0,0,5,7.442469661,+Infinity,,0.045584662,0.253876688,0.263009759,0.254557561,0.169503873,0.226561107,0.337413293,0.206045003,0.590067156,0.049823563,0.083159701,0.125666883
4,Naive,4950,12,Threshold 5,237600,48,4,5,7.442478209,+Infinity,,0.049505039,0.250080186,0.263433483,0.258160779,0.168392866,0.232587028,0.336731488,0.204597012,0.656976903,0.051920938,0.08458944,0.126132051
4,Distance,4950,12,Threshold 5,475248,216,4,5,7.442478623,+Infinity,,0.04780256,0.254122729,0.265681351,0.255655991,0.169064541,0.227678705,0.338214232,0.205991035,0.590301609,0.050123317,0.083052991,0.130259246
5,Value,4950,12,Threshold 5,475266,235,4,5,7.304523152,+Infinity,,0.042616714,0.258405579,0.260349045,0.313599927,0.170478646,0.005923099,0.616915421,0.290568561,0.225188351,0.05240137,0.083045691,0.126455655
5,Vector,4950,12,Threshold 5,366300,79,0,5,7.304517332,+Infinity,,0.054895528,0.256234174,0.227748176,0.314023063,0.252177186,0.010838,0.618168684,0.291619254,0.225139234,0.056911545,0.08313209,0.126613642
