LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Epsilon,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8
1,Value,4950,8,Threshold 5,0,0,0,5,8.26372420804623,="+Infinity",,0.132365103804418,0.156070790731178,0.281295114570995,0.0673142517517817,0.0827931141211167,0.372252467652302,0.324268701094326,0.376668860901461
1,Vector,4950,8,Threshold 5,0,0,0,5,8.26369100498651,="+Infinity",,0.129791435689881,0.155886861184001,0.281049531388319,0.0664982542597841,0.082785590070003,0.372432016278424,0.323895574772877,0.37626097960711
1,Oracle,4950,8,Threshold 5,0,0,0,5,8.26375192580747,="+Infinity",,0.12957500744254,0.155886997870184,0.281362933368584,0.0677475464147932,0.0818408779105937,0.372215484091811,0.323652653020645,0.376687929577756
1,Naive,4950,8,Threshold 5,39600,8,1,5,8.26373836359231,="+Infinity",,0.129703603212747,0.15569128163439,0.281107876602178,0.0667603823406608,0.0813700451422648,0.372008978648026,0.324199021040414,0.376663004693086
1,Distance,4950,8,Threshold 5,0,0,0,5,8.26371199467916,="+Infinity",,0.133288537464239,0.156287922311392,0.281512294677555,0.0672237037928909,0.0816789114814185,0.372058795802943,0.324561460329022,0.376412424207203
2,Value,4950,8,Threshold 5,6,7,0,5,8.08433005418209,="+Infinity",,0.0680853109410435,0.156944048564185,0.279484973582186,0.0665332989697021,0.0872550875986491,0.387283678981092,0.323960041022403,0.388120604900237
2,Vector,4950,8,Threshold 5,29700,7,0,5,8.0843394611973,="+Infinity",,0.0690201974555862,0.155672255009762,0.279213812100693,0.0663679958116319,0.0884057802062159,0.387238810853034,0.324538832108232,0.38835366076961
2,Oracle,4950,8,Threshold 5,0,0,0,5,8.08431320748264,="+Infinity",,0.0700813066363821,0.155990719995145,0.279746393522274,0.0664392679900345,0.0875513185842323,0.386961175926331,0.323828941371502,0.38898396900818
2,Naive,4950,8,Threshold 5,79200,16,2,5,8.08433964663679,="+Infinity",,0.066035295430197,0.15557984002416,0.27968321864067,0.0663129682139356,0.0883191901598224,0.387142129813185,0.323970939757544,0.388314479602158
2,Distance,4950,8,Threshold 5,79208,38,1,5,8.08431780152213,="+Infinity",,0.0698381375238171,0.155731693465754,0.279487921918857,0.067170076239492,0.0868510768742254,0.387055484604318,0.324137914384934,0.389429969379535
3,Value,4950,8,Threshold 5,10,12,0,5,8.01409721589205,="+Infinity",,0.0467215190641213,0.153093146231441,0.279419237676464,0.0699416658597016,0.0870527728795167,0.292030675594503,0.323921977239849,0.408344822326185
3,Vector,4950,8,Threshold 5,49500,12,0,5,8.01410636292873,="+Infinity",,0.0453426298077915,0.152644236373305,0.279801318461296,0.0667726615080397,0.086793192929278,0.292385913845365,0.323904161288866,0.408939539573169
3,Oracle,4950,8,Threshold 5,0,0,0,5,8.01409559279685,="+Infinity",,0.0467444152534711,0.153561788120257,0.279754712664953,-0.066128106683081,0.0878668245353111,0.291700135229149,0.32421702052595,0.407822726610377
3,Naive,4950,8,Threshold 5,118800,24,3,5,8.01411231788272,="+Infinity",,0.0436926122713146,0.153501227749857,0.28010179969047,0.0665606103142267,0.0873243198809348,0.292020146473988,0.323932020567753,0.408388596691012
3,Distance,4950,8,Threshold 5,79208,38,1,5,8.01411306853869,="+Infinity",,0.0462545082277614,0.152962231149615,0.280196605976187,0.0665248476779254,0.0871799820121879,0.292413789809643,0.323552648845308,0.41028063054587
4,Value,4950,8,Threshold 5,16,19,0,5,7.87778829772023,="+Infinity",,0.0427358365408566,0.151658014491645,0.279280980863703,0.0665882943091134,0.106303077601169,0.29195711271916,0.285251697806785,0.408214923963172
