LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9
1,Naive,49,9,Lower0.3Upper3,441,9,1,52527.5262414614,175091.754138205,525275.262414614,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Dist L2,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,175091.754138205,578983.949482489,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Dist L0,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,175091.754138205,578983.949482489,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Value,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,175091.754138205,578983.949482489,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Vector,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,175091.754138205,578983.949482489,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Oracle Vector,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,175091.754138205,578983.949482489,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
1,Oracle,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,175091.754138205,578983.949482489,,14.5178602332176,3.28717196335153,7.92660993582236,9606.19737226987,26702.8007386836,16937.2966217182,124.169624123009,157.87522224173,106.362509149221
2,Value,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,159948.518084492,578983.949482489,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Naive,49,9,Lower0.3Upper3,882,18,2,47984.5554253475,159948.518084492,479845.554253475,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Oracle Vector,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,159948.518084492,578983.949482489,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Oracle,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,159948.518084492,578983.949482489,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Vector,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,159948.518084492,578983.949482489,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Dist L2,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,159948.518084492,578983.949482489,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
2,Dist L0,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,159948.518084492,578983.949482489,,13.1441342497882,3.07102738286247,7.02387690402202,8684.90827230773,24486.9630989899,15190.017077269,105.062210103084,139.390546882566,74.5391393304888
3,Naive,49,9,Lower0.3Upper3,1323,27,3,43026.9379869971,143423.126623324,430269.379869971,,12.8975332293657,3.63319118642829,6.76347267803638,7792.5853801699,23033.599452155,13904.6964460366,92.4670767304997,117.621673003113,56.8242842238907
3,Oracle,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,143423.126623324,578983.949482489,,12.8975332293657,3.63319118642829,6.76347267803638,7792.5853801699,23033.599452155,13904.6964460366,92.4670767304997,117.621673003113,56.8242842238907
3,Oracle Vector,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,143423.126623324,578983.949482489,,12.8975332293657,3.63319118642829,6.76347267803638,7792.5853801699,23033.599452155,13904.6964460366,92.4670767304997,117.621673003113,56.8242842238907
3,Dist L0,49,9,Lower0.3Upper3,8,10,0,57898.3949482489,143423.126623324,578983.949482489,,12.8975332293657,3.63319118642829,6.76347267803638,7792.5853801699,23033.599452155,13904.6964460366,92.4670767304997,117.621673003113,56.8242842238907
3,Value,49,9,Lower0.3Upper3,6,7,0,57898.3949482489,143423.126623324,578983.949482489,,12.8975332293657,3.63319118642829,6.76347267803638,7792.5853801699,23033.599452155,13904.6964460366,92.4670767304997,117.621673003113,56.8242842238907
3,Dist L2,49,9,Lower0.3Upper3,10,13,0,57898.3949482489,143423.126623324,578983.949482489,,12.8975332293657,3.63319118642829,6.76347267803638,7792.5853801699,23033.599452155,13904.6964460366,92.4670767304997,117.621673003113,56.8242842238907
3,Vector,49,9,Lower0.3Upper3,392,10,0,57898.3949482489,143423.126623324,578983.949482489,,12.8975332293657,3.63319118642829,6.76347267803638,7792.5853801699,23033.599452155,13904.6964460366,92.4670767304997,117.621673003113,56.8242842238907
4,Naive,49,9,Lower0.3Upper3,1764,36,4,39013.2256919256,130044.085639752,390132.256919256,,9.63864266191154,3.173692026714,5.10993114756202,6498.33759098319,21482.7915611262,12884.9804800486,68.5009517277284,109.064353158971,54.96746315971
4,Oracle,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,130044.085639752,578983.949482489,,9.63864266191154,3.173692026714,5.10993114756202,6498.33759098319,21482.7915611262,12884.9804800486,68.5009517277284,109.064353158971,54.96746315971
4,Value,49,9,Lower0.3Upper3,18,21,0,57898.3949482489,130044.085639752,578983.949482489,,9.63864266191154,3.173692026714,5.10993114756202,6498.33759098319,21482.7915611262,12884.9804800486,68.5009517277284,109.064353158971,54.96746315971
4,Vector,49,9,Lower0.3Upper3,784,19,0,57898.3949482489,130044.085639752,578983.949482489,,9.63864266191154,3.173692026714,5.10993114756202,6498.33759098319,21482.7915611262,12884.9804800486,68.5009517277284,109.064353158971,54.96746315971
4,Oracle Vector,49,9,Lower0.3Upper3,196,5,0,57898.3949482489,130044.085639752,578983.949482489,,9.63864266191154,3.173692026714,5.10993114756202,6498.33759098319,21482.7915611262,12884.9804800486,68.5009517277284,109.064353158971,54.96746315971
4,Dist L2,49,9,Lower0.3Upper3,26,34,0,57898.3949482489,130044.085639752,578983.949482489,,9.63864266191154,3.173692026714,5.10993114756202,6498.33759098319,21482.7915611262,12884.9804800486,68.5009517277284,109.064353158971,54.96746315971
4,Dist L0,49,9,Lower0.3Upper3,16,19,0,57898.3949482489,130044.085639752,578983.949482489,,9.63864266191154,3.173692026714,5.10993114756202,6498.33759098319,21482.7915611262,12884.9804800486,68.5009517277284,109.064353158971,54.96746315971
5,Oracle,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,116897.28895702,578983.949482489,,9.07870354323402,3.03013857949166,5.20820750618924,5815.1416051698,20907.8684737605,11738.623784993,54.1064332315714,95.7623936541013,50.3682710111869
5,Naive,49,9,Lower0.3Upper3,2205,45,5,35069.1866871059,116897.28895702,350691.866871059,,9.07870354323402,3.03013857949166,5.20820750618924,5815.1416051698,20907.8684737605,11738.623784993,54.1064332315714,95.7623936541013,50.3682710111869
5,Vector,49,9,Lower0.3Upper3,1176,28,0,57898.3949482489,116897.28895702,578983.949482489,,9.07870354323402,3.03013857949166,5.20820750618924,5815.1416051698,20907.8684737605,11738.623784993,54.1064332315714,95.7623936541013,50.3682710111869
5,Value,49,9,Lower0.3Upper3,26,30,0,57898.3949482489,116897.28895702,578983.949482489,,9.07870354323402,3.03013857949166,5.20820750618924,5815.1416051698,20907.8684737605,11738.623784993,54.1064332315714,95.7623936541013,50.3682710111869
5,Oracle Vector,49,9,Lower0.3Upper3,588,14,0,57898.3949482489,116897.28895702,578983.949482489,,9.07870354323402,3.03013857949166,5.20820750618924,5815.1416051698,20907.8684737605,11738.623784993,54.1064332315714,95.7623936541013,50.3682710111869
5,Dist L0,49,9,Lower0.3Upper3,28,34,0,57898.3949482489,116897.28895702,578983.949482489,,9.07870354323402,3.03013857949166,5.20820750618924,5815.1416051698,20907.8684737605,11738.623784993,54.1064332315714,95.7623936541013,50.3682710111869
5,Dist L2,49,9,Lower0.3Upper3,917,75,1,35069.1866871059,116897.28895702,350691.866871059,,9.07870354323402,3.03013857949166,5.20820750618924,5815.1416051698,20907.8684737605,11738.623784993,54.1064332315714,95.7623936541013,50.3682710111869
6,Naive,49,9,Lower0.3Upper3,2646,54,6,31146.556317495,103821.85439165,311465.56317495,,8.92015595895802,3.28352071231288,5.43745824408497,4868.06507777842,19122.4081181853,10824.0435571169,38.3050505452183,73.004639453738,44.1759587546699
6,Oracle,49,9,Lower0.3Upper3,0,0,0,57898.3949482489,103821.85439165,578983.949482489,,8.92015595895802,3.28352071231288,5.43745824408497,4868.06507777842,19122.4081181853,10824.0435571169,38.3050505452183,73.004639453738,44.1759587546699
