LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4,Server 5,Server 6,Server 7,Server 8,Server 9
1,Oracle,100,9,Threshold2700000,0,0,0,="-Infinity",165830.783886177,2700000,,11.4537976569357,3.917324416526,8.80662419037547,8768.38726981461,27737.6250025451,14367.9074273736,125.94917900125,153.868730618345,110.510145902145
1,Naive,100,9,Threshold2700000,900,9,1,="-Infinity",165830.783886177,2700000,,11.4537976569357,3.917324416526,8.80662419037547,8768.38726981461,27737.6250025451,14367.9074273736,125.94917900125,153.868730618345,110.510145902145
1,Vector,100,9,Threshold2700000,0,0,0,="-Infinity",165830.783886177,2700000,,11.4537976569357,3.917324416526,8.80662419037547,8768.38726981461,27737.6250025451,14367.9074273736,125.94917900125,153.868730618345,110.510145902145
1,Oracle Vector,100,9,Threshold2700000,0,0,0,="-Infinity",165830.783886177,2700000,,11.4537976569357,3.917324416526,8.80662419037547,8768.38726981461,27737.6250025451,14367.9074273736,125.94917900125,153.868730618345,110.510145902145
1,Value,100,9,Threshold2700000,0,0,0,="-Infinity",165830.783886177,2700000,,11.4537976569357,3.917324416526,8.80662419037547,8768.38726981461,27737.6250025451,14367.9074273736,125.94917900125,153.868730618345,110.510145902145
1,Dist L0,100,9,Threshold2700000,0,0,0,="-Infinity",165830.783886177,2700000,,11.4537976569357,3.917324416526,8.80662419037547,8768.38726981461,27737.6250025451,14367.9074273736,125.94917900125,153.868730618345,110.510145902145
1,Dist L2,100,9,Threshold2700000,0,0,0,="-Infinity",165830.783886177,2700000,,11.4537976569357,3.917324416526,8.80662419037547,8768.38726981461,27737.6250025451,14367.9074273736,125.94917900125,153.868730618345,110.510145902145
2,Oracle,100,9,Threshold2700000,0,0,0,="-Infinity",150702.460549855,2700000,,10.7517925522692,3.76419569535026,8.15960509142364,8059.14104628345,25018.159189158,12882.4971849779,101.03429372949,131.359201427426,85.3515666722869
2,Naive,100,9,Threshold2700000,1800,18,2,="-Infinity",150702.460549855,2700000,,10.7517925522692,3.76419569535026,8.15960509142364,8059.14104628345,25018.159189158,12882.4971849779,101.03429372949,131.359201427426,85.3515666722869
2,Vector,100,9,Threshold2700000,0,0,0,="-Infinity",150702.460549855,2700000,,10.7517925522692,3.76419569535026,8.15960509142364,8059.14104628345,25018.159189158,12882.4971849779,101.03429372949,131.359201427426,85.3515666722869
2,Value,100,9,Threshold2700000,0,0,0,="-Infinity",150702.460549855,2700000,,10.7517925522692,3.76419569535026,8.15960509142364,8059.14104628345,25018.159189158,12882.4971849779,101.03429372949,131.359201427426,85.3515666722869
2,Oracle Vector,100,9,Threshold2700000,0,0,0,="-Infinity",150702.460549855,2700000,,10.7517925522692,3.76419569535026,8.15960509142364,8059.14104628345,25018.159189158,12882.4971849779,101.03429372949,131.359201427426,85.3515666722869
2,Dist L2,100,9,Threshold2700000,0,0,0,="-Infinity",150702.460549855,2700000,,10.7517925522692,3.76419569535026,8.15960509142364,8059.14104628345,25018.159189158,12882.4971849779,101.03429372949,131.359201427426,85.3515666722869
2,Dist L0,100,9,Threshold2700000,0,0,0,="-Infinity",150702.460549855,2700000,,10.7517925522692,3.76419569535026,8.15960509142364,8059.14104628345,25018.159189158,12882.4971849779,101.03429372949,131.359201427426,85.3515666722869
3,Naive,100,9,Threshold2700000,2700,27,3,="-Infinity",133725.381298401,2700000,,9.5358357057127,3.76166693480567,7.34076800402409,7225.2637959171,23306.2845342295,11538.9076640417,78.2083014356615,110.985312546549,65.2630099948978
3,Oracle,100,9,Threshold2700000,0,0,0,="-Infinity",133725.381298401,2700000,,9.5358357057127,3.76166693480567,7.34076800402409,7225.2637959171,23306.2845342295,11538.9076640417,78.2083014356615,110.985312546549,65.2630099948978
3,Value,100,9,Threshold2700000,0,0,0,="-Infinity",133725.381298401,2700000,,9.5358357057127,3.76166693480567,7.34076800402409,7225.2637959171,23306.2845342295,11538.9076640417,78.2083014356615,110.985312546549,65.2630099948978
3,Vector,100,9,Threshold2700000,0,0,0,="-Infinity",133725.381298401,2700000,,9.5358357057127,3.76166693480567,7.34076800402409,7225.2637959171,23306.2845342295,11538.9076640417,78.2083014356615,110.985312546549,65.2630099948978
3,Oracle Vector,100,9,Threshold2700000,0,0,0,="-Infinity",133725.381298401,2700000,,9.5358357057127,3.76166693480567,7.34076800402409,7225.2637959171,23306.2845342295,11538.9076640417,78.2083014356615,110.985312546549,65.2630099948978
3,Dist L2,100,9,Threshold2700000,0,0,0,="-Infinity",133725.381298401,2700000,,9.5358357057127,3.76166693480567,7.34076800402409,7225.2637959171,23306.2845342295,11538.9076640417,78.2083014356615,110.985312546549,65.2630099948978
3,Dist L0,100,9,Threshold2700000,0,0,0,="-Infinity",133725.381298401,2700000,,9.5358357057127,3.76166693480567,7.34076800402409,7225.2637959171,23306.2845342295,11538.9076640417,78.2083014356615,110.985312546549,65.2630099948978
4,Naive,100,9,Threshold2700000,3600,36,4,="-Infinity",120573.446869743,2700000,,7.04579651138629,3.02323912838179,5.98342215213024,6212.30754872935,21777.8960861848,10555.2661392379,66.4265771573452,100.999506931001,59.0247794612459
4,Oracle,100,9,Threshold2700000,0,0,0,="-Infinity",120573.446869743,2700000,,7.04579651138629,3.02323912838179,5.98342215213024,6212.30754872935,21777.8960861848,10555.2661392379,66.4265771573452,100.999506931001,59.0247794612459
4,Value,100,9,Threshold2700000,0,0,0,="-Infinity",120573.446869743,2700000,,7.04579651138629,3.02323912838179,5.98342215213024,6212.30754872935,21777.8960861848,10555.2661392379,66.4265771573452,100.999506931001,59.0247794612459
4,Vector,100,9,Threshold2700000,0,0,0,="-Infinity",120573.446869743,2700000,,7.04579651138629,3.02323912838179,5.98342215213024,6212.30754872935,21777.8960861848,10555.2661392379,66.4265771573452,100.999506931001,59.0247794612459
4,Oracle Vector,100,9,Threshold2700000,0,0,0,="-Infinity",120573.446869743,2700000,,7.04579651138629,3.02323912838179,5.98342215213024,6212.30754872935,21777.8960861848,10555.2661392379,66.4265771573452,100.999506931001,59.0247794612459
4,Dist L2,100,9,Threshold2700000,0,0,0,="-Infinity",120573.446869743,2700000,,7.04579651138629,3.02323912838179,5.98342215213024,6212.30754872935,21777.8960861848,10555.2661392379,66.4265771573452,100.999506931001,59.0247794612459
4,Dist L0,100,9,Threshold2700000,0,0,0,="-Infinity",120573.446869743,2700000,,7.04579651138629,3.02323912838179,5.98342215213024,6212.30754872935,21777.8960861848,10555.2661392379,66.4265771573452,100.999506931001,59.0247794612459
5,Naive,100,9,Threshold2700000,4500,45,5,="-Infinity",108721.882370433,2700000,,6.09606029938766,3.22717374399325,6.46031817279296,5574.51751993374,20954.1848688344,9291.1244558638,50.6602525011144,79.1637616901896,53.0001277540458
5,Oracle,100,9,Threshold2700000,0,0,0,="-Infinity",108721.882370433,2700000,,6.09606029938766,3.22717374399325,6.46031817279296,5574.51751993374,20954.1848688344,9291.1244558638,50.6602525011144,79.1637616901896,53.0001277540458
5,Vector,100,9,Threshold2700000,0,0,0,="-Infinity",108721.882370433,2700000,,6.09606029938766,3.22717374399325,6.46031817279296,5574.51751993374,20954.1848688344,9291.1244558638,50.6602525011144,79.1637616901896,53.0001277540458
5,Oracle Vector,100,9,Threshold2700000,0,0,0,="-Infinity",108721.882370433,2700000,,6.09606029938766,3.22717374399325,6.46031817279296,5574.51751993374,20954.1848688344,9291.1244558638,50.6602525011144,79.1637616901896,53.0001277540458
5,Value,100,9,Threshold2700000,0,0,0,="-Infinity",108721.882370433,2700000,,6.09606029938766,3.22717374399325,6.46031817279296,5574.51751993374,20954.1848688344,9291.1244558638,50.6602525011144,79.1637616901896,53.0001277540458
5,Dist L2,100,9,Threshold2700000,0,0,0,="-Infinity",108721.882370433,2700000,,6.09606029938766,3.22717374399325,6.46031817279296,5574.51751993374,20954.1848688344,9291.1244558638,50.6602525011144,79.1637616901896,53.0001277540458
5,Dist L0,100,9,Threshold2700000,0,0,0,="-Infinity",108721.882370433,2700000,,6.09606029938766,3.22717374399325,6.46031817279296,5574.51751993374,20954.1848688344,9291.1244558638,50.6602525011144,79.1637616901896,53.0001277540458
6,Naive,100,9,Threshold2700000,5400,54,6,="-Infinity",97346.5010204522,2700000,,5.9340368831264,3.05333123263235,6.19352601193579,4659.96858462851,19429.7991690901,8559.97982715507,39.0241923643358,55.2652574094981,41.3123949740684
6,Oracle,100,9,Threshold2700000,0,0,0,="-Infinity",97346.5010204522,2700000,,5.9340368831264,3.05333123263235,6.19352601193579,4659.96858462851,19429.7991690901,8559.97982715507,39.0241923643358,55.2652574094981,41.3123949740684
6,Value,100,9,Threshold2700000,0,0,0,="-Infinity",97346.5010204522,2700000,,5.9340368831264,3.05333123263235,6.19352601193579,4659.96858462851,19429.7991690901,8559.97982715507,39.0241923643358,55.2652574094981,41.3123949740684
6,Oracle Vector,100,9,Threshold2700000,0,0,0,="-Infinity",97346.5010204522,2700000,,5.9340368831264,3.05333123263235,6.19352601193579,4659.96858462851,19429.7991690901,8559.97982715507,39.0241923643358,55.2652574094981,41.3123949740684
6,Vector,100,9,Threshold2700000,0,0,0,="-Infinity",97346.5010204522,2700000,,5.9340368831264,3.05333123263235,6.19352601193579,4659.96858462851,19429.7991690901,8559.97982715507,39.0241923643358,55.2652574094981,41.3123949740684
6,Dist L0,100,9,Threshold2700000,0,0,0,="-Infinity",97346.5010204522,2700000,,5.9340368831264,3.05333123263235,6.19352601193579,4659.96858462851,19429.7991690901,8559.97982715507,39.0241923643358,55.2652574094981,41.3123949740684
6,Dist L2,100,9,Threshold2700000,0,0,0,="-Infinity",97346.5010204522,2700000,,5.9340368831264,3.05333123263235,6.19352601193579,4659.96858462851,19429.7991690901,8559.97982715507,39.0241923643358,55.2652574094981,41.3123949740684
7,Oracle,100,9,Threshold2700000,0,0,0,="-Infinity",87234.7984563943,2700000,,6.68033169404349,2.66406730795928,6.27342294540425,3729.06001866138,18159.4744407189,7710.20386994384,33.847753649288,50.6577882981318,40.0374143180157
7,Naive,100,9,Threshold2700000,6300,63,7,="-Infinity",87234.7984563943,2700000,,6.68033169404349,2.66406730795928,6.27342294540425,3729.06001866138,18159.4744407189,7710.20386994384,33.847753649288,50.6577882981318,40.0374143180157
7,Oracle Vector,100,9,Threshold2700000,0,0,0,="-Infinity",87234.7984563943,2700000,,6.68033169404349,2.66406730795928,6.27342294540425,3729.06001866138,18159.4744407189,7710.20386994384,33.847753649288,50.6577882981318,40.0374143180157
7,Vector,100,9,Threshold2700000,0,0,0,="-Infinity",87234.7984563943,2700000,,6.68033169404349,2.66406730795928,6.27342294540425,3729.06001866138,18159.4744407189,7710.20386994384,33.847753649288,50.6577882981318,40.0374143180157
7,Value,100,9,Threshold2700000,0,0,0,="-Infinity",87234.7984563943,2700000,,6.68033169404349,2.66406730795928,6.27342294540425,3729.06001866138,18159.4744407189,7710.20386994384,33.847753649288,50.6577882981318,40.0374143180157
7,Dist L0,100,9,Threshold2700000,0,0,0,="-Infinity",87234.7984563943,2700000,,6.68033169404349,2.66406730795928,6.27342294540425,3729.06001866138,18159.4744407189,7710.20386994384,33.847753649288,50.6577882981318,40.0374143180157
7,Dist L2,100,9,Threshold2700000,0,0,0,="-Infinity",87234.7984563943,2700000,,6.68033169404349,2.66406730795928,6.27342294540425,3729.06001866138,18159.4744407189,7710.20386994384,33.847753649288,50.6577882981318,40.0374143180157
