LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
10000,Value Scheme,100,5,Multiplicative 0.005,176269,23269,23269,153,3.711360756,3.720917269,3.748660864,,3.349894693,3.806140351,3.298684998,3.32552882,3.504270288
10000,Vector Scheme,100,5,Multiplicative 0.005,1524865,19819,19819,84,3.70264433,3.720917269,3.739856836,,3.349894693,3.806140351,3.298684998,3.32552882,3.504270288
10000,Oracle Scheme,100,5,Multiplicative 0.005,55000,550,550,55,3.697491869,3.720917269,3.734652591,,3.349894693,3.806140351,3.298684998,3.32552882,3.504270288
10000,Distance L1 Scheme,100,5,Multiplicative 0.005,174104,23104,23104,151,3.711360756,3.720917269,3.748660864,,3.349894693,3.806140351,3.298684998,3.32552882,3.504270288
10000,Value Scheme,180,5,Multiplicative 0.005,315918,26118,26118,161,4.093936967,4.126354704,4.135082063,,3.707745257,4.068365937,3.704518647,3.64570896,4.016173128
10000,Vector Scheme,180,5,Multiplicative 0.005,2905885,20779,20779,70,4.091171154,4.126354704,4.132288452,,3.707745257,4.068365937,3.704518647,3.64570896,4.016173128
10000,Oracle Scheme,180,5,Multiplicative 0.005,70200,390,390,39,4.108270985,4.126354704,4.149560141,,3.707745257,4.068365937,3.704518647,3.64570896,4.016173128
10000,Distance L1 Scheme,180,5,Multiplicative 0.005,319278,25878,25878,163,4.101880247,4.126354704,4.143105174,,3.707745257,4.068365937,3.704518647,3.64570896,4.016173128
10000,Value Scheme,324,5,Multiplicative 0.005,721094,27734,27734,214,4.479301064,4.503302271,4.524319165,,4.210672712,4.342258598,4.067060871,3.905963477,4.434826294
10000,Vector Scheme,324,5,Multiplicative 0.005,5783066,23096,23096,88,4.477314982,4.503302271,4.522313123,,4.210672712,4.342258598,4.067060871,3.905963477,4.434826294
10000,Oracle Scheme,324,5,Multiplicative 0.005,106920,330,330,33,4.485750331,4.503302271,4.530833249,,4.210672712,4.342258598,4.067060871,3.905963477,4.434826294
10000,Distance L1 Scheme,324,5,Multiplicative 0.005,708240,27840,27840,210,4.479301064,4.503302271,4.524319165,,4.210672712,4.342258598,4.067060871,3.905963477,4.434826294
10000,Value Scheme,583,5,Multiplicative 0.005,1657437,30867,30867,279,4.870413948,4.896514293,4.919362832,,4.479945175,4.437211623,4.658993256,4.308466629,4.948707481
10000,Vector Scheme,583,5,Multiplicative 0.005,11567930,25780,25780,109,4.862359404,4.896514293,4.911227338,,4.479945175,4.437211623,4.658993256,4.308466629,4.948707481
10000,Oracle Scheme,583,5,Multiplicative 0.005,204050,350,350,35,4.857709174,4.896514293,4.906530372,,4.479945175,4.437211623,4.658993256,4.308466629,4.948707481
10000,Distance L1 Scheme,583,5,Multiplicative 0.005,1652039,31299,31299,278,4.870413948,4.896514293,4.919362832,,4.479945175,4.437211623,4.658993256,4.308466629,4.948707481
10000,Value Scheme,1049,5,Multiplicative 0.005,3853713,35353,35353,364,5.285342593,5.311756824,5.338461614,,4.651338532,4.795368277,5.138285868,4.648312844,5.371817407
10000,Vector Scheme,1049,5,Multiplicative 0.005,25636283,32063,32063,158,5.288548325,5.311756824,5.341699565,,4.651338532,4.795368277,5.138285868,4.648312844,5.371817407
10000,Oracle Scheme,1049,5,Multiplicative 0.005,304210,290,290,29,5.272409252,5.311756824,5.325398289,,4.651338532,4.795368277,5.138285868,4.648312844,5.371817407
10000,Distance L1 Scheme,1049,5,Multiplicative 0.005,3853243,34883,34883,364,5.285342593,5.311756824,5.338461614,,4.651338532,4.795368277,5.138285868,4.648312844,5.371817407
10000,Value Scheme,1888,5,Multiplicative 0.005,9479918,39918,39918,500,5.700694689,5.730336959,5.757988103,,4.976041698,5.025172895,5.531445549,5.069898063,5.798001055
10000,Vector Scheme,1888,5,Multiplicative 0.005,52366724,37464,37464,275,5.703933756,5.730336959,5.761259724,,4.976041698,5.025172895,5.531445549,5.069898063,5.798001055
10000,Oracle Scheme,1888,5,Multiplicative 0.005,623040,330,330,33,5.680676315,5.730336959,5.737768539,,4.976041698,5.025172895,5.531445549,5.069898063,5.798001055
10000,Distance L1 Scheme,1888,5,Multiplicative 0.005,9461216,40096,40096,499,5.700694689,5.730336959,5.757988103,,4.976041698,5.025172895,5.531445549,5.069898063,5.798001055
10000,Value Scheme,3398,5,Multiplicative 0.005,22271405,48485,48485,654,6.067231509,6.096422303,6.12820871,,5.198524604,5.225047228,5.991432005,5.371442281,6.190153783
10000,Vector Scheme,3398,5,Multiplicative 0.005,108020265,45067,45067,495,6.077796113,6.096422303,6.138879491,,5.198524604,5.225047228,5.991432005,5.371442281,6.190153783
10000,Oracle Scheme,3398,5,Multiplicative 0.005,951440,280,280,28,6.071252244,6.096422303,6.132269854,,5.198524604,5.225047228,5.991432005,5.371442281,6.190153783
10000,Distance L1 Scheme,3398,5,Multiplicative 0.005,22271821,48901,48901,654,6.067231509,6.096422303,6.12820871,,5.198524604,5.225047228,5.991432005,5.371442281,6.190153783
10000,Value Scheme,6116,5,Multiplicative 0.005,56327961,60761,60761,920,6.347858626,6.385086166,6.4116562,,5.359327951,5.444255157,6.165215839,5.668192741,6.448894191
10000,Vector Scheme,6116,5,Multiplicative 0.005,229143990,55760,55760,810,6.352063846,6.385086166,6.415903683,,5.359327951,5.444255157,6.165215839,5.668192741,6.448894191
10000,Oracle Scheme,6116,5,Multiplicative 0.005,2079440,340,340,34,6.363053394,6.385086166,6.427003679,,5.359327951,5.444255157,6.165215839,5.668192741,6.448894191
10000,Distance L1 Scheme,6116,5,Multiplicative 0.005,56327818,60618,60618,920,6.347858626,6.385086166,6.4116562,,5.359327951,5.444255157,6.165215839,5.668192741,6.448894191
10000,Value Scheme,10000,5,Multiplicative 0.005,117470851,70851,70851,1174,6.574458166,6.607495644,6.640533123,,5.522625991,5.527735007,6.455052703,5.821953343,6.550475791
10000,Vector Scheme,10000,5,Multiplicative 0.005,422793702,64968,64968,1101,6.57416831,6.607495644,6.640240354,,5.522625991,5.527735007,6.455052703,5.821953343,6.550475791
10000,Oracle Scheme,10000,5,Multiplicative 0.005,3500000,350,350,35,6.579956304,6.607495644,6.646086519,,5.522625991,5.527735007,6.455052703,5.821953343,6.550475791
10000,Distance L1 Scheme,10000,5,Multiplicative 0.005,117570596,70596,70596,1175,6.574458166,6.607495644,6.640533123,,5.522625991,5.527735007,6.455052703,5.821953343,6.550475791
