LoopIndex,MonitoringScheme,VectorLength,NumOfNodes,Epsilon,Bandwidth,NumberOfMessages,NumberOfChannels,NumberOfFullSyncs,LowerBound,FunctionValue,UpperBound,,Node 1,Node 2,Node 3,Node 4,Node 5
10000,Oracle Scheme,500,5,Multiplicative 0.12,10000,20,10,2,56450426.56,62136864,71845997.44,,2480874,2941515,2289751,3528422,2159154
10000,Value Scheme,500,5,Multiplicative 0.12,156985,6985,2665,30,54848546.72,62136864,69807241.28,,2480874,2941515,2289751,3528422,2159154
10000,Vector Scheme,500,5,Multiplicative 0.12,1451848,3690,1451,6,53051740.72,62136864,67520397.28,,2480874,2941515,2289751,3528422,2159154
10000,Distance L2 Scheme,500,5,Multiplicative 0.12,151414,6414,2433,29,52877646.8,62136864,67298823.2,,2480874,2941515,2289751,3528422,2159154
10000,Value Scheme,600,5,Multiplicative 0.12,210388,6388,2405,34,44603694.96,50990102,56768339.04,,1747196,2146847,2496132,1733173,1703601
10000,Vector Scheme,600,5,Multiplicative 0.12,1688046,3588,1406,7,44733007.44,50990102,56932918.56,,1747196,2146847,2496132,1733173,1703601
10000,Oracle Scheme,600,5,Multiplicative 0.12,6000,10,5,1,45563097.36,50990102,57989396.64,,1747196,2146847,2496132,1733173,1703601
10000,Distance L2 Scheme,600,5,Multiplicative 0.12,205104,7104,2693,33,44252855.68,50990102,56321816.32,,1747196,2146847,2496132,1733173,1703601
10000,Value Scheme,700,5,Multiplicative 0.12,280273,7273,2725,39,91808258.96,108243385,116846875,,5750581,10127905,1554561,1485877,1874525
10000,Vector Scheme,700,5,Multiplicative 0.12,3087183,5771,2204,22,91562995.04,108243385,116534721,,5750581,10127905,1554561,1485877,1874525
10000,Oracle Scheme,700,5,Multiplicative 0.12,119000,170,85,17,87121654.4,108243385,110882105.6,,5750581,10127905,1554561,1485877,1874525
10000,Distance L2 Scheme,700,5,Multiplicative 0.12,273295,7295,2729,38,92875003.76,108243385,118204550.2,,5750581,10127905,1554561,1485877,1874525
10000,Oracle Scheme,800,5,Multiplicative 0.12,16000,20,10,2,22519174.48,23561150,28660767.52,,783655,1201400,823460,702399,1236335
10000,Value Scheme,800,5,Multiplicative 0.12,440988,8988,3347,54,20860110.48,23561150,26549231.52,,783655,1201400,823460,702399,1236335
10000,Vector Scheme,800,5,Multiplicative 0.12,4167987,6645,2604,15,21461435.6,23561150,27314554.4,,783655,1201400,823460,702399,1236335
10000,Distance L2 Scheme,800,5,Multiplicative 0.12,441542,9542,3569,54,20841090.16,23561150,26525023.84,,783655,1201400,823460,702399,1236335
10000,Value Scheme,900,5,Multiplicative 0.12,366570,6570,2444,40,46376909.92,55865089,59025158.08,,3528918,2170795,1724757,3537422,1324406
10000,Vector Scheme,900,5,Multiplicative 0.12,3433920,4964,1907,17,47388238.48,55865089,60312303.52,,3528918,2170795,1724757,3537422,1324406
10000,Oracle Scheme,900,5,Multiplicative 0.12,117000,130,65,13,47658651.04,55865089,60656464.96,,3528918,2170795,1724757,3537422,1324406
10000,Distance L2 Scheme,900,5,Multiplicative 0.12,339502,6502,2427,37,46641481.92,55865089,59361886.08,,3528918,2170795,1724757,3537422,1324406
10000,Oracle Scheme,1000,5,Multiplicative 0.12,90000,90,45,9,65083725.52,78468373,82833832.48,,2284688,7282710,2167700,1533322,1894826
10000,Value Scheme,1000,5,Multiplicative 0.12,316264,6264,2358,31,68133698.16,78468373,86715615.84,,2284688,7282710,2167700,1533322,1894826
10000,Vector Scheme,1000,5,Multiplicative 0.12,4169427,5415,2084,18,67053277.28,78468373,85340534.72,,2284688,7282710,2167700,1533322,1894826
10000,Distance L2 Scheme,1000,5,Multiplicative 0.12,326465,6465,2436,32,68306268.8,78468373,86935251.2,,2284688,7282710,2167700,1533322,1894826
10000,Oracle Scheme,1100,5,Multiplicative 0.12,143000,130,65,13,37784481.68,42554232,48089340.32,,1263270,2014142,752023,4673296,1307398
10000,Value Scheme,1100,5,Multiplicative 0.12,424989,6989,2621,38,38564318.32,42554232,49081859.68,,1263270,2014142,752023,4673296,1307398
10000,Vector Scheme,1100,5,Multiplicative 0.12,4157157,4945,1889,19,40023676,42554232,50939224,,1263270,2014142,752023,4673296,1307398
10000,Distance L2 Scheme,1100,5,Multiplicative 0.12,424849,6849,2564,38,38564318.32,42554232,49081859.68,,1263270,2014142,752023,4673296,1307398
10000,Oracle Scheme,1200,5,Multiplicative 0.12,12000,10,5,1,16827776.24,19447429,21417169.76,,760960,927191,752184,650042,900462
10000,Vector Scheme,1200,5,Multiplicative 0.12,5975135,6363,2489,15,17269229.12,19447429,21979018.88,,760960,927191,752184,650042,900462
10000,Value Scheme,1200,5,Multiplicative 0.12,669391,9391,3508,55,17064593.04,19447429,21718572.96,,760960,927191,752184,650042,900462
10000,Distance L2 Scheme,1200,5,Multiplicative 0.12,681784,9784,3653,56,17054951.76,19447429,21706302.24,,760960,927191,752184,650042,900462
10000,Value Scheme,1300,5,Multiplicative 0.12,725009,10009,3745,55,21486059.76,24392496,27345894.24,,977626,884861,1219849,714978,1134182
10000,Vector Scheme,1300,5,Multiplicative 0.12,7024369,6971,2701,20,20890817.2,24392496,26588312.8,,977626,884861,1219849,714978,1134182
10000,Oracle Scheme,1300,5,Multiplicative 0.12,39000,30,15,3,21065744.48,24392496,26810947.52,,977626,884861,1219849,714978,1134182
10000,Distance L2 Scheme,1300,5,Multiplicative 0.12,737651,9651,3601,56,21486059.76,24392496,27345894.24,,977626,884861,1219849,714978,1134182
10000,Oracle Scheme,1400,5,Multiplicative 0.12,42000,30,15,3,15222323.6,18150353,19373866.4,,497507,925384,902996,677688,710098
10000,Value Scheme,1400,5,Multiplicative 0.12,878388,10388,3875,62,16024497.28,18150353,20394814.72,,497507,925384,902996,677688,710098
